areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02001678,92.6,5.5,1,0.5,0.4
E02001679,89.5,5.4,2.5,1.7,0.9
E02001680,86.2,7.2,3.2,2,1.4
E02001681,93.5,4.2,0.9,0.8,0.7
E02001827,91,6.8,0.9,0.7,0.6
E02001828,91.8,5.6,1.1,1,0.6
E02001829,90.8,6.5,1.3,0.8,0.6
E02001830,87.9,9.2,1.2,0.9,0.9
E02001831,89.1,7.2,1.8,1,0.9
E02001832,90.1,7.3,1.1,1,0.5
E02001833,89.7,8,1.1,0.9,0.4
E02001834,89.3,6.2,2.1,1.4,0.9
E02001835,89.5,6.1,1.8,1.2,1.3
E02001836,86.4,10.5,1.5,0.8,0.8
E02001837,82,11.1,4.2,1.9,0.8
E02001838,90.6,7.1,1,1,0.3
E02001839,85.9,10.1,1.6,1.5,0.9
E02001840,80.5,12.4,3.8,2.4,1
E02001841,89,9,0.8,0.9,0.4
E02001842,81.1,12.9,2.4,1.8,1.8
E02001843,84.9,9.8,2.3,2.1,0.9
E02001844,88.3,8.4,1.7,1.1,0.6
E02001845,84.6,10.3,2.4,2.1,0.6
E02001846,76.3,13.3,5,3.4,1.9
E02001847,90.5,6.6,1.5,0.8,0.5
E02001848,73.2,16.4,5.9,3.2,1.4
E02001849,73.1,13.6,6.7,4.3,2.2
E02001850,68.9,19.9,4.6,4,2.6
E02001851,83.5,10.6,3,2,0.9
E02001852,72.2,15.6,5.6,3.9,2.7
E02001855,91.4,5.8,1.5,0.8,0.4
E02001856,65.7,17.2,6.4,6.6,4
E02001857,68.7,17.3,6.7,4.7,2.6
E02001858,60.7,24.6,6,5.1,3.7
E02001859,56,27.4,7,5.5,4.1
E02001860,49.9,28.1,8.8,7.4,5.8
E02001861,57.4,27.5,6.7,5.3,3.2
E02001862,52.5,31.1,7.1,5.4,3.9
E02001863,55.4,27.5,6.2,6.9,4
E02001865,52.2,30.3,7.2,5.9,4.3
E02001866,57.5,29.5,5,5.1,3
E02001867,56.2,31.9,6.3,3.4,2.2
E02001868,72.8,20.7,2.9,2.1,1.5
E02001869,58.5,25.7,9.1,4.3,2.5
E02001870,66.2,22,5.5,3.8,2.5
E02001871,85.5,9.1,2.6,1.7,1.2
E02001872,90.8,5.8,1.7,1.3,0.4
E02001873,55.5,25,7.4,6.9,5.1
E02001874,61.2,24.9,6,4.1,3.8
E02001875,57.7,26.6,7.4,4.8,3.4
E02001876,59.5,18.9,6.5,5.3,9.7
E02001877,59.3,27,5.8,4.2,3.6
E02001878,58.2,27.2,5.8,4.7,4.1
E02001879,57.3,25.3,7,5.9,4.6
E02001880,78.6,14.5,4,1.5,1.4
E02001881,64.3,23.1,5.8,4.1,2.6
E02002000,92.8,4.2,1.6,1,0.4
E02002001,96.7,2.1,0.7,0.2,0.3
E02002002,97,2.1,0.5,0.1,0.2
E02002003,94.9,3.1,0.9,0.7,0.4
E02002004,94.1,3.4,1,0.9,0.4
E02002005,86.8,8.7,2.5,1.5,0.6
E02002006,96.1,2.3,0.5,0.8,0.2
E02002007,97.6,1.7,0.4,0.2,0.1
E02002008,92.6,5.7,0.7,0.6,0.5
E02002009,75.2,14.9,4.5,3.7,1.7
E02002010,74.2,13.9,4,4.5,3.3
E02002011,96.7,2.4,0.3,0.4,0.3
E02002012,87.3,7.3,2,1.8,1.6
E02002013,97.1,2.3,0.3,0.2,0.1
E02002014,77.7,11.5,3.9,4.4,2.5
E02002015,96.1,2.5,0.7,0.4,0.4
E02002016,91.4,5,1.4,1.6,0.6
E02002017,87.3,7.2,2.3,2,1.2
E02002018,97.9,1.7,0.2,0.1,0.1
E02002019,93.3,4.7,1,0.7,0.3
E02002020,97.5,1.8,0.3,0.2,0.1
E02002043,88.3,7.8,2,1.2,0.7
E02002044,80.4,14.6,2.2,1.9,0.9
E02002045,89.1,6.8,2.1,1.4,0.6
E02002046,89.5,6.6,2,1.3,0.6
E02002047,85.5,9.6,2.3,1.4,1.2
E02002048,84.5,12.3,1.6,0.9,0.7
