areacd,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E02001678,60,31.5,7.3,1.2,0
E02001679,38,34.9,19.5,7.1,0.4
E02001680,30.5,36.1,24.3,8.4,0.7
E02001681,56.4,33.1,8.9,1.6,0.1
E02001827,54.4,31.1,12.4,2.1,0
E02001828,53.2,32.9,11.1,2.7,0.2
E02001829,62.9,29,6.8,1.2,0.1
E02001830,61.9,28.6,8,1.5,0
E02001831,44.4,33,17.1,5.1,0.4
E02001832,54.5,33.3,10.5,1.6,0.1
E02001833,52.5,34.2,11.3,2,0
E02001834,38.8,35.5,19.2,6.1,0.4
E02001835,57.7,30.2,10.2,1.9,0.1
E02001836,54.9,31.9,11.2,2,0
E02001837,29.3,35.5,25.3,9.2,0.7
E02001838,58.2,31.5,9.2,1.1,0
E02001839,41.7,35.1,17.7,5.3,0.2
E02001840,32,35,22.6,9.8,0.7
E02001841,59.7,30.5,8.6,1.2,0
E02001842,49.6,33.2,14.9,2.1,0.1
E02001843,42.7,35.9,18,3.3,0.1
E02001844,49.1,32.6,14.3,3.9,0.1
E02001845,50.1,32.6,14.4,2.8,0.1
E02001846,36.8,35.3,19.7,7.8,0.4
E02001847,49.8,33.6,13.9,2.7,0
E02001848,35,36.1,22.4,6.1,0.5
E02001849,38.3,35.8,19.3,5.9,0.6
E02001850,45,36.4,15.5,3,0.1
E02001851,43.3,32.6,18.7,5.1,0.3
E02001852,38.2,35.2,20.3,5.9,0.5
E02001855,30.7,34.6,26.2,8.1,0.5
E02001856,41.5,34.4,18.5,5.1,0.5
E02001857,36.5,34.7,20.6,7.6,0.6
E02001858,35.3,39,19.7,5.4,0.5
E02001859,31.6,38.7,21.3,8.1,0.3
E02001860,34.3,37.6,22.4,5.3,0.4
E02001861,30.8,36.9,23.9,7.8,0.5
E02001862,33.9,37.4,21.8,6.6,0.4
E02001863,26.1,38.2,24.3,10.8,0.6
E02001865,27.3,39.9,24.9,7.5,0.3
E02001866,24.7,36,26.7,11.8,0.8
E02001867,23.9,39.3,25.9,10.3,0.5
E02001868,39.9,36.9,18,5.1,0.2
E02001869,23,40.5,26.5,9.2,0.7
E02001870,31,38.8,22.5,7.3,0.4
E02001871,29.3,37,24.2,8.8,0.7
E02001872,32,35.8,23.5,8,0.7
E02001873,31.6,38,23.3,6.5,0.6
E02001874,22.8,38.9,25.9,11.8,0.6
E02001875,35.3,35.4,21.9,6.9,0.4
E02001876,35.8,34.8,22.3,6.7,0.4
E02001877,22.2,39.2,25.7,11.9,1
E02001878,28.2,37,24.9,9.2,0.7
E02001879,30.5,37.9,23,7.9,0.6
E02001880,29.6,34.6,25,10.1,0.6
E02001881,26.2,37,25.5,10.6,0.7
E02002000,38.9,36.5,19,5.3,0.2
E02002001,44.7,33.4,17.1,4.6,0.2
E02002002,49.2,34.9,14.1,1.7,0
E02002003,40.5,36.1,18.3,4.9,0.2
E02002004,38.6,34.7,20.4,6,0.3
E02002005,37.9,33.4,21.1,7.2,0.4
E02002006,41.6,33.1,18.9,6.1,0.3
E02002007,43.4,37.5,15.7,3.1,0.2
E02002008,56.7,30.1,11.6,1.5,0.1
E02002009,35.2,33.6,22.6,8.1,0.4
E02002010,34.7,36.8,21.8,6.3,0.4
E02002011,51,34.7,11.9,2.2,0.2
E02002012,32,34.7,24.5,8.4,0.4
E02002013,49.2,34.1,14.2,2.3,0.1
E02002014,40,35.3,18.7,5.7,0.3
E02002015,47.7,34.2,14.4,3.5,0.1
E02002016,30.7,37.5,23.4,8.2,0.3
E02002017,37.1,36.3,20,6.4,0.2
E02002018,48.4,36.7,13.2,1.6,0
E02002019,34.8,37,21.7,6.3,0.2
E02002020,49.1,34.8,13.7,2.3,0.1
E02002043,37.8,33.5,20.1,8.3,0.2
E02002044,42,34.6,17.5,5.6,0.2
E02002045,39.3,34.1,20.3,5.9,0.3
E02002046,26.8,36.7,25.3,10.9,0.3
E02002047,32.9,36.6,22.5,7.6,0.3
E02002048,49.8,33.8,13.7,2.5,0.1
E02002049,38.1,35.6,20.7,5.2,0.4
E02002051,30.5,36.6,24.7,7.8,0.4
E02002052,35.3,34.7,22.5,7.3,0.3
E02002053,44.8,35.8,16.4,2.8,0.2
E02002054,44.6,35.5,16.9,3,0.1
E02002055,35.6,36.1,20.4,7.4,0.5
E02002056,33,36.2,23.4,7.2,0.2
E02002057,33.5,34.7,23.4,8.1,0.3
E02002058,40.7,33.6,19.3,6.2,0.3
E02002059,34.3,36.9,21.6,6.9,0.4
E02002060,31.6,36.1,23,8.9,0.3
E02002061,29,36.1,25.4,9.2,0.3
E02002062,31.2,36.1,24.5,7.4,0.7
E02002063,42.2,35,16.3,6.2,0.3
E02002064,43.3,34,17.4,5,0.3
E02002065,32.9,38.8,21,6.8,0.5
E02002066,33.9,36.8,21.1,7.8,0.4
E02002067,43.2,35.4,17.5,3.8,0.1
E02002069,38,32.7,21.2,7.8,0.3
E02002070,31.4,38.7,22.5,7,0.4
E02002071,37,33.7,23.3,5.9,0.1
E02002072,42,34.2,17.7,5.7,0.3
E02002073,34.5,35.7,22,7.6,0.2
E02002081,44.4,36.9,15.2,3.3,0.3
E02002082,30.7,34.8,25.8,8.1,0.6
E02002083,49.5,35.2,13.7,1.5,0.2
E02002084,34.7,35.6,22.5,6.6,0.5
E02002085,37.5,35,21.5,5.7,0.2
E02002110,45.6,33.8,15.9,4.4,0.3
E02002111,34.3,35.6,22,8,0.2
E02002112,45.6,33.4,17.1,3.8,0.1
E02002113,41.9,35.6,17,5.2,0.2
E02002114,41,38,17.3,3.6,0.1
E02002115,34.8,35.2,23.2,6.5,0.3
E02002116,47.6,35.2,14.7,2.4,0.1
E02002117,42.3,35.3,16.2,6.1,0.1
E02002118,31.9,34.8,25.4,7.6,0.4
E02002119,43.2,35.4,16.3,5,0.1
E02002120,47,35,15,2.8,0.2
E02002121,33,36.4,22.2,8,0.4
E02002122,37.5,35,20.2,7.1,0.2
E02002123,40.8,33.8,19.1,6.1,0.3
E02002124,41.9,34.5,19.1,4.3,0.3
E02002125,40.1,36.2,18.4,5.2,0.1
E02002126,29.5,35.7,25.6,8.8,0.4
E02002127,37.7,33.9,21.2,6.8,0.4
E02002128,39.9,36.1,19.5,4.2,0.3
E02002129,40.5,36.6,18.7,4,0.2
E02002130,34.3,34.8,22.7,7.7,0.5
E02002131,52.8,33.2,12.5,1.5,0
E02002132,34.3,36.2,23.7,5.5,0.2
E02002133,42.2,34.3,17.6,5.6,0.3
E02002134,37,36.4,19,7.3,0.4
E02002135,33.4,34.7,22.7,8.7,0.5
E02002136,38.8,36.5,18.3,6,0.4
E02002137,55.7,31.8,11.5,0.9,0
E02002138,46.3,35.5,14.3,3.6,0.3
E02002139,34.3,35.4,20.9,8.9,0.6
E02002140,34.1,35.5,23,6.9,0.5
E02002141,55.6,32.3,10.5,1.6,0
E02002142,34.3,35.8,21.5,8.1,0.3
E02002143,30.5,35.2,24.6,9.1,0.5
E02002144,52.3,34.8,11.3,1.5,0.1
E02002145,35,35.7,20.9,7.6,0.7
E02002146,39.3,34.7,19.8,5.9,0.2
E02002147,36.8,34.5,21.6,6.8,0.3
E02002148,50.2,33.5,14,2.2,0.1
E02002149,40.4,35.8,19.1,4.5,0.2
E02002150,43,36.4,16.3,4.1,0.2
E02002151,37.5,36.8,19.7,5.9,0.2
E02002152,33.3,36,21.4,8.6,0.7
E02002153,35.9,35.5,22.1,6.2,0.2
E02002154,49.3,30.8,15.6,3.9,0.3
E02002155,33.1,35.2,23.1,8.3,0.3
E02002156,41.3,36.7,17.6,4.2,0.2
E02002157,53.5,31.3,13.3,1.9,0
E02002158,37.9,36.2,21.1,4.6,0.2
E02002159,33.5,38.9,21.1,6.5,0.1
E02002160,43.7,36.6,15.7,3.9,0.2
E02002161,40.1,35.1,19.2,5.5,0.1
E02002162,50.4,33.5,13.4,2.7,0
E02002163,34.9,35.5,21.8,7.2,0.6
E02002164,28.6,41.4,22.1,7.5,0.6
E02002165,40.1,34.5,18.8,5.9,0.7
E02002166,32.7,35.2,23.4,8.1,0.7
E02002167,49.4,33.7,13.7,3,0.1
E02002168,35.1,36.9,19.9,7.4,0.8
E02002169,52.3,33.2,12,2.5,0
E02002170,36.9,34.8,22.7,5.3,0.3
E02002171,33.9,37.4,21.6,6.7,0.3
E02002174,50.1,32.2,14.1,3.3,0.2
E02002175,32.6,35.2,23.4,8.4,0.4
E02002176,43.9,33.1,18.1,4.6,0.3
E02002177,40.3,34.2,18.5,6.7,0.3
E02002178,45.7,35.7,15.2,3.3,0
E02002179,52.1,34.5,11,2.4,0.1
E02002180,40.4,35.7,19,4.7,0.2
E02002181,37.1,35.5,20.2,6.9,0.3
E02002182,37.7,36.1,21.1,5,0.2
E02002586,31,34,25,9.8,0.2
E02002587,37.3,34.5,21,7.1,0.2
E02002588,30.8,34.9,25.4,8.7,0.1
E02002589,51.6,35,11.9,1.6,0
E02002796,56.6,31.9,10,1.3,0.1
E02002797,54.6,34.5,9.9,0.9,0.1
E02002798,60.3,29.3,8.9,1.4,0.1
E02002799,44.5,33.8,16.9,4.5,0.3
E02002800,56.3,29.6,10.9,2.8,0.3
E02002801,44.1,35.7,16.7,3.2,0.3
E02002802,34.5,35.1,22.6,7.5,0.2
E02002803,44.6,30.9,17,7.3,0.3
E02002804,44.6,32.9,17.6,4.7,0.2
E02002806,46.3,34.2,15.3,3.9,0.2
E02002807,44,35,17.5,3.4,0.1
E02002808,43.9,33.8,15.6,6.3,0.4
E02002810,57.5,32.3,8.7,1.5,0.1
E02002811,30.2,35.8,22.4,10.6,1
E02002812,51.8,32.6,12.4,3.1,0.1
E02002813,31.6,35.5,21.8,10.3,0.8
