areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02001678,11.3,39.3,37.2,12.1
E02001679,36.4,40.9,18.1,4.5
E02001680,46,40.7,10.8,2.6
E02001681,15.7,42.1,32.9,9.3
E02001827,15.9,35.8,36.3,12.1
E02001828,16.1,41.5,32.2,10.3
E02001829,8.4,36.7,41.7,13.2
E02001830,12.4,34,37.1,16.4
E02001831,23.2,40.8,27.8,8.1
E02001832,14.5,39.5,33.7,12.2
E02001833,13.2,37.6,34.6,14.7
E02001834,25.1,45.4,23.6,5.9
E02001835,18.7,43,29.5,8.8
E02001836,13.7,38.2,36.8,11.2
E02001837,36.9,40.4,18.1,4.7
E02001838,10.3,36.7,40,13.1
E02001839,25,46.3,23,5.8
E02001840,35.5,41.8,18.2,4.4
E02001841,9,37.1,40,13.9
E02001842,18,46,27.6,8.4
E02001843,23.4,46,24,6.6
E02001844,25.7,44.6,23.3,6.5
E02001845,17.8,48.4,26.9,6.9
E02001846,32.2,44.1,19,4.7
E02001847,14.8,41.5,32.7,11
E02001848,31.4,44.5,18,6.1
E02001849,41.5,43.1,12.8,2.6
E02001850,22.5,43.4,25.1,8.9
E02001851,26.4,42.8,24.4,6.4
E02001852,36.1,40.7,18.4,4.8
E02001855,38.1,42.7,14.8,4.3
E02001856,33.3,44.1,17.8,4.8
E02001857,41.1,39.6,14.9,4.4
E02001858,37.5,39.4,15.7,7.5
E02001859,35.7,42.2,16.5,5.6
E02001860,40.4,41.1,13.3,5.2
E02001861,42.4,37.5,14.7,5.3
E02001862,40.5,40,13.8,5.8
E02001863,42.4,39.6,12.7,5.2
E02001865,44.7,37.3,13.1,4.9
E02001866,45.3,34.5,14.6,5.5
E02001867,43.1,38.6,14.1,4.1
E02001868,14.1,37.4,31.1,17.4
E02001869,51.1,38.8,8.2,1.9
E02001870,26.3,44.8,21.6,7.3
E02001871,33.3,43.4,18.3,5
E02001872,31.9,42,20.9,5.2
E02001873,47.5,38.2,11.5,2.7
E02001874,33.8,44.5,16.1,5.6
E02001875,46.2,42,9.5,2.2
E02001876,59.2,32.7,6.5,1.6
E02001877,36.9,41.8,15,6.3
E02001878,40.3,42.2,12.8,4.7
E02001879,44.4,37.7,13.1,4.9
E02001880,31.1,44.5,18.9,5.6
E02001881,31.5,45.3,17.6,5.6
E02002000,26.9,40.6,24,8.5
E02002001,21,39.5,28.2,11.3
E02002002,12.7,38.6,34.6,14
E02002003,19.9,41.2,28,10.9
E02002004,24,40.8,27.3,7.9
E02002005,24.9,44.5,23.5,7.1
E02002006,25.7,39.6,26.8,7.9
E02002007,18.2,41.2,29.9,10.6
E02002008,9.1,36.6,37.6,16.7
E02002009,33.2,39.8,20.1,6.9
E02002010,39,37.9,17,6.1
E02002011,12.4,40.3,35.5,11.8
E02002012,31.7,41.4,20.5,6.4
E02002013,12.6,38.2,36.2,13
E02002014,28.2,40.6,23.4,7.8
E02002015,15.9,38.8,34.2,11.1
E02002016,28.3,43.4,21.6,6.7
E02002017,26,44.8,21.8,7.4
E02002018,12.6,35.5,37.3,14.6
E02002019,23.6,43.1,23.9,9.4
E02002020,12.6,43.1,32.7,11.6
E02002043,23.2,42.4,26.4,7.9
E02002044,21.1,42.8,26.1,10
E02002045,26.1,41.7,25.1,7.1
E02002046,33.2,41.9,19.3,5.6
E02002047,30,43.9,19.8,6.3
E02002048,15.3,38.2,32.1,14.3
E02002049,24.3,42,24.4,9.2
E02002051,33.4,42.8,18.1,5.7
E02002052,29.4,42.4,22,6.2
E02002053,23.6,45.5,23.1,7.7
E02002054,20.4,46.6,24.5,8.5
E02002055,29,42.3,21.8,6.9
E02002056,33.6,41.6,19.6,5.2
E02002057,31.7,41.1,20.3,6.9
E02002058,26.9,40.8,24.3,8
E02002059,37.2,39.4,16.7,6.8
E02002060,33.8,43,17.4,5.8
E02002061,42.4,38.5,14.9,4.3
E02002062,45,37.9,12.8,4.3
E02002063,25.8,45.3,21.7,7.2
E02002064,24.9,40.2,26.9,7.9
E02002065,32.5,41.4,19.4,6.7
E02002066,34.6,40.9,18.8,5.7
E02002067,17.8,43.1,30.2,8.9
E02002069,32.8,41.1,20.1,6
E02002070,43.3,39.4,13.2,4.1
E02002071,27.5,41.9,23.3,7.2
E02002072,24.4,44.3,23.5,7.7
E02002073,29.6,40.3,23.3,6.9
E02002081,18.9,39.5,30.8,10.8
E02002082,32.8,43.5,18.1,5.6
E02002083,14.8,35.4,35.1,14.7
E02002084,29.9,43.8,20.4,5.9
E02002085,27.3,42.2,23.2,7.3
E02002110,14.7,39.2,33.2,12.8
E02002111,26.2,40.7,24.3,8.8
E02002112,17.8,37,33.5,11.6
E02002113,19.2,39.8,30.3,10.7
E02002114,18.1,41.7,29.7,10.6
E02002115,27.3,40,24.1,8.6
E02002116,13,38.5,35.5,13
E02002117,25.6,37.8,26.4,10.1
E02002118,31.5,41.3,21.7,5.4
E02002119,16.8,39.7,30.5,13
E02002120,13.6,37.8,34.9,13.6
E02002121,33,41.5,19.3,6.2
E02002122,28.1,42.7,22.7,6.5
E02002123,23.2,41.6,25.9,9.2
E02002124,24.5,40.7,25.4,9.4
E02002125,21.8,43.3,26.7,8.2
E02002126,39.2,41.2,15.6,4
E02002127,31,43.9,19.5,5.6
E02002128,23.1,44,24.7,8.2
E02002129,18.5,42.3,29.4,9.8
E02002130,29.2,45.6,19.7,5.5
E02002131,10.9,35,36.7,17.5
E02002132,29.3,42.1,22.2,6.4
E02002133,31,39.2,21.7,8.1
E02002134,27.4,42.9,22.8,6.9
E02002135,37,43.1,15.4,4.5
E02002136,29.6,40.3,21.9,8.2
E02002137,11.3,34.6,39,15.2
E02002138,19.5,39.1,26.7,14.7
E02002139,46.7,34.2,13.8,5.3
E02002140,33.2,43.4,18.1,5.4
E02002141,8.9,38.3,38.1,14.8
E02002142,31.5,41.5,20.8,6.1
E02002143,34.2,41.7,18,6.1
E02002144,10.4,33.7,36.3,19.7
E02002145,31.9,42.1,19.7,6.2
E02002146,21,40.5,26.9,11.6
E02002147,28.9,42,22.6,6.4
E02002148,14.8,40.3,33,11.9
E02002149,22.9,44,26.1,7
E02002150,23.4,40.5,26.8,9.3
E02002151,27.9,44.4,20.7,7
E02002152,31.6,40.1,21.5,6.8
E02002153,27.4,41.5,23.3,7.7
E02002154,20.6,43.2,28.9,7.4
E02002155,34.9,44.2,16.9,4
E02002156,23,40,26.7,10.2
E02002157,15.1,40.4,32.1,12.3
E02002158,28.5,40.8,23.4,7.3
E02002159,34.7,42.7,17.3,5.3
E02002160,20.6,42.2,27.5,9.8
E02002161,30.6,42.7,21,5.6
E02002162,17.5,41,30.8,10.6
E02002163,44,39.3,13.2,3.5
E02002164,50.1,34.7,11.3,3.9
E02002165,40.2,40,15.1,4.7
E02002166,34.2,43.1,17.5,5.2
E02002167,16.5,41.2,31.3,11
E02002168,48.7,37.3,10.7,3.3
E02002169,14.3,40.5,32.6,12.6
E02002170,26.4,40.4,23.4,9.8
E02002171,28.7,44.3,21.4,5.5
E02002174,17.5,40.3,29.8,12.4
E02002175,38.4,38.1,18,5.6
E02002176,24.9,39.6,25.7,9.7
E02002177,30.8,43.3,21,4.9
E02002178,14.8,39.8,28.8,16.6
E02002179,14.3,38.7,34.6,12.3
E02002180,24.1,39.9,27.1,8.8
