areacd,heating_type_3a-001,heating_type_3a-002
E02001678,0.5,99.5
E02001679,1.2,98.8
E02001680,1.2,98.8
E02001681,0.6,99.4
E02001827,0.8,99.2
E02001828,1.1,98.9
E02001829,0.6,99.4
E02001830,1,99
E02001831,1.4,98.6
E02001832,1.5,98.5
E02001833,1.2,98.8
E02001834,2.7,97.3
E02001835,2.2,97.8
E02001836,1.2,98.8
E02001837,2.8,97.2
E02001838,1.1,98.9
E02001839,2.7,97.3
E02001840,1.8,98.2
E02001841,1.1,98.9
E02001842,2.1,97.9
E02001843,2.5,97.5
E02001844,2.3,97.7
E02001845,2.8,97.2
E02001846,3,97
E02001847,1.3,98.7
E02001848,2.5,97.5
E02001849,4.1,95.9
E02001850,2,98
E02001851,1.4,98.6
E02001852,2.6,97.4
E02001855,1.2,98.8
E02001856,3.9,96.1
E02001857,3.4,96.6
E02001858,3.4,96.6
E02001859,2.6,97.4
E02001860,2.3,97.7
E02001861,2.5,97.5
E02001862,2,98
E02001863,2.7,97.3
E02001865,2.1,97.9
E02001866,2,98
E02001867,2.7,97.3
E02001868,1.6,98.4
E02001869,3.4,96.6
E02001870,2.5,97.5
E02001871,1.7,98.3
E02001872,1.8,98.2
E02001873,3.5,96.5
E02001874,2.3,97.7
E02001875,3.5,96.5
E02001876,3.7,96.3
E02001877,2,98
E02001878,2.3,97.7
E02001879,2.8,97.2
E02001880,2.6,97.4
E02001881,2.6,97.4
E02002000,2,98
E02002001,1.5,98.5
E02002002,0.9,99.1
E02002003,1.8,98.2
E02002004,1.3,98.7
E02002005,1.3,98.7
E02002006,1.5,98.5
E02002007,1.2,98.8
E02002008,1.1,98.9
E02002009,1.6,98.4
E02002010,1.8,98.2
E02002011,1.1,98.9
E02002012,2.6,97.4
E02002013,0.9,99.1
E02002014,1.9,98.1
E02002015,1,99
E02002016,2.2,97.8
E02002017,2.5,97.5
E02002018,1,99
E02002019,2.6,97.4
E02002020,1.8,98.2
E02002043,1.5,98.5
E02002044,1.4,98.6
E02002045,1.5,98.5
E02002046,1.6,98.4
E02002047,2.1,97.9
E02002048,1.9,98.1
E02002049,1.8,98.2
E02002051,1.7,98.3
E02002052,1.6,98.4
E02002053,1.7,98.3
E02002054,2.1,97.9
E02002055,1.8,98.2
E02002056,1.6,98.4
E02002057,1.9,98.1
E02002058,1.4,98.6
E02002059,2.4,97.6
E02002060,2,98
E02002061,2,98
E02002062,1.9,98.1
E02002063,1.9,98.1
E02002064,1.9,98.1
E02002065,1.9,98.1
E02002066,1.8,98.2
E02002067,1.4,98.6
E02002069,2.4,97.6
E02002070,1.8,98.2
E02002071,1.4,98.6
E02002072,1.6,98.4
E02002073,1.7,98.3
