areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E02001678,34.2,65.8
E02001679,35.1,64.9
E02001680,36.7,63.3
E02001681,32.3,67.7
E02001827,27.9,72.1
E02001828,30.4,69.6
E02001829,28.4,71.6
E02001830,29.1,70.9
E02001831,27.8,72.2
E02001832,27.9,72.1
E02001833,27.4,72.6
E02001834,30.3,69.7
E02001835,25.4,74.6
E02001836,27,73
E02001837,32.5,67.5
E02001838,27.8,72.2
E02001839,28.7,71.3
E02001840,31.3,68.7
E02001841,27.6,72.4
E02001842,28.2,71.8
E02001843,28,72
E02001844,25.7,74.3
E02001845,27.3,72.7
E02001846,31.5,68.5
E02001847,28.7,71.3
E02001848,33.3,66.7
E02001849,29,71
E02001850,32.2,67.8
E02001851,27.5,72.5
E02001852,30.6,69.4
E02001855,30.8,69.2
E02001856,32.6,67.4
E02001857,30.3,69.7
E02001858,31.7,68.3
E02001859,43.9,56.1
E02001860,39.5,60.5
E02001861,41.6,58.4
E02001862,36.7,63.3
E02001863,45.7,54.3
E02001865,41.4,58.6
E02001866,47.3,52.7
E02001867,47.2,52.8
E02001868,39.9,60.1
E02001869,49.5,50.5
E02001870,44.1,55.9
E02001871,30,70
E02001872,28.7,71.3
E02001873,39.5,60.5
E02001874,46.6,53.4
E02001875,37.5,62.5
E02001876,50.9,49.1
E02001877,48.4,51.6
E02001878,42.4,57.6
E02001879,37.6,62.4
E02001880,35,65
E02001881,45.2,54.8
E02002000,31,69
E02002001,28.7,71.3
E02002002,28.6,71.4
E02002003,29.2,70.8
E02002004,29.4,70.6
E02002005,30.9,69.1
E02002006,29.5,70.5
E02002007,29.7,70.3
E02002008,27.4,72.6
E02002009,33.9,66.1
E02002010,28.8,71.2
E02002011,29.3,70.7
E02002012,30.1,69.9
E02002013,30.7,69.3
E02002014,31.5,68.5
E02002015,27.2,72.8
E02002016,32.5,67.5
E02002017,29.6,70.4
E02002018,30.8,69.2
E02002019,30.8,69.2
E02002020,27.9,72.1
E02002043,30.1,69.9
E02002044,28.8,71.2
E02002045,28.3,71.7
E02002046,32.7,67.3
E02002047,30.5,69.5
E02002048,27.4,72.6
E02002049,28.5,71.5
E02002051,29.8,70.2
E02002052,30.5,69.5
E02002053,29.8,70.2
E02002054,27,73
E02002055,29.9,70.1
E02002056,30.3,69.7
E02002057,30,70
E02002058,27.8,72.2
E02002059,29.6,70.4
E02002060,31.8,68.2
E02002061,35.1,64.9
E02002062,33.1,66.9
E02002063,27.9,72.1
E02002064,27.7,72.3
E02002065,37.4,62.6
E02002066,31.9,68.1
E02002067,27.6,72.4
E02002069,26,74
E02002070,35.4,64.6
E02002071,28.9,71.1
E02002072,28.1,71.9
E02002073,32.6,67.4
E02002081,28.7,71.3
E02002082,29.6,70.4
E02002083,28.5,71.5
E02002084,28.6,71.4
E02002085,27.4,72.6
E02002110,27.5,72.5
E02002111,29.2,70.8
E02002112,28.3,71.7
E02002113,29.5,70.5
E02002114,27.6,72.4
E02002115,29.1,70.9
E02002116,27,73
E02002117,28.8,71.2
E02002118,30,70
E02002119,29.3,70.7
E02002120,29.1,70.9
E02002121,30.8,69.2
E02002122,30.4,69.6
E02002123,27.4,72.6
E02002124,30.4,69.6
E02002125,28.5,71.5
E02002126,30.2,69.8
E02002127,30.2,69.8
E02002128,26.6,73.4
E02002129,26.9,73.1
E02002130,32.3,67.7
E02002131,30.1,69.9
E02002132,31.6,68.4
E02002133,27.8,72.2
E02002134,28.8,71.2
E02002135,32.5,67.5
E02002136,28.2,71.8
E02002137,29.8,70.2
E02002138,31.7,68.3
E02002139,35.9,64.1
E02002140,37.2,62.8
E02002141,26.8,73.2
E02002142,35.5,64.5
E02002143,46.5,53.5
E02002144,28.8,71.2
E02002145,30,70
E02002146,36.1,63.9
E02002147,27.2,72.8
E02002148,28.1,71.9
E02002149,28.1,71.9
E02002150,28.4,71.6
E02002151,28.6,71.4
E02002152,31.6,68.4
E02002153,29.9,70.1
E02002154,23.6,76.4
E02002155,37.3,62.7
E02002156,28.5,71.5
E02002157,28.8,71.2
E02002158,29.4,70.6
E02002159,31.9,68.1
E02002160,26.6,73.4
E02002161,29,71
E02002162,29.4,70.6
E02002163,28.5,71.5
E02002164,34.1,65.9
E02002165,27.7,72.3
E02002166,29.3,70.7
E02002167,28.9,71.1
E02002168,32.6,67.4
E02002169,27.5,72.5
E02002170,29.5,70.5
E02002171,28.9,71.1
E02002174,28.3,71.7
E02002175,29.8,70.2
E02002176,29.6,70.4
E02002177,26.4,73.6
E02002178,27.6,72.4
E02002179,28.6,71.4
E02002180,28.5,71.5
E02002181,26.7,73.3
E02002182,28.4,71.6
E02002586,29.3,70.7
E02002587,25.3,74.7
E02002588,31.3,68.7
E02002589,26.2,73.8
E02002796,30,70
E02002797,29.1,70.9
E02002798,26.9,73.1
E02002799,29.5,70.5
E02002800,30,70
E02002801,27.6,72.4
E02002802,31.5,68.5
E02002803,34.9,65.1
E02002804,29.1,70.9
E02002806,33.7,66.3
E02002807,29.8,70.2
E02002808,29.6,70.4
E02002810,27.5,72.5
E02002811,36.9,63.1
E02002812,29.5,70.5
E02002813,35.7,64.3
E02002814,30.1,69.9
E02002815,36.5,63.5
E02002816,29.6,70.4
E02002817,31.8,68.2
E02002818,33.7,66.3
E02002819,23.6,76.4
E02002820,29.3,70.7
E02002821,29.7,70.3
E02002822,30.7,69.3
E02002823,30.6,69.4
E02002824,29,71
E02002825,27.1,72.9
E02002826,28,72
E02002928,31.2,68.8
E02002929,30.6,69.4
E02002930,29.6,70.4
E02002931,26.4,73.6
E02002932,27.4,72.6
E02002933,26.6,73.4
E02002934,26.3,73.7
E02002935,26.3,73.8
E02002936,22.2,77.8
E02002937,27.2,72.8
E02002938,29.3,70.7
E02002939,26.9,73.1
E02002940,23.9,76.1
E02002941,26,74
E02002942,24.4,75.6
E02002944,26.8,73.2
E02002945,25.2,74.8
E02002946,27,73
E02002947,29.2,70.8
E02002948,28.2,71.8
E02002949,27.2,72.8
E02002950,28.7,71.3
E02002951,27.2,72.8
E02002952,24.9,75.1
E02002953,29.4,70.6
E02002954,29.2,70.8
E02002955,32.8,67.2
E02002956,30.8,69.2
E02002957,28,72
E02002958,25.7,74.3
E02002959,28.5,71.5
E02002960,30,70
E02002961,30.2,69.8
E02002962,29.2,70.8
E02002963,28.5,71.5
E02002964,30.1,69.9
E02002965,35.3,64.7
E02002966,33.1,66.9
E02002967,28.4,71.6
E02002968,26,74
E02002969,28.1,71.9
E02002970,26.7,73.3
E02002973,26.6,73.4
E02002974,28,72
E02002975,25.6,74.4
