areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02001678,9.3,31.4,3.6,53.7,2
E02001679,20.4,42.5,6.7,27.5,2.8
E02001680,26.2,45,6.9,19,2.9
E02001681,11.1,34.9,4.4,47.2,2.3
E02001827,14,37.7,4.1,41.8,2.3
E02001828,15.8,36.1,4.2,41.3,2.7
E02001829,10.5,36.7,4.4,46.3,2.1
E02001830,11.2,33.6,3.7,49.4,2.1
E02001831,19.7,41.9,5.2,30.7,2.5
E02001832,14,37.2,4.8,41.9,2
E02001833,17.6,41,6.8,32.2,2.4
E02001834,25.4,45.4,6,20.8,2.4
E02001835,13.3,34.3,3.1,46.9,2.3
E02001836,15.5,36.1,4.3,41.7,2.4
E02001837,31.9,42.3,4.6,18.5,2.8
E02001838,14.9,40.6,4.9,37.2,2.3
E02001839,25.3,43.3,5.5,22.8,3.1
E02001840,28.4,42.2,4.7,21.5,3.2
E02001841,14.2,33.3,4.3,45.9,2.4
E02001842,20.2,41.7,4.8,30.3,3.1
E02001843,24.8,44.7,5.8,21.5,3.1
E02001844,20.4,35.4,4.7,37.2,2.3
E02001845,20.3,45,5.7,26.8,2.2
E02001846,27.2,40.6,5.1,24.1,3
E02001847,20.3,39.8,6.2,30.7,3
E02001848,28.1,41.6,5,21.7,3.6
E02001849,21.4,40.4,4.8,30.2,3.1
E02001850,22.2,39.9,4,30.8,3.2
E02001851,24.1,40.7,4.9,27.7,2.6
E02001852,24.7,41.8,5.1,25.1,3.4
E02001855,31.3,44.4,5.1,16.5,2.7
E02001856,26.4,39.9,4.5,25.9,3.3
E02001857,27.8,38.4,4.2,26.5,3.1
E02001858,23.5,38.2,2.9,32.2,3.2
E02001859,33.1,39,3,21.7,3.3
E02001860,31.2,38,3.6,22.1,5.1
E02001861,30.1,39.9,3.5,23.3,3.3
E02001862,30.4,38.3,4.1,22.5,4.6
E02001863,37.5,37.9,2.8,18.7,3.2
E02001865,35.7,36.9,3.2,19.5,4.6
E02001866,34.4,40.3,2.3,19.5,3.5
E02001867,33.5,39.7,2.6,20.8,3.4
E02001868,26.3,41.5,3,26.4,2.9
E02001869,32.8,39,3.2,21.3,3.6
E02001870,31.8,41.3,3.1,20.1,3.7
E02001871,29.2,43,4.5,20.4,2.9
E02001872,29.3,45.8,4.7,17.8,2.4
E02001873,30.5,37.1,3.3,24.6,4.4
E02001874,36.2,40.6,2.5,17.4,3.3
E02001875,26.8,36.4,3.3,30,3.6
E02001876,12.4,58.3,1.5,25.7,2.1
E02001877,37.4,39.2,1.9,18.4,3.1
E02001878,31.8,39.9,2.1,22.6,3.6
E02001879,31.5,37.2,3.5,24.8,3.1
E02001880,30.2,41.8,3.9,20.7,3.4
E02001881,35.3,39.8,2.8,18.3,3.8
E02002000,28.7,43.6,6.4,18.1,3.2
E02002001,23.9,44.2,6.2,23,2.6
E02002002,20.6,40.3,7.5,28.3,3.3
E02002003,26.4,43.7,6.7,20,3.2
E02002004,27.4,43.4,6.2,20.5,2.6
E02002005,27.7,42.5,5.9,21,3
E02002006,26.3,44,6.6,20.6,2.6
E02002007,24.8,42.6,7.3,22.2,3.2
E02002008,15.6,45,6.1,31.2,2.2
E02002009,30.6,39.5,3.9,21.7,4.2
E02002010,27.6,40.5,4.9,23.7,3.4
E02002011,19.1,44.2,6.8,27.1,2.7
E02002012,30.3,41.3,5.1,19.9,3.4
E02002013,19.5,41.4,6.7,29.5,2.9
E02002014,27.1,41.6,5.5,22.6,3.2
E02002015,21.7,45.5,6.3,24.2,2.3
E02002016,32,43.5,5.1,16.3,3.1
E02002017,29.3,42.7,5.9,19,3.1
E02002018,18.4,42.5,6.8,29.4,2.9
E02002019,30,44.2,5.5,17.1,3.2
E02002020,20,44.4,7,26,2.7
E02002043,28.5,43,5.1,20.3,3.1
E02002044,23.1,43.3,3.9,26.6,3.2
E02002045,29.2,43,6,19.2,2.6
E02002046,38.3,41.5,4.5,12.7,2.9
E02002047,33.5,38.7,5.5,18.1,4.2
E02002048,20.5,39.3,5.4,31.8,2.9
E02002049,28.3,43.6,6.4,18.5,3.2
E02002051,35.9,41.4,5,15.3,2.4
E02002052,30.9,40.4,5.1,19.5,4.2
E02002053,24.5,40.4,5.1,26.7,3.4
E02002054,23.4,39.9,5.2,27.6,4
E02002055,31,38.5,4.8,20.9,4.8
E02002056,32.8,41.8,5.3,16.9,3.2
E02002057,31.2,40.7,4.6,20.5,3
E02002058,29.1,39.7,4.2,23.1,3.9
E02002059,29.2,38.5,4.7,23,4.5
E02002060,34.6,36.2,4.3,19.5,5.5
E02002061,34.8,36.2,4.1,20.3,4.6
E02002062,33,35.4,4.6,21.9,5.1
E02002063,26.5,40.1,4.1,25.6,3.7
E02002064,25.8,44.4,5.7,21.1,3.1
E02002065,34.5,35.2,2.9,21.9,5.5
E02002066,33,36.9,4.3,21.3,4.5
E02002067,26,43.5,5.6,21.2,3.7
