areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02001678,28.2,37.7,13.8,20.4
E02001679,37.9,31.6,13.9,16.6
E02001680,43.8,27.5,15.3,13.4
E02001681,30.8,36.9,13.8,18.6
E02001827,27.9,33.4,15.1,23.5
E02001828,33.5,32.8,13.6,20.1
E02001829,23.1,33.5,15.9,27.5
E02001830,25.9,38.1,14.4,21.6
E02001831,31.6,30.4,17,21.1
E02001832,30.2,34.4,16.1,19.3
E02001833,22,34.2,18.7,25.1
E02001834,27.5,29.4,18.8,24.3
E02001835,34.4,31.6,15.3,18.6
E02001836,25.9,35,17.5,21.6
E02001837,29.6,25.5,18.1,26.8
E02001838,26.5,37.2,16.1,20.2
E02001839,34.5,30.1,17.9,17.5
E02001840,33.9,24.7,17.2,24.2
E02001841,24,38.2,15.5,22.4
E02001842,26.7,30.7,18.9,23.7
E02001843,31.9,31.8,18.5,17.8
E02001844,40.3,30.7,13.6,15.3
E02001845,28.9,28.7,20.6,21.7
E02001846,33.5,26.7,16.5,23.3
E02001847,28,36.2,15.9,20
E02001848,25.5,26.9,18.6,29
E02001849,35.1,28.3,16.8,19.8
E02001850,26.1,26,16.2,31.8
E02001851,33.7,30.3,16.5,19.4
E02001852,35.9,25.9,14.6,23.7
E02001855,35.2,27.8,17.2,19.8
E02001856,30.9,26,15.8,27.3
E02001857,39.6,25,13.8,21.6
E02001858,41.3,20,12,26.6
E02001859,21.5,18.5,13.8,46.1
E02001860,25.5,19.8,15.8,38.9
E02001861,30,16.8,13.9,39.3
E02001862,25,21.1,16.2,37.7
E02001863,28,15.2,13.5,43.3
E02001865,22.9,19.4,14.5,43.2
E02001866,29.1,16.6,12.8,41.6
E02001867,30.4,14.9,12.7,42
E02001868,17.6,19.1,12.7,50.6
E02001869,34.5,18.4,14.9,32.2
E02001870,18.1,19.3,14.5,48.2
E02001871,36.6,27,16.5,19.9
E02001872,32.9,28.6,17.8,20.7
E02001873,30.5,21.1,16.8,31.6
E02001874,20.8,15.9,13.7,49.6
E02001875,35.5,23,11.6,29.9
E02001876,42.7,24.2,11.3,21.9
E02001877,18.8,15.5,12.4,53.4
E02001878,24.2,17,14,44.7
E02001879,30.3,19.4,13.6,36.8
E02001880,24.9,23.9,18.4,32.8
E02001881,21.4,17.2,13.2,48.2
E02002000,30.3,33.1,17.9,18.7
E02002001,31.1,32.2,17.5,19.3
E02002002,28.1,39.5,15.8,16.7
E02002003,29.8,34,17.1,19.1
E02002004,28.8,32.2,18.2,20.8
E02002005,22.7,30,20.7,26.7
E02002006,33.2,32.5,18.3,16
