areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02001678,2.7,28.2,69.1
E02001679,2.9,37.8,59.3
E02001680,4.4,43.8,51.9
E02001681,2.1,30.7,67.2
E02001827,4.3,28,67.7
E02001828,3.5,33.5,62.9
E02001829,3.8,23.1,73.1
E02001830,4.8,25.9,69.3
E02001831,4.6,31.6,63.8
E02001832,4,30.1,65.8
E02001833,6.2,22,71.9
E02001834,6.1,27.5,66.4
E02001835,4.2,34.4,61.4
E02001836,5.5,25.9,68.6
E02001837,8.7,29.6,61.7
E02001838,4.1,26.5,69.4
E02001839,5.6,34.4,60
E02001840,7.3,33.9,58.8
E02001841,5.6,23.9,70.5
E02001842,7.7,26.7,65.6
E02001843,6.2,31.8,62
E02001844,5.1,40.3,54.6
E02001845,5.5,29,65.5
E02001846,8.3,33.5,58.2
E02001847,4.5,27.9,67.6
E02001848,8.2,25.6,66.3
E02001849,6.9,35.1,57.9
E02001850,11.8,26.1,62.1
E02001851,6.1,33.7,60.2
E02001852,11,35.8,53.2
E02001855,6.1,35.2,58.8
E02001856,13,30.9,56.1
E02001857,11,39.6,49.4
E02001858,11.9,41.3,46.7
E02001859,18.9,21.5,59.7
E02001860,16.8,25.5,57.7
E02001861,15.6,30,54.4
E02001862,14.5,25,60.5
E02001863,17.1,28,54.8
E02001865,20,22.9,57.1
E02001866,18.3,29.1,52.6
E02001867,14.7,30.4,54.9
E02001868,17.8,17.6,64.6
E02001869,8.8,34.4,56.8
E02001870,14.2,18.1,67.7
E02001871,5.6,36.6,57.8
E02001872,6.4,32.8,60.8
E02001873,12.8,30.5,56.7
E02001874,16.3,20.9,62.8
E02001875,11.6,35.5,52.9
E02001876,10.7,42.7,46.7
E02001877,18.4,18.8,62.9
E02001878,18.8,24.2,57.1
E02001879,16.9,30.3,52.8
E02001880,8.7,24.9,66.4
E02001881,14.6,21.3,64.1
E02002000,3.7,30.4,66
E02002001,4.8,31.1,64.1
E02002002,3.4,28.1,68.6
E02002003,4.5,29.8,65.7
E02002004,4.3,28.8,66.9
E02002005,6.4,22.6,71
E02002006,3.9,33.2,62.9
E02002007,3,30.8,66.2
E02002008,4.7,21,74.4
E02002009,7.5,28.2,64.3
E02002010,7,41.3,51.7
E02002011,3.2,29.2,67.6
E02002012,4.7,35.8,59.5
E02002013,2.9,27.5,69.6
E02002014,9.2,30.7,60.1
E02002015,4,26.9,69.1
E02002016,4.4,30.6,65
E02002017,5.1,34,60.9
E02002018,2.8,24.7,72.5
E02002019,5,25.9,69.1
E02002020,3.4,30.8,65.8
E02002043,6.7,24.9,68.4
E02002044,9,23.8,67.2
E02002045,5.3,29.9,64.8
E02002046,6.3,22.5,71.2
E02002047,6.3,33.5,60.1
E02002048,8.3,27.1,64.6
E02002049,5.6,26.1,68.3
E02002051,6.5,23.2,70.3
E02002052,8.4,26.5,65.2
E02002053,6.7,29.3,63.9
E02002054,6.8,28.8,64.3
E02002055,9.9,28.5,61.6
E02002056,5.8,30.1,64.2
E02002057,7.8,34.8,57.4
E02002058,10.1,28.9,61
E02002059,9.6,34.6,55.8
E02002060,8.9,28.1,63
E02002061,14.9,31.5,53.7
E02002062,11,35,54
E02002063,8.4,30.4,61.2
E02002064,6,25.4,68.7
E02002065,19.2,19.6,61.2
E02002066,10.9,30.1,59
E02002067,4.9,24.7,70.4
E02002069,5.1,36,58.8
E02002070,13.1,32.2,54.8
E02002071,5.4,28.1,66.5
E02002072,7.9,32.6,59.5
E02002073,9.6,24.7,65.7
E02002081,4.9,31.5,63.5
E02002082,7,29.1,63.9
E02002083,4.9,23.8,71.4
E02002084,5.4,30.1,64.5
E02002085,6,27.7,66.3
E02002110,4.8,26,69.2
E02002111,4.2,33.3,62.6
E02002112,3.5,25.8,70.7
E02002113,4.9,28.6,66.5
E02002114,4.2,31.1,64.7
E02002115,4.4,30.1,65.5
E02002116,3.1,27.3,69.7
E02002117,3.7,34.2,62.2
E02002118,5.1,29.2,65.7
E02002119,5.9,25.4,68.7
E02002120,4.6,20.9,74.4
E02002121,5.6,28.8,65.7
E02002122,6.5,22,71.5
E02002123,5.1,27.5,67.4
E02002124,3.5,36.5,60
E02002125,4.6,30.6,64.8
E02002126,5.5,31.3,63.2
E02002127,9.2,25.3,65.5
E02002128,5,31.1,63.9
E02002129,3.7,28.6,67.7
E02002130,6.9,26.4,66.7
E02002131,3.9,25.5,70.6
E02002132,5.4,27.8,66.8
E02002133,6.9,39.8,53.2
E02002134,7,27.5,65.5
E02002135,9.9,31,59.1
E02002136,7.4,31.1,61.5
E02002137,4.2,28.3,67.5
E02002138,11.1,28.2,60.7
E02002139,8.5,40.4,51
E02002140,9.8,26.5,63.7
E02002141,5,24.1,70.9
E02002142,7.8,26.1,66.1
E02002143,12.3,22.2,65.5
E02002144,12,23.6,64.4
E02002145,6.1,29,64.8
E02002146,10.8,23.9,65.3
E02002147,6.3,25.4,68.3
E02002148,4.7,26.8,68.5
E02002149,5.1,29.5,65.4
E02002150,7,26.1,66.9
E02002151,4.4,36.5,59
E02002152,7.2,25,67.8
E02002153,3.6,33.5,62.9
