areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02001678,5.1,1.3,3.4,88.8,1.4
E02001679,3.4,4.7,3.5,87.6,0.9
E02001680,4.3,7.5,5,81,2.2
E02001681,4,1.8,2.7,90.8,0.7
E02001827,13.2,2.1,3.5,78.7,2.5
E02001828,9.1,1.9,2.7,85.2,1.1
E02001829,12.7,1.8,2.7,80.9,2
E02001830,14.2,1.9,2.5,79.7,1.7
E02001831,7.7,4.6,5.2,81.2,1.3
E02001832,7.5,2.8,3.3,84.7,1.7
E02001833,14,4.5,4.2,75.4,1.9
E02001834,7.3,7.1,4.8,79.4,1.4
E02001835,8.1,2.2,3.7,84.3,1.7
E02001836,14.9,4.5,3.6,74.8,2.2
E02001837,10.3,11.2,4.7,72,1.8
E02001838,8.6,2.2,2.1,85.6,1.6
E02001839,12.3,8.4,3.9,73.7,1.7
E02001840,12.2,14.8,6.7,64.3,2
E02001841,15.1,2.4,2.8,77.1,2.5
E02001842,27.9,13.1,5,51,2.9
E02001843,12.4,8.7,4.4,72.7,1.9
E02001844,7.8,5.3,4.4,80.8,1.6
E02001845,17,10.4,4.9,65.3,2.4
E02001846,14.1,12.4,6.5,64,3
E02001847,7.5,2.9,3.7,84.4,1.5
E02001848,20.3,22.6,5.7,48.2,3.2
E02001849,12.7,18.7,6.6,59.8,2.2
E02001850,43.1,16.5,5,30.6,4.8
E02001851,12.2,10.2,5.9,69.2,2.6
E02001852,23.3,15.2,5.6,53,2.9
E02001855,2.6,8.1,8.6,79.6,1.1
E02001856,31.8,17.8,6,40.2,4.2
E02001857,25.6,17.5,6,47,3.9
E02001858,44.1,23.1,4.9,22.5,5.4
E02001859,69.2,15.4,2.6,9.6,3.3
E02001860,54.6,18.7,3.9,15.9,6.9
E02001861,56.7,25.7,3.9,8.9,4.8
E02001862,55.1,20.1,4.2,12.8,7.9
E02001863,66.6,16.8,2.5,9.7,4.4
E02001865,63.8,18.4,3.1,7.9,6.8
E02001866,67,18.2,3.3,7.6,3.8
E02001867,55.1,28.6,3.5,7.6,5.3
E02001868,70,3.2,2.6,19.7,4.5
E02001869,22.1,46.7,6.5,17.7,6.9
E02001870,64.4,8.4,2.7,19.4,5.1
E02001871,16.6,7.7,6.4,67.2,2.1
E02001872,5.9,6.5,7.3,79.2,1.1
E02001873,38.7,29.6,6,18.5,7.2
E02001874,70.1,11.8,3.1,9.8,5.2
E02001875,33.1,36,4.5,20.3,6
E02001876,26.7,35.1,5.1,27.5,5.6
E02001877,73.8,11,2.5,7.3,5.5
E02001878,58.3,21.2,3.6,8.9,8.1
E02001879,45.8,22.9,4.8,19.5,7.1
E02001880,31.2,10.2,6.1,49.1,3.4
E02001881,66.6,8.3,3,15.1,7
E02002000,5.4,4.4,3.7,85.3,1.2
E02002001,2.9,1.1,2.1,93.5,0.3
E02002002,2.7,0.8,1.6,94.4,0.5
E02002003,4.2,1.8,2.7,90.6,0.8
E02002004,3.7,3.5,3.1,89.2,0.5
E02002005,9,8,5,77,1
E02002006,2.7,2,3.9,91,0.4
E02002007,0.8,0.9,1.8,96.3,0.2
E02002008,11.4,3.4,2.7,81.6,0.9
E02002009,31.9,8.7,5.2,49.9,4.3
E02002010,27.7,11.3,4.4,54,2.7
E02002011,2.6,0.5,1.4,95,0.5
E02002012,12.5,4,3.7,78.3,1.4
E02002013,1.6,0.4,2,95.6,0.3
E02002014,26.8,7.9,4.1,58.4,2.9
E02002015,4.4,0.8,2,92.4,0.4
E02002016,6.2,2.6,3.4,86.9,0.8
E02002017,14.9,4,3.8,75.6,1.7
E02002018,1.8,0.3,1.5,96,0.4
E02002019,7.9,2.4,4,84.3,1.4
E02002020,1.8,0.4,1.6,96,0.2
E02002043,16.2,3.2,3.2,75.9,1.5
E02002044,30.1,8.8,5,52.6,3.5
E02002045,11.8,4.3,2.8,79.7,1.5
E02002046,6.4,6.7,4.5,81.2,1.1
E02002047,18.3,3.1,2.7,74.3,1.6
E02002048,29.9,5.3,3.2,57.8,3.9
E02002049,7.6,6.4,3.3,81.7,1
E02002051,8.4,6.6,3.1,80.5,1.5
E02002052,20.2,11.2,4.5,61.3,2.8
E02002053,23.9,14.3,5.5,52.8,3.5
E02002054,29,12.4,4.8,49.8,4.1
E02002055,29,9.4,3.5,53.3,4.8
E02002056,8.6,6.6,4,79.9,0.9
E02002057,27.1,6.1,3.3,60.6,2.9
E02002058,32.8,8.8,3.5,51,4
E02002059,37,7.7,3.8,44.8,6.6
E02002060,34.5,8.7,4.5,46.3,6
E02002061,48.9,7.8,3,33,7.2
E02002062,42.2,12.3,5.1,34.2,6.1
E02002063,32.9,11.2,4.4,46.8,4.6
E02002064,12.9,7.2,4.9,72.6,2.4
E02002065,64.1,10.4,3.1,14.2,8.2
E02002066,47.6,8.9,4.5,33.4,5.5
E02002067,7.5,4.5,3.3,82.5,2.1
E02002069,15.1,8.4,5.5,68.2,2.9
E02002070,44.5,16.8,5.2,26.7,6.8
E02002071,6.6,4.1,4.3,83.7,1.3
E02002072,23.8,9.2,4.8,58.1,4
E02002073,29.5,9,6.5,50.4,4.6
E02002081,9,2.7,3.9,83.6,0.9
E02002082,1.8,5.3,6.3,85.9,0.8
E02002083,7.6,1.5,3,87.3,0.7
E02002084,3.5,4.5,5.4,85.7,1
E02002085,3.7,3.5,5.3,87.2,0.3
E02002110,2.8,1.6,2,92.6,0.9
E02002111,2.1,1.8,2.1,93.7,0.3
E02002112,1.4,1.2,1.6,95.5,0.2
E02002113,3.6,2.1,2.6,91,0.7
E02002114,2.5,1.3,1.9,93.9,0.4
E02002115,3.3,2.4,2.8,91.3,0.3
E02002116,4,1.3,2.3,91.8,0.6
E02002117,3.1,1.8,1.9,93,0.2
E02002118,2.6,3.4,2.4,91.2,0.4
E02002119,8.5,2.6,2.4,84.9,1.6
E02002120,8.7,1.8,3.2,84.9,1.4
E02002121,4.2,5.4,3.6,86.3,0.6
E02002122,8.2,9.3,4,77.3,1.3
E02002123,9.4,2.7,3.4,83,1.6
E02002124,3.1,1.6,2.7,92.2,0.4
E02002125,6.2,4.7,3.8,84.7,0.6
E02002126,3.1,4.9,2.9,88.6,0.5
E02002127,25.6,11.4,3.6,56.8,2.7
E02002128,8.3,2.5,2.1,85.5,1.7
E02002129,9.9,1.2,2.3,84.2,2.4
E02002130,20.7,5.4,3.3,69.4,1.2
E02002131,9.4,1.5,2.1,85.6,1.4
E02002132,11.5,5,4.2,77.6,1.7
E02002133,25.1,5.9,4.8,61.1,3
E02002134,13.5,6.1,5,73.1,2.2
E02002135,43,9.2,4,39.5,4.3
E02002136,22.1,5.1,4.6,63.5,4.7
E02002137,14.2,1.2,1.7,80.8,2.1
E02002138,48.2,3.3,3.3,39.7,5.6
E02002139,38.3,10.7,4.5,42.8,3.8
E02002140,51.1,9.3,3.9,32,3.7
E02002141,15.1,1.6,2.6,78.2,2.4
E02002142,34.5,7.2,7,50,1.3
E02002143,70.1,5.7,2.5,18,3.7
E02002144,48.6,2.7,2.3,36.7,9.7
E02002145,18.1,7.3,5.1,68.2,1.2
E02002146,46.6,4.6,3.2,42.1,3.5
E02002147,12.8,5.6,3.9,76.6,1.1
E02002148,11,3.3,2.9,81.2,1.6
E02002149,5.4,6.3,5.4,81.5,1.4
E02002150,11.8,8.7,6,72.3,1.3
E02002151,8.7,9.6,7.2,73.1,1.4
E02002152,5.5,9.9,6.7,76.8,1.2
E02002153,3.4,3.2,3.5,89.4,0.5
E02002154,18.8,12.1,6.4,60.7,2
E02002155,6.1,16.2,8.7,66.8,2.2
E02002156,14.8,5.6,4.9,72,2.7
E02002157,19,4.9,4,70.4,1.8
E02002158,10.1,3.9,4.2,79.9,1.9
E02002159,16.6,18.3,6.1,54.7,4.2
E02002160,22.2,4.4,3.8,66.5,3.2
E02002161,32.4,15.3,5.7,38.3,8.4
E02002162,21.2,3.2,3.6,68.9,3
E02002163,19.2,19.2,7.1,49.3,5.1
E02002164,30.6,20.1,5.2,34.9,9.2
E02002165,24.7,11.6,5.4,51.7,6.6
E02002166,15.8,12,6.4,63.4,2.5
E02002167,14.4,3.4,4.6,75.6,1.9
E02002168,30,19.1,6.1,40,4.8
E02002169,26.5,3.5,3.7,63.8,2.5
E02002170,20.7,5.6,5.1,66,2.5
E02002171,19.3,6.4,6.1,65.7,2.5
E02002174,30.7,4.9,4.6,56.7,3.2
E02002175,21.3,9.2,5.7,60.7,3.1
E02002176,12.4,4.5,6.8,74.4,1.9
E02002177,29.7,14,6.9,45,4.5
E02002178,50.6,5.5,3.1,32.3,8.6
E02002179,23.4,4.2,4.5,65.4,2.6
E02002180,24.7,5.8,3.4,61.9,4.2
E02002181,10.8,6.3,4.5,77,1.4
E02002182,21.2,5,4.7,66,3.1
E02002586,0.9,0.3,1.2,97.3,0.3
E02002587,0.7,0.2,1.8,96.6,0.7
E02002588,1,0.3,2,96.3,0.5
E02002589,0.8,0.2,0.7,98.2,0.1
E02002796,3.7,0.9,1.8,93.3,0.4
E02002797,2.8,0.5,1.7,94.4,0.7
E02002798,3.4,1.3,2,92.9,0.5
E02002799,3.3,2.2,3.3,90.7,0.6
E02002800,3.2,1.6,3.1,91.5,0.6
E02002801,1.5,1.2,2.2,94.7,0.4
E02002802,2.9,2.5,2.9,90.5,1.1
E02002803,5.8,4.7,4,83.9,1.5
E02002804,3.1,3.3,3.4,89.4,0.8
E02002806,4,5.6,3.9,84,2.5
E02002807,1.6,1.6,2.3,94,0.4
E02002808,10.1,8.2,5.4,72.4,3.9
E02002810,9.6,2.6,2.8,83.6,1.4
E02002811,46.8,5.4,4.1,35.1,8.7
E02002812,30.6,4.5,4.1,57.5,3.3
E02002813,49.9,7.3,3.9,32.9,6.1
E02002814,11.3,1.9,2.5,82.6,1.7
E02002815,54.2,7.4,5.5,25.2,7.7
E02002816,34.3,3.4,3.8,52.4,6.2
E02002817,35.5,4.2,3.4,52.4,4.6
E02002818,32.2,8.6,7.5,45.6,6.2
E02002819,5.7,3.9,3.8,85.6,1
E02002820,6.8,3.6,3.9,83.5,2.2
E02002821,10.3,6.6,4.8,74.5,3.9
E02002822,27.3,5.3,4.8,57.3,5.3
E02002823,4.3,2.4,3.6,88.9,0.8
E02002824,23.9,7.2,4.6,58.5,5.8
E02002825,10.7,3.3,3.4,80.8,1.8
E02002826,8.7,2,3.8,84.5,1.1
E02002928,2,0.3,1.1,96.1,0.5
E02002929,2.3,0.4,1,95.8,0.5
E02002930,2.6,1.1,1.9,93.9,0.5
E02002931,5.5,0.8,2.4,90.8,0.5
E02002932,2.1,4.6,3.1,89.2,0.9
E02002933,4.5,1.3,2.1,91.8,0.4
E02002934,12.1,2.6,3,80.3,2
E02002935,6.6,2,2.7,86.4,2.3
E02002936,12.7,5.1,3.9,76.2,2.1
E02002937,3,0.9,1.8,94,0.4
E02002938,21.1,4.3,3.3,69.7,1.6
E02002939,6.5,2.8,3.4,86.4,1
E02002940,1.6,1.5,2,94.6,0.3
E02002941,3,1.6,2.4,92.4,0.7
E02002942,11.3,2.1,2.8,82.3,1.6
E02002944,3.4,4.4,3.1,88.5,0.5
E02002945,6.5,6.8,2.9,82.7,1.1
E02002946,1.9,1.2,1.6,94.9,0.3
E02002947,2.3,8.3,2.4,86.3,0.6
E02002948,1.5,4.4,3.3,90.2,0.6
E02002949,1.8,0.5,2.2,95.2,0.4
E02002950,2.9,4.4,2.6,89.7,0.5
E02002951,1.6,0.9,1.4,95.6,0.5
E02002952,7.1,2,2.2,87.8,0.9
E02002953,1.7,2.6,1.7,93,1
E02002954,2.2,1.7,2.2,93.2,0.7
E02002955,31.1,3.9,2.4,59.6,3.1
E02002956,9.1,2.1,2.7,84.7,1.4
E02002957,1.7,0.8,1.5,95.3,0.7
E02002958,5.2,1.6,2.2,89.6,1.3
E02002959,19,3.9,3.7,70,3.4
E02002960,4.9,2.6,1.6,88.4,2.4
E02002961,26.8,5.7,3,59.8,4.6
E02002962,1.6,3.4,2.7,91.7,0.5
E02002963,11.1,3.9,3.2,78,3.7
E02002964,1.9,1.7,1.8,93.9,0.7
E02002965,41.4,5.4,4.4,43.4,5.4
E02002966,22.4,5.3,3.4,65.1,3.8
E02002967,1.8,4.7,2.1,90.8,0.7
E02002968,13.5,4.6,2.2,77.1,2.7
E02002969,8.8,4.9,3,81.5,1.9
E02002970,5.6,3,2.2,88.1,1
E02002973,12.9,2.6,2.2,80.5,1.8
E02002974,1.9,0.7,1.2,95.9,0.4
E02002975,2.7,0.3,1.4,95.4,0.2
E02002976,3.2,1.6,1.9,92.6,0.6
E02002977,5.3,1.7,1.6,90.2,1.2
E02002978,2.1,3.2,2.1,92.1,0.5
E02002979,43.7,1.5,2.2,47.7,4.8
E02002980,4.6,1.3,1.5,91.1,1.5
E02002981,12.9,1.7,2,82.2,1.2
E02002982,5.5,1.9,2.9,89,0.7
E02002983,2.3,0.5,1,95.9,0.3
E02002984,4.1,0.3,1.1,94,0.4
E02003800,0.7,0.3,1.2,97.5,0.3
E02003809,0.9,1.2,1,96.5,0.4
E02003810,0.3,0.2,1,98.2,0.3
E02003811,1.6,0.4,1.6,96,0.5
E02003812,1.2,0.2,1.7,96.5,0.3
