areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02001678,8.8,76.1,15.1
E02001679,9.2,63.8,27
E02001680,11.3,58.4,30.3
E02001681,9.9,73.2,16.9
E02001827,10.1,70.3,19.6
E02001828,9.4,71.8,18.8
E02001829,11.8,69.4,18.8
E02001830,10.3,71.4,18.3
E02001831,11.6,62.5,25.9
E02001832,10.9,69.2,19.9
E02001833,11.5,65,23.5
E02001834,12.4,55.8,31.8
E02001835,10.7,66.9,22.4
E02001836,10.8,68,21.3
E02001837,10.4,50.3,39.3
E02001838,10,69.6,20.4
E02001839,12.3,58.5,29.2
E02001840,10.7,50.6,38.7
E02001841,9.7,68.5,21.8
E02001842,12.7,55.5,31.8
E02001843,12.2,59.6,28.1
E02001844,8.4,62.4,29.2
E02001845,15.4,57.3,27.3
E02001846,12.4,50.1,37.5
E02001847,9.3,70,20.6
E02001848,11.7,46.1,42.2
E02001849,14.1,50.2,35.7
E02001850,11.2,49.9,38.9
E02001851,11.5,56.6,31.9
E02001852,12.8,49.9,37.4
E02001855,11.5,55.4,33.1
E02001856,14.5,41.1,44.4
E02001857,12.4,42.6,45
E02001858,16.3,38.7,44.9
E02001859,11.3,29.5,59.2
E02001860,12.5,34.5,53
E02001861,10.9,29.5,59.6
E02001862,12.9,35.8,51.4
E02001863,12.3,26.1,61.6
E02001865,11,30.4,58.6
E02001866,11.3,28.7,60
E02001867,12,27.8,60.3
E02001868,11.8,36.5,51.7
E02001869,15,35.5,49.5
E02001870,11.2,31.5,57.3
E02001871,10.7,54.1,35.1
E02001872,10,55.1,34.9
E02001873,13.1,31.3,55.6
E02001874,10.3,25.1,64.6
E02001875,15.6,29.7,54.7
E02001876,35.7,26.6,37.7
E02001877,10.2,24.2,65.6
E02001878,13.3,25,61.8
E02001879,13.7,33.1,53.2
E02001880,11.9,41.2,46.8
E02001881,11.4,28.3,60.3
E02002000,10.4,60.9,28.7
E02002001,11.2,63.6,25.2
E02002002,7.4,75.5,17.1
E02002003,9,65.5,25.5
E02002004,10,61.8,28.2
E02002005,10.6,52,37.4
E02002006,10,63.7,26.3
E02002007,8.1,72.3,19.7
E02002008,14.1,62.4,23.5
E02002009,10.3,47.4,42.3
E02002010,12.3,50.4,37.3
E02002011,9.4,73.2,17.3
E02002012,8.9,60,31.1
E02002013,9.6,74.3,16.1
E02002014,10.5,45.2,44.3
E02002015,10.3,66.5,23.2
E02002016,9.3,58.8,31.9
E02002017,9.8,59.6,30.6
E02002018,9.1,73.6,17.3
E02002019,9,61.4,29.5
E02002020,8.7,71.2,20
E02002043,10.6,52.3,37.1
E02002044,11.4,51.7,36.9
