areacd,sex-001,sex-002
E02001678,52.2,47.8
E02001679,52.7,47.3
E02001680,51.8,48.2
E02001681,51.6,48.4
E02001827,52.2,47.8
E02001828,51.8,48.2
E02001829,51.6,48.4
E02001830,50.9,49.1
E02001831,52.9,47.1
E02001832,51,49
E02001833,50.3,49.7
E02001834,52.3,47.7
E02001835,51.4,48.6
E02001836,51,49
E02001837,51.5,48.5
E02001838,51.6,48.4
E02001839,52.4,47.6
E02001840,52.8,47.2
E02001841,51.4,48.6
E02001842,51.3,48.7
E02001843,51,49
E02001844,51.4,48.6
E02001845,52.2,47.8
E02001846,51.5,48.5
E02001847,50.9,49.1
E02001848,53.3,46.7
E02001849,50.9,49.1
E02001850,50.5,49.5
E02001851,51.6,48.4
E02001852,50.3,49.7
E02001855,54.1,45.9
E02001856,50.1,49.9
E02001857,49,51
E02001858,50.6,49.4
E02001859,50,50
E02001860,50.1,49.9
E02001861,49.3,50.7
E02001862,50.7,49.3
E02001863,49,51
E02001865,49.3,50.7
E02001866,48.2,51.8
E02001867,50.2,49.8
E02001868,50.4,49.6
E02001869,52.5,47.5
E02001870,51,49
E02001871,52.9,47.1
E02001872,53.7,46.3
E02001873,50.8,49.2
E02001874,50.7,49.3
E02001875,49.8,50.2
E02001876,53.2,46.8
E02001877,50.3,49.7
E02001878,50.5,49.5
E02001879,47.8,52.2
E02001880,52.4,47.6
E02001881,50.4,49.6
E02002000,52,48
E02002001,50.2,49.8
E02002002,51.2,48.8
E02002003,50.2,49.8
E02002004,52.2,47.8
E02002005,51.8,48.2
E02002006,50.6,49.4
E02002007,50.8,49.2
E02002008,51,49
E02002009,51.1,48.9
E02002010,48.5,51.5
E02002011,50.8,49.2
E02002012,51.5,48.5
E02002013,51.6,48.4
E02002014,50.3,49.7
E02002015,50.5,49.5
E02002016,52,48
E02002017,50.8,49.2
E02002018,51.6,48.4
E02002019,50.8,49.2
E02002020,51.2,48.8
E02002043,50.3,49.7
E02002044,52.2,47.8
E02002045,52,48
E02002046,51.6,48.4
E02002047,49.7,50.3
E02002048,52.1,47.9
E02002049,50.8,49.2
E02002051,52.3,47.7
E02002052,51.7,48.3
E02002053,52,48
E02002054,52.5,47.5
E02002055,51.4,48.6
E02002056,50.9,49.1
E02002057,50.3,49.7
E02002058,50.1,49.9
E02002059,50,50
E02002060,50,50
E02002061,50.7,49.3
E02002062,50.1,49.9
E02002063,49.5,50.5
E02002064,50.1,49.9
E02002065,49.9,50.1
E02002066,49.8,50.2
E02002067,51.6,48.4
E02002069,50.5,49.5
E02002070,49.8,50.2
E02002071,51.6,48.4
E02002072,50.5,49.5
E02002073,51.4,48.6
E02002081,51.3,48.7
E02002082,52.6,47.4
E02002083,51.1,48.9
E02002084,52.8,47.2
E02002085,52.9,47.1
E02002110,50.7,49.3
E02002111,52,48
E02002112,50.5,49.5
E02002113,51.7,48.3
E02002114,51.2,48.8
E02002115,51.3,48.7
E02002116,50.9,49.1
E02002117,49.6,50.4
E02002118,51.6,48.4
E02002119,50.6,49.4
E02002120,50.8,49.2
E02002121,52.1,47.9
E02002122,50.7,49.3
E02002123,52.2,47.8
E02002124,53.3,46.7
E02002125,50.7,49.3
E02002126,52.1,47.9
E02002127,51.6,48.4
E02002128,51.5,48.5
E02002129,50.1,49.9
E02002130,51.7,48.3
E02002131,51,49
E02002132,52.6,47.4
E02002133,51,49
E02002134,50.9,49.1
E02002135,50.3,49.7
E02002136,50.4,49.6
E02002137,51.1,48.9
E02002138,50.7,49.3
E02002139,50.3,49.7
E02002140,51,49
E02002141,51.6,48.4
E02002142,51.2,48.8
E02002143,51.1,48.9
E02002144,51,49
E02002145,51.6,48.4
E02002146,51.5,48.5
E02002147,50.5,49.5
E02002148,52.3,47.7
E02002149,51.7,48.3
E02002150,51.7,48.3
E02002151,52.2,47.8
E02002152,52.4,47.6
E02002153,51.5,48.5
E02002154,50.9,49.1
E02002155,53.8,46.2
E02002156,51.3,48.7
E02002157,51.7,48.3
E02002158,50.8,49.2
E02002159,49.8,50.2
E02002160,50.8,49.2
E02002161,48.1,51.9
E02002162,52.6,47.4
E02002163,50.5,49.5
