areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00052690,21.2,43.3,29.8,5.8
E00052691,40.2,42.5,13.4,3.9
E00052692,24.7,40.9,29,5.4
E00052693,6.6,40.9,44.5,8
E00052694,21.8,43.5,30.6,4
E00052695,39,42.4,16.9,1.7
E00052696,19.7,54.4,21.1,4.8
E00052697,45.3,37.1,14.1,3.5
E00052698,33.1,50,12.1,4.8
E00052699,36.8,43.1,18.1,2.1
E00052700,42.3,40.5,13.5,3.7
E00052701,23.6,45.7,24.3,6.4
E00052702,26.2,39.3,23.4,11.2
E00052703,24.4,50.4,17.6,7.6
E00052704,21.1,44.4,25.6,9
E00052706,21.7,49.6,26.1,2.6
E00052707,26,50.5,20.6,2.9
E00052709,32.7,46.8,17.9,2.6
E00052711,12.6,30.3,38.7,18.5
E00052712,16.4,39.7,33.6,10.3
E00052713,11,40,36,13
E00052714,7.3,38.2,39.8,14.6
E00052715,5.2,50,35.8,9
E00052716,14.1,51.9,24.4,9.6
E00052717,18.2,39.4,31.8,10.6
E00052718,8.5,45.4,34.8,11.3
E00052719,11.2,46.3,35.8,6.7
E00052720,20.3,47.6,25.9,6.3
E00052721,24.1,41.4,29.3,5.3
E00052722,20.2,46,25,8.9
E00052723,18.3,45.2,25.2,11.3
E00052724,18.1,42.5,32.3,7.1
E00052725,38.2,40.5,16,5.3
E00052873,36.3,45.2,14.9,3.6
E00052894,55.8,32.6,11.6,0
E00052901,35.2,45.9,17,1.9
E00052902,43.8,41,12.5,2.8
E00052904,34.5,44.5,13.4,7.6
E00052906,71.3,24.5,2.8,1.4
E00052911,47.2,34.4,15.2,3.2
E00052914,24.6,55.2,18.7,1.5
E00052915,54.3,37.8,7.1,0.8
E00052916,44.2,40.3,9.3,6.2
E00052918,17.9,47.2,28.3,6.6
E00052920,37.7,43.1,16.2,3.1
E00052921,29.9,53,15.4,1.7
E00052922,28.4,43.3,19.4,9
E00052923,42.3,30.9,21.1,5.7
E00052924,47.4,40.1,11.2,1.3
E00052925,35.2,49.6,13.6,1.6
E00052926,29.3,47.1,16.4,7.1
E00052929,37.8,41.7,16.5,3.9
E00052930,33.3,50.6,15.2,0.9
E00052931,29.8,46.6,18.3,5.3
E00052932,41.7,34.8,15.7,7.8
E00052933,40.9,42.7,13.5,2.9
E00052934,45.9,29.7,20.7,3.6
E00052935,60.5,28.9,7.2,3.3
E00052937,30.1,43.9,17.9,8.1
E00052938,29.8,50,16.9,3.2
E00052940,27.6,50.5,15.2,6.7
E00052941,28.7,53.9,14.8,2.6
E00052943,40.3,38.7,16.9,4
E00052944,28,44.8,20.8,6.4
E00052945,44.2,36.4,13.2,6.2
E00052946,11.7,50,34.4,3.9
E00052989,7.1,50.4,32.3,10.2
E00052990,33.8,39,19.1,8.1
E00052991,9.8,50.3,29.4,10.5
E00052992,21.1,51.1,18.8,9
E00052993,7.1,25.9,39.3,27.7
E00052994,31,37.3,24.6,7.1
E00052995,26.7,51.6,13,8.7
E00052996,16.5,34.6,40.2,8.7
E00052997,23.6,47.9,21.5,6.9
E00052998,21,45.4,24.4,9.2
E00052999,21.7,30.8,36.7,10.8
E00053000,27,42.6,20.9,9.6
E00053001,13.2,47.1,28.9,10.7
E00053002,8.4,48.9,34.4,8.4
E00053003,17.2,46.1,23.4,13.3
E00053004,36.4,39.4,18.2,6.1
E00053005,43,39.3,12.1,5.6
E00053006,10,52.5,30.8,6.7
E00053007,32.6,40.3,24.3,2.8
E00053008,21.5,36.2,31.5,10.8
E00053009,23.9,47,23.1,6
E00053010,31.6,41,20.5,6.8
E00053011,10.7,32.1,45.7,11.4
E00053012,27.6,48.6,17.1,6.7
E00053013,12.4,48.7,31.9,7.1
E00053014,13.1,42.6,27.9,16.4
E00053015,17.1,38.8,34.1,10.1
E00053016,32.8,45.7,14.7,6.9
E00053017,21.5,47.7,25.4,5.4
E00053018,11.5,38.5,33.1,16.9
E00053019,22.8,40.6,23.8,12.9
E00053020,20.9,39.1,26.1,13.9
E00053021,67.2,26.9,4.2,1.7
E00053022,28.1,51.8,15.8,4.4
E00053023,12.1,46.6,32.8,8.6
E00053024,4.7,37.4,40.2,17.8
E00053025,28.9,44.6,20.7,5.8
E00053026,34.2,34.2,25.6,6
E00053027,17,43.5,23.1,16.3
E00053028,49.7,37.9,11.8,0.6
E00053029,20.7,39.6,32.4,7.2
E00053030,12.8,40.2,28.2,18.8
E00053032,39.5,41.9,15.1,3.5
E00053033,29.8,46.2,15.4,8.7
E00053034,37.3,46.4,16.4,0
E00053051,18.5,45.4,25.4,10.8
E00053052,47.8,32.7,14.2,5.3
E00053053,29.1,42.5,22.4,6
E00053054,26.8,47.4,19.6,6.2
E00053055,31.7,48.3,15.2,4.8
E00053056,45.6,39,14.7,0.7
E00053057,45.7,34.5,12.9,6.9
E00053058,28.4,41.8,20.6,9.2
E00053059,38.6,33.1,21.1,7.2
E00053060,30.8,46.5,19.5,3.1
E00053061,37.2,34.5,16.8,11.5
E00053115,16.5,48,24.4,11
E00053116,35.2,41.7,17.6,5.6
E00053117,22.6,46.1,22.6,8.7
E00053118,45.8,38.3,13.1,2.8
E00053119,40.6,34.3,22.4,2.8
E00053120,59.8,24.4,10.2,5.5
E00053121,37.6,26.3,25.6,10.5
E00053122,20.5,46.2,25.8,7.6
E00053123,32.8,44,16.8,6.4
E00053124,42.5,48.5,7.2,1.8
E00053125,20,50.3,25.2,4.5
E00053126,40.7,39.3,17,3
E00053127,50.3,36.1,9.7,3.9
E00053128,26.4,37.3,26.4,10
E00053129,29.2,38.1,24.8,8
E00053130,35.8,37.7,18.2,8.2
E00053131,30.1,48.7,17.3,3.8
E00053132,10,53.6,30.9,5.5
E00053133,20.5,43.4,25.4,10.7
E00053134,67.4,25.2,7.4,0
E00053135,30.4,42.8,21.6,5.2
E00053136,34.1,43.9,19.7,2.3
E00053137,51.7,41.1,6,1.3
