areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00052690,8.6,25.7,65.7
E00052691,7.7,25.4,66.9
E00052692,7.6,29.3,63
E00052693,3.6,19.3,77.1
E00052694,2.5,33.3,64.2
E00052695,1.7,38.1,60.2
E00052696,4.8,23.1,72.1
E00052697,7.6,49.7,42.7
E00052698,8.1,33.3,58.5
E00052699,6.4,17.7,75.9
E00052700,5,44.4,50.6
E00052701,3.6,13.9,82.5
E00052702,5.5,25.5,69.1
E00052703,3.8,28.5,67.7
E00052704,4.5,33.8,61.7
E00052706,7,27.8,65.2
E00052707,7.4,32,60.6
E00052709,7.1,16.2,76.6
E00052711,2.5,23.5,73.9
E00052712,4.3,31,64.7
E00052713,6,31,63
E00052714,5.7,15.4,78.9
E00052715,4.5,27.8,67.7
E00052716,0.8,38.9,60.3
E00052717,5.5,33.6,60.9
E00052718,5,22,73
E00052719,5.9,27.4,66.7
E00052720,6.3,34.7,59
E00052721,3,29.1,67.9
E00052722,4,28.2,67.7
E00052723,5.2,21.7,73
E00052724,3.2,30.2,66.7
E00052725,7,45,48.1
E00052873,11.7,26.3,62
E00052894,8.7,44.9,46.4
E00052901,9.4,30.2,60.4
E00052902,6.8,30.8,62.3
E00052904,14.2,20.8,65
E00052906,2.1,83,14.9
E00052911,12.6,28.3,59.1
E00052914,8.7,21.7,69.6
E00052915,14.2,22.8,63
E00052916,13.8,28.5,57.7
E00052918,9.3,25.9,64.8
E00052920,6.9,18.3,74.8
E00052921,10,14.2,75.8
E00052922,12.8,15.8,71.4
E00052923,5.6,16.8,77.6
E00052924,2.7,36,61.3
E00052925,4.8,22.6,72.6
E00052926,8.5,29.1,62.4
E00052929,4.7,21.7,73.6
E00052930,4.7,23.2,72.1
E00052931,8.5,18.6,72.9
E00052932,8.6,26.7,64.7
E00052933,2.9,31.8,65.3
E00052934,4.7,38.3,57
E00052935,4.6,49,46.4
E00052937,7.2,12.8,80
E00052938,5,10.7,84.3
E00052940,6.7,35.2,58.1
E00052941,6.1,20.2,73.7
E00052943,10.5,15.3,74.2
E00052944,12.1,24.2,63.7
E00052945,7.8,25.6,66.7
E00052946,2.3,21.7,76
E00052989,3.2,29.4,67.5
E00052990,1.5,45.4,53.1
E00052991,8.4,23.8,67.8
E00052992,8.1,24.4,67.4
E00052993,10.4,13.9,75.7
E00052994,8,32,60
