areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00015167,6.2,21.5,1.3,68.3,2.7
E00015168,23.9,30.6,3.8,37.9,3.8
E00015169,13.6,32.6,0.5,51.6,1.8
E00015171,24.9,31.5,4.6,38.1,1
E00015172,22.1,24.8,0.9,47.8,4.4
E00015173,5.8,18,0.6,70.9,4.7
E00015175,15.1,27.1,0,55,2.8
E00015176,5,13.6,0,80.1,1.4
E00015178,23.2,32.5,3.3,40.4,0.7
E00015179,21.3,33.5,1.8,39,4.3
E00015181,8.7,11.5,1.6,74.3,3.8
E00015182,8.8,23.6,2.2,62.6,2.7
E00015183,19.1,31.6,2,44.7,2.6
E00015184,15.3,24.8,0,56.9,3
E00015185,20.3,27.8,0,50.6,1.3
E00015186,22.5,25.8,3.4,41.6,6.7
E00015187,15.7,37,1.9,42.6,2.8
E00015188,20.4,38.7,0,36.6,4.3
E00015189,11.7,23.2,1.7,61,2.3
E00015190,21,32,4,39.7,3.3
E00015191,20.5,34.4,3.3,38.4,3.3
E00015192,19.4,35.5,1.4,41.5,2.3
E00015193,9.8,23.9,0,65.2,1.1
E00015194,19.3,33.3,0.7,45.9,0.7
E00015195,20.6,39.1,1.7,35.4,3.1
E00015196,9,27.8,3,55.6,4.5
E00015197,22.8,34.5,3.4,36.4,2.9
E00015198,20.5,38,4.1,36.8,0.6
E00015199,19.5,25.9,1.9,51.4,1.3
E00015201,2,35.3,0,61.8,0.9
E00015202,18.9,25.2,2.7,53.2,0
E00015620,24.2,34.3,3.2,35.1,3.2
E00015623,5,18.8,2.9,68,5.3
E00015624,6.7,24.2,0.4,68.7,0
E00015625,19.4,33.6,3,39.2,4.9
E00015627,4,31.5,2.2,59.3,2.9
E00015628,7.2,22.7,1.6,65,3.5
E00015629,23.2,33.9,2.7,37.5,2.7
E00015630,22.2,23.7,2.1,46.8,5.2
E00015632,17.2,30.2,5.2,41.1,6.3
E00015634,23.1,32.9,2.6,38.7,2.6
E00015635,7.4,13.9,1.6,76.1,1
E00015636,13.1,31.7,1.9,48.9,4.5
E00015637,10.8,21.2,2.3,62.3,3.5
E00015638,5.9,13.9,1.4,77.4,1.4
E00015660,9.4,29.6,3,57.5,0.4
E00015661,1.3,15.5,2,79.5,1.7
E00015662,21.7,35.3,3.7,36.8,2.6
E00015663,18,40.5,1.4,39.2,0.9
E00015664,12.4,25.6,2.5,57.4,2.1
E00015665,10.6,24.9,2,62.4,0
E00015667,11.3,25.8,1.8,58.8,2.3
E00015668,10.3,29.7,3.1,55.4,1.5
E00015669,19.8,32.1,2.7,40.6,4.8
E00015670,17.1,25.7,4,50.9,2.3
E00015671,14.6,37.9,2.9,39.8,4.9
E00015672,3.5,11.1,0,84.5,0.8
E00015673,17.8,31.8,4.7,45.8,0
E00015674,2.2,12.5,1.1,83.7,0.5
E00015675,14.2,30.5,2.5,50.8,2.2
E00015676,21.6,32.5,5.6,35.4,4.9
E00015677,20,32.3,2.8,42.8,2.1
E00015678,3.8,15,0.5,79.1,1.6
E00015679,8.6,18,1.2,70.5,1.6
E00015680,13.6,23.4,1,59.1,2.8
E00015681,4.4,12,1.6,79.8,2.2
