areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E00051173,58.9,41.1
E00051189,54.1,45.9
E00051220,17.1,82.9
E00051262,51.9,48.1
E00051263,34.2,65.8
E00051264,33.9,66.1
E00051278,26.8,73.2
E00051279,13.7,86.3
E00051280,31.1,68.9
E00051281,13.1,86.9
E00051282,32.4,67.6
E00051283,29.4,70.6
E00051291,33.9,66.1
E00051292,44,56
E00051293,27.3,72.7
E00051294,33.3,66.7
E00051296,27.7,72.3
E00051297,54.8,45.2
E00051298,38.5,61.5
E00051299,33.8,66.2
E00051300,34.8,65.2
E00051301,38.5,61.5
E00051302,39.8,60.2
E00051303,29.9,70.1
E00051304,35.2,64.8
E00051305,24.1,75.9
E00051306,33.3,66.7
E00051307,49.8,50.2
E00051308,32.3,67.7
E00051309,49,51
E00051310,27,73
E00051311,31.5,68.5
E00051312,39.5,60.5
E00051313,45.3,54.7
E00051314,47.8,52.2
E00051315,27,73
E00051316,11.8,88.2
E00051724,33,67
E00051725,37.7,62.3
E00051726,30.1,69.9
E00051727,30.6,69.4
E00051728,33.4,66.6
E00051729,39.2,60.8
E00051730,39.9,60.1
E00051731,11.4,88.6
E00051732,31.6,68.4
E00051733,34,66
E00051734,44,56
E00051735,42,58
E00051736,29.8,70.2
E00051737,27.5,72.5
E00051738,27.4,72.6
E00051739,35,65
E00051740,32.4,67.6
E00051741,30.2,69.8
E00051742,34.8,65.2
E00051743,39.1,60.9
E00051744,54.4,45.6
E00051745,28.8,71.3
E00051747,26.1,73.9
E00051749,28.1,71.9
E00051750,37.8,62.2
E00051751,25.4,74.6
E00051752,28.7,71.3
E00051753,31.1,68.9
E00051754,30.7,69.3
E00051755,26.1,73.9
E00051756,25.1,74.9
E00051757,24.6,75.4
E00051758,40.2,59.8
E00131002,51.2,48.8
E00131003,52.9,47.1
E00131004,59.9,40.1
E00131005,65.8,34.2
E00131007,59.8,40.2
E00131008,55.6,44.4
E00131009,56.3,43.7
E00131010,57.4,42.6
E00131104,68.7,31.3
E00131106,47,53
E00131108,70.2,29.8
E00131110,63.7,36.3
E00131112,62.6,37.4
E00131113,66.9,33.1
E00131114,51.7,48.3
E00131328,54,46
E00131329,61.9,38.1
E00131330,60.3,39.7
E00131331,67.1,32.9
E00131332,56.7,43.3
E00131333,65.3,34.7
E00131334,59.1,40.9
E00131335,61.3,38.7
E00131336,64,36
E00131337,54.6,45.4
E00131498,58.5,41.5
E00131499,51.6,48.4
E00131500,67.9,32.1
E00131501,64.4,35.6
E00131502,57.5,42.5
