areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00025651,88.2,4.5,2.1,5.1
E00025654,88.6,3.8,2.4,5.2
E00025727,92.3,2.3,3.6,1.8
E00025730,90.3,3.4,2,4.3
E00025756,92.8,2.6,2.6,2
E00025758,90,3.3,2.7,3.9
E00025759,89.6,3.1,2.8,4.6
E00026788,89.1,3.9,0.7,6.3
E00026789,91.7,4.6,2.1,1.7
E00026790,91.8,5.8,0.7,1.7
E00026791,91.6,3.6,3.2,1.6
E00026792,91.7,1.6,4,2.8
E00026793,87.7,2.5,3.8,6
E00026795,88.9,5.5,1.3,4.2
E00026796,89.5,2.6,2.6,5.2
E00026797,89.6,3.7,1.5,5.2
E00026798,89.5,5.1,2,3.4
E00026799,94.9,0.6,3.4,1.1
E00026800,88,6,0.7,5.4
E00026801,86.8,5.8,4,3.4
E00026802,89.8,4.3,0.7,5.3
E00026803,84,7.4,3.7,4.9
E00026804,90.1,2.3,3.6,3.9
E00026812,88.2,4.6,0.3,6.9
E00026818,88.7,3.5,3.9,3.9
E00026819,92.1,2.6,1.9,3.4
E00026906,92.1,2.6,1.3,3.9
E00026907,90.3,4.6,1.2,3.9
E00026909,90.6,2.2,2.9,4.3
E00026910,89.7,3.8,2.5,4.1
E00026912,89,3.4,2.5,5
E00026913,88.1,1.7,4.9,5.2
E00026914,89.1,3.5,3.2,4.2
E00026915,89.5,4.1,2,4.4
E00026916,91.8,3.1,1.7,3.4
E00026917,87.5,2.5,4.2,5.7
E00026918,91.1,1.6,4.4,2.8
E00026919,88.9,5.1,1.6,4.3
E00026920,93.8,3.1,3.1,0
E00026921,91.8,3.5,1.9,2.8
E00026922,89,3.6,4.5,3
E00026923,88.6,2.8,4.8,3.8
E00026924,91.3,4.5,1.9,2.3
E00026925,91.3,5.1,2.8,0.8
E00026926,90.4,3.3,1.4,5
E00026927,90.1,3.5,3.2,3.2
E00026928,93.2,2.1,2.9,1.8
E00026929,90.2,2,3.5,4.3
E00026930,91.5,1.6,2.5,4.4
E00026931,86.7,4.5,4.2,4.5
E00026932,92.9,3.4,2,1.7
E00026934,87.7,6.7,1.2,4.3
E00026935,93.1,2.1,1.8,3
E00026936,90.3,4.4,2.5,2.8
E00026937,91.3,2.7,2.9,3.1
E00026938,87.6,3.3,5.4,3.7
E00026939,91.2,2.5,3.1,3.1
