geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00100629,91.5,0.2,8,0.2
E00100630,91.9,0.3,5.8,2
E00100631,95,0,4.7,0.3
E00100632,97.5,0,2.5,0
E00100633,93.3,0,6.7,0
E00100635,90.7,0,9.3,0
E00100636,86,0,12.5,1.4
E00100637,87.9,0,11.3,0.8
E00100638,84.3,0,11.9,3.8
E00100639,92.5,0,7.5,0
E00100640,91.4,0.4,7.6,0.7
E00100642,81.8,0.6,16.5,1.2
E00100643,89.2,0,10.8,0
E00100644,92.1,0,7.9,0
E00100645,90.2,0.5,8.8,0.5
E00100646,90.3,0,9.7,0
E00100647,92.4,0,7.6,0
E00100648,93.6,0,6.4,0
E00100649,89.7,0,10,0.3
E00100650,89.2,0.9,9.9,0
E00100651,96.3,0,3.7,0
E00100652,85.4,0,14.6,0
E00100707,88.4,0,10,1.7
E00100708,90.9,0,7.9,1.2
E00100709,91.1,0,8.6,0.3
E00100710,92.6,0,7.4,0
E00100711,92.1,0.2,7.2,0.5
E00100712,94.5,0,5.5,0
E00100717,88.3,0.9,10.9,0
E00100719,90.6,0,9.4,0
E00100720,89.8,0,9.5,0.7
E00100722,93.4,0.9,5.2,0.6
E00100898,92.3,0.2,7.5,0
E00100899,93.9,0.3,5.7,0
E00100900,86.4,0.3,12.9,0.3
E00100901,88.8,0.3,10.9,0
E00100902,93.2,0,6.2,0.7
E00100903,96.5,0,2.8,0.8
E00100904,92.3,1.1,6.3,0.4
E00100905,92.7,0.3,7,0
E00100913,91.3,0,8.2,0.5
E00100915,87.2,0,12.8,0
E00100916,84.5,0.3,14.1,1.1
E00100917,92.3,0,6.5,1.2
E00100918,93.3,0,6,0.7
E00100919,94.2,0.3,4.5,0.9
E00101044,88.5,0.3,11.2,0
E00101045,80,0,18.3,1.7
E00101067,90.5,0.3,8.6,0.6
E00101068,83.5,0.4,15.3,0.8
E00101069,89.8,0,10.2,0
E00101070,93.5,0,6.5,0
E00101071,95.1,0,4.9,0
E00101072,90.6,0,9.4,0
E00101073,88.3,0,10.3,1.4
E00101074,87.2,0.4,12.4,0
E00101075,92.9,0,7.1,0
E00103966,87.9,0.2,11.4,0.4
E00103967,95.8,0,3.4,0.8
E00103970,84,0,16,0
E00104001,86.5,0,13.5,0
E00104002,96.1,0,3.9,0
E00104004,90.4,0,8.5,1.1
E00104005,93.5,0,6,0.4
E00104006,92.9,0,6.8,0.3
E00104139,91.8,0,8.2,0
E00104140,92.1,0,7.9,0
E00104141,89.4,0.3,10,0.3
E00104142,94.2,0,4.9,0.9
E00104143,88.5,0,11.2,0.3
E00148494,94.4,0,4.7,0.9
E00148495,90.8,0.7,8.6,0
E00148496,91,0,9,0
E00148497,92.1,0,7.9,0
E00148498,86.6,0,13.1,0.3
E00148499,90.6,0,9.4,0
E00148500,95.1,0,4.1,0.8
E00148501,93.4,0,6.6,0
E00148502,93.9,0.7,5.4,0
E00148557,98.4,0,1.6,0
E00148590,92,0,8,0
E00148591,91.1,0.3,8.7,0
E00148592,93,0,7,0
E00148593,92,0,7,1
