areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00148159,93.2,1.7,1.7,3.4
E00148160,96.1,0,0,3.9
E00148161,96.6,0,0,3.4
E00148162,91.9,2.2,0,5.9
E00148163,79.5,0.8,4.7,15
E00148164,94,0.9,1.7,3.4
E00148165,91.6,0,0.8,7.6
E00148166,87.1,3.4,2.6,6.9
E00148167,98.3,0,0,1.7
E00148168,80.8,2.3,1.5,15.4
E00148169,89.3,2.3,1.5,6.9
E00148170,93.2,2.3,1.5,3
E00148171,95.5,1.5,0,3
E00148172,95.2,0.8,0.8,3.2
E00148173,98.2,0.9,0,0.9
E00148174,93.9,1.8,0,4.4
E00148175,96.2,1,0,2.9
E00148176,99,0,0,1
E00148177,93.2,0.9,2.6,3.4
E00148178,98.5,0.8,0,0.8
E00148179,91.9,2.4,0.8,4.9
E00148180,97.8,0,2.2,0
E00148182,78.7,5.5,1.8,14
E00148183,69.7,4.8,3.7,21.8
E00148184,78.3,5.8,2.2,13.8
E00148185,75,7,4.7,13.3
E00148186,78,2.1,1,18.8
E00148187,80.6,3.8,1.3,14.4
E00148188,82.3,2.2,3.2,12.4
E00148189,85.2,0.8,3.3,10.7
E00148190,85.7,0.8,4,9.5
E00148192,95.3,0.8,2.4,1.6
E00148193,86.7,2.3,0.8,10.2
E00148194,90.3,3.6,1,5.1
E00148195,88.2,6.4,0.9,4.5
E00148196,89.7,0.8,2.4,7.1
E00148197,87.4,5.9,2.2,4.4
E00148198,91.7,0.9,2.8,4.6
E00148199,92.6,4.1,0.8,2.5
E00148200,87.2,6,2.6,4.3
E00148201,91.8,4.1,0,4.1
E00148202,91.5,3.1,0,5.4
E00148203,86.4,5.7,0,7.9
E00148204,91.1,2.2,0.7,5.9
E00148205,92.4,3.4,1.7,2.5
E00148207,87.1,3.6,1.4,7.9
E00148208,86.1,4.3,2.6,7
E00148209,92.8,0.7,0.7,5.9
E00148210,95.4,2.3,0,2.3
E00148211,94.4,1.6,0,4
E00148212,94,2.6,0,3.4
E00148213,95.5,1.5,0,3
E00148214,92.9,2.1,1.4,3.6
E00148215,91.1,0.8,1.6,6.5
E00148216,91.3,4.7,1.6,2.4
E00148217,88.8,2.2,1.5,7.5
E00148218,94.6,0.9,0.9,3.6
E00148219,98.2,0.9,0.9,0
E00148220,95.1,2.1,0.4,2.5
E00148221,94.3,2.6,1,2.1
E00148222,88.4,5.5,1.8,4.3
E00148223,96,3.2,0,0.8
E00148224,94.9,1.7,0.9,2.6
E00148225,94.2,0,0,5.8
E00148226,98.4,1.6,0,0
E00148227,86.9,6.6,1.6,4.9
E00148228,83.5,3.9,2.4,10.2
E00148229,100,0,0,0
E00148230,95.6,0,0,4.4
E00148231,99.2,0,0,0.8
E00148232,96.1,2.3,0.8,0.8
E00148233,96.1,2,0.7,1.3
E00148234,99.2,0,0,0.8
E00148235,98.3,0.8,0,0.8
E00148236,86.9,4.6,2.9,5.7
E00148238,98.3,1.7,0,0
E00148239,100,0,0,0
E00148240,88.8,2.2,2.2,6.7
E00148241,94.3,2.5,0,3.3
E00148242,95.3,1.6,0,3.1
E00148243,93.1,0.8,0.8,5.3
E00148244,92.1,3.2,1.6,3.2
E00148245,93.1,0.8,2.3,3.8
E00148246,96.5,0.9,0,2.6
E00148247,93.7,0.8,3.1,2.4
E00148248,91.4,2.9,1.4,4.3
E00148249,93.2,5.1,0.9,0.9
E00148250,92.5,0.8,3.3,3.3
E00148251,94.5,0,1.6,3.9
E00148252,94.3,2.4,0,3.3
E00148253,85.8,4.1,0,10.1
E00148254,94.9,2.2,0,2.9
E00148255,78.4,5,3.6,12.9
E00148256,92.8,0.8,1.6,4.8
E00148257,95.5,1.5,0.8,2.3
E00148258,96.1,0,0.8,3.1
E00148259,97.8,0.7,0.7,0.7
E00148260,100,0,0,0
E00148262,95.8,0,2.1,2.1
E00148263,95.1,2.4,0.8,1.6
E00148265,95.9,1.7,0,2.5
E00148266,86.6,5.2,0.7,7.5
E00148267,92,2.9,0.7,4.3
E00148269,88.5,1.9,1.3,8.3
E00148270,95.7,2.2,0,2.2
E00148272,91.9,1.9,2.5,3.8
E00148273,94.8,4.5,0,0.7
E00148274,94.4,1.6,0,4
E00148275,93.3,3.8,1.4,1.4
E00148276,94.3,1.6,0,4.1
E00148277,93.5,2.2,1.4,2.9
E00148322,97.8,1.1,0,1.1
E00148323,97.7,0.8,0.8,0.8
E00148324,97.8,1.5,0,0.7
E00148325,98.6,0,1.4,0
E00148326,100,0,0,0
E00148327,100,0,0,0
E00148328,98,0.7,0.7,0.7
E00148329,100,0,0,0
E00148330,99.1,0.9,0,0
E00148331,99,1,0,0
E00148332,94.8,2.6,0,2.6
E00148333,97.6,0,0,2.4
E00148334,98.5,1.5,0,0
E00148335,99.2,0.8,0,0
E00148336,97.1,1.4,1,0.5
E00148337,100,0,0,0
E00148338,97.4,0.9,0.9,0.9
E00148339,100,0,0,0
E00148340,99,1,0,0
E00148342,100,0,0,0
E00148343,97.5,1.9,0,0.6
E00148344,97.1,1.4,0,1.4
E00148345,97.2,1.4,0,1.4
E00148346,99.4,0.6,0,0
E00148370,100,0,0,0
E00148373,98.8,0.6,0,0.6
E00148374,98.4,1.6,0,0
E00148411,98.3,0,1.1,0.6
E00148412,99.4,0,0,0.6
E00148413,100,0,0,0
E00148414,97.8,0.7,0,1.5
E00148415,99.3,0.7,0,0
E00148416,98.2,1.8,0,0
E00148417,99.1,0,0.9,0
E00148418,100,0,0,0
E00148419,96.4,2.2,0,1.4
E00148420,100,0,0,0
E00148421,99,1,0,0
E00148422,98.7,1.3,0,0
E00148423,97.1,1.9,0,1
E00148431,99.2,0,0,0.8
E00148432,99.1,0.9,0,0
E00148433,99.3,0,0,0.7
E00148434,97.1,2.9,0,0
E00148435,99.2,0.8,0,0
E00148436,98.1,1.3,0,0.6
E00148437,100,0,0,0
E00148438,98.4,0,0,1.6
E00148439,99.2,0.8,0,0
E00148440,100,0,0,0
E00148441,100,0,0,0
E00148442,99.2,0.8,0,0
E00148443,95.6,2.2,0,2.2
E00148444,95.1,2.9,0,2
E00148446,98.6,0.7,0,0.7
E00148447,99.2,0.8,0,0
E00148449,98.6,1.4,0,0
E00148450,97,2.1,0,0.9
E00148451,100,0,0,0
E00148452,96.5,2.8,0,0.7
E00148453,98.4,0,0,1.6
E00148454,95.6,1.5,0,3
E00148455,98.4,0.8,0,0.8
E00148456,99.1,0.9,0,0
E00148457,98,0.5,0,1.5
E00148458,100,0,0,0
E00148459,98.5,0.7,0,0.7
E00148461,100,0,0,0
E00148462,94.6,1.6,0,3.8
E00148463,97.1,0,0,2.9
E00148464,98.9,1.1,0,0
E00148480,99,0,0,1
E00148481,99.2,0.8,0,0
E00148482,98.7,1.3,0,0
E00148483,100,0,0,0
E00148484,98.4,1.6,0,0
E00148485,98.4,1.6,0,0
E00148486,96.1,3.3,0,0.7
E00148487,95.7,1.4,0.7,2.2
E00148488,97,2.3,0.8,0
E00148489,99.3,0.7,0,0
E00148490,100,0,0,0
E00148491,98.4,0.8,0,0.8
E00148492,99.1,0.9,0,0
E00148493,100,0,0,0
E00148550,97,1.5,0,1.5
E00148552,100,0,0,0
E00148554,98.6,0.7,0,0.7
E00148555,100,0,0,0
E00148556,100,0,0,0
E00148678,99.3,0,0.7,0
E00148679,100,0,0,0
E00148680,98.7,1.3,0,0
E00148681,97.7,2.3,0,0
E00148682,99,0,1,0
E00148683,100,0,0,0
E00148686,98.3,0.8,0,0.8
E00148687,97.8,0,0,2.2
E00148688,99.4,0.6,0,0
E00148726,98.4,1.6,0,0
E00148727,100,0,0,0
E00148728,100,0,0,0
E00148729,98.5,0,0,1.5
E00148730,100,0,0,0
E00148735,96.6,2.3,0,1.1
E00148736,98.2,1.8,0,0
E00148737,99.1,0,0,0.9
E00148738,97.2,2.8,0,0
E00148750,96.3,1.4,0,2.3
E00148751,98.3,0.8,0,0.8
E00148752,99.5,0.5,0,0
E00148753,94.5,3.1,0,2.4
E00148754,96.6,2.5,0,0.8
E00148756,95.5,1.5,0,3
E00148757,89.7,5.2,2.6,2.6
E00148758,94.4,2.8,0,2.8
E00148759,99.3,0.7,0,0
E00148856,98.8,0.6,0.6,0
E00148857,99.5,0.5,0,0
E00148859,98,2,0,0
E00149034,89.9,7.8,0.8,1.6
E00149035,85.3,8.8,2.2,3.7
E00149036,98.4,0.8,0,0.8
E00149037,93,1.6,2.3,3.1
E00149038,97.5,0,0.6,1.9
E00149039,100,0,0,0
E00149040,92.6,2.2,0,5.2
E00149042,97.7,0.8,0.8,0.8
E00149043,93.1,3.8,1.5,1.5
E00149044,89.5,3.2,2.4,4.8
E00149045,94.5,1.6,0,3.9
E00149060,100,0,0,0
E00149065,99,0,0,1
E00149066,97.9,2.1,0,0
E00149067,98.8,1.2,0,0
E00149068,98.8,0,1.2,0
E00149076,99.2,0,0.8,0
E00149077,93.3,2.9,1,2.9
E00149078,94.1,2.5,0,3.4
E00149079,90.4,4.3,1.7,3.5
E00149080,93,3.5,0,3.5
E00149081,95.5,0,0,4.5
E00149082,93.1,3.4,1.7,1.7
E00149083,95,2.5,0,2.5
E00149084,90.4,6.1,0.9,2.6
E00149085,94.4,1.6,2.4,1.6
E00149086,99.2,0,0,0.8
E00149087,99.1,0,0,0.9
E00149088,96.4,1.8,0.9,0.9
E00149089,94.5,2.8,0,2.8
E00149090,95.9,1.6,0.8,1.6
E00149091,98.3,0.8,0.8,0
E00149092,87.2,1.7,1.7,9.4
E00149093,93,4.3,0.9,1.7
E00149094,96.6,0,0.8,2.5
E00149095,93.2,1.5,0.8,4.5
E00149114,99.2,0.8,0,0
E00149116,98.4,0.8,0,0.8
E00149117,96.2,0.8,0,3
E00149118,100,0,0,0
E00149119,94.7,2.7,0,2.7
E00149120,99.5,0,0,0.5
E00149121,96.4,1.4,0,2.2
E00149122,100,0,0,0
E00149123,96.5,2.6,0.9,0
E00149124,100,0,0,0
E00149125,98.8,0.6,0,0.6
E00149126,100,0,0,0
E00149127,90.8,4.6,1.5,3.1
E00149128,97,0,1,2
E00149129,100,0,0,0
E00149130,98.1,1.3,0,0.6
E00149131,95.3,1.9,1.9,0.9
E00149132,95.7,2.6,0,1.7
E00149134,96.9,3.1,0,0
E00149136,99.2,0,0.8,0
E00149138,97.9,1.4,0.7,0
E00149139,99.2,0.8,0,0
E00149140,97.7,1.7,0,0.6
E00149141,95.4,3.1,0,1.5
E00149142,98.7,0,0.7,0.7
E00149143,99.2,0.8,0,0
E00149144,96.1,3.1,0,0.8
E00149145,99.2,0.8,0,0
E00149146,98.3,0.6,0.6,0.6
E00149147,99.2,0,0,0.8
E00149148,100,0,0,0
E00149149,97.9,2.1,0,0
E00149150,94.4,2.8,0,2.8
E00149151,91.8,3.1,0,5.2
E00149152,97.3,0,0,2.7
E00149154,100,0,0,0
E00149155,96.9,0,0,3.1
E00149156,98.6,1.4,0,0
E00149157,95.6,1.5,0,3
E00149158,95,2.8,1.4,0.7
E00149160,99.3,0.7,0,0
E00149161,90.9,3.3,1.7,4.1
E00149162,95.9,3.3,0,0.8
E00149163,86.4,4,2.4,7.2
E00149164,100,0,0,0
E00149165,95.8,2.8,0,1.4
E00149166,99.3,0.7,0,0
E00149167,97.9,2.1,0,0
E00149168,97.5,0.6,0,1.9
E00149169,91.7,0.6,1.9,5.7
E00149170,91.6,1.7,1.7,5
E00149171,89.4,4.2,1.4,4.9
E00149172,96.3,0.9,1.9,0.9
E00149173,97.8,0.7,0.7,0.7
E00149174,95.2,1.9,1.9,1
E00149175,96.4,0,0.9,2.7
E00149176,88.5,2,4.1,5.4
E00149177,94.1,0,1.7,4.2
E00149178,96.5,0,1.4,2.1
E00149179,94.9,2.5,0.8,1.7
E00149180,91.8,4.5,0.9,2.7
E00149181,94.5,0.9,1.8,2.8
E00149182,91.7,1.7,0,6.7
E00149183,87.6,0.7,0.7,10.9
E00149184,95,1,0,4
E00149185,94.8,2,2,1.3
E00149186,96.8,0,2.4,0.8
E00149187,95.4,1.8,0,2.8
E00149188,97,1.5,0,1.5
E00149189,95.5,2.3,1.5,0.8
E00149190,93,0,2.3,4.7
E00149191,90.5,2.4,1.6,5.6
E00149193,75.9,1.9,0,22.2
E00149194,81.2,2.6,3.4,12.8
E00149196,93.2,1.7,2.5,2.5
E00149199,83.1,4.2,0,12.7
E00149200,77.2,8.7,1.3,12.8
E00149202,77.7,8.5,1.5,12.3
E00149203,91.1,3.3,0.8,4.9
E00149204,81.9,2.9,0,15.2
E00149205,75.1,6.4,4,14.5
E00149206,87.6,2.1,0,10.3
E00149207,71.1,3.1,4.1,21.6
E00149208,88,1.4,1.9,8.7
E00149209,84,2.5,2.5,11
E00149210,95.8,3.3,0,0.8
E00149211,95.5,1.5,0.8,2.3
E00149212,87.5,2.8,1.4,8.3
E00149213,89.9,4.2,2.5,3.4
E00149214,91.5,3.1,0,5.4
E00149215,92,3.6,0.7,3.6
E00149216,76.3,6.1,1.5,16
E00149217,96.8,1.6,0,1.6
E00149218,84.2,3.2,1.4,11.3
E00149219,93.2,3,1.5,2.3
E00149220,97.4,1.7,0.9,0
E00149221,93.3,0.7,1.5,4.5
E00149222,93.4,4.4,0,2.2
E00149223,96.6,1.7,0,1.7
E00149224,92,3.6,1.4,2.9
E00149225,76.9,3.2,0,19.9
E00149226,96.9,0.6,1.2,1.2
E00149227,93.2,1.7,0.6,4.5
E00149228,85.8,3.9,3.1,7.1
E00149229,87,1.6,5.7,5.7
E00149230,87.4,1.7,3.4,7.6
E00149231,82.9,1.6,2.3,13.2
E00149232,91.9,1.6,2.4,4.1
E00149233,98.5,1.5,0,0
E00149234,93.1,2.6,2.6,1.7
E00149235,91.4,3.6,2.1,2.9
E00149236,91.6,0.8,0.8,6.7
E00149237,87.4,0.8,5.9,5.9
E00149238,83,4.5,1.8,10.7
E00149239,86.8,4.2,1.8,7.2
E00149241,90.8,1,2,6.1
E00149242,91.6,5,0,3.4
E00149243,89.4,4.2,0.7,5.6
E00149244,96.3,0.7,0.7,2.2
E00149245,89.6,2.2,3,5.2
E00149246,95.3,3.9,0.8,0
E00149247,90.8,2.3,2.3,4.6
E00149248,91.3,4,2.4,2.4
E00149249,92.7,1.6,1.6,4
E00149250,99.2,0,0,0.8
E00149251,100,0,0,0
E00149252,94.9,2.2,2.2,0.7
E00149253,98.4,0,0,1.6
E00149255,98.4,1.6,0,0
E00149256,93.5,0,0,6.5
E00149257,94.4,1.6,0.8,3.2
E00149258,95.1,3.3,0,1.6
E00149259,94.1,2.5,0,3.4
E00149260,97.5,2.5,0,0
E00149261,96.6,0.9,1.7,0.9
E00149262,91.1,1.8,1.8,5.4
E00149263,87.7,2.5,2.5,7.4
E00149264,97.5,0,0,2.5
E00149265,90.3,1.6,0.8,7.3
E00149266,89.8,2.4,0.8,7.1
E00149267,88.1,4.8,1.6,5.6
E00149268,88.2,1.6,2.4,7.9
E00149269,93.7,1.6,0.8,4
E00149270,94.1,0,0.7,5.1
E00149271,90.3,1.6,1.6,6.5
E00149272,85.9,5.6,0,8.5
E00149273,97.5,0.8,0.8,0.8
E00149275,93.7,4.5,0.9,0.9
E00149276,94.7,0,1.1,4.3
E00149279,96.7,0,2.5,0.8
E00149280,96,1.6,0.8,1.6
E00149281,97.8,1.4,0.7,0
E00149282,82.6,5.4,0,12.1
E00149283,97,1.2,0,1.8
E00149284,95.9,0,1.6,2.4
E00149285,95.1,3,0,2
E00149287,80.6,3.1,1.6,14.7
E00149288,90.9,5,0,4.1
E00149289,96,2.4,0,1.6
E00149290,94.3,2.4,0,3.3
E00149291,95.1,1.6,2.5,0.8
E00149292,97.5,1.7,0,0.8
E00149295,87.8,0.7,0,11.5
E00149296,97.5,0.8,0.8,0.8
E00149297,95.2,1.6,0.5,2.7
E00149298,98.2,0.9,0,0.9
E00149299,94.5,3.9,0.8,0.8
E00149300,96.1,2.3,0,1.6
E00149301,94.4,3.2,0.8,1.6
E00149302,94,1.5,0,4.5
E00149303,94.5,2.4,0.8,2.4
E00149304,98.4,0.8,0,0.8
E00149305,99.2,0,0,0.8
