areacd,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00059069,89.9,3.9,0.8,5.4
E00059071,92.5,1.7,2.4,3.4
E00059073,91.3,3.4,2.3,3
E00059074,93.5,3.7,1.3,1.6
E00059075,86.3,5.8,2.5,5.4
E00059076,88.4,3.5,4.2,3.9
E00059077,89,1.7,3.5,5.8
E00059078,88.5,3.5,2.7,5.3
E00059079,94,2.7,1.3,2
E00059080,87.2,6.2,2,4.6
E00059081,86,4,6.1,4
E00059082,91.5,3.4,2,3.2
E00059083,87.9,6,1.6,4.4
E00059084,90.4,3.8,2.6,3.2
E00059085,88.4,4.7,2.6,4.3
E00059086,93.3,3.1,1.1,2.5
E00059087,93.8,3.1,0.7,2.4
E00059088,90.6,4.1,3.1,2.2
E00059089,89.4,3,3.6,4
E00059090,90.2,4.4,2.7,2.7
E00059091,95,1.7,1.7,1.7
E00059092,90.1,3.3,3.6,3
E00059093,90.2,5.4,1,3.4
E00059094,85.1,8.2,3.2,3.5
E00059095,87.6,5,1.5,5.8
E00059096,90.6,2.7,2.4,4.4
E00059097,90,4.1,1.9,4.1
E00059098,98.3,0.8,0,0.8
E00059099,88,5.1,2.6,4.3
E00059100,87.3,8.9,2.1,1.7
E00059101,88.6,5.5,0.8,5.1
E00059102,86.9,7.9,1.8,3.4
E00059103,87.9,8.2,1.4,2.5
E00059104,85.3,8.3,0.3,6.1
E00059105,88.6,5.1,1.6,4.7
E00165681,92.2,1.8,2.1,3.9
E00165682,90.5,3.8,3.3,2.4
E00170270,90.3,3.8,2,3.8
E00170586,92.4,4.2,2.1,1.2
E00170606,94.2,3.5,1.4,0.9
E00187044,88.7,8.2,0,3.1
E00187056,88.6,5.3,1.6,4.5
E00187059,95.3,2.3,1,1.3
E00187064,94.2,3.4,1.5,1
E00187066,95.1,2.1,2.1,0.8
E00187068,90.2,1.8,2.4,5.5
E00187076,92.4,5.4,1.4,0.7
E00187078,86.4,9.4,1.5,2.7
E00187082,88.6,6.6,1.8,3
E00187091,85.4,7.8,2.9,3.9
E00187092,96.5,2.5,0.3,0.8
E00187101,94.2,3.2,2,0.6
E00187105,88.2,5.5,3,3.3
E00187106,90.6,2.7,3.6,3
E00187129,95.4,2.9,1.6,0
