areacd,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00056977,8.5,27,4.8,55,4.8
E00057126,32.9,33.9,7,21.3,4.9
E00057128,27.2,41.9,8.3,20.3,2.3
E00057129,35.1,42.3,5.3,14.4,2.9
E00057130,21.4,51.8,5.8,19.2,1.9
E00057131,30.8,46.6,4.3,16.5,1.8
E00057132,34.1,38.5,4.9,21.2,1.3
E00057135,24,37.8,4.2,30,3.9
E00057136,20.8,44.5,9.5,21.2,3.9
E00057142,31.9,40,7.4,20.7,0
E00057144,22.1,43.1,6.5,25,3.3
E00057146,41.4,28.2,11,16,3.3
E00057147,39.7,36.6,5.7,18,0
E00057152,21.6,40.4,7.5,26.8,3.8
E00057153,35.4,31.3,5.3,24.3,3.7
E00057159,29,47.2,3.5,15.6,4.8
E00057160,25.5,44.9,6.6,22.6,0.4
E00057162,30.3,40.8,6.6,19.7,2.6
E00057167,35.7,39.7,3,17.6,4
E00057170,11.2,38.2,3.2,41.4,6
E00057180,25,33.1,3.9,34.3,3.6
E00057181,55.6,20.1,8.5,11.1,4.8
E00057183,38.1,34.2,7.1,18.1,2.6
E00057184,19.2,50.6,8.3,17.3,4.5
E00057185,36.9,37.3,6.5,17.1,2.3
E00057187,24.4,40.4,7.4,26.3,1.6
E00057488,27.2,38.7,8.4,20.4,5.2
E00057489,15.3,39.3,8.2,34.2,3.1
E00057490,16.3,40.2,4.4,34.7,4.4
E00057491,16,44.4,6.2,31.9,1.6
E00057492,16.8,33.6,7.2,40.4,2
E00057493,13.2,42.7,5.3,35.9,2.8
E00057494,13.4,42.9,7.3,34,2.4
E00057495,16.2,47.1,5.4,27.3,4
E00057503,18.8,51.1,7.8,21,1.3
E00057505,13.6,37.7,12.3,31.8,4.5
E00057506,16,43.2,10.3,29.6,0.9
E00057507,15.1,42.9,4.1,35.6,2.3
E00057508,18.7,44.4,6.7,29.8,0.4
E00057509,24.2,38.8,11.3,22.1,3.8
E00057510,25.2,39.8,9.7,21.8,3.4
E00057511,13.3,46.2,12,24.4,4
E00057512,17.7,44.2,7.6,27.3,3.2
E00057513,21.3,44.7,9.1,22.3,2.5
E00057514,9.2,45.6,4.1,39.5,1.5
E00057515,30.6,31.1,7.8,28.5,2.1
E00057516,21.9,37.8,7.1,29.6,3.6
E00057517,38.2,28.6,8.2,22.3,2.7
E00057518,13,45.3,6.5,32.4,2.8
E00057519,34.4,32.5,9.1,17.7,6.2
E00057520,13,39.3,9.2,36.4,2.1
E00057521,12.7,45.4,8.7,31,2.2
E00057522,8.2,45.9,7.4,35.9,2.6
E00057523,25.5,42.6,8.8,21.8,1.4
E00057524,16.5,44.3,6.3,30.4,2.5
E00057525,30.2,30.6,9.9,26.6,2.7
E00057561,16.4,43.4,7.3,30.1,2.7
E00057562,14.9,46.7,10.7,25.6,2.1
E00057563,27.2,35.6,9.9,26.7,0.5
E00057566,15.3,39.2,6.9,34,4.5
E00057578,23.6,39.8,1.6,33.3,1.6
E00057582,28.6,39,1.9,26.6,3.9
E00057619,25.8,36.7,11.3,22.6,3.6
E00057620,18.4,39.3,4.9,34.8,2.6
E00057621,22.3,37.7,5.3,30.7,4
E00057622,17.3,40,4.9,35.6,2.2
E00057623,34.2,39.5,2.1,22.2,2.1
E00057624,26.5,35.7,5.9,29.2,2.7
E00057625,17.3,39.9,5.3,34.2,3.3
E00057627,20.8,37.3,2.4,37.3,2.4
E00058589,33.3,39.4,6.5,17.1,3.7
E00058674,16.1,25.9,4.9,52.7,0.5
E00058699,7.9,21.5,2.8,66.6,1.3
E00058702,16.7,51.6,3.3,23.7,4.7
E00058706,8.7,27.4,3.7,58.4,1.8
E00058707,16.2,36.6,3.1,41.4,2.8
E00058712,18.1,32.7,4.3,44.5,0.4
E00058737,9.9,18.8,6.9,60.4,4
E00058741,35.5,42.1,5.6,15.9,0.9
E00058742,14.3,44.8,8.5,29,3.5
E00058743,28.5,50.2,4.5,16.1,0.7
E00058744,39.4,40.1,5.6,12.3,2.5
E00058745,35.7,45,3.2,14.1,2
E00058746,31.5,47.1,2.5,13.4,5.5
E00058747,23.9,42.2,6.8,25.1,2
E00058748,25.7,47.9,7.2,16.8,2.4
E00058749,31.5,38.9,6.6,18.3,4.7
E00058750,23.1,42.8,13.3,18.5,2.3
E00058751,46.4,27.1,6.4,17.9,2.1
E00058752,34.1,33.6,8.2,24.1,0
E00058753,32.1,42.4,5.3,16.8,3.4
E00058754,26.6,42.5,6.4,20.2,4.3
E00058755,30.3,38.7,5,24.1,1.9
E00058756,15.7,30.5,4,47,2.8
E00058757,29.9,38.2,7.5,22.4,2.1
E00058759,28.6,42.3,4.8,21.2,3.2
E00058760,27.4,48.7,5.6,14.2,4.1
E00058761,16.7,42.7,5.3,33.3,2
E00058762,26.8,43.1,3.7,23.4,3
E00058764,27.2,47,6,17.2,2.6
E00058765,28.8,42.5,5.6,18.9,4.3
E00058766,25,52.6,3.4,16.4,2.6
E00058767,15.4,46.2,10.7,25.7,2
E00058768,29.7,46.2,4.1,20,0
E00058769,34.1,43.4,4.8,15.5,2.1
E00058770,29.3,46.5,7.4,15.8,0.9
E00058771,16.4,45.3,8.4,27,2.9
E00058772,17.3,42.3,9.7,29.1,1.5
E00058773,23.7,45.4,7.2,21.1,2.6
E00058774,30.5,42.5,3.6,20.4,3
E00058775,26.9,43.3,3.8,24.5,1.4
E00058776,28.9,47,5.6,14.3,4.1
E00058777,19,41.5,4.4,30.7,4.4
E00058778,42.3,36.5,5,13.1,3.2
E00058779,29.3,48.8,6,12.1,3.7
E00058780,30.6,43.5,9,13.7,3.2
E00058781,24.9,41.6,3.8,26.6,3.1
E00058782,34.2,42,4.8,17.3,1.7
E00058783,25.7,44.4,6.1,21,2.8
E00058784,39.6,40.8,4.6,11.2,3.8
E00058785,41.9,31.7,10.8,12.4,3.2
E00058786,17.1,38.8,2.8,41.3,0
E00058787,27.4,37.2,5.6,27.1,2.6
E00058788,51.5,25.5,5.5,11.5,6
E00058789,32.5,36,4.8,24.6,2.2
E00058790,36.8,41.5,3.3,16,2.4
E00058791,31.9,38.8,4.3,17.2,7.8
E00058792,30.3,47,5.6,13.1,4
E00058793,37.6,38.6,5.6,14.7,3.6
E00058794,39.5,34.2,4.8,17.1,4.5
E00058795,29.9,45.2,7.2,14.9,2.7
E00058796,25.1,42.7,2.9,26.4,2.9
E00058797,29.4,39.5,5.7,21.9,3.5
E00058798,18.5,43.1,7.6,29.3,1.4
E00058799,27.9,41.9,7.4,20.5,2.3
E00059048,23.8,51,8.7,15,1.5
E00059049,30.1,43.4,5.8,18.1,2.7
E00059050,26.1,50.6,6.4,16.9,0
E00059051,39,41.5,7.2,10.6,1.7
E00059052,29.6,45.4,6.9,14.4,3.7
E00059053,22.5,45.5,10,17.7,4.3
E00059054,10.8,28.5,3.3,55.3,2.1
E00059055,15.6,47.2,10,26.4,0.9
E00059056,23.6,41.3,5.8,27.6,1.8
E00059057,16.7,31.8,6.1,42.4,3
E00059058,23.5,40.7,6.6,25.7,3.5
E00059059,13.9,35.9,4.6,44.3,1.3
E00059060,16,37.8,2.9,40.3,2.9
E00059061,46.7,32.4,5.5,14.8,0.5
E00059062,21.9,40.6,7,30.5,0
E00059063,23.3,50.6,5.7,16.7,3.7
E00059064,15.5,40.1,5.3,37.2,2
E00059065,21.5,44.2,7.6,23.9,2.8
E00059066,20.2,53.1,6.1,17.8,2.8
E00059067,26.5,51.4,4.3,16.2,1.6
E00059068,14,38.1,4.8,42,1.2
E00059069,26.2,44.7,6.8,19.9,2.4
E00059071,25.5,51.1,3.9,16,3.5
E00059073,30.7,44,5,18.8,1.4
E00059074,17.6,39.8,5.6,34.8,2.2
E00059075,29.8,44.7,5.8,17.3,2.4
E00059076,25.1,48.4,5.4,17.9,3.1
E00059077,45,28.8,9.4,13.8,3.1
E00059078,29,53.4,4.7,10.9,2.1
E00059079,31.7,42.5,5.8,19.2,0.8
E00059080,29.5,46.8,7.2,14.3,2.1
E00059081,23.8,50.2,6.3,16.7,3
E00059082,21.6,47.1,6,24,1.2
E00059083,23.6,48.1,8.5,18.6,1.2
E00059084,26.6,47.9,6.1,17.5,1.9
E00059085,37.5,40.5,6,15,1
E00059086,20.8,50.9,5.6,19.7,3
E00059087,19.1,51.3,5.2,22.2,2.2
E00059088,26.8,47.5,6.9,16.1,2.7
E00059089,27.4,43,3.9,22.6,3
E00059090,22.2,46.5,4.7,22.6,4
E00059091,30.2,37,7.2,23.8,1.9
E00059092,31.8,45.9,9.2,10.8,2.3
E00059093,33.9,37.9,5.7,18.4,4
E00059094,15.6,37.9,9.4,33.6,3.5
E00059095,18.1,34.5,7.1,35.4,4.9
E00059096,23.9,43.2,8.5,20.1,4.3
E00059097,13.9,42.9,8.4,33.2,1.7
E00059098,11.2,38.8,8.2,41.8,0
E00059099,28.5,32.2,7.9,28.5,2.8
E00059100,12.2,42,11.7,33.2,1
E00059101,19.9,39.8,7.5,30.1,2.7
E00059102,10.7,35.4,6.8,44.6,2.5
E00059103,18.1,44.5,5.9,28.3,3.1
E00059104,15,37.6,8.3,35.7,3.4
E00059105,16.6,35.3,9.5,36.1,2.5
E00165681,32.2,43.1,6.5,15.9,2.2
E00165682,22.8,43.3,7.2,21.7,5
E00170270,25.4,36.5,3.9,28.7,5.5
E00170586,17.9,40.6,3.9,35.7,1.9
E00170606,8.1,37.8,3,49.2,1.8
E00187044,25.3,40,6.8,24.9,3
E00187056,28.9,40.8,7.1,19.9,3.3
E00187059,9.3,39.7,3.6,47.4,0
E00187064,8.9,30.8,2.4,56.2,1.8
