areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00062000,1.9,0,0.6,97.5,0
E00062001,1.8,1.5,1.8,94.9,0
E00062002,2.6,1.2,0.7,95.5,0
E00062003,0,0.4,0,98.2,1.5
E00062202,0,0,0,100,0
E00062203,1.4,0,0.9,97.7,0
E00062204,0.4,0,0.7,98.9,0
E00062205,0.3,0,0.8,99,0
E00062206,0,0,2.9,96.7,0.4
E00062379,0.3,0,0.5,99.2,0
E00062380,0.7,0.7,0,98.6,0
E00062381,0,0,0,100,0
E00062383,5.3,0,0.5,93.3,1
E00104958,0,1.3,0.8,96.9,1
E00104959,6.2,0.7,0.2,92.7,0.2
E00104960,4.8,1.3,0.3,92,1.6
E00104961,3,0,1.8,94,1.3
E00104962,3.5,0.7,0.7,94.8,0.2
E00104963,2.9,3.1,1,91.7,1.3
E00104965,1.1,1.5,0,96.7,0.7
E00104966,4.9,0,2.6,92.2,0.4
E00104967,1.3,0,0.3,98.3,0
E00104968,1,0,0.3,98.4,0.3
E00104969,0.3,2,0.9,96.5,0.3
E00104970,0,1.9,0.5,97.1,0.5
E00104971,0.3,2.2,1.2,96.3,0
E00104972,0,0,0.8,99.2,0
E00104973,1.7,0,1.4,96.9,0
E00104974,2.2,0.3,3.2,94,0.3
E00104975,2,0.3,0.3,97.4,0
E00104976,2,2,1.7,93.8,0.6
E00104977,0.3,0,1.8,96.1,1.8
E00104978,1.9,0,0,98.1,0
E00104979,1.2,0,0,96.9,1.8
E00104980,0.7,0,1,97.9,0.3
E00104981,1.6,0.4,2.8,95.3,0
E00104982,0,2.8,0,96.6,0.6
E00104983,4.1,0.4,1.7,93.4,0.4
E00104984,0,0,2.1,97.9,0
E00104985,0,0,1.6,98.4,0
E00104986,0,2.7,0.3,95.9,1
E00104987,0.4,0.4,0.4,98.8,0
E00104988,0.9,0,0,98.2,0.9
E00104989,0.4,0.8,0.8,97.6,0.4
E00104990,1.4,0,0,98.6,0
E00105010,2.2,2.5,0.6,94.4,0.3
E00105011,0.4,0,1.1,98.6,0
E00105012,0,0.3,0.7,99,0
E00105013,0.9,0,0,98.7,0.4
E00105014,5.7,2.9,0.4,90.7,0.4
E00105015,5.9,0.7,0.4,90.4,2.6
E00105016,3.8,1.4,1.2,93.4,0.2
E00105017,6.5,3.6,1.8,85.5,2.5
E00105018,0,0,0.3,99.5,0.3
E00105020,0.4,0,0,99.6,0
E00105021,0.6,0.6,1,97.8,0
E00105022,1.7,0,0.7,97.6,0
E00105023,1.2,1.2,1.8,95.1,0.6
E00105024,0.2,0,1.2,98.5,0
E00105025,4.2,1.7,3.8,90,0.3
E00105026,1.2,0,0.8,97.9,0
E00105027,1.8,0,2.6,95.6,0
E00105028,0,0.3,1.5,97.9,0.3
E00105029,4.5,0.4,0,94.3,0.8
E00105030,0.3,0,0,99.7,0
E00105031,0,0,0.3,99.2,0.6
E00105032,1,0,0,98.6,0.3
E00105033,3.1,0.3,1,94.2,1.4
E00105034,0,1.9,1.5,96.5,0
E00105035,1.7,0,0,98.3,0
E00105037,2.1,0.3,0.3,96.9,0.3
E00105038,0.8,0,1.1,98.1,0
E00105039,0.4,0,0.4,99.3,0
E00105040,1.6,0,0,98.4,0
E00105041,0,0,0,100,0
E00105042,1.3,0.3,0.5,97.8,0
E00105043,0,0.3,0,99.7,0
E00105044,0,1.5,0.9,96.9,0.6
E00105045,0,0,0.4,99.6,0
E00105046,0,0.4,0.4,98.9,0.4
E00105047,0,0,0,100,0
E00105048,4.4,0,2.3,90.6,2.6
E00105053,2.7,0,4.1,92.6,0.6
E00105055,7.8,0.6,3.2,86.3,2.1
E00105056,2.4,0,2.6,93.4,1.7
E00105062,1.2,0,0.6,98.2,0
E00105063,0.8,0,0.8,98,0.3
E00105064,2.7,0.9,0.9,95.5,0
E00105065,0.5,1.1,2.2,96.2,0
E00105066,0,0.8,2.4,96.8,0
E00105067,0,0,3.5,96.5,0
E00105068,0.5,2.2,2.2,95.1,0
E00105069,0.4,0,0,99.6,0
E00105070,0,0,1.7,98.3,0
E00105071,0,0,0,100,0
E00105072,0,0,0.4,98.9,0.8
E00105073,1.5,0.8,1.9,95.4,0.4
E00105074,0,0,0,100,0
E00105075,4.2,0.5,1.6,92.1,1.6
E00105077,12,1,5.5,81.5,0
E00105078,5.4,0.2,9,84.1,1.2
E00105079,8.5,0.5,5.9,82.1,3
E00105080,14.3,1,4.9,78.8,1.1
E00105101,3.7,0.3,4.7,89.7,1.7
E00105102,2.5,2.5,1.8,93.1,0
E00105104,7.3,0,6.6,84.2,1.9
E00105109,17.5,0.9,3.5,75.1,3
E00105110,0.4,0,1.3,98.2,0
E00105111,0.3,0,0,99.3,0.3
E00105112,0.3,0,0.6,99.1,0
E00105113,1.6,0.9,1.9,93.4,2.1
E00105114,0,1,0,98.8,0.2
E00105120,2.8,0,0.5,96.3,0.5
E00105127,0,0,1.2,98.8,0
E00105128,0,0,0.9,99.1,0
E00105158,9.9,2.2,1.4,82,4.4
E00105159,1.8,0,0,96.8,1.4
E00105160,0,1.4,2.4,94.6,1.6
E00105161,1.4,0,2.8,94,1.8
E00105188,0.7,0.4,1.1,97.8,0
E00105189,0.7,0,0,99.3,0
E00105190,0,0.6,0,99.4,0
E00105191,0.9,0,2.7,95.5,0.9
E00105192,0.5,0,0.5,98.8,0.2
E00105193,0,0.3,2,97.3,0.3
E00105194,1.2,1.7,2,95.1,0
E00105198,0.5,0,1.8,97.7,0
E00105200,0.3,0.8,1.1,97.7,0
E00105201,0.7,0,0,99.3,0
E00105206,0,1.8,0.7,96.8,0.7
E00105207,5.4,0,3,88.9,2.7
E00105208,0.7,0,0.7,96.6,2.1
E00105209,4.4,0,0,94.7,0.9
E00105345,0.6,0,0,98.8,0.6
E00105346,1.3,0.3,1.3,97.1,0
E00105485,0,0.3,2.7,96.9,0
E00105486,1.3,0,1,97.7,0
E00105487,0,0,2.1,97.5,0.4
E00105488,0,0,0.5,99.5,0
E00105489,0,0.7,0,97.8,1.4
E00105490,0.6,0.3,0,98.5,0.6
E00105491,0,0.5,0,99.5,0
E00105492,0.5,1,0,98.6,0
E00105493,0.5,0,1,98.5,0
E00105494,0,0.4,0,99.6,0
E00105495,0,0,0,100,0
E00105496,0,0,0,99.2,0.8
E00105497,3.6,0,2,93.9,0.5
E00105498,0.5,0,0,99.5,0
E00105499,0.5,0.2,0.5,98.8,0
E00105500,0.7,0,3.4,95.6,0.3
E00105501,0,0.4,0.4,99.2,0
E00105502,0.3,0.3,0.3,98.6,0.3
E00105503,0.5,0,1.9,97.2,0.5
E00105504,2.3,0,1.6,96.1,0
E00105510,0.4,0,1.2,98,0.4
E00105512,1.8,0.2,0.2,97.8,0
E00105526,0.8,0,3.3,95.1,0.8
E00105527,0,0,0.4,99.2,0.4
E00105528,0.7,0,0,99.3,0
E00105529,0,0,0.3,99.7,0
E00105530,0.7,0,0,99.3,0
E00105531,0.3,0,0.3,99.4,0
E00105532,0,1.4,0.4,97.9,0.4
E00105533,0,0,0.8,98.4,0.8
E00105534,2.9,0,0.5,94.8,1.9
E00105535,0.4,0,0,99.6,0
E00105536,0,0,0,100,0
E00105537,1.7,0,0.3,98,0
E00105538,1.4,0.4,2.5,95.7,0
E00105539,1.2,1.5,4.6,92.7,0
E00105540,0,0,1.2,98.8,0
E00105541,0.5,0,0.5,99.1,0
E00105542,0,0.4,0,99.6,0
E00105543,0,0,0,100,0
E00105544,0,1.1,0,97.4,1.5
E00105545,0,0,0.8,99.2,0
E00105546,0.8,0,0,99.2,0
E00105547,0.7,1,0.3,97.9,0
E00105548,0.5,0.2,0.5,98.8,0
E00105549,0.4,0,0.4,99.2,0
E00105550,1.4,0,1.4,96.8,0.5
E00105551,0.7,0,0.3,99,0
E00105552,0.8,0,0.8,98.4,0
E00105553,1.7,0,0,98.3,0
E00105554,0,0.5,0.9,96.8,1.8
E00105555,0,1.6,0.4,98,0
E00105556,2.2,0,0,97.8,0
E00105557,0.4,0.4,0.7,98.6,0
E00105558,0,0.9,0,99.1,0
E00105559,2,0,0,98,0
E00105560,2.3,0.6,2.3,94.9,0
E00105561,0,0,0.4,99.6,0
E00105562,0,0.4,0,99.2,0.4
E00105563,0,0,0.4,99.6,0
E00105564,0.6,0,0.9,98.2,0.3
E00105565,0.8,0,0.8,98.5,0
E00105566,1,0,0.3,98.7,0
E00105568,3,0,0.4,96.5,0
E00105569,0,0,0.2,99.8,0
E00105570,0,0,0,100,0
E00105572,0.5,0.5,1.4,97.2,0.5
E00105573,0.3,0,0.6,99.1,0
E00105574,0,0.7,1.3,98,0
E00105575,0.9,0,0.4,98.7,0
E00105576,1.1,0,1.1,97.3,0.5
E00105577,0,0,0,100,0
E00105578,0.6,0.6,0,98.7,0
E00105579,0,0,0,100,0
E00105580,0.5,0,0,99.5,0
E00105581,1.2,0,0,98.8,0
E00105583,0,0,0,100,0
E00105584,1.8,3.9,0.4,93.4,0.4
E00105585,0,0,0.4,99.6,0
E00105586,0,0,0,100,0
E00105587,0.9,0.9,1.2,97,0
E00105588,1.8,0,3.5,94.7,0
E00105589,0,0.4,0,98.4,1.2
E00105590,1.5,0,0.4,96.3,1.8
E00105591,0,0,0,100,0
E00105592,6.3,0,0,89.9,3.8
E00105593,0.3,0,0.7,99,0
E00105594,0,0,0.4,99.6,0
E00105595,0.2,0,0,99.8,0
E00105596,0,0.4,0,99.6,0
E00105597,1.3,0,0,98.7,0
