areacd,in_full_time_education-001,in_full_time_education-002
E00004801,17.1,82.9
E00004802,16.3,83.7
E00004803,24.4,75.6
E00004804,15.2,84.8
E00004805,25.6,74.4
E00004806,14.7,85.3
E00004807,24,76
E00004809,21.3,78.7
E00004810,19.2,80.8
E00004811,18.6,81.4
E00004812,24.2,75.8
E00004813,17.2,82.8
E00004814,7.3,92.7
E00004816,15.7,84.3
E00004817,20.5,79.5
E00004818,10.3,89.7
E00004819,21.8,78.2
E00004820,17.2,82.8
E00004821,5.8,94.2
E00004822,20.8,79.2
E00004823,24.7,75.3
E00004824,11.5,88.5
E00004825,10.9,89.1
E00004826,8,92
E00004827,21.5,78.5
E00004828,11,89
E00004829,16.2,83.8
E00004830,19.6,80.4
E00004831,22.9,77.1
E00004833,12.5,87.5
E00004834,18.5,81.5
E00004835,38.6,61.4
E00004836,21.9,78.1
E00004837,27.6,72.4
E00004838,11.6,88.4
E00004839,12,88
E00004840,13.9,86.1
E00004841,21.7,78.3
E00004842,15.5,84.5
E00004843,12.7,87.3
E00004844,14.4,85.6
E00004845,7.6,92.4
E00004846,13.1,86.9
E00004847,9.7,90.3
E00004848,19.5,80.5
E00004849,15,85
E00004850,13.1,86.9
E00004851,16,84
E00004852,13.1,86.9
E00004853,13.8,86.2
E00023434,29.3,70.7
E00023435,29.2,70.8
E00023438,28.9,71.1
E00023439,19.2,80.8
E00023441,23.3,76.7
E00174681,9.9,90.1
E00174686,20.9,79.1
E00174894,11.6,88.4
E00174895,25.2,74.8
E00174901,26.6,73.4
E00174902,16.9,83.1
E00178752,20.6,79.4
E00178756,44.4,55.6
E00178816,14.5,85.5
E00178907,15.3,84.7
E00178929,16.7,83.3
E00178955,21.6,78.4
E00178957,10.1,89.9
E00179019,25.3,74.7
E00190403,19,81
E00190415,15.9,84.1
E00190416,27.5,72.5
E00190422,16,84
E00190430,14,86
E00190452,22.7,77.3
E00190461,14,86
