areacd,sex-001,sex-002
E00025760,51.4,48.6
E00025761,50.1,49.9
E00025793,51.9,48.1
E00025997,50.5,49.5
E00025998,53.4,46.6
E00026006,42.7,57.3
E00026009,53.1,46.9
E00026012,50.4,49.6
E00026017,49.3,50.7
E00026019,35.4,64.6
E00026020,53.9,46.1
E00026023,53.3,46.7
E00026024,56.8,43.2
E00026025,53.5,46.5
E00026028,53.2,46.8
E00026032,52.6,47.4
E00026034,57.9,42.1
E00026454,52.6,47.4
E00026455,56.2,43.8
E00026457,53.6,46.4
E00026458,49.2,50.8
E00026460,49.4,50.6
E00026464,55.1,44.9
E00026465,50.3,49.7
E00026466,51.7,48.3
E00026468,49.3,50.7
E00026469,52.9,47.1
E00026470,49.3,50.7
E00026474,55.3,44.7
E00026475,53.1,46.9
E00026478,56.5,43.5
E00026479,54,46
E00026480,53.3,46.7
E00026481,53.9,46.1
E00026482,49.3,50.7
E00026483,52.5,47.5
E00026485,50.5,49.5
E00026487,48.4,51.6
E00026488,51.6,48.4
E00026575,52.3,47.7
E00026576,53.9,46.1
E00026577,49.5,50.5
E00026578,51.6,48.4
E00026579,50.3,49.7
E00026580,48,52
E00026581,51.2,48.8
E00026582,51.6,48.4
E00026583,44.8,55.2
E00026584,53.8,46.2
E00026585,49.7,50.3
E00026586,54.6,45.4
E00026587,53.8,46.2
E00026588,50.7,49.3
E00026589,52,48
E00026590,50.5,49.5
E00026591,51.6,48.4
E00026592,53.1,46.9
E00026593,50.1,49.9
E00026594,50.3,49.7
E00026595,53.8,46.2
E00026596,49.8,50.2
E00026597,48.3,51.7
E00026598,52.7,47.3
E00026599,55.4,44.6
E00026600,49.6,50.4
E00026601,56.3,43.7
E00026602,53.1,46.9
E00026603,54.8,45.2
E00026604,57,43
E00026605,50.4,49.6
E00026606,49.6,50.4
E00026608,51.4,48.6
E00026609,52.4,47.6
E00026610,48,52
E00026611,55.9,44.1
E00026613,53.4,46.6
E00026614,53.1,46.9
E00026615,50.7,49.3
E00026616,53.3,46.7
E00026617,54.1,45.9
E00026618,48.9,51.1
E00026619,47.9,52.1
E00026620,55.2,44.8
E00026621,52.2,47.8
E00026622,46.4,53.6
E00026623,54.5,45.5
E00026624,52.4,47.6
E00026625,48.9,51.1
E00026626,54,46
E00026627,57.9,42.1
E00026628,51.5,48.5
E00026629,58.4,41.6
E00026630,55.9,44.1
E00026631,42.7,57.3
E00026632,44,56
E00026634,51.3,48.8
E00026635,54,46
E00026636,48.8,51.2
E00026638,51.1,48.9
E00026639,53.7,46.3
E00026640,51.3,48.7
E00026641,51.1,48.9
E00026642,49.8,50.2
E00026643,52.2,47.8
E00026644,56.6,43.4
E00026645,50.1,49.9
E00026647,56.3,43.8
E00026648,52.4,47.6
E00026649,50.2,49.8
E00026650,50.4,49.6
E00026651,48.8,51.2
E00026652,52.7,47.3
E00026653,48.9,51.1
E00026654,50,50
E00026953,49.8,50.2
E00026954,50.8,49.2
E00026960,50.3,49.7
E00026962,53.7,46.3
E00026989,45.9,54.1
E00026992,51.2,48.8
E00026994,48.7,51.3
E00026995,54.1,45.9
E00026996,50.4,49.6
E00026997,49.1,50.9
E00026998,47.8,52.2
E00026999,52.8,47.2
E00027000,52.4,47.6
E00027001,51.8,48.2
E00027002,49.9,50.1
E00027003,53.6,46.4
E00027004,52.6,47.4
E00027005,54.3,45.7
E00027006,51,49
E00027007,53.9,46.1
E00027008,53.9,46.1
E00027009,51.9,48.1
E00027010,50.1,49.9
E00027047,54.3,45.8
E00027048,48.5,51.5
E00027049,50.9,49.1
E00027050,49.7,50.3
E00027051,51.3,48.7
E00027052,43.1,56.9
E00027053,47.7,52.3
E00027054,55,45
E00027055,50.1,49.9
E00027056,50.9,49.1
E00027057,50.4,49.6
E00027058,48.6,51.4
E00027059,50,50
E00027060,48.6,51.4
E00027061,50.5,49.5
E00027062,50.8,49.2
E00027063,44.8,55.2
E00027065,45.4,54.6
E00027066,49.7,50.3
E00027067,47.9,52.1
E00027068,52.5,47.5
E00027069,53.3,46.7
E00027070,48.9,51.1
E00027071,50.8,49.2
E00027072,47,53
E00027073,49.5,50.5
E00027074,52,48
E00027075,49.9,50.1
E00027076,51.4,48.6
E00027077,46.3,53.7
E00027078,52.2,47.8
E00027079,53.5,46.5
E00027097,48.5,51.5
E00027150,56,44
E00027151,54.4,45.6
E00027152,47.3,52.7
E00027153,47.5,52.5
E00027154,51.4,48.6
E00027155,50.9,49.1
E00027156,53.8,46.2
E00027157,47.3,52.7
E00027158,51.6,48.4
E00027159,52.3,47.7
E00027160,44.8,55.2
E00027161,49,51
E00027162,54.4,45.6
E00027163,49.3,50.7
E00027164,50.3,49.7
E00027165,55.5,44.5
E00027166,51.4,48.6
E00027167,49.5,50.5
E00027168,52.4,47.6
E00027169,53.7,46.3
E00027170,53.1,46.9
E00027171,52.6,47.4
E00027172,56,44
E00027173,50.2,49.8
E00027174,55,45
E00027175,50.5,49.5
E00027176,50.8,49.2
E00027177,63.7,36.3
E00027178,49.6,50.4
E00027179,48.7,51.3
E00027180,51.6,48.4
E00027181,51.4,48.6
E00027182,56.7,43.3
E00027183,56.2,43.8
E00027184,53,47
E00027185,49.2,50.8
E00027186,49.3,50.7
E00027187,53.4,46.6
E00027189,52.1,47.9
E00027190,55.4,44.6
E00027191,57.7,42.3
E00027192,53.2,46.8
E00027193,49.8,50.2
E00027194,52,48
E00027195,53,47
E00027196,53.7,46.3
E00027197,54.8,45.2
E00027198,58.2,41.8
E00027199,50.2,49.8
E00027200,55,45
E00027201,52.1,47.9
E00027202,54.3,45.7
E00027203,53.7,46.3
E00027204,48.4,51.6
E00027205,54,46
E00027206,50.2,49.8
