geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E00112696,80.8,14.6,1.5,2.3,0.8
E00112697,97.6,1.9,0,0,0.5
E00112698,89.4,6.7,2,0.8,1.2
E00112699,85.8,9.5,0.7,0.7,3.4
E00112700,85.8,7.7,5.2,0.6,0.6
E00112701,90.8,4.8,3.1,0.7,0.5
E00112702,79.6,18.4,0.7,1.4,0
E00112703,94.3,4,1.7,0,0
E00112704,96,2.8,0.8,0.4,0
E00112705,94.8,3,0.7,1.1,0.4
E00112706,92.3,5.5,0.9,0.9,0.5
E00112707,93.6,4.1,2,0.3,0
E00112708,94.3,4.6,0.4,0.7,0
E00112709,90,7.7,1.5,0.4,0.4
E00112710,96.1,3.2,0,0,0.6
E00112711,97.3,2.4,0.3,0,0
E00112712,94.1,5.2,0,0.7,0
E00112714,87.4,8.3,2.5,1.4,0.4
E00112719,90.4,7.7,0.8,0.3,0.8
E00112721,89.6,8.1,1.2,0.6,0.6
E00112722,92.7,5.7,0.8,0.8,0
E00112723,93.2,3.6,1.8,0,1.4
E00112724,91,4.6,2.1,2.1,0.2
E00112725,86.8,7.9,2.8,1.4,1.2
E00112726,87.6,8.2,1.7,1.1,1.4
E00112728,84.9,7.9,1.7,3.4,2.1
E00112851,92.1,4.3,0.5,1.3,1.8
E00112852,94.2,3.2,1.8,0.3,0.6
E00112854,90.9,5.4,1.4,0.6,1.7
E00112855,98.6,1.4,0,0,0
E00112856,92.5,5.8,0.9,0.9,0
E00112887,88.2,7.2,2.2,1.1,1.4
E00112888,94.2,3.1,0,2.7,0
E00112889,92.8,2.6,2.1,2.1,0.5
E00112890,91.3,5.1,1.5,1.1,1.1
E00112891,96.1,2.6,1.3,0,0
E00112894,92.7,3.1,2.8,1.2,0.3
E00112895,88.7,4.5,1.2,2.8,2.8
E00112897,88,4.7,2.1,3.9,1.3
E00112898,94,4.9,0.4,0.4,0.4
E00112905,90.1,5.6,2.3,2,0
E00112906,88.6,7.8,1.6,0.8,1.2
E00112907,86.5,8.2,3.4,1.4,0.5
E00112908,86.1,8.5,1.3,3.6,0.4
E00112910,89.3,7.5,1.3,1.8,0.3
E00112911,88.3,8.8,1.8,0.4,0.7
E00112954,88.4,7.3,1.7,1.4,1.2
E00145138,92.3,5,2,0,0.7
E00145139,89.7,7.3,1.3,1.3,0.3
E00145140,91.4,4.1,1.4,2.4,0.7
E00145141,94.7,2.9,1.8,0.6,0
E00145142,94.5,3.4,1.3,0.8,0
E00145143,97,2.2,0.3,0.3,0.3
E00145144,93.8,4.6,0,0.7,1
E00145145,91.2,7.3,0,1.1,0.4
E00145146,96.5,3,0.5,0,0
E00145220,91,4.2,1,1.2,2.7
E00145221,96.3,1.1,0.7,0.7,1.1
E00145222,91.2,6.4,1.6,0,0.8
E00145223,91.2,6.7,1.7,0,0.4
E00145224,91.7,6.2,1,0.8,0.4
E00146496,86.2,7.5,3.3,1,2
E00146497,94,5.2,0.4,0.4,0
E00146498,85.3,9.6,1.7,0,3.4
E00146499,91,6.4,1.5,0.6,0.6
E00146500,91.4,7.3,0.3,1,0
E00146501,94,4.2,0.9,0,0.9
E00146502,87.7,8.1,1.5,1.7,1.1
E00146568,95.1,3.8,0,0.4,0.8
E00146569,87.2,5.8,2,2.3,2.6
E00146570,96.2,2.3,1.5,0,0
E00146571,86.7,7.8,1.6,2,2
E00146572,92.9,5.1,0.8,0,1.3
E00146573,82.5,12.7,3.2,0.8,0.8
E00146574,91.7,6.3,1,1,0
E00146575,86.6,12.5,0,0.4,0.4
E00146576,88.7,7.1,1.9,1.3,1
E00146577,87.2,10.5,1.2,0.8,0.4
E00146578,89.5,7.4,1.9,1.2,0
E00146579,90,9.6,0.4,0,0
E00146580,86.2,10.2,1.2,0.8,1.6
E00146581,91.7,7.8,0.5,0,0
E00146582,96.4,1.6,0.8,1.2,0
E00146583,91.1,8.1,0.3,0.5,0
E00146584,93.4,5.4,0,0.6,0.6
E00146585,93.4,6.2,0,0,0.4
E00146586,90.1,9.3,0.6,0,0
E00146587,94.4,2.6,2.2,0,0.9
E00146588,93.4,5.8,0,0.8,0
E00146589,91.5,7.8,0.4,0.4,0
E00146590,91.4,5.7,2.9,0,0
E00146591,85.6,8,3.8,1.3,1.3
E00146592,84.7,7.8,3.2,2.6,1.7
E00146593,82.6,7.3,3.6,2.8,3.6
E00146594,94.9,4.2,0.3,0.3,0.3
E00146595,84.7,11.3,1.1,1.8,1.1
E00146596,95.8,2.5,0.8,0,0.8
E00146598,89.4,6.3,3.2,1.1,0
E00146599,86.1,6.9,5,0.5,1.5
E00146600,88.2,6.8,0,3.4,1.5
E00146601,89.1,5.3,2.6,2.6,0.4
E00146602,91.9,4.8,1.2,0.6,1.5
E00146603,93.6,5.1,0,1.3,0
E00146605,87.7,7.5,1.8,2.7,0.3
E00146606,82.2,8.9,2,3.3,3.7
