geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02000984,12.1,71.1,16.8
E02000985,9,74.4,16.6
E02000986,9.6,66.5,23.9
E02000987,9.9,64.3,25.8
E02000988,10.5,51.7,37.7
E02000989,7.9,74.8,17.3
E02000990,10.8,68.6,20.6
E02000991,11.7,59.9,28.4
E02000992,9.7,70.4,19.8
E02000993,12.1,52.5,35.4
E02000994,10.5,39.4,50.1
E02000995,10,65.1,24.9
E02000996,10,52.6,37.4
E02000997,11.4,65.5,23.1
E02000998,11.9,40.1,48
E02000999,12.2,42.6,45.2
E02001000,11.8,55,33.2
E02001001,10.8,50.8,38.4
E02001002,10.8,63.6,25.5
E02001003,9.1,66.9,24
E02001004,11.3,32.9,55.9
E02001005,14.9,38.1,47
E02001006,12,37.2,50.8
E02001007,9.6,67.5,22.9
E02001008,11.2,36.3,52.5
E02001009,10.8,52.8,36.3
E02001010,11.7,46.8,41.5
E02001011,10.9,71.2,17.9
E02001012,11.7,43.7,44.5
E02001013,9.6,66,24.4
E02001014,11,63.1,25.9
E02001015,9.6,57.9,32.6
E02001016,10.6,51.5,38
E02001017,11.4,63.3,25.3
E02001018,12.6,66,21.3
E02001019,11.4,65.8,22.7
E02001020,6.9,77.8,15.2
E02001021,11.6,70.9,17.6
E02001022,9.5,61.8,28.6
E02001023,10.6,66.4,23
E02001024,10.9,69.4,19.7
E02001025,10.3,54.3,35.3
E02001026,12.9,39.4,47.8
E02001027,11.2,57.6,31.3
E02001028,7.4,75.5,17.1
E02001029,12.7,45.8,41.6
E02001030,11.5,66.9,21.6
E02001031,11.4,58.7,29.9
E02001032,10.6,63.4,26
E02001033,13,59,28
E02001034,11.2,55.2,33.6
E02001035,10.1,69.1,20.8
E02001036,13.9,59,27.2
E02001037,10.4,68.3,21.3
E02001038,11.1,62.5,26.4
E02001039,12.3,54.8,32.9
E02001040,11.2,60.3,28.5
E02001041,12.7,57.7,29.6
E02001042,11.9,62.6,25.6
E02001043,10.8,57.3,31.9
E02001044,12.1,50.8,37.1
E02001045,11.8,51.3,36.8
E02001046,13.3,47.7,39
E02001047,13.4,53.3,33.2
E02001048,13.9,45.7,40.5
E02001049,12,55.8,32.2
E02001050,13.7,40.9,45.4
E02001051,15.1,46.1,38.8
E02001052,12,31.2,56.8
E02001053,12.6,40.5,46.9
E02001055,11.7,49.4,38.9
E02001056,12.8,43.6,43.6
E02001059,14.6,40.4,45
E02001061,13.7,43.9,42.4
E02001062,18.7,32.2,49.1
E02001063,37.5,26.1,36.5
E02001064,13.5,35.6,50.9
E02001065,13.6,45.6,40.9
E02001066,26.3,31,42.6
E02001067,13.6,37.1,49.3
E02001068,15.3,31.1,53.6
E02001069,21.7,30.7,47.6
E02001070,28.4,27,44.5
E02001072,16,41.2,42.8
E02001073,16.3,53.4,30.3
E02001074,13.9,39.4,46.8
E02001075,15.7,36.2,48.2
E02001076,42.6,33.1,24.3
E02001077,15.2,54.2,30.6
E02001078,15,46.1,38.9
E02001079,23.2,41.2,35.6
E02001080,35.6,41.5,22.9
E02001081,14.1,60.3,25.6
E02001082,27.1,49.1,23.8
E02001083,19.6,51.5,29
E02001084,24,48.1,27.9
E02001085,11.5,42.5,46
E02001086,13.1,50.4,36.5
E02001087,14.5,65.6,19.9
E02001088,14.8,53.9,31.2
E02001089,13,58,28.9
E02001090,12,59.2,28.8
E02001091,11.6,61,27.4
E02001092,14.8,50.9,34.3
E02001093,12.7,48.8,38.5
E02001094,12.5,46.9,40.6
E02001095,12.7,52.3,35
