geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E02000984,64.2,28.5,6.7,0.5,0
E02000985,55.2,33.1,10,1.6,0
E02000986,52.5,33.9,11.3,2.2,0.1
E02000987,43.4,33,17.6,5.8,0.1
E02000988,41,34.7,19.4,4.8,0.2
E02000989,53.8,33.5,10.9,1.7,0.1
E02000990,55.1,31.3,11.4,2.1,0.1
E02000991,48.7,33.9,13.5,3.7,0.1
E02000992,53.5,31.6,11.7,3.1,0.1
E02000993,38.6,32.4,21.6,7.1,0.3
E02000994,27.2,36.3,24.9,11,0.6
E02000995,49.2,32.3,13.5,4.9,0.2
E02000996,31.1,34.3,23.6,10.5,0.5
E02000997,52.1,32.4,12.1,3.3,0.1
E02000998,34.5,37,20.8,7,0.7
E02000999,24.6,35.6,27.5,11.9,0.5
E02001000,40.9,34.8,19.1,4.9,0.3
E02001001,46.6,33.5,14.7,4.8,0.3
E02001002,41.6,35.8,17.4,4.8,0.4
E02001003,57.1,32.2,9.2,1.6,0
E02001004,23.3,37.9,27.4,10.6,0.8
E02001005,34.7,35.5,21.5,7.5,0.8
E02001006,31.6,37.7,22.3,8.2,0.3
E02001007,44.1,35.5,16.2,4.1,0.1
E02001008,27.2,38,24.4,9.7,0.7
E02001009,38.4,36.7,19.7,4.9,0.3
E02001010,37.1,36.2,19.7,6.7,0.3
E02001011,55.9,31.1,11.1,1.8,0.1
E02001012,38.2,37.2,19.6,4.6,0.4
E02001013,52.6,32.1,12.9,2.4,0
E02001014,43.1,32.7,18,5.9,0.3
E02001015,36.9,35.1,20.6,7,0.3
E02001016,34.6,33.4,23.3,8.1,0.6
E02001017,46.6,33.3,15.6,4.4,0.1
E02001018,54.1,32.5,11.4,1.9,0.1
E02001019,54.3,30.5,11.8,3.3,0.1
E02001020,57.8,32.1,8.7,1.4,0
E02001021,58.6,31.5,8.3,1.2,0.3
E02001022,44.4,36.4,15.5,3.3,0.4
E02001023,48.3,34.9,12.7,3.9,0.3
E02001024,54.6,32.3,11.3,1.8,0.1
E02001025,34.5,34.9,22,8.1,0.5
E02001026,33.6,36.8,21.1,8,0.5
E02001027,45.5,35.6,14.7,3.9,0.3
E02001028,55.2,33.4,10.2,1.3,0
E02001029,36.2,36.3,20.8,6.7,0.1
E02001030,56.2,30.8,11,2,0
E02001031,45.2,34.2,15.9,4.6,0.1
E02001032,45.8,35,15.2,3.6,0.4
E02001033,46.8,33.1,15.6,4.1,0.4
E02001034,33.6,34.8,21.8,9.4,0.4
E02001035,53.9,33.4,11.2,1.4,0
E02001036,48.2,32.5,15.4,3.6,0.2
E02001037,55.6,32.8,10.3,1.4,0
E02001038,45.7,33.2,16,5.1,0
E02001039,42.5,33.5,19,4.8,0.2
E02001040,52.1,33.5,11.8,2.4,0.2
E02001041,48,31.6,15.5,4.6,0.3
E02001042,51.6,31.5,13.8,3,0.1
E02001043,49.2,32.4,13.8,4.3,0.3
E02001044,50.9,33.9,11.6,3.3,0.2
E02001045,33.6,35.8,22.2,7.9,0.5
E02001046,39,34.2,19.8,6.7,0.3
E02001047,37,34.4,21.2,7.1,0.3
E02001048,39.8,36.7,17,6,0.5
E02001049,42,34.2,18.2,5.4,0.2
E02001050,33.4,36.7,21.1,8.1,0.7
E02001051,38.5,36.4,18.3,6.4,0.4
E02001052,31.9,37.3,22.9,7.4,0.5
E02001053,29.7,36.3,21.7,11.7,0.7
E02001055,35.8,33.1,21.8,9,0.3
E02001056,29.7,35.2,23.7,10.6,0.8
E02001059,39.9,34,18.1,7.6,0.4
E02001061,34.7,34.1,22.1,8.4,0.6
E02001062,38.3,33.9,20.5,6.8,0.4
E02001063,47.6,32.2,14.7,5.1,0.3
E02001064,33.6,33.6,22.9,9.6,0.4
E02001065,36.7,36.6,20.2,6.2,0.3
E02001066,34.7,38,20.9,6,0.3
E02001067,34.3,34.7,22.2,8.3,0.5
E02001068,33,36.1,22.9,7.7,0.4
E02001069,37.5,36.5,19.5,6.1,0.3
E02001070,37.8,35.9,18.8,6.8,0.6
E02001072,47.2,32.1,15.5,4.9,0.3
E02001073,56.7,29.6,10.5,3,0.3
E02001074,40.7,32.5,19.4,7.2,0.2
E02001075,41.1,34.1,18.5,5.8,0.6
E02001076,40.7,37.6,17.9,3.6,0.3
E02001077,55.5,30.7,11.8,1.9,0.1
E02001078,42.8,35.7,16.8,4.4,0.3
E02001079,40.1,33.7,18.8,7.1,0.3
E02001080,45.5,33.6,15.9,4.4,0.6
E02001081,58.9,27.3,10.6,3.1,0.1
E02001082,56.8,29.6,10.6,2.8,0.1
E02001083,64.5,23.6,9.1,2.7,0.1
E02001084,51.1,30.7,14.2,3.8,0.2
E02001085,35.3,34.4,22.1,7.9,0.3
E02001086,53.1,29,13.3,4.2,0.4
E02001087,61.8,27.4,8.5,2.1,0.2
E02001088,41.3,34.4,17.4,6.7,0.3
E02001089,59.6,29.1,9.1,2,0.1
E02001090,49.1,30.9,14.8,4.9,0.4
E02001091,44.4,33.6,15.8,5.8,0.4
E02001092,40.7,33.8,18.2,6.9,0.4
E02001093,37.8,33,21,8,0.2
E02001094,31.7,33.9,24.5,9.6,0.4
E02001095,34.9,34,22.1,8.6,0.3
E02001096,38.8,33.3,20.4,7.3,0.2
E02001097,35.8,34.3,21.7,8,0.3
E02001098,43.4,38,15.5,3,0.1
E02001099,41.3,36,17.2,5.2,0.3
E02001100,47.1,35.2,14.1,3.5,0.2
E02001101,52.7,32.2,12.5,2.5,0.1
E02001102,51.2,32.6,13.5,2.5,0.1
E02001103,55.2,31.9,11,1.9,0
E02001104,50,32.9,13.2,3.9,0.1
E02001105,44.5,34.8,16.4,4.2,0.1
E02001106,43.8,35.2,16.3,4.5,0.1
E02001107,43.6,35.8,15.6,4.8,0.2
E02001108,37.2,34.7,20.7,7.1,0.3
E02001109,38,33.5,20.5,7.9,0.2
E02001110,61.3,29.7,7.9,1,0
E02001111,23.1,36.9,26.5,12.5,1
E02001112,54.8,33.9,10.1,1.2,0
E02001113,24.8,36.7,27,10.6,0.8
E02001114,38.4,34.6,20,6.7,0.3
E02001115,48.4,34,13.1,4.5,0.1
E02001116,33.3,38,21.2,7.2,0.4
E02001117,56.8,30.5,10.5,2,0.2
E02001118,52.7,32.7,12.6,2.1,0
E02001119,22.3,35.1,27.9,13.6,1
E02001121,25.1,35.4,27.9,11,0.6
E02001123,35.6,35.3,20.5,8.2,0.3
E02001124,33.6,34.1,23.1,8.4,0.7
E02001125,44.7,35.4,15.1,4.6,0.2
