geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02000984,96.5,2.5,0.5,0.3,0.1
E02000985,96.7,2.4,0.3,0.3,0.3
E02000986,92.7,5,0.7,0.9,0.7
E02000987,95.5,3,0.7,0.6,0.2
E02000988,81.8,12.1,2.1,2.1,1.8
E02000989,97,2.2,0.5,0.3,0
E02000990,93.4,3.7,1,0.9,0.9
E02000991,87.4,6.7,2,2.5,1.4
E02000992,97.1,2,0.4,0.3,0.2
E02000993,85.1,8.7,3.3,2,0.9
E02000994,65.4,17.7,7.1,5.4,4.4
E02000995,90.9,6.3,1.3,0.8,0.7
E02000996,88.6,5.8,2.9,2.1,0.5
E02000997,92.5,5,0.8,0.9,0.7
E02000998,62,15.1,7.3,9.5,6.1
E02000999,64.3,17.7,8.2,5.8,3.9
E02001000,83.9,8.2,2.4,3.2,2.4
E02001001,74.9,12.5,4.4,5.4,2.8
E02001002,92.6,4.6,1.4,0.8,0.6
E02001003,82,13.9,1.6,1.3,1.4
E02001004,52.8,24.5,10.7,7.9,4.1
E02001005,61.4,18.6,7.1,6.5,6.4
E02001006,59.6,23.1,6.6,6.7,4.1
E02001007,95.7,3.1,0.5,0.3,0.3
E02001008,60.3,22.6,7.4,6.2,3.6
E02001009,77.7,10.9,3.9,4.1,3.4
E02001010,79.4,9.6,3.9,3.9,3.2
E02001011,95.1,3.2,0.6,0.5,0.6
E02001012,75,14.3,3.7,3.3,3.7
E02001013,88.9,7.4,1.8,1,0.9
E02001014,95.3,3,0.9,0.4,0.4
E02001015,89.9,4.7,2.2,1.9,1.3
E02001016,86.7,6.6,2.3,2.4,2.1
E02001017,94.8,3.4,0.7,0.7,0.4
E02001018,95.4,3.4,0.7,0.3,0.2
E02001019,95.7,2.8,0.7,0.7,0.1
E02001020,96.5,2.8,0.3,0.2,0.1
E02001021,96.8,2.5,0.4,0.2,0.1
E02001022,89.9,6.1,1.1,1.7,1.3
E02001023,91.6,5.8,1.5,0.7,0.4
E02001024,96,2.9,0.5,0.4,0.2
E02001025,82.6,7.7,4.2,3.3,2.3
E02001026,67.5,14.1,6.4,6.9,5
E02001027,90.6,5,1.8,1.6,0.9
E02001028,94.7,4.2,0.4,0.4,0.3
E02001029,72.7,15.8,4.5,4,3
E02001030,95.7,3.3,0.5,0.4,0.2
E02001031,85.7,8.7,2.6,2.1,0.9
E02001032,94.1,3.9,0.8,0.7,0.4
E02001033,89.9,6.3,1.7,1.1,0.9
E02001034,89.1,5.5,2.4,1.7,1.2
E02001035,92.4,5.8,1,0.3,0.5
E02001036,91,5.5,1.7,1,0.9
E02001037,90.5,6.8,1.2,0.9,0.6
E02001038,86.1,8.5,2.8,1.7,1
E02001039,85.7,8.5,3,1.9,0.9
E02001040,88,8.2,1.6,1.1,1
E02001041,87.6,8,2.1,1.4,0.9
E02001042,85,9.3,2.7,1.8,1.3
E02001043,86.4,8.9,2.4,1.5,0.8
E02001044,79.5,13.1,2.8,2.8,1.8
E02001045,80.5,11.3,4.6,2.4,1.2
E02001046,73.1,15.1,6,3.6,2.1
E02001047,77.2,12.6,4.9,3.2,2
E02001048,67,17.4,6.2,5.5,3.9
E02001049,83.4,9.1,4.1,2.1,1.3
E02001050,59.8,16.6,9.7,8.7,5.3
E02001051,65.1,14.2,8.1,7.7,4.9
E02001052,48.2,24.5,11.5,8.7,7
E02001053,62.2,17.8,9.5,6.4,4.2
E02001055,75.9,11.5,5.4,5,2.3
E02001056,69.5,15.6,8.5,4,2.5
E02001059,61,18.7,8,7,5.3
E02001061,64.6,16.7,8.4,5.4,4.9
E02001062,51.3,23.1,6.6,7.1,11.8
E02001063,59.6,14.1,5.1,5.7,15.6
E02001064,55.8,24.3,8.3,7.3,4.2
E02001065,67,12.6,8.3,6.7,5.4
E02001066,52.5,19,7.6,9,11.8
E02001067,59.6,21,8.5,6.8,4.1
E02001068,52.3,28.6,7.9,6.2,5
E02001069,53.1,20.1,8.4,7.8,10.6
E02001070,57.8,17.6,5.4,6.1,13
E02001072,66.5,18.2,6.3,5.3,3.7
E02001073,80.5,13,2.3,2.2,2
E02001074,67,21.4,5.1,3.5,2.9
E02001075,61.3,16.9,8.8,7.1,6
E02001076,76.1,10.7,3.8,3.7,5.7
E02001077,80.3,12.9,2.8,2,1.9
E02001078,70.6,17.9,4.7,3.2,3.7
E02001079,73.4,17,4.1,3.1,2.3
E02001080,77.7,11.7,3.5,3.7,3.5
E02001081,87.3,7.5,2.3,1.7,1.2
E02001082,79.8,10,3.3,4.3,2.5
E02001083,79.6,10.5,3.9,3.5,2.5
E02001084,79.5,12.2,2.8,2.9,2.5
E02001085,73.8,16.8,4.9,2.4,2.1
E02001086,76.9,13.4,3.3,2.7,3.6
E02001087,82.7,9.6,3,2.7,2.1
E02001088,83,10.5,3.1,2.1,1.3
E02001089,78.9,13.8,2.8,2,2.5
E02001090,84.9,8.6,2.8,1.8,1.9
E02001091,85.7,8.6,2.4,1.5,1.8
E02001092,81.1,10.6,3.5,2.2,2.6
E02001093,80.2,10.2,4.2,3,2.4
E02001094,78.6,10.5,4.6,3.3,3
E02001095,81.7,9.4,4,2.5,2.4
E02001096,86.3,7.4,2.7,2.2,1.5
E02001097,81.4,9.8,4.6,2.7,1.6
E02001098,96,2.5,0.5,0.6,0.3
E02001099,94.1,3.1,1.4,0.8,0.6
E02001100,93.8,3.9,1.3,0.6,0.4
E02001101,96.9,2.4,0.3,0.1,0.3
E02001102,95.4,3.2,0.7,0.4,0.3
E02001103,96.8,2.5,0.2,0.4,0.1
E02001104,93.8,3.7,1.3,0.6,0.6
E02001105,94.8,3.2,1,0.9,0.2
E02001106,92.2,5.5,0.8,0.8,0.7
E02001107,82.3,11.6,2.7,1.8,1.5
E02001108,88.9,4.8,3.3,2.3,0.7
E02001109,89.4,4.4,2.3,2,1.8
E02001110,97.1,2.1,0.4,0.2,0.3
E02001111,65.1,15.6,8.7,7.3,3.3
E02001112,92.6,5.3,1.4,0.5,0.3
E02001113,61.7,26.8,4.5,4.2,2.9
E02001114,84.3,10.5,2.4,1.5,1.2
E02001115,95,3,1.1,0.7,0.3
E02001116,62.8,14.5,6.6,10.8,5.3
E02001117,96.9,2.5,0.3,0.2,0.2
E02001118,97.2,2.1,0.4,0.1,0.2
E02001119,62.8,23.9,4.4,5.1,3.8
E02001121,61,21.6,6.4,6.5,4.6
E02001123,82.3,9.3,3.6,3.1,1.7
E02001124,81.3,10.2,3.3,3,2.3
E02001125,91.6,5.6,1.6,0.8,0.4
E02001126,77.7,11.1,4.5,4.1,2.6
E02001127,87.2,6.3,3,2.1,1.3
E02001128,90.4,4.7,2,1.7,1.2
E02001129,87.4,5.3,2.6,3.4,1.3
E02001130,95,3,1,0.8,0.3
E02001131,94.2,3.4,1.4,0.6,0.4
E02001132,95.8,2.8,0.5,0.4,0.4
E02001133,96.7,2.6,0.4,0.3,0.1
E02001134,95,3.8,0.5,0.3,0.4
E02001135,80.9,12.5,2.8,1.7,1.9
E02001136,87.5,9.3,1.2,1,0.9
E02001137,93.2,5.3,0.5,0.5,0.5
E02001138,92,6.3,0.8,0.4,0.5
E02001139,64.5,23.1,4.1,4.6,3.7
