geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E02000984,48.6,38,12.5,0.7,0.1
E02000985,50.5,36,12.5,0.9,0.1
E02000986,30.7,43.8,23.3,1.8,0.3
E02000987,28.8,43.5,25.6,2,0.1
E02000988,22.8,40.7,31,4.5,1
E02000989,46,38.8,14,1.1,0.1
E02000990,42.4,37.1,18.8,1.5,0.1
E02000991,32.6,39.4,23.5,3.8,0.7
E02000992,39.7,40.6,18.1,1.5,0
E02000993,19.7,36.1,38.6,4.8,0.8
E02000994,11.2,31.3,43.8,10,3.7
E02000995,39.2,34.8,21.8,3.6,0.7
E02000996,20.1,31.8,41.1,6.4,0.6
E02000997,45,34.9,18,1.8,0.3
E02000998,15.4,33.5,38.3,8.9,4
E02000999,8.7,28.6,53.4,7.1,2.1
E02001000,24.7,40,30.7,3.7,0.8
E02001001,31.1,36.2,24.8,6.4,1.5
E02001002,30.4,39.9,26.2,2.9,0.5
E02001003,59.1,27.7,10.8,1.5,0.9
E02001004,11.3,29.2,41.2,13.9,4.4
E02001005,17,31.7,38.2,8.9,4.3
E02001006,15.5,35.6,34,11.3,3.6
E02001007,35.2,40.2,22.2,2.2,0.2
E02001008,14.3,29.2,38.7,13.5,4.3
E02001009,22.4,36.1,34.8,5.6,1.1
E02001010,17.8,39.9,33.7,6.7,2
E02001011,43.7,38.1,16.9,1.3,0
E02001012,30.1,31,26.6,6.6,5.7
E02001013,44,37,17,1.7,0.3
E02001014,29.8,40.2,27.7,2.1,0.2
E02001015,20,39.2,36.5,3.7,0.5
E02001016,23.9,34.6,35.6,5,0.8
E02001017,32.3,39.8,25,2.7,0.2
E02001018,44.9,37.2,15.9,1.7,0.3
E02001019,31.5,42.7,23.8,1.9,0.1
E02001020,53.1,33.6,12.3,0.9,0
E02001021,48.2,36.6,14.2,0.8,0.2
E02001022,35.7,36.4,24.5,2.5,0.9
E02001023,47,30.3,19.2,3.2,0.3
E02001024,40,41.3,17.1,1.5,0.1
E02001025,20.9,34.2,37.4,6.7,0.8
E02001026,10.1,38.1,39.9,8.8,3.1
E02001027,20.7,42.9,32.2,3.6,0.6
E02001028,55.1,31.3,12.6,0.9,0.1
E02001029,22.5,35,33.5,6.8,2.2
E02001030,47.5,35.9,15.3,1.2,0.2
E02001031,31.7,36.1,28.9,2.9,0.4
E02001032,33.1,40.6,23.5,2.5,0.3
E02001033,28.5,41.1,26.4,3.7,0.3
E02001034,14.7,35.7,44.5,4.5,0.6
E02001035,51.3,32,15.3,1.2,0.2
E02001036,36.9,35.7,23.9,3.1,0.4
E02001037,51.1,35.9,11.7,1.1,0.2
E02001038,29.5,38.3,29.8,2,0.4
E02001039,32.3,34.6,28.8,3.8,0.5
E02001040,46,34.7,17.2,1.7,0.5
E02001041,33.8,36.3,26,3.3,0.5
E02001042,37.6,31.8,27.9,2.5,0.2
E02001043,37.6,36.4,22.4,3.2,0.4
E02001044,40.8,26.7,25.3,5.7,1.5
E02001045,24.2,36.4,33.1,5.5,0.7
E02001046,26.7,35.1,30.9,6.1,1.2
E02001047,25.2,36.1,33.6,4.5,0.6
E02001048,23,34.5,33.1,7.3,2.2
E02001049,34.1,36.3,24.7,4.3,0.5
E02001050,17.5,33,37.2,10.2,2.2
E02001051,25.6,32.1,33.1,7.6,1.6
E02001052,15.2,25.3,41.2,13.4,4.9
E02001053,14.6,28.2,45.3,9.9,2
E02001055,20.9,33.9,36.9,7,1.3
E02001056,20.9,29.1,41.3,7.5,1.2
E02001059,14.9,34.6,41.4,7.7,1.4
E02001061,20.4,32.6,37.5,7.9,1.6
E02001062,15.8,28.2,44.9,9.1,2
E02001063,12.5,35.1,44.5,6.7,1.2
E02001064,15.8,30.5,40.2,10.5,3
E02001065,19.9,35.4,35.3,7.8,1.5
E02001066,15.6,21.9,48.1,10.9,3.4
E02001067,16.8,31.1,39.4,10.4,2.3
E02001068,13.6,27.1,41.1,12.9,5.2
E02001069,14.4,30.9,40.4,11.1,3.3
E02001070,16.3,23.6,46.8,9.5,3.9
E02001072,22.1,28,42.5,5.8,1.5
E02001073,34.5,29.4,32.5,2.5,1
E02001074,21.7,32,36.7,6.6,2.9
E02001075,21.5,30.2,36.1,9.8,2.5
E02001076,26.3,26.6,40.4,5,1.5
E02001077,37.6,30,28.5,2.8,1.1
E02001078,32.7,31.7,27.4,6.4,1.8
E02001079,25.6,33.6,32.7,6.3,1.9
E02001080,23.4,29.6,41.3,4.6,1.2
E02001081,35.7,40.4,21.3,2,0.6
E02001082,28,28.3,40.7,2.5,0.5
E02001083,21.4,34.3,41.8,2.2,0.3
E02001084,34.9,30.1,30.4,3.5,1
E02001085,24.4,33.2,32.9,8.3,1.2
E02001086,29.2,36.5,30.4,3.3,0.7
E02001087,37.2,34.7,26.9,1.1,0.1
E02001088,32.5,35.5,27.3,4.2,0.6
E02001089,43.3,35.5,18,2.7,0.5
E02001090,35.3,37.1,24.6,2.2,0.8
E02001091,29,39,28.1,3.6,0.3
E02001092,25.7,38.1,31.2,3.9,1.1
E02001093,23,43.4,28.3,4.8,0.6
E02001094,20.5,34.8,38.6,5.1,1
E02001095,23.5,38.5,32,5.1,0.9
E02001096,29.2,38.4,27.6,4.1,0.6
E02001097,23.9,41.4,29.2,4.7,0.8
E02001098,33.3,41.1,23.2,2.2,0.3
E02001099,23.8,42.9,30.1,2.7,0.6
E02001100,37.3,35.8,24.2,2.6,0.2
E02001101,45,35.8,17.4,1.5,0.3
E02001102,36.2,41.8,19.6,2.2,0.2
E02001103,45.6,33.4,19.9,0.9,0.2
E02001104,36.1,37.8,22.8,3,0.4
E02001105,31.3,38,28,2.4,0.4
E02001106,24.4,40.9,31.9,2.3,0.4
E02001107,29.9,34.3,28,6.1,1.6
E02001108,14.7,39.5,38.3,6.6,0.8
E02001109,20.9,35.6,37.4,5.1,1.1
E02001110,47.4,37.2,14.2,1.2,0
E02001111,9.3,25.6,51.7,9.6,3.8
E02001112,47.2,36.1,15.1,1.4,0.2
E02001113,12.3,26.5,35.9,17.3,8
E02001114,23.1,38.1,31.8,5.9,1.2
E02001115,29,40.8,26.7,3.1,0.3
E02001116,16.1,37.3,29.6,12.3,4.7
E02001117,44,35.5,19.1,1.3,0
E02001118,42.7,37.3,18.5,1.5,0
E02001119,13.8,25.9,30.9,17.9,11.5
E02001121,13,26,41.5,14.5,5
E02001123,19.2,37.4,35.3,6.8,1.3
E02001124,15.8,35.3,40.9,6.7,1.2
E02001125,32.8,39.4,24,3.4,0.4
E02001126,14.3,36.8,37.9,8.4,2.6
E02001127,21.9,35.9,34.4,7,0.9
E02001128,21.9,44.8,28.4,4.2,0.6
E02001129,18.6,43.7,32.5,4.6,0.5
E02001130,32.6,36.1,28.4,2.7,0.3
E02001131,34,39.6,23.2,2.8,0.4
E02001132,31.9,42.6,23.5,1.9,0.1
E02001133,45.4,36.2,16.8,1.2,0.4
E02001134,49.2,32.3,17.3,1.1,0.2
E02001135,19.3,32,40.4,6.8,1.5
E02001136,34.1,38.1,23.8,3.3,0.7
E02001137,44.8,40.1,13.5,1.4,0.2
E02001138,48.7,33.6,15.9,1.6,0.2
E02001139,13.8,31.9,36.5,12.6,5.2
E02001140,26,34.2,32.5,5.6,1.7
E02001141,12.3,30.7,45.4,9,2.7
E02001142,54.4,30.2,13.3,1.6,0.5
E02001143,21.8,32.6,34,9,2.5
E02001144,29.4,40.2,28,2.1,0.2
E02001145,38,38.9,21.3,1.7,0.1
E02001146,15.1,28.4,36.8,13.9,5.8
E02001147,24.6,32.9,35.5,6.1,0.9
E02001148,29.9,36.3,29.8,3.1,0.8
E02001149,19.1,37.9,38.6,4.2,0.3
E02001150,28,37.1,30.8,3.6,0.5
E02001151,38.3,35.9,22.8,2.7,0.3
E02001152,29.8,34.5,30.7,4.4,0.6
E02001153,25.6,38.7,30.3,4.7,0.8
E02001154,26.7,38.5,30.7,3.8,0.3
E02001155,24.7,36.7,34.6,3.7,0.3
E02001156,44.9,33.8,18.7,2.2,0.5
E02001157,17.4,32.4,42.8,6.5,0.8
E02001158,24.1,34.4,36.5,4.6,0.4
E02001159,29.7,39,27.8,3.3,0.2
E02001160,31.4,33.1,29.9,5.2,0.3
E02001161,27.4,40.7,28.1,3.5,0.4
E02001162,27.8,40.3,28.2,3.3,0.4
E02001163,38.4,39.6,20,1.8,0.2
E02001164,26.1,37.3,31.7,4.4,0.5
E02001165,28.7,41.1,27,2.7,0.4
E02001166,28.7,26.9,34.3,6.8,3.2
E02001167,28.6,33.3,32.9,4.4,0.9
E02001168,31.8,37.3,26.8,3.8,0.3
E02001169,54.4,33,11.5,1,0.1
E02001170,53.4,32,13.7,0.8,0.1
E02001171,46.4,35.9,15.5,1.7,0.5
E02001173,18.2,32.3,42.1,5.8,1.6
E02001174,40,34.2,22.3,2.8,0.7
E02001175,35.7,33.3,26.6,3.7,0.7
E02001176,32.4,34.1,30.6,2.5,0.4
E02001177,26.8,35.7,33.2,3.8,0.5
E02001179,19.7,41.3,33.4,4.7,0.8
E02001180,9.6,39.4,44.4,5.9,0.7
E02001181,23.7,34.5,36.6,4.6,0.6
E02001182,19.1,36.7,38.7,4.7,0.9
E02001183,20.2,39.6,34.4,4.6,1.2
E02001185,37.7,36.8,22.2,2.9,0.4
E02001186,34,35.7,27.2,2.7,0.4
E02001187,31.6,38.9,26,3.3,0.3
E02001188,20,37.8,36.3,5.2,0.7
E02001189,34.8,40.4,22.5,1.9,0.4
E02001190,16.8,28.2,47.9,6.5,0.6
E02001191,39.2,34.5,24.5,1.4,0.3
E02001192,43,27.3,27.6,1.8,0.2
E02001193,18.9,42.9,33.8,3.9,0.5
E02001194,50.2,30.5,17.4,1.6,0.3
E02001195,33.7,43.7,20.5,1.8,0.3
E02001196,44.8,33.4,20.2,1.4,0.2
E02001197,41.1,35.4,21.2,2.1,0.3
E02001198,31.7,35.1,30,2.7,0.4
E02001199,42,36,20,1.5,0.6
E02001200,10.1,33.5,51.2,4.7,0.4
E02001201,34.3,40.9,23,1.5,0.3
E02001202,12.8,45.1,37.2,4.3,0.6
E02001203,60.7,28.6,9.9,0.7,0
E02001204,33.9,39.2,23.9,2.7,0.3
E02001205,22.6,40.2,33.8,3.2,0.3
E02001206,48.6,31.5,18.4,1.3,0.3
E02001207,46.1,33.8,18.7,1.3,0.1
E02001208,29.9,43.4,24.5,2,0.2
E02001209,24.8,44.2,27.7,3,0.4
E02001210,31.4,33.2,31,3.9,0.5
E02001211,47.8,33.6,16.8,1.7,0.1
E02001212,29.3,33.4,31.7,4.8,0.9
E02001213,38.3,36.7,23.6,1.3,0.1
E02001214,45.7,30.1,21.5,2.3,0.4
E02001215,47.4,32.8,18.1,1.6,0.2
E02001216,49,30.8,18.6,1.4,0.2
E02001217,26.3,42,29,2.3,0.4
E02001218,55.6,31,12.1,1.2,0.1
E02001219,56,31.4,11.9,0.6,0.1
E02001220,48.7,31.7,17.8,1.4,0.3
E02001221,59.4,29.6,10.1,0.9,0
E02001222,49.9,33.2,14.4,1.7,0.8
E02001223,61.1,27.7,10.2,0.9,0.1
E02001224,50.8,36.7,11.9,0.5,0.1
E02001225,51.8,31.4,15.9,0.9,0.1
E02001226,44.1,34,18.6,2.9,0.5
E02001227,63,28.5,7.9,0.5,0
E02001228,66.6,24.7,8,0.6,0.1
E02001229,27.6,46.5,24.1,1.5,0.2
E02001230,44.8,34.2,18.1,2.6,0.4
E02001231,36.8,36,24.2,2.5,0.4
E02001232,23.2,37.6,32.6,5.8,0.8
E02001233,25.1,34.6,34.8,4.7,0.8
E02001234,21.8,36.2,34.8,6.3,1
E02001235,27,39.7,28,4.5,0.7
E02001236,23.6,32.9,39,4.1,0.5
E02001237,28.4,39.8,28.4,3.1,0.4
E02001238,31.3,36.7,28.3,3.1,0.5
E02001239,28.4,38.9,28.9,3.4,0.5
E02001240,35.2,37.7,22.8,3.7,0.6
E02001241,9.7,33.8,45.7,8.4,2.4
E02001242,40.2,39.8,17.7,2.2,0.2
E02001243,39.1,35,24,1.7,0.1
E02001244,40,41.3,16.5,2,0.2
E02001245,22.7,37.5,36,3.3,0.5
E02001246,26.5,33.2,36.5,3.4,0.5
E02001247,26.2,38,31.7,3.6,0.5
E02001248,24,38.2,33.8,3.4,0.6
E02001249,25.9,39.8,31.7,2.4,0.2
E02001250,43,37.1,17.7,1.7,0.5
E02001251,37,40.8,20,2,0.2
E02001252,38.7,42.5,17.1,1.6,0.2
E02001253,27.9,45.9,24.1,1.9,0.2
E02001254,29.4,37.9,29.1,3.1,0.4
E02001255,27.7,37.7,29.9,4,0.7
E02001256,16.6,37.8,37,6.7,1.9
E02001257,28.7,39.4,28.5,3.2,0.4
E02001258,39,38.9,20,1.8,0.3
E02001259,17.2,28.6,44.3,8.1,1.8
E02001260,47.9,32.5,17.9,1.5,0.2
E02001261,27.9,37.5,29.6,4.4,0.6
E02001262,34.2,28,30.6,5.6,1.7
E02001263,49.7,34.7,14.5,1,0.1
E02001264,37.6,35,22.8,3.9,0.6
E02001265,40.1,35.3,22.6,1.8,0.2
E02001266,27.9,36.7,32.2,2.9,0.3
E02001267,32.6,34.3,31.5,1.5,0.2
E02001268,48.2,35.3,15.4,1,0.2
E02001269,32,32.7,31.3,3.6,0.4
E02001270,33.9,38.8,25.5,1.8,0.1
E02001271,33.4,38.4,25.4,2.5,0.2
E02001272,45.3,35.5,17.9,1,0.3
E02001273,28.8,37.1,31.7,2.2,0.2
E02001274,56.2,28.7,13.7,1.3,0.1
E02001275,30,35.1,30,4.2,0.6
E02001276,37.9,33.6,25.3,2.8,0.5
E02001277,26.7,37.6,31.7,3.5,0.4
E02001278,44.7,35.1,18.5,1.6,0.1
E02001279,57.2,31,11.2,0.6,0.1
E02001280,35.2,32.8,28.9,2.5,0.6
E02001281,51.8,34.8,12.5,0.7,0.2
E02001282,33.9,40,23.7,2.2,0.1
E02001283,43.5,34.9,19.8,1.6,0.1
E02001284,56.1,31.8,11.2,0.8,0.1
E02001285,52.8,31.5,14.3,1.3,0.2
E02001286,62.3,25.6,10.6,1.2,0.2
E02001287,49.5,35.9,13.4,1.1,0.2
E02001288,49.4,34.2,14.7,1.4,0.3
E02001289,49.2,37.1,12.7,1,0.1
E02001290,41.6,38.2,18.6,1.6,0.1
E02001291,34.2,39.3,24.3,2,0.2
E02001292,41.6,35.3,21.1,1.7,0.2
E02001293,45.6,35.2,17.2,1.8,0.2
E02001294,31.8,38.2,27.9,1.8,0.3
E02001295,18.2,39.9,38.2,3.4,0.3
E02001296,23.8,32.6,38,4.9,0.8
E02001297,30.9,39.7,27,2.1,0.3
E02001298,26.2,39.9,29.5,4,0.4
E02001299,34.3,41.6,21.9,1.9,0.3
E02001300,32,42.5,22.6,2.7,0.2
E02001301,24.6,42.3,30.5,2.4,0.2
E02001302,35.8,34.3,26.9,2.7,0.2
E02001303,30.6,35.2,30.2,3.7,0.3
E02001304,44.5,38.7,15.5,1.2,0.1
E02001305,44.3,37,17,1.6,0.1
E02001306,43.7,38.1,16.8,1.2,0.2
E02001307,53.1,35.2,10.8,0.8,0.1
E02001308,33.5,40.3,24.1,1.7,0.4
E02001309,28.9,46.4,23.2,1.5,0.1
E02001310,29.9,42.1,24.8,2.8,0.4
E02001311,29.3,43.6,24.8,2.2,0.1
E02001312,34.2,43.2,19.6,2.6,0.4
E02001313,31.3,35.6,28.8,3.9,0.3
E02001314,46.3,34.9,17,1.8,0
E02001315,48.2,35.9,14.9,1,0
E02001316,17.6,45.3,32.1,4,0.9
E02001317,35.6,37.6,24.5,2.1,0.2
E02001318,39.1,35.4,23.1,2.2,0.2
E02001319,31.9,40.7,24.2,2.7,0.5
E02001320,30.4,41.4,25.4,2.5,0.3
E02001321,39.6,40.4,18.5,1.4,0.1
E02001322,41.3,38.5,18.5,1.7,0.1
E02001323,37.9,37.7,21.8,2.3,0.2
E02001324,34,40.1,23.4,2.1,0.3
E02001325,50.4,34,14.4,1,0.1
E02001326,44.4,35.9,18.1,1.4,0.2
E02001333,31.1,41.3,25.1,2.2,0.2
E02001335,40.3,39.3,18.4,1.9,0.1
E02001339,31.8,37.8,26.5,3.4,0.4
E02001406,50.9,34.9,13,1.1,0.1
E02001407,50.9,33.7,14.2,1.1,0.1
E02001408,49.2,34.4,14.8,1.4,0.2
E02001409,37.5,37.8,22.8,1.6,0.2
E02001410,38,39.3,20.4,2.2,0.1
E02001411,38.9,37.7,21.7,1.4,0.2
E02001412,43.7,34.6,19.8,1.8,0.2
E02001413,42.6,35.2,19.8,2.2,0.2
E02001414,56.7,31,11.3,0.8,0.1
E02001415,37.5,36.8,23.5,2,0.3
E02001416,23.5,43.3,29.2,3.7,0.4
E02001417,17.4,43.5,36.6,2.4,0.1
E02001418,28.1,42.7,26.7,2.2,0.3
E02001419,18.1,44.7,33.3,3.6,0.4
E02001420,40.5,38.3,19.3,1.8,0.2
E02001421,32.9,43.2,21.4,2.2,0.3
E02001422,30.7,37.8,27.7,3.4,0.4
E02001423,55.2,29.9,13.4,1.3,0.1
E02001425,39.5,37.8,20.1,2.2,0.3
E02001426,42.6,35.4,20.3,1.7,0
E02001427,39.3,36.1,21.6,2.8,0.3
E02001428,54.9,33,10.8,1.3,0
E02001509,44,37.9,16.3,1.8,0.1
E02001510,34.7,43.6,20.2,1.4,0.2
E02001511,38.7,42.8,16.6,1.7,0.1
E02001512,39.6,40.7,18,1.6,0.1
E02001513,50.2,35.2,13.3,1.3,0
E02001515,27.4,38.5,30.5,3.3,0.3
E02001516,35.4,41.2,21,2.1,0.3
E02001517,40,37,21.6,1.3,0.1
E02001518,39.9,36.4,21.8,1.7,0.2
E02001519,35,42.1,20.7,2.1,0.2
E02001520,44.5,38.5,15.8,1.1,0.2
E02001521,24.1,41.3,30.9,3.4,0.3
E02001523,37.5,42.1,18.6,1.7,0.2
E02001524,60.5,30.1,8.6,0.6,0.1
E02001525,21.3,36.5,38.8,3.1,0.3
E02001526,27.5,40.1,28.9,3,0.6
E02001527,41.6,38.3,18.8,1.2,0.1
E02001529,34.2,38.3,25.5,1.9,0.1
E02001531,28.8,45.8,23.2,2,0.2
E02001532,47.8,36.6,14.6,0.9,0.1
