geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02000984,2.6,0.2,1.9,95,0.3
E02000985,1.8,0.3,1.5,96,0.4
E02000986,16.3,0.7,1.7,80.6,0.7
E02000987,1.6,0.8,1.5,95.8,0.2
E02000988,33.2,3,2.2,60.1,1.5
E02000989,1.2,0.4,1.4,96.6,0.3
E02000990,4.1,1.1,1.9,92.1,0.7
E02000991,17.7,1.3,2.3,77.8,0.9
E02000992,1.1,0.6,1.5,96.5,0.3
E02000993,7,6.6,3.2,81.9,1.3
E02000994,50.3,7.8,2.2,35.8,3.8
E02000995,9.1,2.8,2.3,85,0.7
E02000996,2.4,5.8,4.3,85.9,1.6
E02000997,7.1,0.8,2.4,88.8,0.9
E02000998,42.9,6,3,45.2,2.8
E02000999,29.5,13.5,2.7,47.9,6.4
E02001000,15.1,4,2.2,77.7,1
E02001001,35.6,5.1,3.2,52.4,3.6
E02001002,4.5,2.6,2.6,89.6,0.7
E02001003,34.9,1.1,2.1,60.1,1.9
E02001004,55.7,16.9,2.2,19.6,5.6
E02001005,49.3,5.6,2.2,39,3.9
E02001006,58.5,6.3,2.3,28.2,4.6
E02001007,2.9,0.9,1.4,94.5,0.4
E02001008,53.8,9.5,3,28.4,5.3
E02001009,30.9,4.4,2.5,59.7,2.5
E02001010,29.4,2.9,2.1,64,1.7
E02001011,3.4,0.8,2.2,92.9,0.6
E02001012,41.1,4,1.7,50.3,2.9
E02001013,19.5,1.4,2.1,75,1.9
E02001014,1.9,0.7,1.8,95.2,0.4
E02001015,6.3,2.8,1.7,88.2,0.9
E02001016,8.2,4.2,2.7,83.6,1.4
E02001017,2.1,1.3,1.8,94,0.7
E02001018,1.9,0.9,1.9,94.6,0.6
E02001019,3.4,0.5,2.1,93.6,0.4
E02001020,1.3,0.3,1.6,96.6,0.2
E02001021,0.8,0.3,1.6,97,0.2
E02001022,12.6,1.7,2.3,82.6,0.8
E02001023,7.8,1.4,2.4,87.3,1
E02001024,2.1,0.9,1.5,95.2,0.3
E02001025,11.3,5.9,3.3,76.7,2.9
E02001026,41.6,2.8,2.6,49.8,3.1
E02001027,7.3,1.8,2.4,87.3,1.2
E02001028,5.3,0.6,1.4,92.1,0.6
E02001029,38,2.2,2.9,54.8,2.2
E02001030,3.3,0.6,1.7,94,0.4
E02001031,17.6,1.4,2.7,76.7,1.6
E02001032,3.5,1,1.9,93.1,0.5
E02001033,7.6,1.9,3.4,85.6,1.5
E02001034,6.6,3,2.9,86,1.4
