geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02000984,56.6,43.4
E02000985,55.1,44.9
E02000986,48.4,51.6
E02000987,37.6,62.4
E02000988,43.2,56.8
E02000989,53.1,46.9
E02000990,47.5,52.5
E02000991,49,51
E02000992,48,52
E02000993,32.7,67.3
E02000994,45.5,54.5
E02000995,46.9,53.1
E02000996,32.4,67.6
E02000997,49.2,50.8
E02000998,44.4,55.6
E02000999,33.9,66.1
E02001000,37.6,62.4
E02001001,49.4,50.6
E02001002,42.8,57.2
E02001003,60.6,39.4
E02001004,48.7,51.3
E02001005,46.4,53.6
E02001006,52.7,47.3
E02001007,47.1,52.9
E02001008,48.8,51.2
E02001009,47,53
E02001010,39.8,60.2
E02001011,51.2,48.8
E02001012,50.4,49.6
E02001013,54.5,45.5
E02001014,40.6,59.4
E02001015,32.1,67.9
E02001016,35.5,64.5
E02001017,39.9,60.1
E02001018,51.4,48.6
E02001019,43.4,56.6
E02001020,59.8,40.2
E02001021,54.2,45.8
E02001022,45.3,54.7
E02001023,50.6,49.4
E02001024,49.6,50.4
E02001025,38.7,61.3
E02001026,41.6,58.4
E02001027,35.7,64.3
E02001028,60.6,39.4
E02001029,44.7,55.3
E02001030,51.7,48.3
E02001031,43.8,56.2
E02001032,42.8,57.2
E02001033,38,62
E02001034,29.8,70.2
E02001035,52.3,47.7
E02001036,41.6,58.4
E02001037,54.9,45.1
E02001038,38.5,61.5
E02001039,36.7,63.3
E02001040,46.3,53.7
E02001041,36.6,63.4
E02001042,46.7,53.3
E02001043,42,58
E02001044,57.4,42.6
E02001045,31.8,68.2
E02001046,36.6,63.4
E02001047,34.3,65.7
E02001048,46.5,53.5
E02001049,37.8,62.2
E02001050,36.6,63.4
E02001051,38,62
E02001052,51.1,48.9
E02001053,31.3,68.7
E02001055,30.7,69.3
E02001056,29.9,70.1
E02001059,33,67
E02001061,34,66
E02001062,29.8,70.2
E02001063,16.5,83.5
E02001064,40.5,59.5
E02001065,36.3,63.7
E02001066,28.9,71.1
E02001067,36.6,63.4
E02001068,32.9,67.1
E02001069,28.5,71.5
E02001070,24.9,75.1
E02001072,32.6,67.4
E02001073,35,65
E02001074,36,64
E02001075,37.8,62.2
E02001076,13.4,86.6
E02001077,37.5,62.5
E02001078,44.3,55.7
E02001079,27.4,72.6
E02001080,16.3,83.7
E02001081,37.7,62.3
E02001082,25.9,74.1
E02001083,23.6,76.4
E02001084,30.9,69.1
E02001085,35.1,64.9
E02001086,30.3,69.7
E02001087,41,59
E02001088,34,66
E02001089,46.6,53.4
E02001090,39.4,60.6
E02001091,36.7,63.3
E02001092,35.4,64.6
E02001093,30.9,69.1
E02001094,28.7,71.3
E02001095,30.4,69.6
E02001096,34.7,65.3
E02001097,29.8,70.2
E02001098,47.3,52.7
E02001099,38.8,61.2
E02001100,47.1,52.9
E02001101,49.9,50.1
E02001102,45.6,54.4
E02001103,54.3,45.7
E02001104,44.7,55.3
E02001105,43.4,56.6
E02001106,39.2,60.8
E02001107,49.3,50.7
E02001108,30.9,69.1
E02001109,37.3,62.7
E02001110,52.6,47.4
E02001111,34.3,65.7
E02001112,54.3,45.7
E02001113,49.2,50.8
E02001114,43.5,56.5
E02001115,40.6,59.4
E02001116,54,46
E02001117,53.6,46.4
E02001118,51.1,48.9
E02001119,55,45
E02001121,49.4,50.6
E02001123,37.7,62.3
E02001124,35.1,64.9
E02001125,41.2,58.8
E02001126,38.6,61.4
E02001127,37.2,62.8
E02001128,37.5,62.5
E02001129,31.5,68.5
E02001130,45.6,54.4
E02001131,43,57
E02001132,39.4,60.6
E02001133,48.8,51.2
E02001134,52.7,47.3
E02001135,39.5,60.5
E02001136,45.2,54.8
E02001137,52,48
E02001138,54.1,45.9
E02001139,48.4,51.6
E02001140,42.1,57.9
E02001141,41.3,58.7
E02001142,56.3,43.7
E02001143,42.3,57.7
E02001144,42.4,57.6
E02001145,46,54
E02001146,49.2,50.8
E02001147,39.4,60.6
E02001148,41.7,58.3
E02001149,33.2,66.8
E02001150,38.2,61.8
E02001151,44.8,55.2
E02001152,38.3,61.7
E02001153,33.5,66.5
E02001154,36.8,63.2
E02001155,34.8,65.2
E02001156,50.6,49.4
E02001157,27.9,72.1
E02001158,32.7,67.3
E02001159,34.8,65.2
E02001160,38.7,61.3
E02001161,41.9,58.1
E02001162,37.6,62.4
E02001163,42.5,57.5
E02001164,30.3,69.7
E02001165,37.6,62.4
E02001166,55.4,44.6
E02001167,41.2,58.8
E02001168,38.5,61.5
E02001169,53.7,46.3
E02001170,54.2,45.8
E02001171,47.1,52.9
E02001173,21.2,78.8
E02001174,36.9,63.1
E02001175,34.8,65.2
E02001176,37,63
E02001177,31.2,68.8
E02001179,25.8,74.2
E02001180,23.6,76.4
E02001181,30.5,69.5
E02001182,30.1,69.9
E02001183,29.8,70.2
E02001185,41,59
E02001186,38.9,61.1
E02001187,39.4,60.6
E02001188,31.3,68.7
E02001189,43.7,56.3
E02001190,25.5,74.5
E02001191,48.2,51.8
E02001192,46,54
E02001193,32.6,67.4
E02001194,52.6,47.4
E02001195,42.7,57.3
E02001196,48.5,51.5
E02001197,49.9,50.1
E02001198,40.7,59.3
E02001199,49.9,50.1
E02001200,25.2,74.8
E02001201,41.5,58.5
E02001202,28.7,71.3
E02001203,63,37
E02001204,41.7,58.3
E02001205,36.5,63.5
E02001206,50.5,49.5
E02001207,51.2,48.8
E02001208,39.7,60.3
E02001209,38.3,61.7
E02001210,39,61
E02001211,56,44
E02001212,35,65
E02001213,46.1,53.9
E02001214,53.9,46.1
E02001215,51.9,48.1
E02001216,54.1,45.9
E02001217,40,60
E02001218,58.6,41.4
E02001219,55.7,44.3
E02001220,53.4,46.6
E02001221,58.1,41.9
E02001222,56.3,43.7
E02001223,58.4,41.6
E02001224,58.7,41.3
E02001225,55.1,44.9
E02001226,51.1,48.9
E02001227,62.8,37.2
E02001228,61.3,38.7
E02001229,41.4,58.6
E02001230,54.7,45.3
E02001231,46.5,53.5
E02001232,40.2,59.8
E02001233,41.4,58.6
E02001234,37.7,62.3
E02001235,41.6,58.4
E02001236,32.7,67.3
E02001237,39.6,60.4
E02001238,41.2,58.8
E02001239,38.4,61.6
E02001240,40.6,59.4
E02001241,35.9,64.1
E02001242,47.5,52.5
E02001243,45.6,54.4
E02001244,48.6,51.4
E02001245,37.3,62.7
E02001246,37.2,62.8
E02001247,37.4,62.6
E02001248,35.1,64.9
E02001249,37.5,62.5
E02001250,48.8,51.2
E02001251,44.3,55.7
E02001252,47.3,52.7
E02001253,42.2,57.8
E02001254,38.8,61.2
E02001255,30.8,69.2
E02001256,39.8,60.2
E02001257,37.3,62.7
E02001258,47.8,52.2
E02001259,32.5,67.5
E02001260,51.6,48.4
E02001261,35.8,64.2
E02001262,43.8,56.2
E02001263,54.4,45.6
E02001264,47.4,52.6
E02001265,46.4,53.6
E02001266,40.7,59.3
E02001267,41.2,58.8
E02001268,53.2,46.8
E02001269,39.7,60.3
E02001270,46.7,53.3
E02001271,44.5,55.5
E02001272,52.7,47.3
E02001273,48.2,51.8
E02001274,60.4,39.6
E02001275,33.9,66.1
E02001276,44.8,55.2
E02001277,40.7,59.3
E02001278,58.2,41.8
E02001279,61.8,38.2
E02001280,43.7,56.3
E02001281,59.7,40.3
E02001282,47.1,52.9
E02001283,52.2,47.8
E02001284,59.2,40.8
E02001285,54.2,45.8
E02001286,61.7,38.3
E02001287,50.3,49.7
E02001288,51.5,48.5
E02001289,53.9,46.1
E02001290,49.4,50.6
E02001291,43.1,56.9
E02001292,48.6,51.4
E02001293,49.5,50.5
E02001294,38.2,61.8
E02001295,30.7,69.3
E02001296,29,71
E02001297,41.4,58.6
E02001298,35.2,64.8
E02001299,42.7,57.3
E02001300,38.9,61.1
E02001301,34.1,65.9
E02001302,41.4,58.6
E02001303,35,65
E02001304,51.6,48.4
E02001305,50.4,49.6
E02001306,51.2,48.8
E02001307,56.7,43.3
E02001308,44,56
E02001309,39.8,60.2
E02001310,38.9,61.1
E02001311,41.7,58.3
E02001312,39.5,60.5
E02001313,39.1,60.9
E02001314,51.5,48.5
E02001315,47.9,52.1
E02001316,30.9,69.1
E02001317,42.4,57.6
E02001318,44.7,55.3
E02001319,35.2,64.8
E02001320,39.6,60.4
E02001321,49.5,50.5
E02001322,47.3,52.7
E02001323,46.4,53.6
E02001324,40.3,59.7
E02001325,50.2,49.8
E02001326,49.1,50.9
E02001333,33.2,66.8
E02001335,46.2,53.8
E02001339,35.6,64.4
E02001406,54.4,45.6
E02001407,55.5,44.5
E02001408,51.7,48.3
E02001409,44.1,55.9
E02001410,42.7,57.3
E02001411,45.9,54.1
E02001412,47.2,52.8
E02001413,46.4,53.6
E02001414,60.2,39.8
E02001415,41.7,58.3
E02001416,34.7,65.3
E02001417,26.6,73.4
E02001418,34.6,65.4
E02001419,26.8,73.2
E02001420,41.9,58.1
E02001421,37.8,62.2
E02001422,34.2,65.8
E02001423,53.6,46.4
E02001425,44.4,55.6
E02001426,45.3,54.7
E02001427,41.8,58.2
E02001428,54.4,45.6
E02001509,46.3,53.7
E02001510,44.3,55.7
E02001511,47,53
E02001512,47,53
E02001513,48.7,51.3
E02001515,36.5,63.5
E02001516,41.2,58.8
E02001517,49.6,50.4
E02001518,41.7,58.3
E02001519,41.5,58.5
E02001520,50.5,49.5
E02001521,32.4,67.6
E02001523,43.2,56.8
E02001524,60.8,39.2
E02001525,30.4,69.6
E02001526,37.7,62.3
E02001527,48.2,51.8
E02001529,40.3,59.7
E02001531,38.6,61.4
E02001532,51.8,48.2
E02001535,57.4,42.6
E02001536,44.6,55.4
E02001537,43.6,56.4
E02001538,45.7,54.3
E02001584,53.5,46.5
E02001611,46.2,53.8
E02001612,50.3,49.7
E02001613,48.4,51.6
E02001614,51.5,48.5
E02001615,54.4,45.6
E02001616,42,58
E02001617,34.4,65.6
E02001618,54.1,45.9
E02001619,34.9,65.1
E02001620,38.4,61.6
E02001621,37.5,62.5
E02001622,34.2,65.8
E02001623,37,63
E02001624,42.8,57.2
E02001625,34.8,65.2
E02001626,48.3,51.7
E02001627,34.9,65.1
E02001629,36.1,63.9
E02001630,45.8,54.2
E02001631,43.4,56.6
E02001632,38.6,61.4
E02001633,55.8,44.2
E02001634,37.5,62.5
E02001635,44,56
E02001636,30.2,69.8
E02001637,46.5,53.5
E02001638,19.7,80.3
E02001639,33.3,66.7
E02001640,19.7,80.3
E02001643,59.7,40.3
E02001646,20.9,79.1
E02001648,32.9,67.1
E02001649,32.5,67.5
E02001650,18.3,81.7
E02001651,64.2,35.8
E02001652,18.2,81.8
E02001653,31.1,68.9
E02001656,40,60
E02001657,53.7,46.3
E02001658,32.3,67.7
E02001660,40.7,59.3
E02001661,32.4,67.6
E02001662,40.7,59.3
E02001663,36.8,63.2
E02001664,46,54
E02001665,62.7,37.3
E02001669,39.4,60.6
E02001670,32.1,67.9
E02001672,43.5,56.5
E02001674,53.4,46.6
E02001676,57.2,42.8
E02002183,54.9,45.1
E02002184,54.1,45.9
E02002185,56.1,43.9
E02002187,60.7,39.3
E02002188,52.7,47.3
E02002189,51.3,48.7
E02002190,45,55
E02002191,40.4,59.6
E02002192,56.8,43.2
E02002193,32.9,67.1
E02002194,44.4,55.6
E02002195,56.7,43.3
E02002196,49.1,50.9
E02002197,37.8,62.2
E02002198,44.1,55.9
E02002199,50.4,49.6
E02002200,47.7,52.3
E02002201,42,58
E02002202,33.4,66.6
E02002203,36.7,63.3
E02002204,51,49
E02002205,48.4,51.6
E02002206,45.1,54.9
E02002207,47.7,52.3
E02002208,37.5,62.5
E02002209,37.3,62.7
E02002210,48.5,51.5
E02002211,50.4,49.6
E02002212,53.4,46.6
E02002213,48.2,51.8
E02002214,46.8,53.2
E02002215,50.6,49.4
E02002216,47.2,52.8
E02002217,44.5,55.5
E02002218,45.8,54.2
E02002219,53.4,46.6
E02002220,51.7,48.3
