geography_code,in_full_time_education-001,in_full_time_education-002
E02000984,17.8,82.2
E02000985,17.7,82.3
E02000986,18.9,81.1
E02000987,16.5,83.5
E02000988,23,77
E02000989,15.7,84.3
E02000990,17.1,82.9
E02000991,19.4,80.6
E02000992,17.1,82.9
E02000993,25.6,74.4
E02000994,28.4,71.6
E02000995,22.4,77.6
E02000996,26.7,73.3
E02000997,18.1,81.9
E02000998,26.7,73.3
E02000999,25.8,74.2
E02001000,18.8,81.2
E02001001,26,74
E02001002,21.7,78.3
E02001003,20.9,79.1
E02001004,31.6,68.4
E02001005,28.2,71.8
E02001006,29,71
E02001007,17.4,82.6
E02001008,34.2,65.8
E02001009,24.3,75.7
E02001010,24.6,75.4
E02001011,16.9,83.1
E02001012,29.7,70.3
E02001013,18.7,81.3
E02001014,18.4,81.6
E02001015,17.1,82.9
E02001016,26.4,73.6
E02001017,19,81
E02001018,18.6,81.4
E02001019,19.7,80.3
E02001020,17.6,82.4
E02001021,16.7,83.3
E02001022,18.9,81.1
E02001023,20.4,79.6
E02001024,18.7,81.3
E02001025,23.1,76.9
E02001026,24.6,75.4
E02001027,20.2,79.8
E02001028,16.9,83.1
E02001029,24.2,75.8
E02001030,18.1,81.9
E02001031,21.6,78.4
E02001032,18.6,81.4
E02001033,20.5,79.5
E02001034,20.8,79.2
E02001035,18.6,81.4
E02001036,21.9,78.1
E02001037,17.3,82.7
E02001038,17.4,82.6
E02001039,24.4,75.6
E02001040,17.1,82.9
E02001041,18.4,81.6
E02001042,19.3,80.7
E02001043,18.7,81.3
E02001044,33.7,66.3
E02001045,24.7,75.3
E02001046,26.1,73.9
E02001047,24.2,75.8
E02001048,26.8,73.2
E02001049,23.6,76.4
E02001050,30.1,69.9
E02001051,29.6,70.4
E02001052,33.3,66.7
E02001053,31.6,68.4
E02001055,26.2,73.8
E02001056,31.8,68.2
E02001059,28.2,71.8
E02001061,28.6,71.4
E02001062,40.6,59.4
E02001063,54,46
E02001064,30,70
E02001065,26,74
E02001066,47.8,52.2
E02001067,32.9,67.1
E02001068,37.2,62.8
E02001069,43.3,56.7
E02001070,53.2,46.8
E02001072,20.4,79.6
E02001073,17,83
E02001074,27.9,72.1
E02001075,26.6,73.4
E02001076,68.1,31.9
E02001077,18.9,81.1
E02001078,26.3,73.7
E02001079,35.4,64.6
E02001080,52.4,47.6
E02001081,18.8,81.2
E02001082,24.3,75.7
E02001083,15.7,84.3
E02001084,31.2,68.8
E02001085,29.2,70.8
E02001086,20.9,79.1
E02001087,17.5,82.5
E02001088,23.4,76.6
E02001089,20,80
E02001090,16.2,83.8
E02001091,17.8,82.2
E02001092,23.6,76.4
E02001093,24.7,75.3
E02001094,28.2,71.8
