geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02000984,31.9,19.6,35.3,13.2
E02000985,37.4,18.1,31.4,13.2
E02000986,38,18.7,28.1,15.2
E02000987,40.1,20.3,24.4,15.2
E02000988,45.4,17.9,20.7,16.1
E02000989,36.4,18.2,29.9,15.5
E02000990,36.4,19.3,30.7,13.5
E02000991,41.6,16.3,25.6,16.5
E02000992,30.6,25.3,29.1,15
E02000993,50.1,17.4,17.9,14.6
E02000994,47.5,20.1,15.3,17.1
E02000995,39.6,17.2,29.4,13.8
E02000996,48.3,17.8,16.1,17.9
E02000997,38,18.8,30.6,12.6
E02000998,46.8,16.9,17,19.3
E02000999,47.1,19.3,16.9,16.6
E02001000,47.3,15.7,19.9,17.1
E02001001,41.4,17.4,26.8,14.4
E02001002,44.2,17.6,21.1,17.1
E02001003,34.5,19.6,35.6,10.3
E02001004,48.9,18.2,14.7,18.2
E02001005,47.8,16.9,16.5,18.7
E02001006,47.3,15.9,18.7,18.1
E02001007,43.2,17.4,22.5,17
E02001008,49.9,17.3,14.1,18.7
E02001009,47.1,16.2,19.7,17
E02001010,47.2,16.5,17.2,19.1
E02001011,36.5,19,29.9,14.6
E02001012,47.5,15.7,18.3,18.5
E02001013,35.7,19,30.2,15.2
E02001014,41.3,17.1,25.6,16
E02001015,48.5,17.4,16.6,17.5
E02001016,49.8,15,17.4,17.8
E02001017,41.7,18.6,23.2,16.4
E02001018,35.8,20.1,28.5,15.6
E02001019,28.5,24.5,34.9,12.1
E02001020,31.5,20.7,37.2,10.6
E02001021,30.9,19.1,38.2,11.8
E02001022,39.1,19.1,26.3,15.5
E02001023,37.1,20.1,29.8,13
E02001024,40,18.5,27.6,13.9
E02001025,48.3,17.5,18.5,15.7
E02001026,45.1,18.5,19,17.4
E02001027,43.3,17.8,24.8,14.1
E02001028,34.7,18.2,34,13.1
E02001029,43.2,17.3,23.2,16.3
E02001030,35.7,19.5,30.4,14.4
E02001031,41.4,18.5,25.3,14.9
E02001032,44.2,17.1,23.7,14.9
E02001033,45.4,16,24.1,14.4
E02001034,46.1,16.5,21,16.4
E02001035,36.4,15.2,35.4,13
E02001036,43,14.6,28,14.4
E02001037,33.5,12.7,43.8,10
E02001038,38.8,14.5,32.8,13.8
E02001039,43.6,13.3,28,15.1
E02001040,35.7,14.1,37,13.1
E02001041,39.6,11.7,37.4,11.4
E02001042,37.4,12.8,38.7,11.1
E02001043,38.3,11.8,36.6,13.3
