geography_code,in_full_time_education-001,in_full_time_education-002
E00069658,55.5,44.5
E00069659,72,28
E00069663,38.3,61.7
E00069664,32.8,67.2
E00069665,27.7,72.3
E00069666,47.5,52.5
E00069667,39.5,60.5
E00069668,30.7,69.3
E00069670,51.6,48.4
E00069671,34.2,65.8
E00069673,49.7,50.3
E00069676,50.2,49.8
E00069685,28.2,71.8
E00069686,27.6,72.4
E00069687,31.5,68.5
E00069688,29.2,70.8
E00069689,25.6,74.4
E00069690,33.3,66.7
E00069691,54.9,45.1
E00069692,36,64
E00069693,29.8,70.2
E00069694,31.1,68.9
E00069695,29.9,70.1
E00069696,31.8,68.2
E00069697,29.1,70.9
E00069698,24.2,75.8
E00069699,35.3,64.7
E00069700,38.1,61.9
E00069701,32.8,67.2
E00069702,33.2,66.8
E00069703,39.8,60.2
E00069704,28.6,71.4
E00069705,13.9,86.1
E00069706,33.2,66.8
E00069707,41.6,58.4
E00069708,32.2,67.8
E00069709,19.8,80.2
E00069710,35.4,64.6
E00069711,30.3,69.7
E00069712,31.2,68.8
E00069713,35.2,64.8
E00069714,36.1,63.9
E00069715,38.9,61.1
E00069716,30.9,69.1
E00069717,28,72
E00069718,30.3,69.7
E00069719,31.6,68.4
E00069720,31.6,68.4
E00069721,33.6,66.4
E00069722,36.3,63.7
E00069723,38,62
E00069724,36.2,63.8
E00069725,28.1,71.9
E00069726,33.6,66.4
E00069727,27.7,72.3
E00069728,41.9,58.1
E00069729,26.6,73.4
E00069730,33.1,66.9
E00069731,29.7,70.3
E00069732,23.7,76.3
E00069733,31.3,68.7
E00069734,31.4,68.6
E00069735,26.9,73.1
E00069736,35.3,64.7
E00069737,30.5,69.5
E00069738,31.5,68.5
E00069739,28,72
E00069740,36.6,63.4
E00069741,31.9,68.1
E00069742,28.5,71.5
E00069743,18.3,81.7
E00069744,28.3,71.7
E00069745,27.5,72.5
E00069746,15.2,84.8
E00069747,12.8,87.2
E00069748,27.3,72.7
E00069749,28.5,71.5
E00069750,13.7,86.3
E00069751,30.6,69.4
E00069752,25.2,74.8
E00069753,27,73
E00069754,38.8,61.2
E00069755,22,78
E00069756,26.7,73.3
E00069757,18.1,81.9
E00069758,12.9,87.1
E00069759,27.1,72.9
E00069760,22.1,77.9
E00069761,21.2,78.8
E00069762,21.1,78.9
E00069763,18.8,81.2
E00069764,8.8,91.2
E00069765,17.1,82.9
E00069766,19.3,80.7
E00069767,15.5,84.5
E00069768,21,79
E00069769,17.3,82.7
E00069770,25.8,74.2
E00069771,13.3,86.7
E00069772,21.7,78.3
E00069773,19,81
E00069774,22.7,77.3
E00069775,24.5,75.5
E00069776,22.1,77.9
E00069777,21.3,78.7
E00069778,20.4,79.6
E00069779,18.4,81.6
E00069780,18.3,81.7
E00069781,16.8,83.2
E00069782,19.1,80.9
E00069783,19,81
E00069784,23.8,76.2
E00069785,15.1,84.9
E00069786,26.7,73.3
E00069787,22.5,77.5
E00069788,54.6,45.4
E00069789,22.5,77.5
E00069790,21.7,78.3
E00069791,24.9,75.1
E00069792,27.8,72.2
E00069793,23.7,76.3
E00069794,13.1,86.9
E00069795,35.3,64.7
E00069797,24.1,75.9
E00069799,21.9,78.1
E00069800,21.3,78.7
E00069801,28.1,71.9
E00069802,23.2,76.8
E00069803,17,83
E00069804,21.3,78.7
E00069805,17.7,82.3
E00069806,30.4,69.6
E00069807,27.2,72.8
E00069808,33.7,66.3
E00069809,29.9,70.1
E00069810,36.5,63.5
E00069811,22.4,77.6
E00069812,23,77
E00069813,24.5,75.5
E00069814,31.7,68.3
E00069815,26,74
E00069816,26.1,73.9
E00069817,28.5,71.5
E00069818,28.9,71.1
E00069819,22.8,77.2
E00069820,32.3,67.7
E00069821,32.6,67.4
E00069822,31.6,68.4
E00069823,34.6,65.4
E00069824,36.2,63.8
E00069825,36,64
E00069826,26.8,73.2
E00069827,37.6,62.4
E00069828,14.4,85.6
E00069829,24.5,75.5
E00069830,43.7,56.3
E00069831,42.1,57.9
E00069832,19.7,80.3
E00069833,24.1,75.9
E00069834,15.8,84.2
E00069835,21.2,78.8
E00069836,21.6,78.4
E00069837,16,84
E00069838,20.5,79.5
E00069839,23.4,76.6
E00069840,24,76
E00069841,22.6,77.4
E00069843,22.7,77.3
E00069844,26.9,73.1
E00069845,25.6,74.4
E00069846,19.9,80.1
E00069847,25.1,74.9
E00069848,23.3,76.7
E00069849,26.8,73.2
E00069850,26.2,73.8
E00069851,13.7,86.3
E00069852,19,81
E00069853,24.4,75.6
E00069854,9.4,90.6
E00069855,16.6,83.4
E00069856,20.1,79.9
E00069858,19.4,80.6
E00069859,31.1,68.9
E00069860,32.2,67.8
E00069861,39.5,60.5
E00069862,24.9,75.1
E00069863,22.7,77.3
E00069864,28.8,71.2
