geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00088611,45.7,33.3,10.9,10.1
E00088612,45.7,27.7,14.5,12.1
E00088613,40,34,12,14
E00088615,31.6,29.3,24.8,14.3
E00088616,34.4,34.9,17.2,13.4
E00088617,35.7,33.3,14.7,16.3
E00088618,32.3,43.8,11.5,12.4
E00088619,46.4,29.3,16.4,7.9
E00088620,40.7,31.4,13.6,14.3
E00088621,63,24.8,6.7,5.5
E00088622,36.4,32.7,19.6,11.2
E00088623,28.1,37,13.3,21.5
E00088624,37,30.7,16.5,15.7
E00088625,58,22.2,11.1,8.6
E00088626,22,36.7,19.8,21.5
E00088627,26.8,31.7,21.8,19.7
E00088663,22.2,37.3,19,21.4
E00088664,18.4,27.9,20.6,33.1
E00088665,40.7,29.7,15.2,14.5
E00088666,23.9,36.7,13.3,26.1
E00088668,30.2,46,11.5,12.2
E00088669,16.8,43.8,16.1,23.4
E00088670,19.8,44.3,17.6,18.3
E00088673,22,37.6,19.3,21.1
E00088674,29.6,31,16.2,23.2
E00088675,22.3,41,17.3,19.4
E00088679,28.2,29.6,20.4,21.8
E00088680,53.1,27.4,14.2,5.3
E00088682,35.3,33.1,16.9,14.7
E00088688,28.8,33.6,21.2,16.4
E00088690,28.1,37.9,19.2,14.8
E00088692,33.9,25.2,17.4,23.5
E00088693,41,28.9,16.3,13.9
E00088694,18.2,50,13.6,18.2
E00088695,25.8,49.2,10.6,14.4
E00088696,26.4,38.2,15.2,20.2
E00088697,30.4,38.4,8,23.2
E00088698,26.3,29.3,17.3,27.1
E00088699,9.7,50,12.9,27.4
E00088700,26.3,45.6,16.7,11.4
E00088701,38.8,34.7,11.6,15
E00088702,22,39.8,18.6,19.5
E00088704,33.1,37.8,15.5,13.5
E00088705,22,35.8,21.1,21.1
E00088706,28.2,34.9,24.2,12.8
E00088707,44.7,29.2,14.6,11.4
E00088708,25.3,32.9,15.2,26.6
E00088709,26.3,35.3,18,20.3
E00088710,22.8,37.8,18.9,20.5
E00088711,32.1,39.7,17.6,10.7
E00088712,23.1,44.4,22.2,10.3
E00088713,20.9,36.5,27.8,14.8
E00088714,22.8,43,10.5,23.7
E00088715,19.5,46.9,12.5,21.1
E00088717,21.3,39.4,16.3,23.1
E00088718,10.4,48.1,17,24.4
E00088719,40.7,21.5,20,17.8
E00088720,24.2,33.9,18.5,23.4
E00088723,20.9,47.5,15.8,15.8
E00088725,29.4,35.3,17.6,17.6
E00088726,20.7,37.9,18.2,23.2
E00088734,23.7,31.9,18.5,25.9
E00088738,15.2,39.1,23.4,22.3
E00088777,29.3,50.7,13.6,6.4
E00088778,37.9,39.5,8.5,14.1
E00088779,37.2,33.7,17.4,11.6
E00088780,22.5,35.8,17.9,23.8
E00088781,15.6,46.9,20.3,17.2
E00088783,51,47,2,0
E00088785,31.3,35.3,12.7,20.7
E00088786,22.7,46.1,14.8,16.4
E00088787,23.8,38.5,16.2,21.5
E00088788,31.2,31.9,18.1,18.8
E00088789,31.5,44.4,12.9,11.3
E00088790,25.6,40.8,12,21.6
E00088791,39,26.8,15.4,18.7
E00088792,40.1,33.1,14,12.7
E00088793,41,40.5,10.5,8
E00088794,44.4,39.4,8.1,8.1
E00088795,28.9,42.3,12,16.9
E00088796,24,38.8,16.3,20.9
E00088797,19.8,40.5,16.2,23.4
E00088798,34.4,29.7,16.4,19.5
E00088816,21.2,29.7,16.9,32.2
E00088817,17.7,37.7,26.9,17.7
E00088818,31.7,19.8,11.9,36.5
E00088819,23.1,40,18.5,18.5
E00088820,23.1,33.7,22.1,21.2
E00088821,26.1,26.1,25.2,22.6
E00088822,31.9,19.8,20.7,27.6
E00088823,21.7,35.5,21,21.7
E00088824,12.4,26.7,23.8,37.1
E00088825,23.1,32.1,17.2,27.6
E00088828,30.8,29.2,15.7,24.3
E00088829,24.8,29.5,16.2,29.5
E00088830,29.8,36.6,15.3,18.3
E00088831,15.4,30.8,22.2,31.6
E00088832,33.3,29.9,12.5,24.3
E00088833,45.2,25.2,9.6,20
E00088834,23.5,33,22.6,20.9
E00088835,39.3,19.6,20.5,20.5
E00088836,15.8,24.8,19.5,39.8
E00088837,29.7,24.3,18.2,27.7
E00088854,20.3,46.6,19.5,13.6
E00088855,23,42.4,15.1,19.4
E00088856,32,36.6,18.3,13.1
E00088857,26.6,41,17.3,15.1
E00088858,16,33.6,24.8,25.6
E00088859,21.7,40.6,18.9,18.9
E00088860,23,32.8,22.1,22.1
E00088861,23.6,38.2,17.1,21.1
E00088862,26.8,33.9,13.4,25.9
E00088863,22.4,36.2,20.7,20.7
E00088864,16.4,27.6,21.6,34.5
E00088865,26.8,22.8,25.2,25.2
E00088866,16.1,25.9,21,37.1
E00088867,13.5,53.2,15.3,18
E00088868,24.4,39.9,15.5,20.2
E00088869,34.3,35.1,15.7,14.9
E00088870,31.3,28.5,19.6,20.7
E00088871,9.6,47.8,11.3,31.3
E00088872,17.5,42.5,19.2,20.8
E00088873,26.5,51.5,5.3,16.7
E00088874,13.1,40.1,21.2,25.5
E00088876,17.1,28.1,17.1,37.7
E00088877,24.7,39,19.9,16.4
E00088878,22.7,43.6,22.7,10.9
E00088879,34.4,35.2,13.6,16.8
E00088880,31.9,33.3,13.5,21.3
E00088881,26.6,25,21.1,27.3
E00088882,36.3,26.8,18.5,18.5
E00088883,25.4,50,9.5,15.1
E00088884,33.3,33.3,14.2,19.2
E00088885,15.9,44.4,17.5,22.2
E00088886,13.5,43.3,21.9,21.4
E00088887,15.3,37.1,21,26.6
E00088888,21,44.1,14,21
E00088889,19.6,34.8,16.5,29.1
E00088890,15.4,41,22.2,21.4
E00088891,27.9,31.1,18,23
E00088892,33.3,31.7,15.8,19.2
E00088893,14,43.9,21.5,20.6
E00088894,33.3,25.6,20.5,20.5
E00088895,24.4,39.7,14.1,21.8
E00088896,24.2,40.2,17.4,18.2
E00088897,45.8,35.4,10.4,8.3
E00088898,25.2,45.2,10.4,19.1
E00088899,32.8,38,14.6,14.6
E00088900,18.2,33.6,19,29.2
E00088901,13.6,40.9,14.4,31.1
E00088902,27.7,42.6,12.3,17.4
E00088903,10,56.7,13.3,20
E00088904,22.6,47.2,19.8,10.4
E00088905,13.9,39.6,26.7,19.8
E00088906,30.4,29.6,16.3,23.7
E00088907,19.2,42.4,13.6,24.8
E00088908,19.7,47.2,12,21.1
E00088909,24.5,35.7,19.4,20.4
E00088910,22.6,42.5,13.2,21.7
E00088912,20.2,45.2,12.9,21.8
E00088913,19.3,45.5,13.6,21.6
E00088914,24.2,49.1,12.1,14.5
E00088938,22.5,33.8,23.8,19.9
E00088939,16.8,29.9,21.9,31.4
E00088940,20.5,39.3,17.1,23.1
E00088950,31.4,36.4,11.6,20.7
E00088951,17.5,34.3,20.3,28
E00089093,17,40,20,23
E00089094,20,40,16.3,23.8
E00089095,29.2,37.7,15.1,17.9
E00089096,27.6,39,12.4,21
E00089097,12.5,45.8,16.7,25
E00089098,15.1,43.4,16,25.5
E00089099,20.8,35.4,16.9,27
E00089102,18.6,51.9,16.3,13.2
E00089103,26.1,40.3,17.2,16.4
E00089126,15.1,46.6,19.9,18.5
E00089127,23.6,41.8,19.1,15.5
E00089128,21.8,41.9,14.5,21.8
E00089129,17,39.5,19.5,24
E00089130,41.4,36.2,11.2,11.2
E00089131,39.1,37,6.5,17.4
E00089132,18.9,32.2,16.7,32.2
E00089133,22.1,44.9,18.4,14.7
E00089134,19.6,36.4,16.1,28
E00089135,22.6,44.3,15.7,17.4
E00089329,19.4,29.2,12.5,38.9
E00089330,26.5,36.3,21.6,15.7
E00089331,25,39.7,13.8,21.6
E00089334,22.8,35.8,19.1,22.2
E00089481,21.9,45.9,15.8,16.4
E00171396,29,36.3,20.2,14.5
E00171398,20,36.9,16.9,26.2
E00171399,22.9,26.7,22.1,28.2
E00171400,31.6,37.5,16.2,14.7
E00171401,23.7,28.8,24.6,22.9
E00171402,18,29.7,24.3,27.9
E00171403,29,25.2,24.3,21.5
E00171404,18,25.8,24.2,32
E00171406,14.5,23.1,18.8,43.6
E00171407,28.6,33.7,20.4,17.3
E00171408,10.9,37,20.7,31.5
E00171410,16.7,26.7,23.3,33.3
E00171411,22.7,33.6,15.1,28.6
E00171414,24.8,28.2,24.8,22.1
E00171415,24.3,32.7,20.6,22.4
E00177034,34.1,33.3,20.2,12.4
E00177050,38,32,22,8
E00177056,5.2,42.2,23.3,29.3
E00177058,13.4,32.3,21.5,32.8
E00177062,17,30.4,26.7,25.9
E00177063,62,28.3,4.3,5.4
E00177067,22.3,26.4,22.3,29
E00177069,8.5,25.6,27.6,38.2
E00177071,18.1,29.4,18.1,34.5
E00177073,19.3,26.4,23.1,31.1
E00177081,85.9,14.1,0,0
E00177083,16.7,26.7,22.2,34.4
E00177116,40,30,13.3,16.7
E00177123,19,11.9,28.6,40.5
E00177124,13.1,42.3,21.5,23.1
E00177126,17,44.3,15.1,23.6
E00177131,8.9,40,25.2,25.9
E00177141,25.4,22.2,19,33.3
E00177142,17.9,27.4,24.2,30.5
E00177147,25.9,31.9,19,23.3
E00177160,18,40.6,19.5,21.8
E00177162,13.6,27.9,30.7,27.9
E00177163,6.7,45,26.7,21.7
E00177166,11.5,49.1,24.3,15
E00177170,25.7,31.1,17.6,25.7
E00177184,25,26.3,26.3,22.4
E00177188,31.1,32.1,25.5,11.3
E00177190,5.9,27.7,26.9,39.5
E00177196,20.9,27.8,27.8,23.4
E00177201,24.5,37.2,19.1,19.1
E00177208,57.9,30.3,6.6,5.3
E00177212,11.9,28.4,23.9,35.8
E00177232,45,41.1,7.9,6
