areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00082337,100,0,0
E00082338,99.1,0.9,0
E00082339,98.4,1.6,0
E00082340,100,0,0
E00082343,88.7,11.3,0
E00082344,93.7,5.6,0.8
E00082345,100,0,0
E00082346,92.4,7.6,0
E00082347,89,11,0
E00082350,83.3,16.7,0
E00114400,98.9,1.1,0
E00114470,91.4,0.7,7.9
E00117630,88.9,11.1,0
E00117632,86.5,13.5,0
E00117634,93.5,6.5,0
E00117635,99.1,0.9,0
E00117636,100,0,0
E00117637,99.2,0.8,0
E00117638,100,0,0
E00117639,82.1,17.9,0
E00117640,97.2,2.8,0
E00117641,2.7,97.3,0
E00117642,100,0,0
E00117643,100,0,0
E00117644,84.7,15.3,0
E00117645,98.5,1.5,0
E00117646,47.5,52.5,0
E00117647,95.7,4.3,0
E00117648,97.3,2.7,0
E00117649,98.6,1.4,0
E00117650,95.4,4.6,0
E00117651,89.4,10.6,0
E00117660,75.5,8.4,16.1
E00117661,79.1,20.9,0
E00117662,73.8,0.7,25.5
E00117663,98.3,1.7,0
E00117666,100,0,0
E00117667,89,11,0
E00117668,84.7,15.3,0
E00117669,99.3,0.7,0
E00117670,86.3,0.8,12.9
E00117674,94.7,5.3,0
E00117675,86.3,13.7,0
E00117676,93.5,6.5,0
E00117677,89.8,10.2,0
E00117678,100,0,0
E00117679,99.2,0.8,0
E00117695,96.7,3.3,0
E00117696,88.6,8,3.4
E00117697,89.9,10.1,0
E00117698,100,0,0
E00117699,97.6,2.4,0
E00117700,100,0,0
E00117701,96.1,2.9,1
E00117702,95.1,4.9,0
E00117720,100,0,0
E00117721,100,0,0
E00117722,71.5,28.5,0
E00117723,72,28,0
E00117724,99.1,0.9,0
E00117725,97.1,2.9,0
E00117726,99.2,0.8,0
E00117781,98.3,1.7,0
E00117782,97.8,2.2,0
E00117783,97.4,2.6,0
E00117784,78.3,21.7,0
E00117785,69.5,30.5,0
E00117786,83.1,16.9,0
E00117787,81.6,18.4,0
E00117788,98.6,1.4,0
E00117789,98.4,0.8,0.8
E00117790,96.2,3.8,0
E00117791,83.8,16.2,0
E00117792,98.1,0.9,0.9
E00117793,94.3,5.1,0.6
E00117794,99.3,0.7,0
E00117795,96.3,3.7,0
E00117796,95.6,4.4,0
E00117797,100,0,0
E00117798,96.4,3.6,0
E00117799,73,27,0
E00117800,91,9,0
E00117801,76.3,23.7,0
E00117802,77.3,22.7,0
E00117810,89.8,9.7,0.6
E00117812,62.8,37.2,0
E00117813,56.8,43.2,0
E00117814,98.6,1.4,0
E00117815,94.8,5.2,0
E00117816,96.7,3.3,0
E00117817,74.8,25.2,0
E00117818,93.9,6.1,0
E00117819,89,11,0
E00117820,65.3,34.7,0
E00117821,41.7,58.3,0
E00117822,100,0,0
E00117823,87.6,11.8,0.6
E00117824,88.1,11.9,0
E00117825,99.2,0.8,0
E00117826,97.1,2.9,0
E00117827,37.7,62.3,0
E00117828,99.2,0.8,0
E00117829,77.3,22.7,0
E00117830,100,0,0
E00117831,99.2,0.8,0
E00117857,93.6,6.4,0
E00117858,85.1,14.9,0
E00117859,96.9,2.6,0.5
E00117862,90.9,9.1,0
E00117863,92.1,7.9,0
E00117864,90.2,9.1,0.8
E00117865,97.4,2.6,0
E00117866,100,0,0
E00117867,99.1,0.9,0
E00117868,96.7,3.3,0
E00117869,85.4,14.6,0
E00117870,99.2,0.8,0
E00117871,100,0,0
E00117872,96.9,3.1,0
E00117885,100,0,0
E00117886,84.4,15.6,0
E00117887,64.7,34.3,1
E00117888,98.3,1.7,0
E00117889,99.1,0.9,0
E00117890,71.3,28.7,0
E00117891,78.6,20.6,0.8
E00117892,27.1,72.2,0.7
E00117893,93.2,6.8,0
