areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00082337,59.6,3.5,37
E00082338,62.4,0.9,36.8
E00082339,57.6,0.4,42
E00082340,67.8,1.5,30.7
E00082343,59.6,1.8,38.7
E00082344,51.4,2.1,46.5
E00082345,65.4,3.9,30.7
E00082346,66.7,4.8,28.6
E00082347,58.3,2.6,39.1
E00082350,70.4,0.9,28.7
E00114400,61.3,2.1,36.6
E00114470,57.3,0.3,42.3
E00117630,63.4,5.2,31.3
E00117632,51.4,5,43.6
E00117634,67.5,3,29.4
E00117635,56.4,7.7,35.9
E00117636,54.5,5.8,39.7
E00117637,66.3,2.8,31
E00117638,56.6,2.5,40.9
E00117639,59.2,6,34.9
E00117640,66.1,4.3,29.6
E00117641,72.7,3.7,23.5
E00117642,63.6,3.6,32.8
E00117643,63,3,34
E00117644,58,5.8,36.2
E00117645,69,2.4,28.6
E00117646,52.9,3.7,43.3
E00117647,62.6,5,32.4
E00117648,69.4,6.8,23.9
E00117649,65,3.6,31.4
E00117650,74.8,2.6,22.7
E00117651,33.7,1.9,64.4
E00117660,60.9,0.4,38.7
E00117661,49.6,2.5,47.9
E00117662,53.8,1.8,44.4
E00117663,60.6,2.8,36.7
E00117666,55,5.7,39.3
E00117667,60.6,1.4,38
E00117668,51.7,0.4,47.9
E00117669,46.6,2,51.4
E00117670,46.4,1.2,52.4
E00117674,45.6,4.4,50
E00117675,60.3,3.8,36
E00117676,66.3,3.2,30.6
E00117677,63.7,2.2,34.1
E00117678,62.8,2.8,34.4
E00117679,51.8,0.4,47.8
E00117695,61.6,3.6,34.8
E00117696,57.4,2.7,39.9
E00117697,67.6,0,32.4
E00117698,60.4,1.2,38.4
E00117699,68.4,0.4,31.2
E00117700,47.6,2.6,49.8
E00117701,64.6,0,35.4
E00117702,57.1,2.8,40.1
E00117720,60.7,0.4,38.8
E00117721,62.6,0,37.4
E00117722,73.4,0.4,26.1
E00117723,31.5,0.5,68
E00117724,57.3,0.9,41.7
E00117725,68.6,1.8,29.6
E00117726,61.8,1.1,37.1
E00117781,66.9,0,33.1
E00117782,36.7,1.6,61.7
E00117783,68.6,2.9,28.6
E00117784,71.3,2.7,26
E00117785,58.6,2,39.5
E00117786,46,1.8,52.2
E00117787,73.5,1.2,25.3
E00117788,49.3,0.4,50.2
E00117789,64.4,2.9,32.7
E00117790,53.2,2.8,44
E00117791,69.2,4.8,26
E00117792,56.2,1.8,41.9
E00117793,70.1,3.5,26.4
E00117794,73.2,1.6,25.2
E00117795,70.4,3.9,25.7
E00117796,69.5,3.3,27.2
E00117797,75.4,2.6,22
E00117798,72.2,1.9,25.9
E00117799,63.7,1.9,34.5
E00117800,68.9,3.4,27.7
E00117801,64.3,3.6,32.1
E00117802,68.1,3.7,28.2
E00117810,65.4,2.5,32
E00117812,48.4,0.4,51.1
E00117813,68.7,3.7,27.5
E00117814,62.4,3.5,34.1
E00117815,59.3,3.6,37.1
E00117816,57.5,3.8,38.8
E00117817,63,2.3,34.8
E00117818,59,2.6,38.5
E00117819,68.6,3.4,27.9
E00117820,59,0.7,40.2
E00117821,52.4,0.5,47.1
E00117822,61.9,0.4,37.7
E00117823,71.3,1.3,27.4
E00117824,71.3,3.1,25.7
E00117825,69.7,4.1,26.2
E00117826,52.5,0.4,47.2
E00117827,48.1,5.1,46.8
E00117828,74.3,0.8,24.9
E00117829,62.1,2.3,35.6
E00117830,73,3.1,23.9
E00117831,70.4,0.4,29.2
E00117857,58.4,3.3,38.3
E00117858,53,6,41
E00117859,66.1,1.1,32.8
E00117862,58.1,2.6,39.4
E00117863,55.3,1.1,43.5
E00117864,69.8,2.9,27.3
E00117865,49.3,1.7,49
E00117866,60.7,4.9,34.4
E00117867,62.5,1.7,35.8
E00117868,70.8,3.4,25.8
E00117869,56.6,4.6,38.8
E00117870,66.8,2.2,31
E00117871,55,1.8,43.3
E00117872,60.9,1.5,37.6
E00117885,59.8,1.7,38.5
E00117886,63.1,0,36.9
E00117887,52.1,4.8,43
E00117888,68.1,2.4,29.5
E00117889,60.7,2.1,37.2
E00117890,72,3.1,24.9
E00117891,59.4,1.9,38.7
E00117892,51,2.4,46.6
E00117893,59.7,0.4,39.9
E00117894,73.1,3.2,23.7
E00117895,63.8,4.1,32.1
E00117897,53.2,7.2,39.7
E00117898,62.9,5.6,31.5
E00117899,69.7,4.1,26.1
E00117900,66.3,2.9,30.9
E00117901,70.6,4.8,24.7
E00117902,63.8,2.5,33.8
E00117903,62.7,3.2,34.1
E00117904,42.1,3.3,54.6
E00117905,44.5,1.8,53.6
E00117906,57.8,1.3,40.9
E00117907,67.9,0.4,31.8
E00117908,72.8,1,26.2
E00117948,54.9,1.7,43.5
E00117949,63.9,0.8,35.2
E00117950,50,2.1,47.9
E00117951,63.5,0.8,35.7
E00117952,55.7,2.5,41.8
E00117953,52.1,2.7,45.2
E00117954,66,1.2,32.7
E00117955,64.1,2.8,33.1
E00117956,51.4,0,48.6
E00117957,72.7,1.8,25.5
E00117958,65.5,0.6,33.9
E00117959,50.4,1.3,48.3
E00117960,69.8,3.7,26.5
