areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00037886,100,0,0
E00037889,97.4,2.6,0
E00037890,95.8,4.2,0
E00037891,100,0,0
E00037892,100,0,0
E00037897,88.2,11.8,0
E00037898,99.2,0.8,0
E00037900,90.9,9.1,0
E00037905,82.5,17.5,0
E00037906,92.2,1.1,6.7
E00037908,70.2,27.8,2
E00037909,92.6,0.7,6.6
E00037912,94.9,5.1,0
E00037913,86.7,13.3,0
E00037914,74.2,25.8,0
E00037915,100,0,0
E00037916,95.7,4.3,0
E00037917,100,0,0
E00037918,99.2,0.8,0
E00037919,90.8,8.5,0.8
E00037921,100,0,0
E00037922,100,0,0
E00038513,100,0,0
E00038518,99.2,0.8,0
E00038520,100,0,0
E00038521,92.7,7.3,0
E00038522,98.6,1.4,0
E00038524,100,0,0
E00038525,100,0,0
E00038526,100,0,0
E00038527,80.4,19,0.6
E00038530,88.1,11.9,0
E00038531,88.4,11.6,0
E00038532,98.5,1.5,0
E00038533,100,0,0
E00038534,100,0,0
E00038535,83.9,16.1,0
E00038536,99.5,0.5,0
E00038537,92.1,7.9,0
E00038538,90.6,9.4,0
E00038539,68.2,31.8,0
E00038540,76,24,0
E00038541,94.2,5.8,0
E00038542,97,2.4,0.6
E00038543,97.8,1.5,0.7
E00038544,96.4,3.6,0
E00038545,93.5,2.7,3.8
E00038546,100,0,0
E00038547,98.4,1.6,0
E00038548,99.3,0.7,0
E00038550,100,0,0
E00038551,99.5,0.5,0
E00038552,87.3,12.7,0
E00038553,100,0,0
E00038554,98.4,0.8,0.8
E00038555,97.8,2.2,0
E00038556,98.4,0.8,0.8
E00038557,98,2,0
E00038558,100,0,0
E00066821,91.3,8.7,0
E00066822,80.9,18.4,0.7
E00066823,97.9,1.4,0.7
E00066824,97.4,2.6,0
E00066825,85.5,14.5,0
E00066826,69.5,30.5,0
E00066827,90.8,9.2,0
E00066828,94.5,4.3,1.3
E00066829,100,0,0
E00066830,99.1,0,0.9
E00066831,89.5,10.5,0
E00066832,97.7,1.5,0.8
E00066833,85,15,0
E00066858,99.3,0.7,0
E00066859,100,0,0
E00066860,97.7,2.3,0
E00066861,98.4,1.6,0
E00066862,98.4,1.6,0
E00066863,97.5,1.7,0.8
E00066864,100,0,0
E00066865,99.3,0.7,0
E00066866,98.6,0.7,0.7
E00066867,100,0,0
E00066868,98.8,1.2,0
E00066869,97,3,0
E00066870,99.3,0.7,0
E00066871,81.5,17.7,0.8
E00066872,92.5,7.5,0
E00066873,99.6,0,0.4
E00066874,89.2,10.1,0.7
E00066875,100,0,0
E00066878,98.1,1.4,0.5
E00133985,87.3,12.1,0.6
E00133988,90.1,8.5,1.4
E00133989,79.3,20.2,0.5
E00133990,99.1,0,0.9
E00133991,95.4,4.6,0
E00133992,100,0,0
E00133993,75.9,24.1,0
E00133994,86.1,13,0.9
E00133995,93.7,6.3,0
E00133996,100,0,0
E00133997,87.9,12.1,0
E00133998,98.5,1.5,0
E00133999,74.2,25.8,0
E00134000,94.3,5.7,0
E00134001,82.2,17.8,0
E00134002,100,0,0
E00134003,93,7,0
E00134004,100,0,0
E00134005,98.3,1.7,0
E00134006,79.3,20,0.7
E00134007,93,7,0
E00134008,96.9,3.1,0
E00134009,97,3,0
E00134010,72.3,27.7,0
E00134011,90.3,9.7,0
E00134012,99.2,0.8,0
E00134014,97.1,2.9,0
E00134015,95.4,4.6,0
E00134016,98.3,1.7,0
E00134017,99,0,1
E00134018,96.4,3.6,0
E00134019,94.6,5.4,0
E00134020,95.9,4.1,0
E00134021,98.1,1.9,0
E00134022,99.1,0.9,0
E00134023,91.8,8.2,0
E00134024,83.3,16.7,0
E00134025,99.2,0,0.8
E00134026,72.5,26.9,0.5
E00134027,99.1,0.5,0.5
E00134029,46.4,52.9,0.7
E00134030,95.5,3.2,1.3
E00134031,47.3,52.7,0
E00134033,89.5,10.5,0
E00134034,99.2,0.8,0
E00134035,89.7,10.3,0
E00134036,95.6,3.6,0.7
E00134037,94.8,5.2,0
E00134038,95.6,3.5,0.9
E00134039,92.5,0,7.5
E00134040,88,12,0
E00134041,91,8.2,0.7
E00134062,98.6,1.4,0
E00134063,99.1,0.9,0
E00134064,100,0,0
E00134065,100,0,0
E00134066,100,0,0
E00134137,100,0,0
E00134138,99.2,0,0.8
E00134139,96.4,1.8,1.8
E00134148,97.8,2.2,0
E00134167,100,0,0
E00134168,96.7,1.1,2.2
E00134169,94.6,5.4,0
E00134170,91.4,7.8,0.8
E00134171,76.6,23.4,0
E00134172,86.6,13.4,0
E00134173,100,0,0
E00134174,99.3,0,0.7
E00142652,95.7,1.4,2.9
E00142653,100,0,0
E00142654,100,0,0
E00142655,99.4,0,0.6
E00142656,99,1,0
E00142657,100,0,0
E00142658,96.3,3.7,0
E00142659,92.6,6.6,0.7
E00142664,95.1,4.2,0.7
E00142689,100,0,0
E00142690,98.7,0.6,0.6
E00142691,100,0,0
E00142692,96.2,3.8,0
E00142693,97.4,2,0.7
E00142714,100,0,0
E00142716,100,0,0
E00142728,100,0,0
E00142730,66.4,33.6,0
E00142731,91.1,8.9,0
E00142738,86.7,13.3,0
E00142739,92.1,7.9,0
E00142740,98.6,0.7,0.7
E00142742,74.6,25.4,0
E00142743,97.8,2.2,0
E00142745,100,0,0
E00142746,74.6,25.4,0
E00142778,99,1,0
E00142779,99.3,0.7,0
E00142780,99.3,0,0.7
E00142781,99.1,0.9,0
E00142782,99.3,0.7,0
E00142783,99.4,0.6,0
E00142784,98.8,1.2,0
E00142789,100,0,0
E00142793,100,0,0
E00142799,90,4.4,5.6
E00142801,78.2,0,21.8
E00142802,96.3,3.7,0
E00142808,98.5,1.5,0
E00142809,64.4,35.6,0
E00142818,90,10,0
E00142819,81,19,0
E00142820,99.4,0.6,0
E00142821,94.3,2.9,2.9
E00142822,100,0,0
E00142823,100,0,0
E00142824,99.2,0.8,0
E00142825,96.1,2.6,1.3
E00142835,95.1,4.9,0
E00142836,100,0,0
E00142837,100,0,0
E00142838,99.3,0.7,0
E00142839,93.5,6.5,0
E00142840,98,2,0
E00142841,99.1,0,0.9
E00142846,100,0,0
E00142847,95.7,4.3,0
E00142849,99.5,0.5,0
E00142852,98.3,1.7,0
E00142853,98.8,1.2,0
E00142854,99.1,0.9,0
E00142855,96.3,3.8,0
E00142856,100,0,0
E00168556,81.4,18.6,0
E00168557,100,0,0
E00168558,100,0,0
E00168559,98.2,1.8,0
E00168566,99.1,0.9,0
E00172391,100,0,0
E00173382,96.4,2.7,0.9
E00182648,100,0,0
E00182668,68.8,31.3,0
E00182672,100,0,0
E00182676,100,0,0
E00182677,99.5,0.5,0
E00182696,100,0,0
E00182743,98.5,1.5,0
E00185287,82.1,17.1,0.8
E00185300,36.5,62.4,1.1
E00185311,99.3,0.7,0
E00185312,58.3,41.7,0
E00185325,14.3,85.7,0
E00185385,82.3,17.7,0
E00185394,73.9,24.6,1.5
E00185407,89.9,10.1,0
E00185443,86.3,11.8,2
E00185454,96.7,3.3,0
