areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00042111,63.1,28.7,7.4,0.8
E00042112,63.2,27.9,8.1,0.7
E00042127,62.9,27.2,7.9,2
E00042129,64.6,28.7,6.2,0.6
E00042179,36.6,50.3,11.8,1.3
E00042180,3.6,36.1,46.4,13.9
E00042183,11,48.3,34.7,5.9
E00042184,21.6,54.2,22.1,2.1
E00042186,27.4,54.9,16.8,0.9
E00042187,15.3,49.1,31.1,4.5
E00042188,39.1,40.6,18,2.3
E00042190,11,46.3,36,6.6
E00042192,9,55.1,32.1,3.8
E00042195,30.1,45.5,21,3.5
E00042197,26,38.5,25,10.6
E00042200,30.5,46.6,18.3,4.6
E00042203,30.1,46.6,21.4,1.9
E00042206,30.5,48.4,18,3.1
E00042208,12.5,51,33.3,3.1
E00042213,4.7,28.4,46.6,20.3
E00042214,12.3,53.5,33.3,0.9
E00042216,33,41.7,17.4,7.8
E00042220,4.5,42.4,39.4,13.6
E00042221,50.9,35.3,13.8,0
E00042224,10.8,49.2,30.8,9.2
E00042225,13.2,50.4,31.4,5
E00042227,36.5,46.1,16.5,0.9
E00042402,28.7,55.8,12.4,3.1
E00042403,27.2,54.9,15.8,2.2
E00042404,34.1,45.2,14.8,5.9
E00042405,31.7,50.8,11.9,5.6
E00042406,38.4,42.7,14.7,4.3
E00042407,17.6,47.2,28.7,6.5
E00042408,7.4,38.8,43.8,9.9
E00042409,38.3,45.4,14.2,2.1
E00042410,47.4,38.5,10.9,3.2
E00042411,41.1,43.8,13.4,1.8
E00042412,41,33.3,17.1,8.5
E00042413,38,42.1,14,5.8
E00042414,53.1,36.7,8.2,2
E00042415,50.3,39.3,9,1.4
E00042416,20.9,63.4,14.9,0.7
E00042417,27.3,57.3,10.5,4.9
E00042418,29.2,45,20,5.8
E00042419,35.4,46.6,13.7,4.3
E00042420,29.1,50,15.7,5.2
E00042421,30.4,51.3,13.9,4.3
E00042424,40,42.9,15,2.1
E00042425,18.8,51.3,24.8,5.1
E00042426,43,39.8,13.3,3.9
E00042427,43.9,44.4,9.9,1.8
E00042428,49.7,40.6,7.1,2.6
E00042429,30,41.1,25.6,3.3
E00042430,42,32.8,19.3,5.9
E00042431,36.7,45.6,14.4,3.3
E00042432,41.7,45.7,7.3,5.3
E00042433,41,36.1,16.9,6
E00042434,39.4,48,10.2,2.4
E00042435,49.6,37.4,10.6,2.4
E00042436,44.7,43.7,10.7,1
E00042437,51.7,34.2,11.7,2.5
E00042438,36,37.7,12.3,14
E00042557,21.7,52.9,19.6,5.8
E00042558,50.6,42.7,5.5,1.2
E00042559,40.1,42.3,11.3,6.3
E00042560,47.9,37.7,11.6,2.7
