geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00051471,2.4,19.8,49.2,28.6
E00051476,0.8,26.1,47.9,25.2
E00051477,2.4,27.6,46.3,23.6
E00051479,17.8,32.2,33.9,16.1
E00051480,2.5,26.9,52.9,17.6
E00051484,6.5,22.8,52,18.7
E00051485,5.6,27.4,50,16.9
E00051487,13.2,34.6,36.8,15.4
E00051501,12.3,28.4,45.7,13.6
E00051502,6.9,25.7,51.5,15.8
E00051503,0,32.3,48.4,19.4
E00051504,5.7,37.6,46.1,10.6
E00159066,7,34,34,25
E00159067,12.2,46.1,32.2,9.6
E00159068,12.7,43.2,30.5,13.6
E00159069,21.6,50,20.9,7.4
E00159070,14.6,43.8,25.4,16.2
E00159071,13.7,36.3,33.9,16.1
E00159072,7.9,45.2,38.9,7.9
E00159073,45.3,35,16.2,3.4
E00159074,29.3,39.7,21.6,9.5
E00159075,12.7,44,32.7,10.7
E00159076,7.1,36.2,44.7,12.1
E00159077,7.7,53.8,30.8,7.7
E00159078,7.6,38.9,34,19.4
E00159079,24.4,58.3,15,2.4
E00159081,23.3,54.8,16.4,5.5
E00159082,6.7,27.4,43.7,22.2
E00159134,4.8,20.2,52.9,22.1
E00159136,3.2,18.4,44.3,34.2
E00159137,15.6,39.6,30.2,14.6
E00159277,7.8,40.6,37.5,14.1
E00159278,31.8,39.5,20.9,7.8
E00159279,10.3,39.7,37.9,12.1
E00159280,11.4,41.2,34.2,13.2
E00159281,6.6,31.6,41.9,19.9
E00159282,8.6,35.9,42.2,13.3
E00159283,28,42.1,18.7,11.2
E00159284,22.2,51.4,23.2,3.2
E00159285,10.3,37.3,34.9,17.5
E00159286,6.5,41.5,33.3,18.7
E00159287,9.1,46.8,33.1,11
E00159288,7,40.3,34.9,17.8
E00159290,11.7,28.3,40.8,19.2
E00159294,14.9,43.8,29.8,11.6
E00159295,6.1,26.4,37.8,29.7
E00159296,8.3,26.3,42.9,22.6
E00159297,4.2,38.8,33.3,23.6
E00159298,3.9,21.3,46.5,28.3
E00159299,4,15.2,40.8,40
E00159300,0.8,23,38.5,37.7
E00159301,2.4,23.8,35.7,38.1
E00159302,6.8,25.6,50.4,17.1
E00159303,7.4,38.9,41.7,12
E00159304,3.8,32.3,35.3,28.6
E00159305,0,25.7,47.1,27.1
E00159306,5.8,14.4,42.4,37.4
E00159501,6.1,32.9,35.4,25.6
E00163860,4.9,30.1,45.6,19.4
E00163861,2.9,25,42.3,29.8
E00164121,6.4,30,47.9,15.7
E00164122,18.5,58.8,17.6,5
E00164123,0.8,22.4,43.2,33.6
E00164377,7,30.7,43.9,18.4
E00164378,6.7,32.8,40.3,20.2
E00164379,2.6,22.8,56.1,18.4
E00164381,10.2,36.4,43.2,10.2
E00164383,5.4,38.7,36,19.8
E00164384,35.9,44.4,16.2,3.4
E00164386,9.9,29.7,38.7,21.6
E00164387,27,41.8,22,9.2
E00164389,39,38.1,16.9,5.9
E00164390,43,43,10.7,3.3
E00164452,35.1,50,11.5,3.4
E00164453,19.1,53.9,24.3,2.6
E00164454,16.9,52.5,26.9,3.7
E00164455,40.7,46.2,10.3,2.8
E00164456,6.5,54.8,32.3,6.5
E00164457,24.1,50.4,21.1,4.5
E00164458,13.4,50,28.6,8
E00164459,20.8,53.3,21.7,4.2
E00164460,25,47.1,21.2,6.7
E00164461,27.6,40,22.9,9.5
E00164462,26.8,50,21.8,1.4
E00164463,26.8,47.2,17.3,8.7
E00164464,26.4,46.4,22.9,4.3
E00164465,26.8,41.5,26,5.7
E00164466,26.5,43.2,23.5,6.8
E00164467,34.1,43.9,16.7,5.3
E00164468,12.5,43.1,34.7,9.7
E00164469,6.7,47.1,33.6,12.6
E00164470,29.7,45.3,21.6,3.4
E00164471,5.5,29.9,39.4,25.2
E00164472,7.9,27.8,44.4,19.8
E00164473,7.9,40.2,38.4,13.4
E00164474,8.6,34.4,41.9,15.1
E00164475,11.5,42.5,31.9,14.2
E00164476,5.5,29.1,42.7,22.7
E00164477,9.4,40.6,39.8,10.2
E00164478,41.5,46.2,7.7,4.6
E00164497,26.7,42.5,28.1,2.7
E00164499,30.8,43.6,18.8,6.8
E00164500,27.7,47.3,21.4,3.6
E00164501,34.6,43,18.7,3.7
E00164502,19.7,51.3,24.8,4.3
E00164503,30,44.3,20,5.7
E00164504,30.7,45.7,15,8.6
E00164505,12.4,34.1,34.1,19.4
E00164506,5.9,35.3,45.4,13.4
E00164508,2.8,20.6,42.1,34.6
E00164509,11.6,39.5,36.4,12.4
E00164510,11,27.6,42.9,18.4
E00164511,14.3,31,39.7,15.1
E00164512,17.1,37.4,30.9,14.6
E00164513,15.6,29.7,39.1,15.6
E00164514,16,40.4,36.2,7.4
E00164515,10.3,41.7,39.2,8.8
E00164516,10.3,44.9,33.6,11.2
E00164517,21.6,45,27,6.3
E00164518,17.9,43.6,30,8.6
E00164519,43.9,38.7,13.5,3.9
E00164520,52.6,36.3,10.4,0.7
E00164521,28,40.6,28,3.5
E00164539,20,50.9,24.5,4.5
E00164542,9.4,44.6,36.7,9.4
E00164543,5.3,27.3,44.7,22.7
E00164544,36.4,35.7,24,3.9
E00164545,6.4,34.4,41.6,17.6
E00164546,10.4,37,38.5,14.1
E00164547,2.4,25.2,51.2,21.1
E00164552,14,39.5,38,8.5
E00164553,22.5,46.5,21.8,9.2
E00164554,42.9,40.5,12.7,4
E00164555,38.6,46.4,12.1,2.9
E00164556,31.5,47.3,13.9,7.3
E00164557,24.3,33.1,32.4,10.3
E00164558,31.3,41.2,19.8,7.6
E00164559,8.8,36.3,42.2,12.7
E00164560,21.6,46.8,25.2,6.3
E00164562,14.6,52.3,23.8,9.2
E00164563,12.2,37.4,37.4,13
E00164564,11.8,56.7,21.3,10.2
