geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00164564,44.9,38.6,13.4,3.1,0
E00164565,46.9,39.1,13.3,0.8,0
E00164566,44.4,37,14.8,3.7,0
E00164567,50,33.1,12.9,4,0
E00164568,52.3,37.3,10.4,0,0
E00164569,35.1,44.8,14.2,5.2,0.7
E00164570,49.6,32.2,14.9,3.3,0
E00164571,45.9,42.5,9.6,2.1,0
E00164572,33.1,38.6,22,6.3,0
E00164573,24.8,44,28.8,2.4,0
E00164574,34,34.8,24.1,5.7,1.4
E00164575,47.1,35.3,15,2.6,0
E00164576,32.1,38.7,23.6,5.7,0
E00164577,31.1,43.4,19.7,4.1,1.6
E00164578,23.4,42.7,23.4,10.5,0
E00164579,41.4,32.9,15.7,10,0
E00164580,53,34.8,11.3,0.9,0
E00164581,51.6,39.1,9.4,0,0
E00164582,50.9,33,13.4,2.7,0
E00164583,32.5,40,22.5,5,0
E00164584,45,35.7,16.3,3.1,0
E00164585,55.4,30.8,11.5,2.3,0
E00164586,46.3,30.2,16.8,6.7,0
E00164605,46.6,36.4,14.4,2.5,0
E00164606,52.7,32.8,13,1.5,0
E00164607,47.3,45.3,7.3,0,0
E00164608,53.7,35.8,10.4,0,0
E00164609,50.4,41.1,7.8,0.7,0
E00164610,37.7,32.5,21.1,8.8,0
E00164611,27.6,39.8,16.3,13,3.3
E00164612,48,42,10,0,0
E00164613,59.5,30.6,8.1,1.8,0
E00164614,30.7,34,24,10.7,0.7
E00164615,45.8,33.8,18.3,2.1,0
E00164616,51.9,38.8,7.8,1.6,0
E00164617,26.4,35.7,23.6,10,4.3
E00164618,51.3,37.2,8.8,1.8,0.9
E00164619,31.7,35.9,22.1,10.3,0
E00164620,59.4,30.8,9,0.8,0
E00164621,55.5,32,11.7,0.8,0
E00164622,47,39.1,12.2,1.7,0
E00164623,29.7,41.2,20.6,7.3,1.2
E00164624,46,43.7,10.3,0,0
E00164625,27.9,31,27.9,10.9,2.3
E00164626,42.1,39.7,15.7,2.5,0
E00164627,36.6,36.6,25.7,1,0
E00164628,57.8,35.2,6.3,0.8,0
E00164629,57.4,31.8,9.3,1.6,0
E00164630,50.8,36.7,10.8,1.7,0
E00164631,25.6,36.4,27.3,10.7,0
E00171585,51.5,35.3,11.3,2,0
E00171596,45.6,37.8,16.7,0,0
