geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02003986,83.3,16.4,0.4
E02005203,89,4.4,6.6
E02005204,88.2,11,0.9
E02005205,95.8,1.6,2.6
E02005206,83.9,16,0.1
E02005207,81.7,18.2,0.2
E02005208,43.7,55.9,0.3
E02005209,90.6,3.4,6
E02005210,69.6,30.2,0.2
E02005211,77.6,22.3,0.1
E02005224,72.3,27.7,0.1
E02005226,62.3,37.5,0.1
E02005228,90.7,8.7,0.6
E02005229,48.8,51,0.2
E02005230,79.9,14,6.2
E02005236,87.2,9.5,3.2
E02005304,95.2,4.1,0.7
E02005305,87.4,5.2,7.4
E02005306,91.2,2.5,6.3
E02005307,89.1,10.8,0.2
E02005309,94.3,5.7,0.1
E02005310,72.8,27,0.1
E02005311,97.1,2,0.9
E02005315,93,6.8,0.2
E02005319,72.8,27,0.2
E02005320,92.9,7,0
E02005321,91.5,8.5,0.1
E02005322,86.1,5.7,8.1
E02005323,89.2,10.6,0.2
E02005326,78.7,21.2,0.1
E02005327,92.5,1.2,6.3
E02005328,93.8,6.1,0.1
E02005329,88.4,11.3,0.3
E02005330,94.9,2.8,2.3
E02005331,80.3,19.6,0.1
E02005332,95.5,3.9,0.7
E02006017,93.3,6.3,0.4
E02006023,94.1,5.8,0.1
E02006024,91.5,8.2,0.4
E02006025,81.2,18.8,0.1
E02006026,96.1,3.3,0.6
E02006027,97.8,1.9,0.3
E02006028,92.6,7.2,0.2
E02006039,93.9,5.9,0.2
E02006041,95.5,3.9,0.6
E02006871,88.7,11.3,0.1
E02006932,7.2,92.7,0.1
E02006933,20.4,79.4,0.2
E02006934,4.5,95.5,0
W02000001,94.8,4.2,0.9
W02000002,96,3.2,0.8
W02000003,83.7,16,0.3
W02000004,95.4,3.9,0.7
W02000005,93.9,5.4,0.7
W02000006,87.8,12.1,0.1
W02000007,96.7,2.4,0.8
W02000008,89.5,10.1,0.4
W02000009,97.6,1.8,0.6
W02000010,68.8,31,0.1
W02000011,91,8.7,0.3
W02000012,93.9,5.8,0.3
W02000013,94,5.8,0.2
W02000014,95.2,4.5,0.3
W02000015,85.7,14.2,0.1
W02000016,93.4,6.4,0.2
W02000017,97.1,2.8,0.1
W02000018,94.4,5.3,0.3
W02000019,89.1,10.5,0.4
W02000020,93.5,5.8,0.7
W02000021,86.4,13.2,0.4
W02000022,92.8,5.8,1.4
W02000023,93.8,5,1.2
W02000024,92.2,7.5,0.4
W02000025,80,19.8,0.2
W02000026,89.6,10,0.4
W02000027,44.4,55.6,0
W02000028,82.8,17.2,0
W02000029,94,5.8,0.2
W02000030,65.3,34.7,0.1
W02000031,95.1,4.2,0.7
W02000032,88.9,11.1,0
W02000033,53.2,46.8,0
W02000034,80.7,19.3,0
W02000035,88.8,11.1,0.1
W02000036,87.9,12.1,0.1
W02000037,91.7,7.3,1
W02000038,89.5,8.3,2.2
W02000039,84.3,15.6,0.1
W02000040,97.7,2,0.3
W02000041,91.5,8.4,0.1
W02000042,91,9,0
W02000043,83.1,16.3,0.7
W02000044,94.8,5.2,0
W02000045,58.7,41.1,0.2
W02000047,87,12.4,0.5
W02000049,96,3.4,0.5
W02000050,93.9,5.8,0.2
W02000051,91.4,8.2,0.5
W02000052,89.6,10.3,0.1
W02000053,96.6,3.1,0.3
W02000054,95.9,3.4,0.7
W02000055,86.2,13.8,0
W02000056,96,3.5,0.5
W02000057,87,12.4,0.7
W02000058,95.3,2.2,2.5
W02000059,97.3,2.4,0.3
W02000060,87.8,12.1,0.1
W02000061,80.1,19.8,0.1
W02000062,98.8,1.1,0.1
W02000063,98.7,1,0.3
W02000064,87.1,12.7,0.2
W02000065,97.4,2.5,0
W02000066,87.3,12.2,0.4
W02000067,97.9,2.1,0
W02000068,83.6,9.9,6.5
W02000069,96,4,0.1
W02000070,94.7,5.3,0
W02000071,98.9,1,0.1
W02000072,94.4,5.5,0.1
W02000073,86.5,13.5,0
W02000074,90.2,9.8,0
W02000075,97.5,2.2,0.3
W02000076,98.4,1.5,0.1
W02000077,95.9,3.7,0.3
W02000080,93.6,6.4,0
W02000081,94,5.7,0.2
W02000082,92,7.9,0.1
W02000083,89.5,10.4,0.1
W02000085,83.5,16.4,0
W02000087,82.8,17.2,0
W02000088,73.3,26.6,0.1
W02000089,69,31,0
W02000090,95.6,4.3,0
W02000091,96.2,3.8,0
W02000092,85.1,14.9,0
W02000093,91.4,8.5,0.1
W02000094,90.5,9.3,0.2
W02000095,95.8,3.8,0.4
W02000096,93.1,6.7,0.2
W02000097,96.2,3.1,0.7
W02000098,97.3,2.5,0.3
W02000099,82.2,17.2,0.6
W02000100,92.3,6.8,0.9
W02000101,96.6,1.3,2.2
W02000102,96.6,3,0.4
W02000103,97.5,1.8,0.6
W02000104,80,19.9,0.1
W02000105,88.9,10.9,0.2
W02000419,94.1,5.9,0.1
W02000424,96.4,2.1,1.6
W02000425,94.5,5.2,0.4
W02000426,89.3,10.6,0.1
