areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00075591,97.9,2.1,0
E00075592,94.7,5.3,0
E00075593,99.3,0.7,0
E00075601,96.9,3.1,0
E00075709,94.5,4.5,0.9
E00075710,96.8,0.8,2.4
E00075719,99.2,0,0.8
E00112976,91.4,7.6,1
E00112977,76.5,2.4,21.2
E00112978,96,3.4,0.7
E00112979,99.4,0.6,0
E00112980,93.1,6.9,0
E00112981,93.4,6.6,0
E00112982,78.6,21.4,0
E00112983,61.9,38.1,0
E00112984,83.9,16.1,0
E00112985,93.4,6.6,0
E00112986,99,1,0
E00112987,84.3,14.8,0.9
E00112988,100,0,0
E00112989,95.9,4.1,0
E00112991,90.9,9.1,0
E00112992,98.6,1.4,0
E00112993,98.3,0.9,0.9
E00112994,94.3,5.7,0
E00112995,99,0,1
E00113002,97.8,2.2,0
E00113003,97,3,0
E00113004,100,0,0
E00113005,87.8,12.2,0
E00113006,98.1,1.9,0
E00113007,95.5,4.5,0
E00113008,100,0,0
E00113009,96.5,3.5,0
E00113010,100,0,0
E00113011,98.3,1.7,0
E00113012,95.9,4.1,0
E00113019,96.8,3.2,0
E00113020,93.1,6.9,0
E00113021,99.2,0.8,0
E00113022,100,0,0
E00113023,85.7,8.8,5.4
E00113030,98.3,1.7,0
E00113031,96.4,3.6,0
E00113032,100,0,0
E00113033,85,15,0
E00113034,99.1,0.9,0
E00113035,77.8,22.2,0
E00113036,87.7,12.3,0
E00113037,94.3,5.7,0
E00113038,100,0,0
E00113039,99.2,0.8,0
E00113040,97,3,0
E00113041,85.9,14.1,0
E00113042,94.7,5.3,0
E00113043,88.6,11.4,0
E00113044,99.2,0.8,0
E00113045,92.5,7.5,0
E00113047,63,37,0
E00113048,96.6,3.4,0
E00113049,75.8,23.7,0.5
E00113050,99.1,0.9,0
E00113051,85,15,0
E00113052,74,18,8
E00113053,60.8,39.2,0
E00113054,92.2,7.8,0
E00113055,66.1,0,33.9
E00113056,96.7,3.3,0
E00113057,96.7,3.3,0
E00113058,78.3,21.7,0
E00113059,94.1,5.9,0
E00113060,86.7,12.1,1.2
E00113061,100,0,0
E00113062,47,53,0
E00113063,99.2,0.8,0
E00113064,100,0,0
E00113065,98.5,1.5,0
E00113066,75.7,24.3,0
E00113067,92,6.7,1.3
E00113068,67.7,32.3,0
E00113069,98.1,1.9,0
E00113070,92.9,7.1,0
E00113071,98.5,1.5,0
E00113072,73.9,0,26.1
E00113073,84.3,15.7,0
E00113074,79.5,20.5,0
E00113075,99.1,0.9,0
E00113076,100,0,0
E00113077,75.7,24.3,0
E00113078,83.6,9.5,6.9
E00113079,97.9,2.1,0
E00113080,96.5,3.5,0
E00113081,100,0,0
E00113082,98,2,0
E00113083,96.3,2.9,0.7
E00113084,87.9,3.2,8.9
E00113085,96.1,3.9,0
E00113086,99.3,0,0.7
E00113092,99.2,0.8,0
E00113093,97.1,2.9,0
E00113094,99.1,0.9,0
E00113095,99.2,0.8,0
E00113096,96.1,3.9,0
E00113097,97.5,1.9,0.6
E00113098,97,1.5,1.5
E00113099,99.3,0.7,0
E00113100,91,9,0
E00113101,100,0,0
E00113102,95.4,4.6,0
E00113103,98.2,1.8,0
E00113104,82.7,16,1.2
E00113106,84.3,6,9.6
E00113107,99.4,0.6,0
E00113108,88.1,11.9,0
E00113109,97.6,2.4,0
E00113116,93.1,6.9,0
E00113117,97.7,1.6,0.8
E00113121,100,0,0
E00113127,85.5,14.5,0
E00113128,97.5,1.6,0.8
E00113129,83.2,16.8,0
E00113130,100,0,0
E00113132,99.1,0.9,0
E00113133,59.2,40.8,0
E00113134,89.5,9.6,0.9
E00113135,90.1,9.9,0
E00113137,81.5,18.5,0
E00113138,86.4,12.8,0.8
E00113139,97.7,2.3,0
E00113140,98.4,1.6,0
E00113141,100,0,0
E00113142,60,39.4,0.6
E00113143,99.1,0.9,0
E00113144,99.3,0.7,0
E00113145,99.2,0.8,0
E00113146,95.2,4.8,0
E00113147,100,0,0
E00113148,100,0,0
E00113149,99.2,0,0.8
E00113175,92.7,7.3,0
E00113176,94.6,4.8,0.7
E00113177,94.3,5.7,0
E00113178,99.2,0.8,0
E00113179,98.7,1.3,0
E00113180,93,7,0
E00113181,97.5,2.5,0
E00113182,99.3,0.7,0
E00113183,93.2,3,3.8
E00113184,97.5,2.5,0
E00113185,100,0,0
E00113189,87.8,10,2.2
E00113201,95.2,4.8,0
E00113202,96.3,3.7,0
E00113203,97.7,2.3,0
E00113204,95.1,4.9,0
E00113205,91,9,0
E00113206,97.1,2.9,0
E00113207,100,0,0
E00113208,98.5,1.5,0
E00113209,97.7,2.3,0
E00113210,98,2,0
E00113211,100,0,0
E00113222,67,33,0
E00113224,98.8,1.2,0
E00113225,100,0,0
E00113226,100,0,0
E00113227,75,24.2,0.8
E00113228,95.5,3.8,0.8
E00113229,98.4,1.6,0
E00113230,100,0,0
E00113231,100,0,0
E00113232,100,0,0
E00113235,98.9,1.1,0
E00113237,94.7,4.5,0.8
E00113238,98.2,1.8,0
E00113239,94.2,5.8,0
E00113240,97,3,0
E00113615,99.2,0.8,0
E00113616,82.4,16.7,1
E00113625,78.1,21.9,0
E00113628,95.2,4.3,0.5
E00113629,92.2,7.8,0
E00113937,96.5,3.5,0
E00168938,72.4,0,27.6
E00168986,72,3.2,24.7
E00186342,94.6,5.4,0
E00186394,88.7,11.3,0
E00186426,81.3,18.2,0.5
E00186433,95.5,4.5,0
E00186451,91.9,8.1,0
E00186455,96.3,3.7,0
E00186468,94.4,4.8,0.8
E00186473,88.8,11.3,0
E00186476,100,0,0
E00186492,91,9,0
E00189464,87.4,12.6,0
E00189480,100,0,0
E00189485,85.1,14.9,0
E00189512,91,9,0
E00189536,97,0.7,2.2
E00189544,91,9,0
E00189561,94.8,5.2,0
W00008046,96.2,3.8,0
W00008081,98.6,0.7,0.7
W00008082,99.3,0.7,0
W00008083,99.4,0.6,0
W00008090,100,0,0
W00008091,98.5,1.5,0
W00008092,92.2,7.8,0
W00008093,97.6,0,2.4
W00008094,100,0,0
W00008096,71.7,28.3,0
W00008097,43.2,56.8,0
W00008099,94.1,5.2,0.7
W00008100,82,18,0
W00008101,55.6,44.4,0
W00008102,71.6,27.8,0.6
W00008103,100,0,0
W00008104,28.2,71.8,0
W00008129,79.1,20.9,0
W00008130,97.8,2.2,0
W00008131,100,0,0
W00008132,93.4,6.6,0
W00008170,95.7,4.3,0
W00008200,100,0,0
W00008201,97.9,2.1,0
W00008203,97.4,2.6,0
W00008204,99.2,0.8,0
W00008205,61.9,38.1,0
W00008206,75,25,0
W00008207,98.4,1.6,0
W00008208,99.2,0.8,0
W00008209,43.1,56.9,0
W00008210,60,40,0
W00008211,71.4,28.6,0
W00008212,95.3,4.7,0
W00008241,98.7,1.3,0
W00008242,97.6,2.4,0
W00008243,89.1,10.9,0
W00008244,98.8,1.2,0
W00008245,99.1,0.9,0
W00008246,99.3,0.7,0
W00008247,99.2,0.8,0
W00008248,100,0,0
W00008249,96.2,3.8,0
W00008250,74.4,25.6,0
W00008251,89.5,10.5,0
W00008252,78.5,21.5,0
W00008253,92.1,7.9,0
W00008254,93.1,6.9,0
W00008255,93.5,6.5,0
W00008256,99.2,0.8,0
W00008257,100,0,0
W00008258,96.1,3.9,0
W00008260,53.7,46.3,0
W00008261,51.9,48.1,0
W00008262,65,35,0
W00008263,95.7,4.3,0
W00008264,91.4,8.6,0
W00008265,51.8,48.2,0
W00008266,30.2,69.8,0
W00008278,91.6,8.4,0
W00008279,99.2,0.8,0
W00008280,97.1,1.9,1
W00008281,99.4,0.6,0
W00008282,98.4,1.6,0
W00008283,97.8,1.6,0.5
W00008288,92,8,0
W00008289,88.3,11.7,0
W00008290,72.3,27.7,0
W00008291,99.2,0.8,0
W00008292,96.8,3.2,0
W00008293,96.6,3.4,0
W00008294,100,0,0
W00008295,100,0,0
W00008296,82.9,17.1,0
