geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00039240,5.2,23.1,71.6
E00039241,0.8,22.1,77
E00039242,10.1,16.5,73.4
E00039243,2.8,45.4,51.9
E00039244,1.6,29,69.4
E00039245,3.4,19.7,76.9
E00039246,0,32.4,67.6
E00040632,1.9,18,80.1
E00040633,3.6,21.8,74.5
E00040634,1.9,32.1,66
E00040637,3.3,39.2,57.5
E00040638,4.7,32.2,63.1
E00040639,2.6,30.1,67.3
E00040640,2.1,26.2,71.6
E00040641,0,31.3,68.8
E00040669,4.2,16.7,79.2
E00040673,3.5,11.5,85
E00040676,6.1,27,67
E00040677,3.2,38.4,58.4
E00040678,5.2,13.5,81.3
E00040679,4.6,33.6,61.8
E00040681,4.9,35.8,59.3
E00040683,1.5,35.9,62.6
E00040684,1.5,58,40.5
E00040685,3.5,28.9,67.6
E00040686,0.7,28.7,70.6
E00040687,1.6,48.1,50.4
E00040688,2.3,37.4,60.3
E00040689,0.8,41,58.2
E00040690,7.9,21.8,70.3
E00040691,0,25.4,74.6
E00040693,4.1,19.7,76.2
E00040695,0,27.3,72.7
E00098508,3.6,14.5,81.9
E00098509,4.8,8.5,86.7
E00098510,1.5,29.9,68.7
E00098511,3.9,20.9,75.2
E00098512,2.8,13.5,83.7
E00098513,7.4,22.1,70.5
E00098514,2.4,47.2,50.4
E00098515,1.7,32.2,66.1
E00098516,0,30.8,69.2
E00098517,4.7,31.5,63.8
E00098532,7.2,27.1,65.7
E00098533,0.7,40,59.3
E00098534,3.3,43.8,52.9
E00098535,4.3,23.7,71.9
E00098536,3.9,25,71.1
E00098537,3.7,22.3,73.9
E00098538,6.3,17.6,76.1
E00098539,6.2,35.7,58.1
E00098540,3.9,20.3,75.8
E00098541,6.5,24.4,69.1
E00098542,3.4,29.3,67.2
E00098543,4.4,28.9,66.7
E00098544,0.8,37,62.2
E00098545,2.5,24.4,73.1
E00098546,2.8,43.5,53.7
E00098547,1.8,67.9,30.3
E00098548,0,27,73
E00098549,3.7,59.3,37
E00098550,0.9,36.8,62.3
E00098551,3.8,29.8,66.3
E00098554,3.2,22.6,74.2
E00098555,4.1,36.1,59.8
E00098556,4.1,22.1,73.8
E00098557,3.4,49.2,47.5
E00098565,3.8,20,76.2
E00098566,3.8,32.1,64.1
E00098567,5,32.1,62.9
E00098568,3.2,31.5,65.3
E00098569,0,32.9,67.1
E00098571,2.4,32.7,64.9
