geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00033012,24.4,60.5,15.1,0
E00033692,18.4,63.1,18.4,0
E00034353,50,36.6,10.4,3
E00034358,44.6,38,13.9,3.6
E00034359,31.1,54.7,12.3,1.9
E00034361,56.8,36,6.3,0.9
E00034362,59.3,37,2.8,0.9
E00036010,18.6,49.6,24,7.8
E00036011,13.7,47.9,32.2,6.2
E00036012,17.9,41.7,34,6.4
E00036013,28.3,53.1,15,3.5
E00036014,7.8,36.2,46.6,9.5
E00036015,26.7,40.7,24.4,8.1
E00036016,12.7,26.6,45.6,15.2
E00036017,18.8,52.2,23.9,5.1
E00036018,9.7,38.1,44.8,7.5
E00036019,15.2,49.7,30.3,4.8
E00036020,24.6,39.4,29.6,6.3
E00036021,21.4,55.9,19.3,3.4
E00036022,14.3,41.3,37.3,7.1
E00036023,11,46.6,37.3,5.1
E00036024,12.3,57.7,24.6,5.4
E00036025,34.4,50,12.5,3.1
E00036026,15.8,48.3,31.7,4.2
E00036027,8.3,42.9,32.3,16.5
E00036028,14.9,47.9,33.9,3.3
E00036029,19.1,46.6,26.7,7.6
E00036030,5.9,43.2,40.7,10.2
E00036031,5.6,36.3,41.1,16.9
E00036032,9.2,32.3,47.7,10.8
E00036033,30.5,45,20.6,3.8
E00036034,5.8,43,38.8,12.4
E00036035,23,52.5,21.3,3.3
E00036036,15,46.9,32.7,5.3
E00036037,18.8,44.9,27.5,8.7
E00036038,19.7,47.2,23.6,9.4
E00036039,0.9,36,47.4,15.8
E00036040,4,25.6,46.4,24
E00036041,20.7,39.6,30.6,9
E00036042,6.3,35.4,41.7,16.5
E00036043,12.5,34.2,37.5,15.8
E00036044,10.2,42.4,33.9,13.6
E00036045,9.5,32.8,45.7,12.1
E00036046,7.5,37.7,46.2,8.5
E00036047,7.1,42.9,40.2,9.8
E00036048,11,34.7,39.8,14.4
E00036049,11.5,46.2,36.5,5.8
E00036050,38.3,37.4,17.4,7
E00036051,44.5,50,5.5,0
E00036052,39,43.8,16.2,1
E00036053,18.1,46.5,23.6,11.8
E00036054,10.6,40.7,34.1,14.6
E00036055,14.4,48,30.4,7.2
E00036056,38.3,40,14.8,7
E00036057,32.6,49.6,15.7,2.2
E00036058,50.5,38.7,9,1.8
E00036059,35.5,46,15.3,3.2
E00036060,40.3,42.3,13.4,4
E00036061,38.9,45.4,13.9,1.9
E00036062,24.1,48.8,19.8,7.4
E00036063,34.5,49.6,13.4,2.5
E00036064,43.8,38.7,13.9,3.6
E00036066,3.3,40.5,39.2,17
E00036067,40.6,34.6,16.5,8.3
E00036069,43.2,36,18.4,2.4
E00036070,54.1,36.1,7.4,2.5
