geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02002910,17.3,40.3,6.4,33.3,2.8
E02002924,15,39.4,4.8,38,2.8
E02003069,10.4,37.4,5.3,44.5,2.3
E02003071,15,42.3,6.1,33.7,2.8
E02003074,14.9,48.3,6.8,27.5,2.5
E02003076,13.2,41.3,5.8,37.8,1.9
E02003078,15,42.5,5.7,34.2,2.6
E02003079,14.3,49.4,6.9,26.8,2.6
E02003080,21.5,45.1,8.3,22,3.1
E02003081,14.9,46.6,7.3,28.4,2.7
E02003082,17.1,42.1,6.1,31.7,3
E02003084,21.9,42.3,6.3,25.7,3.8
E02003085,24.8,45.5,5.3,20.9,3.6
E02003086,17.6,43.4,6,29.5,3.5
E02003087,17.1,44.1,6.8,29.1,2.9
E02003089,19.6,42.8,6.7,28.2,2.8
E02003931,16.8,46.5,6.5,27.5,2.7
E02003932,18.9,44.5,6.6,27.3,2.7
E02004129,16.4,40.3,6.6,34.1,2.6
E02004130,22.1,43,7.3,24.5,3.2
E02004131,18.2,45.3,7.9,25.9,2.8
E02004132,12.8,41.2,5.9,37.3,2.7
E02004133,17.4,43.9,6.9,29,2.8
E02004135,14.3,39.6,6.5,36.5,3.1
E02004136,12.9,40.1,5.6,39.4,1.9
E02004149,5.6,60.1,2.3,30,2
E02004150,16.9,48.6,5.2,27.2,2.2
E02004151,17.3,42.4,6.2,31.4,2.7
E02004164,15.3,40.3,5.6,36.2,2.7
E02004165,16.4,44.3,7.1,29.4,2.9
E02004166,15.3,42.1,5,35.4,2.2
E02004167,21.9,46.8,6.2,22.6,2.5
E02004168,22.7,44.5,6.8,23.3,2.7
E02004169,16.1,44.8,5.7,31.1,2.4
E02004170,19.4,47.7,6.5,23.3,3.2
E02004171,12.2,42,5.4,38,2.4
E02004172,15.9,41.6,6.4,33.6,2.6
E02004173,15,41.7,5.1,35.9,2.2
E02004174,18.3,43.8,6.6,28.7,2.6
E02004175,19.3,44.9,7.4,25.4,3
E02004176,17.5,42.4,6.8,30.6,2.6
E02004177,19.3,45.3,7,25.8,2.6
E02004178,12.4,39.6,6.5,38.9,2.6
E02004179,15.7,44.2,7.3,29.7,3
E02004180,14.8,43.2,6,33.6,2.4
E02004181,17.5,43.9,7.4,28.6,2.6
E02004182,24,46.2,6.4,21.5,1.9
E02004183,20.6,41.2,8.3,26.7,3.2
E02004184,18.7,48.7,5.8,24.4,2.4
E02004185,18.5,40.6,7.3,30.8,2.8
