geography_code,sex-001,sex-002
E02002910,50.7,49.3
E02002924,50.5,49.5
E02003069,52.6,47.4
E02003071,52.5,47.5
E02003074,52.6,47.4
E02003076,51.2,48.8
E02003078,52.2,47.8
E02003079,50.9,49.1
E02003080,52,48
E02003081,51.1,48.9
E02003082,50.5,49.5
E02003084,50,50
E02003085,52.1,47.9
E02003086,51.6,48.4
E02003087,51.2,48.8
E02003089,52,48
E02003931,52.4,47.6
E02003932,50.9,49.1
E02004129,49.9,50.1
E02004130,53,47
E02004131,52.2,47.8
E02004132,51.1,48.9
E02004133,52,48
E02004135,52.4,47.6
E02004136,52.4,47.6
E02004149,51.9,48.1
E02004150,50.7,49.3
E02004151,51.3,48.7
E02004164,51.4,48.6
E02004165,51.6,48.4
E02004166,51.5,48.5
E02004167,51.3,48.7
E02004168,50.8,49.2
E02004169,50.6,49.4
E02004170,50.9,49.1
E02004171,51.2,48.8
E02004172,50.6,49.4
E02004173,50.7,49.3
E02004174,51.9,48.1
E02004175,50.8,49.2
E02004176,51,49
E02004177,51.3,48.7
E02004178,50.8,49.2
E02004179,50.4,49.6
E02004180,50.7,49.3
E02004181,52.5,47.5
E02004182,50.7,49.3
E02004183,51.2,48.8
E02004184,51.7,48.3
E02004185,52.1,47.9
E02004186,52.4,47.6
E02004187,51.2,48.8
E02004188,51,49
E02004220,52.5,47.5
E02004221,52.4,47.6
E02004222,49.8,50.2
E02004223,50.9,49.1
E02004224,50.4,49.6
E02004225,52,48
E02004226,50.8,49.2
E02004227,50.7,49.3
E02004228,50.5,49.5
E02004229,50.9,49.1
E02004230,50.5,49.5
E02006044,50.5,49.5
E02006062,51,49
E02006063,50.6,49.4
E02006064,52,48
E02006065,51.3,48.7
E02006066,51.1,48.9
E02006067,50.1,49.9
E02006068,49.7,50.3
E02006069,47.5,52.5
E02006070,50.3,49.7
E02006071,50.7,49.3
E02006072,51,49
E02006073,49.8,50.2
E02006074,50.8,49.2
E02006078,51.5,48.5
E02006081,51,49
E02006084,52.5,47.5
E02006093,52,48
E02006096,50.8,49.2
E02006097,49.9,50.1
E02006098,51.1,48.9
E02006099,52,48
E02006100,50.7,49.3
E02006101,50.9,49.1
E02006102,51.7,48.3
E02006103,51.4,48.6
E02006104,51.5,48.5
E02006105,49.9,50.1
E02006106,51.1,48.9
E02006107,52.7,47.3
E02006108,51.2,48.8
E02006109,52.4,47.6
E02006110,51.5,48.5
E02006111,51.3,48.7
E02006112,50.9,49.1
E02006113,51.4,48.6
E02006114,52.3,47.7
E02006115,52.2,47.8
E02006116,51.3,48.7
E02006117,51.8,48.2
E02006845,51.9,48.1
E02006846,50.7,49.3
E02007027,51.1,48.9
E02007028,50.3,49.7
W02000106,50.6,49.4
W02000107,50.4,49.6
W02000108,50.4,49.6
W02000109,50.1,49.9
W02000110,50.5,49.5
W02000111,51.9,48.1
W02000113,50.4,49.6
W02000114,51.3,48.7
W02000116,51.9,48.1
W02000117,49.4,50.6
W02000118,51.6,48.4
W02000120,50.7,49.3
W02000122,51,49
W02000123,51.6,48.4
W02000124,51.8,48.2
W02000125,51.6,48.4
W02000126,50.4,49.6
W02000127,51.5,48.5
W02000128,49.6,50.4
W02000129,51.3,48.7
W02000130,51.1,48.9
W02000131,53.2,46.8
W02000132,51.4,48.6
W02000133,51.5,48.5
W02000134,51.6,48.4
W02000135,51.4,48.6
W02000136,51.1,48.9
W02000137,51.1,48.9
W02000138,50.8,49.2
W02000139,51.4,48.6
W02000140,51.3,48.7
W02000141,52.5,47.5
W02000142,50.5,49.5
W02000143,49.8,50.2
W02000144,51,49
W02000145,51.2,48.8
W02000146,50.2,49.8
W02000147,51.3,48.7
W02000148,52.3,47.7
W02000149,51.3,48.7
W02000151,50.8,49.2
W02000152,51.9,48.1
W02000153,50.8,49.2
W02000154,51.3,48.7
W02000156,50.9,49.1
W02000157,50.9,49.1
W02000158,51.3,48.7
W02000159,51.7,48.3
W02000160,51.9,48.1
W02000161,51.9,48.1
W02000162,52.1,47.9
W02000163,52.2,47.8
W02000164,51.7,48.3
W02000165,51.7,48.3
W02000166,51.3,48.7
W02000167,50.1,49.9
W02000168,51.4,48.6
W02000169,51.5,48.5
W02000170,51.6,48.4
W02000171,51.1,48.9
W02000172,51,49
W02000173,51.2,48.8
W02000174,51.6,48.4
W02000175,51.5,48.5
W02000176,51.8,48.2
W02000177,51.1,48.9
W02000178,53,47
W02000179,51.3,48.7
W02000180,51.6,48.4
W02000181,52.4,47.6
W02000182,51,49
W02000183,48.4,51.6
W02000184,51.2,48.8
W02000185,51.4,48.6
W02000186,52.4,47.6
W02000188,49.2,50.8
W02000189,51.8,48.2
W02000191,47.9,52.1
W02000192,42.5,57.5
W02000193,45.9,54.1
W02000194,52.7,47.3
W02000195,52.3,47.7
W02000196,52.6,47.4
W02000197,51.3,48.7
W02000198,52.1,47.9
W02000200,50.9,49.1
W02000201,51.2,48.8
W02000202,50.9,49.1
W02000204,51.8,48.2
W02000205,52,48
W02000206,50.3,49.7
W02000207,51.9,48.1
W02000208,47.5,52.5
W02000210,51,49
W02000211,50.5,49.5
W02000212,51.1,48.9
W02000213,51.6,48.4
W02000214,52.6,47.4
W02000215,51.6,48.4
W02000216,50.1,49.9
W02000217,51.1,48.9
W02000218,50.9,49.1
W02000219,51.2,48.8
W02000220,51.2,48.8
W02000221,50.7,49.3
W02000222,50.8,49.2
W02000223,51.6,48.4
W02000224,51.3,48.7
W02000225,51.6,48.4
W02000226,50.9,49.1
W02000227,51.8,48.2
W02000228,44.3,55.7
W02000229,50.9,49.1
W02000230,51,49
W02000231,50.2,49.8
W02000232,50.9,49.1
W02000233,50.7,49.3
W02000234,51.7,48.3
W02000235,52,48
W02000236,51.7,48.3
W02000237,50.6,49.4
W02000238,52.5,47.5
W02000239,51.2,48.8
W02000240,51.9,48.1
W02000241,51.5,48.5
W02000242,51.9,48.1
W02000243,53.3,46.7
W02000244,52.1,47.9
W02000245,51.1,48.9
W02000246,51,49
W02000247,53,47
W02000248,51.6,48.4
W02000249,53,47
W02000250,50.2,49.8
W02000251,52.1,47.9
W02000252,51.3,48.7
W02000253,50.9,49.1
W02000254,51.2,48.8
W02000255,50.7,49.3
W02000256,51.6,48.4
W02000257,51.3,48.7
W02000258,50.2,49.8
W02000259,51.9,48.1
W02000260,51.9,48.1
W02000261,51.7,48.3
W02000262,50.9,49.1
W02000263,50.6,49.4
W02000264,50.4,49.6
W02000265,51,49
W02000266,51.5,48.5
W02000267,50.7,49.3
W02000268,50.3,49.7
W02000269,51.5,48.5
W02000270,50.9,49.1
W02000271,50,50
W02000272,51.1,48.9
W02000273,49.9,50.1
W02000274,50.9,49.1
W02000275,51.2,48.8
W02000276,51.2,48.8
W02000277,51.1,48.9
W02000278,50.6,49.4
W02000279,51.7,48.3
W02000280,51.3,48.7
W02000281,51.1,48.9
W02000282,51.5,48.5
W02000284,50.9,49.1
W02000285,51.6,48.4
W02000286,50.9,49.1
W02000287,50.4,49.6
W02000288,50.2,49.8
W02000289,50.8,49.2
W02000290,51,49
W02000291,51,49
W02000292,51.2,48.8
W02000293,51.2,48.8
W02000294,51.1,48.9
W02000295,50,50
W02000296,51.2,48.8
W02000297,51.4,48.6
W02000298,51.5,48.5
W02000299,50.6,49.4
W02000300,50.2,49.8
W02000301,50.5,49.5
W02000302,51.5,48.5
W02000303,49.8,50.2
W02000304,51.3,48.7
W02000305,51.3,48.7
W02000306,50.9,49.1
W02000307,50.8,49.2
W02000308,52.1,47.9
W02000309,52.1,47.9
W02000310,51.7,48.3
W02000311,52,48
W02000312,51.6,48.4
W02000313,51.3,48.7
W02000314,51.6,48.4
W02000315,50.4,49.6
W02000316,51.8,48.2
W02000317,51.1,48.9
W02000318,51.3,48.7
W02000319,51.6,48.4
W02000320,49.7,50.3
W02000321,50.8,49.2
W02000322,50.1,49.9
W02000323,51.1,48.9
W02000324,51,49
W02000325,51.8,48.2
W02000326,51.1,48.9
W02000327,51.7,48.3
W02000328,50.8,49.2
W02000329,51.5,48.5
W02000330,51.5,48.5
W02000331,52.3,47.7
W02000332,51.4,48.6
W02000333,51,49
W02000334,51.2,48.8
W02000335,51.5,48.5
W02000336,51.3,48.7
W02000337,52.9,47.1
W02000338,50.7,49.3
W02000340,50.7,49.3
W02000341,48.8,51.2
W02000346,51,49
W02000347,52.1,47.9
W02000348,52,48
W02000349,52.3,47.7
W02000350,50.9,49.1
W02000351,51.5,48.5
W02000352,50.7,49.3
W02000353,51.4,48.6
W02000354,52.1,47.9
W02000355,51.4,48.6
W02000356,51.1,48.9
W02000357,48.5,51.5
W02000358,51.6,48.4
W02000359,49.2,50.8
W02000360,46.3,53.7
W02000361,51.2,48.8
W02000362,51.2,48.8
W02000363,51.1,48.9
W02000364,49.9,50.1
W02000365,53.4,46.6
W02000366,50,50
W02000367,51.6,48.4
W02000368,52.1,47.9
W02000369,51.3,48.7
W02000370,52.9,47.1
W02000371,51.8,48.2
W02000372,51.7,48.3
W02000373,52.6,47.4
W02000374,52.1,47.9
W02000375,51.8,48.2
W02000376,51.4,48.6
W02000377,52.4,47.6
W02000378,51.7,48.3
W02000379,53.3,46.7
W02000380,51.9,48.1
W02000381,52.6,47.4
W02000382,53,47
W02000383,51.6,48.4
W02000384,50.5,49.5
W02000385,50.4,49.6
W02000386,51.7,48.3
W02000387,51.5,48.5
W02000388,52.6,47.4
W02000389,52.3,47.7
W02000390,52.1,47.9
W02000391,53.9,46.1
W02000392,51.8,48.2
W02000393,53.1,46.9
W02000394,53.6,46.4
W02000395,51.4,48.6
W02000396,49,51
W02000397,52.6,47.4
W02000398,51.6,48.4
W02000399,46.6,53.4
W02000400,49.9,50.1
W02000401,51,49
W02000402,45.9,54.1
W02000403,51.5,48.5
W02000404,51.7,48.3
W02000405,54.1,45.9
W02000406,52.3,47.7
W02000407,53.8,46.2
W02000408,47.1,52.9
W02000409,53,47
W02000410,48.3,51.7
W02000411,52,48
W02000412,49.2,50.8
W02000414,50.4,49.6
W02000415,53,47
W02000416,51.1,48.9
W02000417,50.9,49.1
W02000418,51,49
W02000421,50.7,49.3
W02000422,45.5,54.5
W02000423,47.7,52.3
W02000427,51.2,48.8
W02000428,50.6,49.4
