geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02002910,9.6,39.4,33.7,17.3
E02002924,7.8,36.8,34.6,20.8
E02003069,8.9,41.4,35.8,13.9
E02003071,18.8,43.4,27.8,9.9
E02003074,11.5,45.2,32.4,10.8
E02003076,9.8,39.2,35.9,15.2
E02003078,8.9,36.6,36.7,17.7
E02003079,10.2,40.1,36.6,13
E02003080,21.1,44.7,25.1,9.1
E02003081,14.2,40.8,31.8,13.2
E02003082,26.6,46.9,20,6.5
E02003084,37.2,42.3,15.5,5
E02003085,35.7,41.6,17,5.7
E02003086,24.2,44.4,22.9,8.5
E02003087,8.9,40.4,35.8,14.9
E02003089,18.2,43.7,28,10.1
E02003931,18,45.6,27.1,9.3
E02003932,6.5,36.5,38.6,18.4
E02004129,6.2,34.2,37,22.5
E02004130,23.1,47.6,21.6,7.8
E02004131,11,47.1,31.6,10.2
E02004132,6,33.5,40.2,20.3
E02004133,14.2,43.3,30.1,12.4
E02004135,9.4,38.7,36.1,15.9
E02004136,10.6,36.3,38.6,14.5
E02004149,14.1,49.3,28,8.7
E02004150,26.4,45.1,21.9,6.7
E02004151,16.2,45.3,29,9.6
E02004164,6.5,35.2,36.9,21.3
E02004165,9.6,42.6,33.6,14.2
E02004166,9.2,35.2,36.7,18.9
E02004167,23.4,44.9,24.4,7.3
E02004168,28.7,44.5,20.1,6.6
E02004169,7.8,36.4,36.4,19.4
E02004170,14.6,43.1,31.4,11
E02004171,8.9,35.8,37.1,18.2
E02004172,6.8,34.6,37,21.6
E02004173,7.5,35.1,38.2,19.2
E02004174,19.8,44.3,26.7,9.2
E02004175,30,42.9,19.9,7.2
E02004176,12.5,43,30,14.5
E02004177,22.6,43.2,24.4,9.7
E02004178,7.1,35.7,38.7,18.5
E02004179,15.4,42,31.3,11.3
E02004180,6.3,35.7,38.6,19.4
E02004181,23.6,45.1,24,7.3
E02004182,37.6,40.7,16.9,4.8
E02004183,20.1,45.9,25,9
E02004184,22.8,43.3,25.1,8.8
E02004185,10.4,42.4,34.7,12.4
E02004186,10.8,42,34.4,12.8
E02004187,13,40.2,32.2,14.5
E02004188,9.1,38.8,34.5,17.6
E02004220,18.5,46.4,25.9,9.2
E02004221,14.2,43,30.9,11.9
E02004222,26.9,44.3,22,6.8
E02004223,17,45.4,27.7,9.9
E02004224,7.9,37.2,37.7,17.2
E02004225,17.4,45.3,25.8,11.5
E02004226,6.7,38.3,36.8,18.2
E02004227,10.2,40.1,32,17.7
E02004228,5.5,36.5,36.5,21.6
E02004229,8.5,38.1,35,18.4
E02004230,20,45.3,25.5,9.1
E02006044,5.8,36.7,38.2,19.2
E02006062,8.4,39.2,34.2,18.2
E02006063,4.7,29,39.1,27.1
