geography_code,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02002910,97.1,0.9,0.4,1.6
E02002924,98.8,0.8,0,0.4
E02003069,97.5,1.7,0.2,0.6
E02003071,96.9,1.2,0.5,1.3
E02003074,96.2,1.5,0.4,2
E02003076,97.9,1.2,0.4,0.6
E02003078,98.1,1.2,0.2,0.6
E02003079,96.8,1.3,0.5,1.4
E02003080,96.1,1.4,1,1.4
E02003081,96.9,1.4,0.4,1.3
E02003082,91.8,2.6,0.5,5.1
E02003084,85,3.4,1.5,10
E02003085,92.2,2,1.4,4.4
E02003086,92,2.5,0.5,5
E02003087,97.2,1.2,0.5,1.1
E02003089,93.6,2,1,3.3
E02003931,98.5,0.9,0.2,0.5
E02003932,99.2,0.6,0,0.2
E02004129,98.1,1.6,0.1,0.3
E02004130,97.2,1.4,0.2,1.2
E02004131,98.5,0.7,0.3,0.4
E02004132,98.7,1,0.1,0.1
E02004133,97.6,1.5,0.2,0.7
E02004135,98.7,1,0.1,0.3
E02004136,97.7,1.3,0.3,0.7
E02004149,90.2,5.3,0.7,3.8
E02004150,88.2,5,2.1,4.7
E02004151,94.6,2.6,0.7,2.2
E02004164,99.1,0.8,0.1,0.1
E02004165,97,0.9,0.4,1.6
E02004166,98.6,0.7,0.1,0.6
E02004167,95.3,1.3,0.7,2.7
E02004168,94,2,0.6,3.4
E02004169,97.7,1,0.4,0.9
E02004170,94.6,1.7,0.7,3
E02004171,98.1,1.1,0.3,0.4
E02004172,98.7,0.9,0.1,0.3
E02004173,98,1.1,0.2,0.7
E02004174,95.7,1.5,0.4,2.3
E02004175,97.8,0.7,0.2,1.3
E02004176,98.2,0.9,0.1,0.8
E02004177,98.3,1,0.2,0.5
E02004178,98.1,1,0.1,0.7
E02004179,97.8,0.9,0.2,1.1
E02004180,98.5,1.1,0.1,0.3
E02004181,96.2,1.6,0.4,1.8
E02004182,95,1.5,0.6,2.9
E02004183,96.4,1.4,0.3,1.9
E02004184,97,1.2,0.4,1.4
E02004185,98.6,0.9,0,0.4
E02004186,98.1,1.1,0.3,0.4
E02004187,98.1,0.9,0.2,0.8
E02004188,98.9,0.6,0,0.5
E02004220,98.8,0.7,0.1,0.4
E02004221,98.9,0.6,0.1,0.4
E02004222,98.5,0.9,0.2,0.4
E02004223,98.7,0.6,0.3,0.4
E02004224,98.8,0.6,0.1,0.4
E02004225,98.1,1,0.4,0.6
E02004226,98.9,0.7,0,0.4
E02004227,98.5,0.7,0.1,0.7
E02004228,99.2,0.7,0,0.1
E02004229,97.7,1.3,0.3,0.7
E02004230,96.5,1.6,0.3,1.6
E02006044,98.9,0.7,0.2,0.2
E02006062,98.5,0.9,0.1,0.5
E02006063,98.6,0.9,0.1,0.3
E02006064,97.4,0.9,0.3,1.4
E02006065,96.3,1.2,0.7,1.8
E02006066,98.3,1,0.1,0.6
E02006067,98.3,0.9,0.3,0.5
E02006068,91.6,2,1.5,4.9
E02006069,84.1,3.2,2,10.7
E02006070,91.9,1.9,1.2,5
E02006071,94.9,1.9,0.6,2.7
E02006072,98.7,0.9,0.1,0.3
E02006073,90,3.2,1.2,5.6
E02006074,92.5,2.2,1.4,3.9
E02006078,97.8,1.1,0.2,0.9
E02006081,98.8,0.8,0,0.4
E02006084,98.9,0.6,0.1,0.3
E02006093,98.7,0.8,0.1,0.4
E02006096,92.9,2,1.2,3.9
E02006097,90.3,1.9,1.2,6.6
E02006098,98.5,0.9,0.1,0.5
E02006099,98.2,1.1,0.2,0.6
E02006100,94.9,2,0.7,2.5
E02006101,98.6,0.9,0.1,0.4
E02006102,94.1,1.5,1.1,3.4
E02006103,98.1,1.1,0.3,0.5
E02006104,94.3,1.9,1.1,2.7
E02006105,87.1,3.3,1.4,8.2
E02006106,93.6,2.6,1,2.8
E02006107,91.9,1.8,2,4.4
E02006108,89.6,2,0.8,7.5
E02006109,94.9,1.9,0.6,2.6
E02006110,95.6,1.6,0.8,1.9
E02006111,97.7,1.2,0.2,0.8
