geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02002910,52.9,2,45
E02002924,55.5,2,42.5
E02003069,52.5,1.5,46
E02003071,56.3,2,41.7
E02003074,61.2,2.1,36.8
E02003076,59.7,1.7,38.6
E02003078,55,1.9,43.1
E02003079,63.8,2.3,33.9
E02003080,50.6,2.2,47.3
E02003081,54.5,2.2,43.3
E02003082,53.8,3.2,43
E02003084,54.7,3.7,41.6
E02003085,53.1,4.1,42.8
E02003086,51.8,2.3,45.9
E02003087,55.4,1.9,42.7
E02003089,51.7,2.6,45.7
E02003931,48.4,2.9,48.7
E02003932,53,1.8,45.1
E02004129,55.2,1.5,43.4
E02004130,49.8,2,48.1
E02004131,55.9,1.9,42.2
E02004132,58.3,1.7,40
E02004133,52.2,2.6,45.2
E02004135,46.5,2,51.5
E02004136,53.5,1.7,44.8
E02004149,32.1,4.3,63.7
E02004150,54,3.4,42.6
E02004151,61.1,2.1,36.8
E02004164,56.8,1.4,41.7
E02004165,59,1.7,39.3
E02004166,59.9,1.5,38.6
E02004167,56.4,3,40.7
E02004168,56.3,2.8,41
E02004169,61.5,1.9,36.6
E02004170,62.4,2.1,35.4
E02004171,60.2,2.1,37.7
E02004172,57.2,2.1,40.7
E02004173,59.3,1.7,39
E02004174,58.9,2.1,39
E02004175,51.6,3.6,44.9
E02004176,51.5,2.3,46.3
E02004177,53.5,3.2,43.3
E02004178,55.4,1.8,42.8
E02004179,57.3,2.1,40.6
E02004180,58.5,1.4,40.1
E02004181,57.1,2,40.9
E02004182,54.5,3.6,41.9
E02004183,50.9,2.1,47
E02004184,58.8,2.9,38.3
E02004185,48.3,2.2,49.5
E02004186,59.5,2.4,38.2
E02004187,55.3,2.2,42.5
E02004188,52.2,2.2,45.6
E02004220,46,2.5,51.5
E02004221,43.1,1.9,55
E02004222,53.2,3,43.8
E02004223,56.8,3,40.2
E02004224,53.3,2.1,44.6
E02004225,55.2,2.3,42.5
E02004226,51.8,2,46.2
E02004227,53.8,2.4,43.8
E02004228,52.5,1.7,45.8
E02004229,57.8,1.8,40.5
E02004230,54.6,2.2,43.2
E02006044,51.9,1.2,46.9
E02006062,51.3,2.1,46.6
E02006063,55.9,1.5,42.6
E02006064,45.8,2.3,52
E02006065,52.1,3.3,44.6
E02006066,54.2,2,43.8
E02006067,54.2,1.9,43.9
E02006068,57.2,3.8,39
E02006069,62.9,3.8,33.3
E02006070,66.3,1.8,31.9
E02006071,62.8,1.6,35.7
E02006072,54.7,1.7,43.5
E02006073,57.2,4.5,38.3
E02006074,64.4,2.5,33.1
E02006078,53.8,1.8,44.5
E02006081,52,2.1,46
E02006084,52,1.6,46.5
E02006093,53.3,2.3,44.4
E02006096,57.1,2.4,40.5
E02006097,54,3.2,42.7
E02006098,51.2,1.7,47.1
E02006099,58.9,2.4,38.6
E02006100,58.4,2,39.6
E02006101,55.4,1.3,43.3
E02006102,55.8,2.6,41.6
E02006103,54.2,1.6,44.2
E02006104,66.1,2.3,31.6
E02006105,66.4,2.7,30.9
