areacd,sex-001,sex-002
E00084325,49.5,50.5
E00084326,36.8,63.2
E00084328,50.6,49.4
E00084329,48.4,51.6
E00084330,49.5,50.5
E00084331,50,50
E00084332,47.2,52.8
E00084333,47.4,52.6
E00084334,53.1,46.9
E00084336,52.1,47.9
E00084337,54.8,45.2
E00084338,50.5,49.5
E00084339,48.3,51.7
E00084340,51.8,48.2
E00084341,50.9,49.1
E00084342,52.8,47.2
E00084343,50.4,49.6
E00084344,53.8,46.2
E00084345,55,45
E00084347,52,48
E00084348,54.7,45.3
E00084349,51.7,48.3
E00084350,50.5,49.5
E00084351,55.8,44.2
E00084352,49.1,50.9
E00084353,50,50
E00084355,51.2,48.8
E00084356,51.3,48.7
E00084357,52.8,47.2
E00084358,50.2,49.8
E00084359,49.2,50.8
E00084360,51.5,48.5
E00084361,51.2,48.8
E00084362,51.4,48.6
E00084363,47.7,52.3
E00084365,50,50
E00084366,53.6,46.4
E00084367,49.1,50.9
E00084368,47.1,52.9
E00084369,46,54
E00084370,50,50
E00084371,45.6,54.4
E00084372,50.2,49.8
E00084373,52.9,47.1
E00084374,45,55
E00084375,52.8,47.2
E00084376,47.9,52.1
E00084377,52.1,47.9
E00084378,52.7,47.3
E00084379,50,50
E00084385,59.4,40.6
E00084386,52.6,47.4
E00084387,51.5,48.5
E00084388,51.4,48.6
E00084389,54.9,45.1
E00084391,49.4,50.6
E00084392,48.8,51.2
E00084393,52.5,47.5
E00084394,44.2,55.8
E00084395,52.1,47.9
E00084396,45.6,54.4
E00084397,49.1,50.9
E00084398,42.7,57.3
E00084399,50.3,49.7
E00084400,47.9,52.1
E00084401,39.7,60.3
E00084402,47.2,52.8
E00084403,47.3,52.7
E00084404,51.9,48.1
E00084405,42.1,57.9
E00084406,46.4,53.6
E00084407,48.1,51.9
E00084408,53.2,46.8
E00084409,53.1,46.9
E00084410,50.4,49.6
E00084411,47.8,52.2
E00084412,49.6,50.4
E00084413,52,48
E00084414,47.4,52.6
E00084415,54,46
E00084416,48.1,51.9
E00084417,51.6,48.4
E00084418,46.8,53.2
E00084419,48.3,51.7
E00084420,51,49
E00084421,52.5,47.5
E00084422,46.5,53.5
E00084423,50.2,49.8
E00084424,48,52
E00084425,51,49
E00084426,46.7,53.3
E00084427,46.4,53.6
E00084428,47.1,52.9
E00084429,50,50
E00084430,47.6,52.4
E00084431,44.8,55.2
E00084432,46.3,53.7
E00084433,47,53
E00084434,47,53
E00084435,52.3,47.7
E00084436,45.3,54.7
E00084437,52.1,47.9
E00084438,47.6,52.4
E00084439,46,54
E00084443,37.3,62.7
E00084444,38.1,61.9
E00084459,52.7,47.3
E00084460,53.1,46.9
E00084461,49.4,50.6
E00084462,51.6,48.4
E00084463,54.6,45.4
E00084464,57.1,42.9
E00084465,53.9,46.1
E00084466,53.4,46.6
E00084467,52.3,47.7
E00084468,53,47
E00084469,52.4,47.6
E00084470,51.7,48.3
E00084471,49.4,50.6
E00084472,47.6,52.4
E00084473,50.8,49.2
E00084474,54.5,45.5
E00084475,53.6,46.4
E00084476,47.9,52.1
E00084477,54.1,45.9
E00084478,47.9,52.1
E00084479,51.1,48.9
E00084480,50.4,49.6
E00084481,50.9,49.1
E00084482,52.8,47.2
E00084483,49.1,50.9
E00084484,50.3,49.7
E00084485,52.7,47.3
E00084486,50,50
E00084487,52.8,47.2
E00084488,52.6,47.4
E00084489,58.7,41.3
E00084490,49.8,50.2
E00084491,47.8,52.2
E00084492,53,47
E00084493,50.4,49.6
E00084495,54.3,45.7
E00084496,54.4,45.6
E00084497,50.9,49.1
E00084498,50.9,49.1
E00084499,48.1,51.9
E00084500,55.1,44.9
E00084501,53,47
E00084502,49.7,50.3
E00084503,53.1,46.9
E00084504,52.6,47.4
E00084505,51.9,48.1
E00084506,49.9,50.1
E00084508,51.3,48.7
E00084509,55.2,44.8
E00084510,52.7,47.3
E00084511,50.3,49.7
E00084513,47.9,52.1
E00084517,52.7,47.3
E00084518,50.3,49.7
E00084519,52.9,47.1
E00084520,50.6,49.4
E00084522,49.9,50.1
E00084523,50.2,49.8
E00084524,49.8,50.2
E00084525,53.2,46.8
E00084526,50,50
E00084527,48.5,51.5
E00084528,52.6,47.4
E00084529,51.7,48.3
E00084530,50.2,49.8
E00084531,49.7,50.3
E00084532,52.5,47.5
E00084533,49.3,50.7
E00084534,55.2,44.8
E00084535,52.6,47.4
E00084536,53.4,46.6
E00084537,49.7,50.3
E00084538,51.4,48.6
E00084539,47.6,52.4
E00084540,53.9,46.1
E00084541,50.8,49.2
E00084542,48.5,51.5
E00084543,51.3,48.7
E00084544,53,47
E00084546,55,45
E00084547,49.7,50.3
E00084548,54.2,45.8
E00084549,50.8,49.2
E00084550,52.5,47.5
E00084551,51.2,48.8
E00084552,52.6,47.4
E00084553,46.9,53.1
E00084554,55.1,44.9
E00084555,49.9,50.1
E00084556,51,49
E00084557,49.6,50.4
E00084558,51.4,48.6
E00084559,51.9,48.1
E00084560,55.1,44.9
E00084561,53.1,46.9
E00084562,51.9,48.1
E00084563,52.4,47.6
E00084564,49,51
E00084565,53.5,46.5
E00084566,53.4,46.6
E00084567,48.1,51.9
E00084624,49.7,50.3
E00084625,52,48
E00084636,48.6,51.4
E00084637,48.8,51.2
E00084638,49.4,50.6
E00084639,51.3,48.7
E00084640,50.5,49.5
E00084641,48.1,51.9
E00084642,52.9,47.1
E00084643,50,50
E00084644,49,51
E00084645,51.3,48.7
E00084646,49.5,50.5
E00084647,58.7,41.3
E00084648,53.8,46.3
E00084649,55.1,44.9
E00084650,50.7,49.3
E00084651,49.6,50.4
E00084652,46.6,53.4
E00084653,52.5,47.5
E00084654,50.3,49.7
E00084655,48.9,51.1
E00084656,51.2,48.8
E00084657,48.1,51.9
E00084658,53,47
E00084659,47.3,52.7
E00084660,55.4,44.6
E00084661,55.2,44.8
E00084662,59.5,40.5
E00084664,52.9,47.1
E00084666,49.8,50.2
E00084667,48.2,51.8
E00084668,55.3,44.7
E00084669,52.8,47.2
E00084670,49.4,50.6
E00084671,50.6,49.4
E00084678,50.9,49.1
E00084679,49.7,50.3
E00084680,47.4,52.6
E00084681,50.5,49.5
E00084682,50.6,49.4
E00084683,45.7,54.3
E00084812,47.9,52.1
E00084813,50.7,49.3
E00084814,53.6,46.4
E00084816,54.3,45.7
E00084817,57.8,42.2
E00084818,51.6,48.4
E00084819,49,51
E00084820,48.1,51.9
E00084821,45.2,54.8
E00084822,48.3,51.7
E00084823,50.2,49.8
E00084824,49.3,50.7
E00084825,48.8,51.2
E00084826,52.7,47.3
E00084827,47,53
E00084828,47.2,52.8
E00084829,53,47
E00084830,47.8,52.2
E00084834,52.9,47.1
E00084837,52.9,47.1
E00084838,48.7,51.3
E00084840,52.5,47.5
E00084841,52.1,47.9
E00084842,53.1,46.9
E00084843,50,50
E00084844,48.5,51.5
E00084845,54.8,45.2
E00084846,53.1,46.9
E00084905,50.7,49.3
E00084906,47.6,52.4
E00084907,57.4,42.6
E00084908,58.1,41.9
E00084909,48.1,51.9
E00084910,47.7,52.3
E00084911,50.3,49.7
E00084912,52.4,47.6
E00084913,51.4,48.6
E00084914,52,48
E00084915,50.7,49.3
E00084916,52.3,47.7
E00084917,57.6,42.4
E00084918,50,50
E00084919,51.9,48.1
E00084920,52,48
E00084921,51.9,48.1
E00084922,51,49
E00084923,50,50
E00084924,47.3,52.7
E00084925,52.1,47.9
E00084926,53.3,46.7
E00084927,53.2,46.8
E00084928,52.4,47.6
E00084929,50.2,49.8
E00084930,54,46
E00084931,48.2,51.8
E00084951,49.4,50.6
E00084952,52.3,47.7
E00084968,52.1,47.9
E00084969,56.3,43.8
E00084970,49,51
E00084971,49.1,50.9
E00084972,50.4,49.6
E00084973,45.7,54.3
E00084974,48.1,51.9
E00084975,52.6,47.4
E00084976,48.2,51.8
E00084978,52.2,47.8
E00084979,51.6,48.4
E00084980,52.3,47.7
E00084981,51.3,48.7
E00084982,54.5,45.5
E00084983,42.1,57.9
E00084984,55.5,44.5
E00084985,49.7,50.3
E00084986,54.3,45.8
E00084987,57,43
E00084988,50.9,49.1
E00084990,51.3,48.7
E00084991,49.3,50.7
E00084992,49.7,50.3
E00084993,51,49
E00084994,49,51
E00084995,54.7,45.3
E00084996,50.4,49.6
E00084997,54.2,45.8
E00084998,48.2,51.8
E00084999,55,45
E00085000,49.7,50.3
E00089057,54.7,45.3
E00089058,52,48
E00089059,49.1,50.9
E00089060,55.2,44.8
E00089061,52.5,47.5
E00089062,56,44
E00089063,47.8,52.2
E00089064,49.3,50.7
E00089066,54,46
E00089067,53.9,46.1
E00089068,48.8,51.2
E00089069,51,49
E00089070,53.1,46.9
E00089071,52.2,47.8
E00089072,54.7,45.3
E00089073,51.4,48.6
E00089074,49.4,50.6
E00089075,49.7,50.3
E00089076,51.1,48.9
E00089077,49.8,50.2
E00089078,53.4,46.6
E00089079,50.7,49.3
E00089080,50.7,49.3
E00089081,49,51
E00089082,57.5,42.5
E00089084,52.1,47.9
E00089085,46.6,53.4
E00089087,50,50
E00089088,49.7,50.3
E00089090,48.8,51.2
E00089091,54.7,45.3
E00089092,47.6,52.4
E00089158,52.1,47.9
E00089185,50.9,49.1
E00089186,51.8,48.2
E00089190,50,50
E00089191,52.4,47.6
E00089192,53.6,46.4
E00089193,50.1,49.9
E00089195,47.5,52.5
E00089196,52.4,47.6
E00089197,49.5,50.5
E00089198,51.4,48.6
E00089199,49.7,50.3
E00089200,49.4,50.6
E00089201,48.8,51.2
E00089202,54,46
E00089204,47.7,52.3
E00089205,51.9,48.1
E00089207,48.2,51.8
E00089208,51.9,48.1
E00089209,50.4,49.6
E00089210,47.5,52.5
E00089211,48.5,51.5
E00089259,47.8,52.2
E00089260,51.9,48.1
E00089261,53.3,46.7
E00089264,58.6,41.4
E00089265,50.4,49.6
E00089266,49,51
E00089269,61.5,38.5
E00089296,48.2,51.8
E00089301,51.7,48.3
E00089302,51.6,48.4
E00089303,54.4,45.6
E00089304,49.1,50.9
E00089305,51.8,48.2
E00089306,50,50
E00089307,52.7,47.3
E00089308,51.4,48.6
E00089309,49.7,50.3
E00089310,53.7,46.3
E00089311,57,43
E00089339,52,48
E00089340,50.3,49.7
E00089341,50.2,49.8
E00089342,54.2,45.8
E00089343,49.9,50.1
E00089344,50,50
E00089345,51.9,48.1
E00089380,49.1,50.9
E00089381,48.4,51.6
E00089382,53.4,46.6
E00089383,53,47
E00089384,51.9,48.1
E00089385,54,46
E00089386,51.4,48.6
E00089387,47.3,52.7
E00089388,45.5,54.5
E00089389,54.2,45.8
E00089390,48.9,51.1
E00089391,49,51
E00089392,48.8,51.2
E00089393,50.5,49.5
E00089394,49.4,50.6
E00089395,51.2,48.8
E00089396,48,52
E00089397,50.4,49.6
E00089398,53.7,46.3
E00089401,49.7,50.3
E00089402,52,48
E00089403,52.5,47.5
E00089405,53.1,46.9
E00089406,50.4,49.6
E00089407,50.4,49.6
E00089415,49.6,50.4
