areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00084325,90.7,0.3,9
E00084326,64.4,2.4,33.1
E00084328,84.4,1.1,14.5
E00084329,83.6,2.6,13.8
E00084330,79.6,3.3,17.1
E00084331,82.4,1.1,16.5
E00084332,80.9,3.5,15.6
E00084333,78.1,2.5,19.4
E00084334,85.9,2.4,11.8
E00084336,76.3,3.3,20.5
E00084337,83.8,0.4,15.8
E00084338,75,4.3,20.7
E00084339,71,3.1,25.9
E00084340,78.5,1.6,19.9
E00084341,86.7,3.7,9.6
E00084342,79.2,2.9,17.9
E00084343,72.2,1.9,25.9
E00084344,88.7,2,9.3
E00084345,90.3,0.3,9.4
E00084347,85.7,2.1,12.2
E00084348,91.8,1.9,6.3
E00084349,92.4,1,6.6
E00084350,87.2,1.3,11.5
E00084351,90.9,1.6,7.5
E00084352,90.8,0.9,8.3
E00084353,85.2,0.7,14.1
E00084355,93.5,1.7,4.8
E00084356,92.8,1.4,5.7
E00084357,89.6,2.1,8.3
E00084358,92.7,1.6,5.7
E00084359,88.6,1.9,9.5
E00084360,93.8,0.7,5.5
E00084361,84.1,0.9,15
E00084362,91,1.1,7.9
E00084363,73.1,6.3,20.5
E00084365,75.1,2.6,22.3
E00084366,85.2,4.2,10.6
E00084367,82.5,3,14.5
E00084368,76.8,2.5,20.7
E00084369,91.2,2.4,6.4
E00084370,84.1,2.4,13.4
E00084371,66.9,3.4,29.7
E00084372,81.2,3,15.9
E00084373,88.3,4.8,6.9
E00084374,65.3,3.1,31.6
E00084375,89.8,1.3,8.9
E00084376,72.3,3.6,24.2
E00084377,68.3,2.1,29.6
E00084378,71.4,2.6,26
E00084379,71.8,7.9,20.2
E00084385,89.1,2.6,8.3
E00084386,91,0.6,8.4
E00084387,90.8,2.1,7.2
E00084388,86.3,3.6,10.1
E00084389,87.8,3.5,8.6
E00084391,89.7,0.9,9.5
E00084392,79.4,3.8,16.8
E00084393,68.9,3,28.1
E00084394,64.5,1.7,33.7
E00084395,69.5,2.5,28.1
E00084396,60.5,2.1,37.4
E00084397,63.3,2.1,34.6
E00084398,72.7,4.3,23
E00084399,68.6,2.8,28.6
E00084400,58.8,1.1,40.1
E00084401,57.4,2.6,40
E00084402,57.9,2.1,40
E00084403,55.9,8.2,35.9
E00084404,73.9,3.2,22.8
E00084405,62,3,35
E00084406,58.8,1.4,39.9
E00084407,61,1.6,37.4
E00084408,70.6,4.2,25.1
E00084409,64.6,5.1,30.2
E00084410,76.1,4,19.9
E00084411,68.8,1.9,29.3
E00084412,50.5,1.6,47.8
E00084413,67.2,3.4,29.4
E00084414,66.7,2.5,30.8
E00084415,80.9,1.9,17.2
E00084416,56.5,6,37.4
E00084417,65.9,2.9,31.2
E00084418,64.4,3.1,32.5
E00084419,81.4,5.5,13.1
E00084420,73.2,1.4,25.4
E00084421,77.3,3.4,19.3
E00084422,73.9,1.9,24.2
E00084423,90.4,4.1,5.6
E00084424,70.2,1.4,28.4
E00084425,79,2,19
E00084426,68.2,3.5,28.3
E00084427,64.4,4.5,31.1
E00084428,81,2.7,16.2
E00084429,87.7,2.5,9.8
E00084430,61,3,35.9
E00084431,55.1,1.6,43.3
E00084432,67,4.1,28.9
E00084433,65.4,2.8,31.8
E00084434,56.7,2.2,41.1
E00084435,82.7,2.6,14.8
E00084436,65.4,1.4,33.1
E00084437,58.3,1.5,40.2
E00084438,62.8,3,34.2
E00084439,90,0.6,9.4
E00084443,55.5,4.2,40.3
E00084444,61.3,0.5,38.2
E00084459,88,0.5,11.5
E00084460,82.8,1.7,15.5
E00084461,89,1.5,9.5
E00084462,82,2.9,15.1
E00084463,93.1,1.5,5.4
E00084464,91.3,1.1,7.6
E00084465,84.8,2.4,12.7
E00084466,84.7,0.9,14.4
E00084467,86.8,1,12.2
E00084468,92.3,1.4,6.3
E00084469,85.5,3.6,10.9
E00084470,88.3,1.1,10.6
E00084471,86.6,2.2,11.2
E00084472,85.9,3,11.1
E00084473,86.8,2.9,10.3
E00084474,92.3,0,7.7
E00084475,92,1.7,6.3
E00084476,91.3,1.3,7.4
E00084477,86.7,0.5,12.8
E00084478,90.5,2.1,7.4
E00084479,87.7,3.7,8.6
E00084480,93.8,1.1,5.1
E00084481,90,3.5,6.5
E00084482,83,3.3,13.7
E00084483,82,2.8,15.2
E00084484,86,0.6,13.4
E00084485,82,2.4,15.5
E00084486,87.6,1.9,10.5
E00084487,89.3,0.9,9.8
E00084488,82.6,1.1,16.3
E00084489,93.8,2.1,4.1
E00084490,88.2,3,8.9
E00084491,81.7,2.5,15.8
E00084492,89.1,1.2,9.7
E00084493,91.3,1.1,7.6
E00084495,82,1.9,16.1
E00084496,76.2,1.1,22.7
E00084497,81.4,1.6,17
E00084498,82.1,0.3,17.6
E00084499,81.4,2.9,15.7
E00084500,76.3,2.7,21
E00084501,86.3,0.2,13.4
E00084502,73.6,1.8,24.6
E00084503,73.3,1.6,25.1
E00084504,82.8,1.8,15.5
E00084505,88.3,0.7,11
E00084506,80.1,1.8,18.1
E00084508,86.8,3.6,9.5
E00084509,77.7,4.5,17.8
E00084510,89.6,1.6,8.8
E00084511,91.1,3.2,5.7
E00084513,81.8,1.5,16.7
E00084517,86.2,3.4,10.4
E00084518,74.4,4.8,20.8
E00084519,93.8,0.3,5.8
E00084520,88,2.8,9.3
E00084522,86.9,3.6,9.5
E00084523,84.7,2.1,13.2
E00084524,82.6,2.2,15.2
E00084525,82.9,1.4,15.8
E00084526,85.4,3.8,10.8
E00084527,81.5,4.9,13.6
E00084528,87.7,5.5,6.8
E00084529,88.8,2.8,8.4
E00084530,95.7,2.3,2
E00084531,87.1,1.8,11.1
E00084532,95,0.6,4.4
E00084533,85.1,2,12.9
E00084534,90.3,1.8,7.9
E00084535,82.3,4.2,13.6
E00084536,82,3.1,15
E00084537,89.2,5.6,5.3
E00084538,74.2,2.8,23
E00084539,86.4,2.6,11
E00084540,84.6,2.2,13.2
E00084541,86.7,3.4,9.9
E00084542,87.5,4,8.5
E00084543,84.7,3.2,12.1
E00084544,93,1.4,5.6
E00084546,93,2.3,4.7
E00084547,80.1,2.1,17.8
E00084548,79.3,3.9,16.8
E00084549,89.4,4.1,6.4
E00084550,75.5,2.5,21.9
E00084551,88.9,1.6,9.5
E00084552,84.3,3.7,12
E00084553,79.2,4.5,16.3
E00084554,82.3,1.3,16.3
E00084555,82,2.1,16
E00084556,92.8,0,7.2
E00084557,78,3,18.9
E00084558,80.8,4.5,14.7
E00084559,86.9,0.9,12.2
E00084560,83.1,2.5,14.3
E00084561,76.9,1.3,21.7
E00084562,88.3,1.9,9.8
E00084563,87.5,2.8,9.7
E00084564,92.3,1.5,6.2
E00084565,79,0.3,20.7
E00084566,80.5,2.7,16.8
E00084567,71.2,8.5,20.3
E00084624,66,2.9,31
E00084625,77.6,1.3,21.1
E00084636,79.8,5.5,14.7
E00084637,88.2,2.8,9
E00084638,85.9,7.1,7.1
E00084639,79.4,6.3,14.3
E00084640,76.7,5.3,18
E00084641,79.8,2.6,17.5
E00084642,80.8,3.1,16.1
E00084643,85.8,0.6,13.6
E00084644,80.1,1.4,18.5
E00084645,83.9,3.4,12.6
E00084646,81.3,6.8,11.9
E00084647,85.5,3.4,11.1
E00084648,94.8,2.5,2.7
E00084649,78,7.7,14.4
E00084650,72.6,3.5,23.8
E00084651,88.7,2.4,8.9
E00084652,78,6.5,15.5
E00084653,79.1,10,10.9
E00084654,83.2,5.3,11.5
E00084655,87.6,3.7,8.7
E00084656,91.1,2.9,6
E00084657,78.5,5.4,16
E00084658,81,7,12
E00084659,77.7,3,19.4
E00084660,76.3,5.2,18.5
E00084661,85.5,1.5,13.1
E00084662,93.9,1,5.2
E00084664,80.1,2.4,17.5
E00084666,77.3,6.9,15.8
E00084667,90.6,1.5,7.9
E00084668,74.1,2.4,23.5
E00084669,80.1,0.4,19.5
E00084670,87.2,1.7,11.2
E00084671,78.8,2.5,18.7
E00084678,90.2,5.1,4.8
E00084679,79.6,1.9,18.5
E00084680,59.3,2.1,38.7
E00084681,93.6,1.3,5
E00084682,87.7,4.8,7.5
E00084683,77.5,1.9,20.6
E00084812,81.9,4.7,13.4
E00084813,84.1,0.3,15.5
E00084814,79.7,2.7,17.6
E00084816,91.6,2.7,5.7
E00084817,71.4,1.7,26.9
E00084818,94.8,1.6,3.6
E00084819,87.3,5.3,7.5
E00084820,70.5,3.1,26.4
E00084821,82,0,18
E00084822,71.7,2.9,25.4
E00084823,78.2,3.3,18.5
E00084824,93.8,3.8,2.4
E00084825,73.8,3.1,23.1
E00084826,80.8,2.3,16.9
E00084827,81.8,1.4,16.7
E00084828,87.7,4.1,8.2
E00084829,81.6,5.3,13.1
E00084830,78.5,1.3,20.2
E00084834,84.8,2.8,12.4
E00084837,92.7,3.6,3.6
E00084838,89.5,1.5,9
E00084840,85.5,0.8,13.7
E00084841,90,2.9,7.2
E00084842,86,3,11.1
E00084843,86.5,1.6,11.9
E00084844,93.2,1.9,4.8
E00084845,86.8,2.2,11
E00084846,84.6,1,14.4
E00084905,91.7,2.4,5.9
E00084906,92,1.7,6.3
E00084907,82.1,1.8,16.1
E00084908,88.6,2.5,8.9
E00084909,88.3,2.3,9.4
E00084910,93.6,0,6.4
E00084911,97.9,0.3,1.7
E00084912,83.3,2.1,14.6
E00084913,90.3,1.9,7.8
E00084914,85.6,2.1,12.3
E00084915,83.9,3.4,12.7
E00084916,86.9,1.1,12
E00084917,84.1,3.1,12.9
E00084918,85.1,1.6,13.3
E00084919,90.7,0.3,9.1
E00084920,86.8,3.2,10
E00084921,90,0.6,9.3
E00084922,90.1,1.7,8.2
E00084923,91.6,1.8,6.6
E00084924,89.9,4,6.1
E00084925,90.3,3.9,5.8
E00084926,88,1.9,10
