areacd,heating_type_3a-001,heating_type_3a-002
W00003479,4.2,95.8
W00003480,3.7,96.3
W00003482,1.6,98.4
W00003493,2.9,97.1
W00003494,2.2,97.8
W00003495,3,97
W00003630,1.8,98.2
W00003631,3.1,96.9
W00003636,0,100
W00003637,0,100
W00003638,0.7,99.3
W00003639,1.6,98.4
W00003640,1.8,98.2
W00003641,0.9,99.1
W00003642,4,96
W00003643,0,100
W00003644,1.5,98.5
W00003645,5,95
W00003646,3.4,96.6
W00003664,0,100
W00003670,0.7,99.3
W00003671,0.9,99.1
W00003672,0,100
W00003673,4.5,95.5
W00003674,1.1,98.9
W00003675,1,99
W00003676,5.3,94.7
W00003677,2.7,97.3
W00003678,3.7,96.3
W00003681,1.4,98.6
W00003682,0,100
W00003683,3.5,96.5
W00003684,1,99
W00003692,3.2,96.8
W00003693,4.5,95.5
W00003695,2.9,97.1
W00003696,0,100
W00003697,3.4,96.6
W00003811,1.5,98.5
W00003812,0,100
W00003813,0.8,99.2
W00003814,3.5,96.5
W00003815,2.9,97.1
W00010004,1.7,98.3
