geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E00085052,75.6,6.5,17.9
E00085054,57,2.1,40.9
E00085055,67.8,2.3,29.9
E00085058,70.3,5.3,24.4
E00085059,56.1,3,40.9
E00085061,70.6,8.4,21
E00085062,69.7,0,30.3
E00085063,56.4,5.4,38.1
E00085067,69.2,3.1,27.7
E00085068,78.9,5,16.1
E00085070,66.1,3.2,30.6
E00085072,74.5,4.4,21
E00085076,71.8,4.2,24
E00085157,64,4.6,31.4
E00085200,52.5,4.5,43
E00085201,52.5,7.6,39.9
E00085202,45.9,6.4,47.7
E00085203,48.9,5.9,45.2
E00085204,58,3.9,38
E00085205,57.5,4.6,37.9
E00085206,49.7,2.3,48.1
E00085207,67.4,3.2,29.4
E00085208,67.6,3.2,29.2
E00085209,61.8,2.2,36
E00085210,62.9,1.6,35.6
E00085211,51.8,3.6,44.5
E00085212,66.5,4.9,28.6
E00085213,45.8,4.6,49.5
E00085214,66,0.7,33.3
E00085215,68.3,3.5,28.3
E00085216,46.8,7.7,45.6
E00085217,57.9,3.1,39
E00085218,63.7,4.1,32.2
E00085219,50.4,4.6,45
E00085220,57,2.3,40.8
E00085221,50.6,1.3,48.1
E00085222,64.6,4.3,31.1
E00085233,61,1,38
E00085240,65.5,4.8,29.8
E00085241,55.8,2.9,41.2
E00085376,50.7,3.8,45.5
E00085377,65.5,1.7,32.8
E00085385,68.8,2.8,28.4
E00085400,56.3,2.5,41.2
E00085401,54.3,2.4,43.3
E00085402,72.3,3.5,24.1
E00085403,57,6.4,36.6
E00085404,60.1,4.3,35.6
E00085710,71.6,4.4,24
E00085711,60.7,2.5,36.9
E00085712,62.2,6.3,31.5
E00085713,59.7,1.5,38.8
E00085714,57.9,2.3,39.8
E00085715,53.6,4.3,42.1
E00085716,57.2,1.3,41.5
E00085717,73.4,4.2,22.4
E00085718,63.1,2.4,34.6
E00085719,68.6,3.1,28.4
E00085720,71.4,3.6,25
E00085721,66.2,5.1,28.7
E00085722,51.1,5.1,43.8
E00085723,63.2,2.7,34.1
E00085724,68.2,3.9,27.9
