geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02003352,58.5,41.5
E02003353,52,48
E02003354,52.8,47.2
E02003355,40.5,59.5
E02003357,42.8,57.2
E02003358,41.8,58.2
E02003359,42.7,57.3
E02003360,48.9,51.1
E02003361,46,54
E02003362,46.4,53.6
E02003363,48.8,51.2
E02003364,50.5,49.5
E02003365,53.3,46.7
E02003366,48.4,51.6
E02003367,56.8,43.2
E02003369,58.2,41.8
E02003370,57.2,42.8
E02003371,55.4,44.6
E02003372,54.5,45.5
E02003373,58,42
E02003374,48.1,51.9
E02003375,46.7,53.3
E02003377,53.5,46.5
E02003378,48.2,51.8
E02003379,44.3,55.7
E02003380,48.9,51.1
E02003381,56.9,43.1
E02003382,44.5,55.5
E02003383,53.3,46.7
E02003385,40.1,59.9
E02003386,47.1,52.9
E02003387,57.5,42.5
E02003388,54.5,45.5
E02003389,54.8,45.2
E02003390,63.4,36.6
E02003391,52.5,47.5
E02003392,36.8,63.2
E02003393,50.1,49.9
E02003394,41.5,58.5
E02003395,40.8,59.2
E02003396,39.9,60.1
E02003397,43.9,56.1
E02003398,37.5,62.5
E02003400,28.7,71.3
E02003401,40.3,59.7
E02003402,34.3,65.7
E02003403,43.8,56.2
E02003404,28.6,71.4
E02003405,40.4,59.6
E02003406,43.1,56.9
E02003421,57.5,42.5
E02003422,56.4,43.6
E02003423,50.5,49.5
E02003424,54.9,45.1
E02003425,44.5,55.5
E02003426,56.4,43.6
E02003427,48,52
E02003428,54.4,45.6
E02003429,55.9,44.1
E02003439,59.1,40.9
E02003440,56.2,43.8
E02003441,57.8,42.2
E02003442,55.5,44.5
E02003443,49.6,50.4
E02003444,58.3,41.7
E02003445,56.8,43.2
E02003446,50.4,49.6
E02003447,55.4,44.6
E02003448,57.7,42.3
E02003449,51.5,48.5
E02003450,52.9,47.1
E02003451,41.9,58.1
E02003452,56.2,43.8
E02003453,63.6,36.4
E02003454,53.8,46.2
E02003455,54,46
E02003456,51.4,48.6
E02003457,63.3,36.7
E02003458,59.4,40.6
E02003712,47.9,52.1
E02003713,56.4,43.6
E02003715,64.5,35.5
E02003716,49.7,50.3
E02003717,54,46
E02003718,48.1,51.9
E02004675,49.8,50.2
E02004676,55.9,44.1
E02004677,59.7,40.3
E02004678,55.5,44.5
E02004679,53.8,46.2
E02004680,52.4,47.6
E02004681,41.6,58.4
E02004682,49.4,50.6
E02004683,41.7,58.3
E02004684,45.2,54.8
E02004685,40,60
E02004686,42.4,57.6
E02004687,42,58
E02004688,41.5,58.5
E02004689,60.8,39.2
E02004690,48.2,51.8
E02004691,59.4,40.6
E02004692,63.7,36.3
E02004693,42.2,57.8
E02004694,54.1,45.9
E02004695,55.7,44.3
E02004696,54.8,45.2
E02004751,53.4,46.6
E02004752,57.9,42.1
E02004753,47.1,52.9
E02004754,56.5,43.5
E02004755,49.7,50.3
E02004756,54.8,45.2
E02004757,64.6,35.4
E02004758,58,42
E02004759,56.1,43.9
E02004760,55.5,44.5
E02004761,53.3,46.7
E02004802,46.7,53.3
E02004803,45.4,54.6
E02004804,51.2,48.8
E02004805,53.9,46.1
E02004806,53.5,46.5
E02004807,47.9,52.1
E02004808,42.8,57.2
E02004809,50.5,49.5
E02004810,43.5,56.5
E02004811,46.4,53.6
E02004812,53.1,46.9
E02004813,43.5,56.5
E02005966,48.3,51.7
E02005967,47.1,52.9
E02005968,53.5,46.5
E02005969,50.5,49.5
E02005970,38.7,61.3
E02005971,46.6,53.4
E02005972,53.1,46.9
E02005973,45.3,54.7
E02005974,49.2,50.8
E02005975,60.7,39.3
E02005976,61.1,38.9
E02005977,57.5,42.5
E02005992,54.2,45.8
E02006347,50.1,49.9
E02006353,45,55
E02006357,52.8,47.2
E02006419,45,55
E02006420,57.2,42.8
E02006422,58.4,41.6
E02006423,47.1,52.9
E02006424,61.9,38.1
E02006425,51.9,48.1
E02006426,55.1,44.9
E02006427,51.1,48.9
E02006439,50,50
E02006440,53.7,46.3
E02006441,37.7,62.3
E02006442,62.8,37.2
E02006444,55.9,44.1
E02006447,55.5,44.5
E02006939,34.7,65.3
E02006940,30.4,69.6
