geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02003352,15.5,37.4,5.7,38.8,2.6
E02003353,9.4,40.9,4.2,43.5,2
E02003354,10,43.1,4.5,40.4,2.1
E02003355,16.6,47.5,5.3,28,2.6
E02003357,15.4,42.8,5.3,33.4,3.2
E02003358,14.1,42.9,4.6,35.4,3
E02003359,12.8,46.7,5.4,32.2,2.9
E02003360,13.5,46.1,5.3,32.7,2.4
E02003361,16,45.6,6.4,29,3
E02003362,16,45.8,5.6,29.7,2.9
E02003363,11.9,40.8,4.1,41.2,2
E02003364,13.1,45.9,5,33.1,2.9
E02003365,12.2,43.3,5.6,36.3,2.6
E02003366,13.8,44.4,7.2,31.9,2.7
E02003367,12.6,40.5,4,40.7,2.2
E02003369,8.9,33.3,3.8,51.9,2.1
E02003370,12.4,39.7,6,39.7,2.2
E02003371,14.4,46.2,6.9,30,2.4
E02003372,15.9,43.7,6.4,31.4,2.6
E02003373,9.9,40.4,3.8,43.8,2
E02003374,14.9,45.1,5.7,31.4,2.9
E02003375,15.8,41.6,5,35.2,2.3
E02003377,13.4,40.4,4.5,39.4,2.2
E02003378,17.3,38.6,4.9,36.5,2.8
E02003379,17.6,42.5,5.6,31.4,2.9
E02003380,15.4,47.7,6.8,27.7,2.4
E02003381,11.5,41.4,4.7,40.4,2.2
E02003382,19.7,45.5,6.3,26.1,2.4
E02003383,12.5,46.6,5,33.9,1.9
E02003385,13,38.1,4.1,42.4,2.4
E02003386,16.1,39.2,5,37.1,2.5
E02003387,11.6,38.5,5.1,42.6,2.2
E02003388,12.2,39.4,4.8,41.2,2.4
E02003389,11.9,38.3,5,42.1,2.7
E02003390,6.7,29.9,3.3,58.6,1.5
E02003391,11,31.9,4.1,51,2.1
E02003392,12.9,32.1,4.1,48.8,2.1
E02003393,13.4,42.6,5.8,35.3,3
E02003394,22.3,41.1,5.4,28.2,3
E02003395,17.6,33.8,4.3,40,4.3
E02003396,17.9,35.5,5,37.7,3.8
E02003397,21,43.2,6.6,25.8,3.4
E02003398,16.3,35.5,3.2,42,3.1
E02003400,9,44.8,1.7,42.7,1.9
E02003401,16.7,33,3.9,43.3,3.1
E02003402,12.7,34,3.2,46.8,3.3
E02003403,19.5,39.1,5.7,32.2,3.5
E02003404,15.2,50.4,2.8,28.8,2.7
E02003405,23.9,36.2,3.8,32.7,3.3
E02003406,25,39.7,5.9,26.1,3.2
E02003421,13.8,35.7,4.2,43.6,2.8
E02003422,11.1,34.3,4.1,48.4,2.1
