geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02003352,11.3,72.1,16.7
E02003353,15.9,65.6,18.5
E02003354,15.7,65.9,18.4
E02003355,16.5,60.7,22.8
E02003357,17.2,61.5,21.3
E02003358,18.9,57.6,23.6
E02003359,19,61.9,19.1
E02003360,17.2,60.9,21.9
E02003361,14.5,64.7,20.8
E02003362,15.2,63.9,20.9
E02003363,10.4,62.6,26.9
E02003364,16.3,61.9,21.9
E02003365,13.3,69.5,17.2
E02003366,18.1,55.3,26.5
E02003367,13.8,65,21.3
E02003369,12.9,70.9,16.1
E02003370,11.9,71.6,16.5
E02003371,12.4,70.5,17.1
E02003372,11.6,71.4,17
E02003373,13.5,65.4,21.2
E02003374,12.7,67,20.3
E02003375,12.6,68.6,18.8
E02003377,12.3,66.9,20.8
E02003378,11.5,71.9,16.6
E02003379,13.6,63.5,23
E02003380,15.8,68.1,16.2
E02003381,12.7,71.8,15.5
E02003382,13.5,67.4,19.1
E02003383,15.4,68.4,16.2
E02003385,15.3,65.2,19.6
E02003386,14.1,67.4,18.6
E02003387,12.6,72.9,14.5
E02003388,11.9,70.7,17.4
E02003389,11.9,71.3,16.8
E02003390,12.2,71.5,16.3
E02003391,11.8,71,17.3
E02003392,16.8,59.6,23.6
E02003393,13.7,69.2,17.2
E02003394,14.4,53.7,31.8
E02003395,22.3,41.9,35.7
E02003396,17.6,54.4,27.9
E02003397,12,63.2,24.8
E02003398,25,39.7,35.3
E02003400,33.2,42.7,24.1
E02003401,14.3,58.5,27.3
E02003402,26.5,41.3,32.2
E02003403,13.6,60.7,25.7
E02003404,30.8,37.1,32.1
E02003405,16.1,47.7,36.2
E02003406,14.2,54.3,31.5
E02003421,11.3,67,21.7
E02003422,12.7,70.3,17
E02003423,16.4,57.1,26.5
E02003424,12.8,69.7,17.5
E02003425,16.3,58.9,24.8
E02003426,13.7,66.7,19.6
E02003427,16.1,54.8,29.1
E02003428,12.9,66.7,20.5
E02003429,13.8,66.8,19.5
E02003439,12.1,72,15.8
E02003440,12,71.8,16.2
E02003441,11.8,71.8,16.3
E02003442,15.4,68.1,16.5
E02003443,11,65.7,23.3
E02003444,13.9,61.1,25
E02003445,11.5,69.4,19.1
E02003446,24.9,51.3,23.8
E02003447,17.1,61.7,21.3
E02003448,13,71.2,15.9
E02003449,18.6,59.9,21.5
E02003450,15,61.2,23.8
E02003451,11.5,70.4,18.2
E02003452,12.9,69.5,17.6
E02003453,13.2,71.7,15
E02003454,12.2,70,17.8
E02003455,14.3,67.1,18.6
E02003456,15.2,64,20.8
E02003457,11.7,72.7,15.6
E02003458,10.6,71.9,17.5
E02003712,11.6,63.8,24.7
E02003713,11.5,72.9,15.6
E02003715,12.1,73,14.8
E02003716,12.1,73.4,14.5
E02003717,12,71.8,16.2
E02003718,12.6,69.7,17.7
E02004675,10.9,70.8,18.3
E02004676,10.9,75.8,13.4
E02004677,12.6,73,14.4
E02004678,11.5,73.9,14.6
E02004679,14,68.8,17.2
E02004680,17.3,68.4,14.3
E02004681,16.8,56.4,26.8
E02004682,15.8,65,19.2
E02004683,14.9,61.8,23.3
E02004684,16,61.2,22.8
E02004685,16,61.1,22.8
E02004686,15.1,59.9,25
E02004687,14.6,60,25.4
E02004688,12.2,64.1,23.7
E02004689,8.8,77.1,14.2
E02004690,15.7,65.1,19.2
E02004691,10.3,74.3,15.4
E02004692,9.7,76.9,13.4
E02004693,14.3,63.8,21.9
E02004694,12.9,71.7,15.4
E02004695,20.2,61,18.8
E02004696,12.8,73.7,13.5
E02004751,12.2,72.7,15
E02004752,13.1,72.7,14.2
E02004753,14.7,65.4,20
E02004754,11.5,75,13.5
E02004755,14.9,69.3,15.8
E02004756,14.3,70.1,15.6
E02004757,10.9,77.9,11.2
E02004758,11.8,71.4,16.8
E02004759,12,72.2,15.8
E02004760,15.3,67.8,16.9
E02004761,12.5,70.8,16.7
E02004802,14.7,57.9,27.3
E02004803,13,51,36
E02004804,15.7,65.3,19
E02004805,13.4,67.2,19.3
E02004806,13.1,68.3,18.6
E02004807,13.8,64.1,22
E02004808,17.9,56.1,26
E02004809,18.2,32.6,49.2
E02004810,17.1,53.9,29.1
E02004811,12.2,55.5,32.3
E02004812,15.5,60.3,24.1
E02004813,11.7,57.2,31.1
E02005966,18.4,62.3,19.3
E02005967,13.7,65.3,21
E02005968,13.2,70.1,16.7
E02005969,11.4,71.5,17.1
E02005970,17.2,59,23.8
E02005971,11.5,68.1,20.4
E02005972,12.8,72.9,14.3
E02005973,11.8,70.9,17.4
E02005974,12.7,72.1,15.2
E02005975,10.9,75.6,13.5
E02005976,12.2,71.6,16.2
E02005977,10.8,73.2,16
E02005992,13.3,69.7,17
E02006347,11.3,72.4,16.3
E02006353,13,65.8,21.2
E02006357,14.4,69,16.7
E02006419,15.4,59.6,25
E02006420,12.9,67.9,19.2
E02006422,12.3,71.3,16.3
E02006423,14.9,61.1,24
E02006424,13.1,69.9,16.9
E02006425,14.2,63.5,22.3
E02006426,13.2,74.1,12.7
E02006427,13.5,67.8,18.6
E02006439,13.7,69.8,16.4
E02006440,13.6,70.4,16
E02006441,15.6,64.7,19.7
E02006442,10.8,72.8,16.4
E02006444,13.1,68.7,18.2
E02006447,11.9,70.6,17.5
E02006939,22.8,38.3,38.9
E02006940,27.4,34.2,38.3
