geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E02003352,56.9,32.2,9.7,1.2,0.1
E02003353,66.7,25.3,7,1,0
E02003354,62.8,28.3,7.6,1.3,0
E02003355,46,34.5,14.1,4.8,0.5
E02003357,50.8,32.8,12.8,3.3,0.2
E02003358,51.9,32.6,11.9,3.2,0.4
E02003359,56.3,31.4,10.1,2,0.3
E02003360,53.7,32.9,11.3,2,0
E02003361,49.3,33.6,13.6,3.3,0.2
E02003362,49.5,34.3,12.9,2.9,0.4
E02003363,60.2,30.4,8.4,1,0
E02003364,60.8,29.6,7.9,1.6,0.1
E02003365,59.2,30.7,8.2,1.7,0.1
E02003366,56.6,33,9,1.3,0
E02003367,60.7,30.2,7.9,1.1,0.2
E02003369,63.1,28.4,7.6,0.9,0
E02003370,60.4,30,8.5,1.1,0
E02003371,55.2,33.3,10.3,1.1,0
E02003372,52.5,34.1,11.9,1.6,0
E02003373,63.3,28.4,7.2,1,0.2
E02003374,55.2,31.3,10.6,2.7,0.2
E02003375,54.1,31.7,11.5,2.4,0.3
E02003377,58.1,31.2,9.1,1.6,0
E02003378,50.2,33.8,13.1,2.7,0.2
E02003379,51.9,32.5,12.3,3.1,0.2
E02003380,55.1,32.5,10.4,1.9,0
E02003381,59.3,30.7,8.5,1.5,0
E02003382,46.3,34.8,14.8,3.9,0.2
E02003383,57.1,31.9,9.3,1.5,0.1
E02003385,57.7,29.4,9.7,3,0.1
E02003386,50.7,32,13.2,3.7,0.4
E02003387,59.4,31.2,8.2,1.1,0.1
E02003388,57.5,30.1,10.6,1.8,0
E02003389,58.5,32.3,7.9,1.2,0.1
E02003390,66.4,27.7,5.6,0.4,0
E02003391,59.8,30.1,8.6,1.4,0
E02003392,55.5,29.2,12.3,2.8,0.2
E02003393,56.7,32.7,9.3,1.3,0
E02003394,45.3,33.6,16.1,4.6,0.4
E02003395,51.2,32.2,12.7,3.6,0.3
E02003396,49.5,33.9,12.8,3.6,0.3
E02003397,43.6,34.5,16.3,5.1,0.4
E02003398,50.5,32.1,13.5,3.6,0.3
E02003400,55,32.2,10.1,2.6,0.3
E02003401,50.6,32,13.2,3.7,0.4
E02003402,54.3,30.8,12.1,2.6,0.2
E02003403,43.9,34.6,16,5.2,0.4
E02003404,39.9,36,17.7,5.7,0.7
E02003405,43.9,32,17.1,6.4,0.6
E02003406,41,35.3,18.6,4.8,0.3
E02003421,59.1,30.5,8.8,1.5,0.1
E02003422,63.2,28.4,6.9,1.4,0.1
E02003423,51,31.8,13.8,3.2,0.2
E02003424,67.1,26.4,5.9,0.5,0.1
E02003425,54.8,30.2,11.9,3,0.1
E02003426,62.7,29,7.2,1,0
E02003427,51.6,32.1,13.3,2.9,0.1
E02003428,56.1,31.3,10.4,2.1,0.2
E02003429,61.2,30.2,7.5,1,0
E02003439,61.2,28.2,9.3,1.2,0.1
E02003440,62.6,29.2,7.2,1,0
E02003441,57.9,31.9,8.9,1.3,0
E02003442,65.7,27.4,6.3,0.5,0.1
E02003443,44.8,35.3,16.2,3.7,0.1
E02003444,56.8,32.2,9.3,1.6,0.1
E02003445,56.9,32.6,9.3,1.1,0.1
E02003446,61.2,31.2,6.9,0.7,0
E02003447,62.5,27.5,8.2,1.6,0.2
E02003448,64.8,28.4,6.2,0.5,0.1
E02003449,61.9,30,7,1.2,0
E02003450,63.1,27.4,8,1.4,0.1
E02003451,54,31,12.3,2.6,0.2
E02003452,66.8,26.3,5.9,0.9,0
E02003453,68.1,26.7,4.6,0.6,0
E02003454,63.4,28.1,7.2,1.1,0.2
E02003455,66.3,25.9,6.6,1.2,0.1
E02003456,61.5,28.1,8.4,1.8,0.2
E02003457,65,28.3,5.8,0.8,0.1
E02003458,62.7,29.9,6.5,0.9,0.1
E02003712,47.7,34.8,14.4,3,0.1
E02003713,56.3,33.2,8.8,1.5,0.1
E02003715,66.3,27.7,5.5,0.5,0
E02003716,58.3,29.6,10.4,1.7,0
E02003717,61.1,29.1,8.5,1.2,0.1
E02003718,60.5,29,8.4,1.8,0.3
E02004675,51.1,35.5,11.7,1.7,0.1
E02004676,56.1,33.5,9,1.4,0
E02004677,62.2,28.4,8,1.4,0
E02004678,57,32.6,8.9,1.5,0
