geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02003352,57.2,2.6,40.2
E02003353,69.8,2.6,27.6
E02003354,69.5,2.6,28
E02003355,66.7,4.4,28.9
E02003357,67.8,3.5,28.8
E02003358,69,3.8,27.1
E02003359,72.9,3,24.1
E02003360,68.1,3.4,28.5
E02003361,67.2,3.4,29.4
E02003362,64.5,3.4,32.1
E02003363,55.9,1.8,42.4
E02003364,66.8,2.7,30.5
E02003365,64.4,2.5,33.1
E02003366,66.1,2.4,31.5
E02003367,62.8,2.2,35
E02003369,58.9,2.7,38.3
E02003370,59.7,2.2,38.1
E02003371,62.2,2.5,35.4
E02003372,61.3,2.6,36.1
E02003373,63.2,1.8,34.9
E02003374,66,2.6,31.4
E02003375,65.9,2.2,31.9
E02003377,58.9,2,39.1
E02003378,58.8,2.9,38.2
E02003379,66.7,2.3,31
E02003380,67.7,2.7,29.6
E02003381,64.4,2.2,33.4
E02003382,62.5,2.8,34.7
E02003383,68.8,2.2,29
E02003385,70.9,2.6,26.4
E02003386,63.6,2.9,33.5
E02003387,60.4,2.8,36.8
E02003388,60.4,2.5,37.1
E02003389,60.3,2.9,36.8
E02003390,61,2.3,36.7
E02003391,62.4,2.8,34.8
E02003392,68.2,3.7,28.1
E02003393,63.6,2.4,34
E02003394,62.9,4.1,33
E02003395,71.9,4,24.1
E02003396,68.6,3.7,27.7
E02003397,59.9,3.9,36.2
E02003398,63.3,4.9,31.8
E02003400,52.2,4.6,43.2
E02003401,64.9,4.4,30.6
E02003402,66,4.3,29.8
E02003403,60.3,4.1,35.6
E02003404,44.5,5.8,49.7
E02003405,64.1,4.9,31
E02003406,60.8,4,35.3
E02003421,58.5,3.3,38.2
E02003422,59,2.3,38.8
E02003423,62.8,4.2,33.1
E02003424,62.5,2.7,34.9
E02003425,66.4,4.5,29.1
E02003426,63.7,2.4,33.9
E02003427,66.1,3.8,30.1
E02003428,61.4,2.9,35.7
E02003429,59.8,2.9,37.3
E02003439,56.2,2.6,41.1
E02003440,62.9,2.3,34.9
E02003441,58.9,2.3,38.7
E02003442,69.2,2.6,28.2
E02003443,56.9,3.4,39.7
E02003444,62.6,3,34.4
E02003445,62.9,2.8,34.3
E02003446,52.1,3.7,44.2
E02003447,66.7,3.1,30.2
E02003448,65.1,2.1,32.8
E02003449,70.7,3,26.3
E02003450,68.4,3.1,28.5
E02003451,60.9,2.8,36.3
E02003452,68.9,2.5,28.5
E02003453,63.4,2.3,34.3
E02003454,62.2,2.3,35.5
E02003455,70,2.1,27.8
E02003456,68.5,2.4,29.1
E02003457,59.9,2.4,37.7
E02003458,59.9,2.5,37.6
E02003712,57.7,3.2,39.1
E02003713,56.8,2.6,40.7
E02003715,59.2,2.2,38.6
E02003716,58.4,2.5,39.1
E02003717,57.7,2.4,39.9
E02003718,61.4,2.7,35.8
E02004675,62,2.2,35.7
E02004676,60.7,2.1,37.1
E02004677,61.3,1.9,36.7
E02004678,61.3,2,36.7
E02004679,66.3,2.2,31.5
E02004680,73.2,2.6,24.2
E02004681,68.9,3.8,27.3
E02004682,66.8,3.1,30
E02004683,66.6,3.7,29.7
E02004684,69.5,3.2,27.3
E02004685,68.1,3.1,28.9
E02004686,68.2,3.2,28.6
E02004687,64,4,32
E02004688,59.9,3.6,36.5
E02004689,54.2,1.6,44.2
E02004690,66.1,2.8,31.1
E02004691,57.9,1.9,40.3
E02004692,53.6,1.9,44.6
E02004693,65.5,3.2,31.4
E02004694,62.4,1.8,35.7
E02004695,74.8,3.1,22.1
E02004696,62.5,2.2,35.2
E02004751,58.2,2.6,39.1
E02004752,61.2,2.3,36.5
E02004753,64.3,2.5,33.2
E02004754,58.5,2.2,39.4
E02004755,69,2.7,28.3
E02004756,66.1,2.5,31.4
E02004757,56.6,2.3,41.2
E02004758,60,2.3,37.7
E02004759,61.4,2.6,36
E02004760,66.6,2.7,30.8
E02004761,64.1,2.1,33.8
E02004802,62.6,3.4,34
E02004803,61.7,3.9,34.5
E02004804,65.6,2.9,31.5
E02004805,64.7,2.5,32.8
E02004806,66.8,3,30.1
E02004807,64.1,3.2,32.7
E02004808,70.7,2.9,26.4
E02004809,67.9,3.5,28.5
E02004810,70.4,3.4,26.2
E02004811,61.5,3,35.5
E02004812,66,3,31
E02004813,60.1,2.9,37
E02005966,77.8,2.2,20
E02005967,71.8,2.4,25.8
E02005968,64.3,2.5,33.2
E02005969,61.8,2.1,36.2
E02005970,68.6,3.2,28.3
E02005971,64.8,2,33.2
E02005972,66.4,2,31.5
E02005973,56.5,2.7,40.8
E02005974,59.4,2.7,37.9
E02005975,56.9,2,41.1
E02005976,55.7,1.6,42.7
E02005977,56.2,2.2,41.6
E02005992,65.3,2,32.7
E02006347,64.2,2.1,33.7
E02006353,61.1,2.8,36
E02006357,66.2,2.1,31.7
E02006419,62.7,3.8,33.5
E02006420,58.6,2.5,39
E02006422,63.3,2.6,34.1
E02006423,62.1,3.8,34.1
E02006424,59.5,2.6,37.9
E02006425,62.2,2.4,35.3
E02006426,63.9,2.6,33.5
E02006427,64.9,2.8,32.3
E02006439,62.6,2,35.5
E02006440,61.4,3,35.6
E02006441,53.7,3.6,42.8
E02006442,55.1,2,42.9
E02006444,60.9,2.4,36.7
E02006447,59.7,2.2,38
E02006939,71.7,5.1,23.2
E02006940,64.9,5.5,29.6
