geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02003352,90.6,0.2,8.3,0.9
E02003353,84.7,0.3,14.3,0.7
E02003354,89.6,0.3,9.6,0.6
E02003355,88.5,0.2,10.6,0.7
E02003357,88.8,0.1,10,1.1
E02003358,84.5,0.2,13.6,1.6
E02003359,89.3,0.1,10.1,0.6
E02003360,91.5,0.2,7.8,0.5
E02003361,91.7,0.1,7.6,0.7
E02003362,91.7,0.1,7.7,0.5
E02003363,86.6,0.8,11.6,0.9
E02003364,91.1,0.2,8.2,0.5
E02003365,90,0.2,9.2,0.5
E02003366,85,0.7,12.7,1.7
E02003367,90,0.4,9,0.6
E02003369,86.5,0.7,11.8,1.1
E02003370,92.1,0.2,7.3,0.4
E02003371,93.7,0.3,5.7,0.4
E02003372,92.8,0.3,6.6,0.3
E02003373,88.5,0.7,10,0.9
E02003374,91.5,0.3,7.8,0.5
E02003375,89.1,0.2,10,0.7
E02003377,91,0.5,7.7,0.8
E02003378,89.5,0.2,9.4,0.8
E02003379,89.8,0.2,9.4,0.7
E02003380,91.1,0.3,8.4,0.2
E02003381,91.2,0.2,8.1,0.5
E02003382,92,0.2,7.2,0.6
E02003383,91.7,0.2,7.6,0.5
E02003385,84.2,0.3,14.1,1.4
E02003386,90,0.3,8.9,0.8
E02003387,90.8,0.3,8.2,0.6
E02003388,90.7,0.4,8,1
E02003389,91.7,0.4,6.9,1
E02003390,91.3,0.6,6.9,1.2
E02003391,90.4,0.4,8,1.2
E02003392,87.3,0.6,10.7,1.4
E02003393,91.3,0.2,8,0.5
E02003394,91.2,0.1,8.1,0.6
E02003395,82.4,0.6,14.4,2.7
E02003396,87.5,0.3,10.5,1.7
E02003397,91.8,0.3,7.3,0.6
E02003398,76.3,3.5,16.7,3.5
E02003400,63.8,11.7,21.6,2.9
E02003401,86.5,0.5,11.5,1.5
E02003402,73.1,2.9,19.9,4.2
E02003403,91.2,0.3,7.8,0.7
E02003404,66.5,4.4,24.6,4.6
E02003405,87,0.6,10.5,1.9
E02003406,90.8,0.3,7.9,1
E02003421,91.7,0.3,7.1,0.9
E02003422,90.8,0.3,8,0.9
E02003423,91.5,0.3,7.6,0.7
E02003424,86.8,0.3,11.5,1.3
E02003425,85.7,0.3,12.2,1.8
E02003426,90.7,0.3,8.3,0.7
E02003427,90.2,0.3,8.6,1
E02003428,93.3,0.2,5.9,0.6
E02003429,90.8,0.4,7.8,0.9
E02003439,90.4,0.4,8.6,0.6
E02003440,91.2,0.3,7.9,0.6
E02003441,92.5,0.3,6.5,0.7
E02003442,89,0.3,10,0.6
E02003443,92.3,0.1,7,0.6
E02003444,90.1,0.6,7.6,1.6
E02003445,92.6,0.3,6.5,0.7
E02003446,77.9,3.2,15.9,3
E02003447,88.8,0.3,9.7,1.2
E02003448,87.6,0.4,11.4,0.7
E02003449,89.1,0.3,9.5,1.2
E02003450,87.5,0.5,10.7,1.3
E02003451,86.9,0.4,11.6,1.1
E02003452,89,0.2,9.6,1.1
E02003453,91.4,0.4,7.2,0.9
E02003454,88.5,0.4,10,1.1
E02003455,86.9,0.2,12.2,0.7
E02003456,83.1,0.3,15,1.6
E02003457,91.8,0.4,7.3,0.5
E02003458,92,0.4,7,0.7
E02003712,92.6,0.2,6.6,0.5
E02003713,92.5,0.2,6.8,0.5
E02003715,90.2,0.4,8.5,0.9
E02003716,88.4,0.2,10.7,0.6
E02003717,91.4,0.3,7.6,0.7
E02003718,90.1,0.2,9.1,0.6
E02004675,92.1,0.1,7.5,0.3
E02004676,91.1,0.2,8.2,0.5
E02004677,92.2,0.4,6.9,0.5
E02004678,91,0.3,8,0.7
E02004679,87,0.2,12.4,0.4
E02004680,89,0.2,10,0.8
E02004681,87.9,0.2,10.8,1.2
E02004682,90.8,0.3,8.2,0.7
E02004683,88.3,0.2,10.2,1.2
E02004684,85.8,0.2,12.2,1.8
E02004685,83.6,0.4,13,3
E02004686,83.3,0.4,13.6,2.7
E02004687,91.6,0.2,7.9,0.3
E02004688,90.2,0.2,9,0.7
E02004689,89.2,0.2,10.3,0.3
E02004690,90.5,0.3,8.7,0.5
E02004691,91.3,0.3,7.8,0.5
E02004692,92.4,0.2,7.3,0.2
E02004693,90.8,0.1,8.5,0.6
E02004694,89.7,0.3,9.3,0.6
E02004695,90.2,0.3,9,0.6
E02004696,90.5,0.2,8.9,0.4
E02004751,91,0.2,8.2,0.7
