geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02003352,6.9,36.7,38.4,18
E02003353,6,34.9,45.8,13.3
E02003354,8,34.5,42.6,14.9
E02003355,17.8,41.1,32.4,8.6
E02003357,19.2,44.2,28.5,8.1
E02003358,21.1,42,28.6,8.2
E02003359,9.7,42.2,38.3,9.7
E02003360,10.6,37.2,39.3,12.9
E02003361,14.4,40.3,34,11.3
E02003362,13.8,41.5,33.2,11.5
E02003363,10,37.4,37.5,15.2
E02003364,6,35.3,42.5,16.3
E02003365,7.9,31.9,42.7,17.4
E02003366,7.8,37.1,40.2,14.9
E02003367,6.1,28.6,42.6,22.6
E02003369,7.8,34.5,37.8,19.9
E02003370,7.5,37.9,39,15.6
E02003371,10,36,38.4,15.5
E02003372,12.7,38.8,35.3,13.2
E02003373,4.8,27.6,43.3,24.3
E02003374,11.8,42.3,33.9,12
E02003375,12.4,38.5,34.8,14.3
E02003377,6.7,35.5,37.8,19.9
E02003378,19.9,42.9,27.6,9.6
E02003379,15.6,41.9,31.5,10.9
E02003380,8.3,38.7,37.1,15.8
E02003381,7.9,32.2,42.1,17.7
E02003382,18.3,41.2,30.4,10.1
E02003383,10.1,35.2,39.1,15.6
E02003385,22,48.5,23.6,5.9
E02003386,20.3,43.6,28.5,7.6
E02003387,9.2,37.7,39.8,13.3
E02003388,8.4,35.2,39.6,16.9
E02003389,11.7,42.3,33.4,12.6
E02003390,7.5,38.1,40.2,14.2
E02003391,16.4,47.2,28.9,7.4
E02003392,25.4,51.6,18.9,4.1
E02003393,15.1,39.2,33.4,12.3
E02003394,23.8,45.2,23.9,7.1
E02003395,33.9,48.9,15.4,1.8
E02003396,27.5,48.4,18.5,5.5
E02003397,24.1,39.7,27.4,8.8
E02003398,38.2,45.5,13.2,3.1
E02003400,30.6,43.7,19.1,6.6
E02003401,28,48.8,19.2,4.1
E02003402,38.4,43.7,14.9,2.9
E02003403,25,43,23.6,8.4
E02003404,27.5,42.2,22.6,7.7
E02003405,26.1,47.8,20.2,5.8
E02003406,21.6,43.3,26.2,8.9
E02003421,8,36,39.6,16.4
E02003422,6.5,34,39.5,19.9
E02003423,14.2,37.3,36,12.6
E02003424,9.7,43.6,34.4,12.2
E02003425,24.9,46.7,22.7,5.7
E02003426,8.7,37.5,39.5,14.3
E02003427,14.6,44.9,30.6,9.8
E02003428,11,34.7,39.5,14.8
E02003429,6.2,33.3,40.7,19.9
E02003439,9.9,31.9,40.7,17.4
E02003440,8.9,41.5,36.7,12.9
E02003441,9.1,35.4,39.2,16.3
E02003442,7,37.1,41.2,14.6
E02003443,20.3,38.3,31.5,9.9
E02003444,10.8,38.3,36.2,14.8
E02003445,9.6,41.9,35.6,12.9
E02003446,7.6,37.3,41.5,13.6
E02003447,7.7,36.3,42,14
E02003448,6.2,35,43.2,15.6
E02003449,8.5,43.3,37.2,11
E02003450,9,41,38.3,11.7
E02003451,20.7,47.4,25.1,6.9
E02003452,6.6,37.4,43.8,12.2
E02003453,4.5,30.3,47.1,18
E02003454,9.9,41.9,35.4,12.7
E02003455,5.2,36.6,44.2,14.1
E02003456,7.4,34.3,43.3,15.1
E02003457,4,25.9,48.5,21.7
E02003458,6.1,31.2,43.2,19.5
E02003712,15.6,37.4,33.8,13.2
E02003713,9.2,30.5,41.7,18.6
E02003715,5.6,27.3,45.5,21.6
E02003716,11,39.5,35.7,13.7
E02003717,12,39.2,35.9,12.9
E02003718,11.6,43.9,35.8,8.8
E02004675,11.3,37.7,36.6,14.4
E02004676,8.9,33.3,38.1,19.6
E02004677,5.3,27.7,43.7,23.3
E02004678,8.9,32.9,39.2,19
E02004679,7.3,34.4,43.6,14.8
E02004680,6.8,39.4,41.8,12.1
E02004681,19.9,43.9,29.5,6.7
