geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E02003352,86.8,13.2
E02003353,84.3,15.7
E02003354,83.7,16.3
E02003355,83.4,16.6
E02003357,77,23
E02003358,75.4,24.6
E02003359,83.5,16.5
E02003360,82.8,17.2
E02003361,83.7,16.3
E02003362,82.9,17.1
E02003363,86.9,13.1
E02003364,85.8,14.2
E02003365,89.5,10.5
E02003366,78.7,21.3
E02003367,92,8
E02003369,88.6,11.4
E02003370,88.2,11.8
E02003371,91.7,8.3
E02003372,86.5,13.5
E02003373,90.1,9.9
E02003374,83.3,16.7
E02003375,88.8,11.2
E02003377,89.9,10.1
E02003378,84.1,15.9
E02003379,81.2,18.8
E02003380,91.5,8.5
E02003381,90,10
E02003382,89.9,10.1
E02003383,90.7,9.3
E02003385,77.9,22.1
E02003386,85.1,14.9
E02003387,89.4,10.6
E02003388,89.6,10.4
E02003389,81.7,18.3
E02003390,84.1,15.9
E02003391,82.1,17.9
E02003392,74.6,25.4
E02003393,87.4,12.6
E02003394,73,27
E02003395,50.4,49.6
E02003396,64.1,35.9
E02003397,83.4,16.6
E02003398,51.5,48.5
E02003400,68.9,31.1
E02003401,61.6,38.4
E02003402,51.6,48.4
E02003403,74.6,25.4
E02003404,67.8,32.2
E02003405,64.6,35.4
E02003406,72.7,27.3
E02003421,78.6,21.4
E02003422,88.1,11.9
E02003423,78.3,21.7
E02003424,71.5,28.5
E02003425,67.1,32.9
E02003426,81.6,18.4
E02003427,73.6,26.4
E02003428,84.3,15.7
E02003429,83.1,16.9
E02003439,87.8,12.2
E02003440,87.5,12.5
E02003441,85.5,14.5
E02003442,84.2,15.8
E02003443,81.8,18.2
E02003444,70.3,29.7
E02003445,80.7,19.3
E02003446,73.1,26.9
E02003447,77.4,22.6
E02003448,84.1,15.9
E02003449,73.1,26.9
E02003450,72.4,27.6
E02003451,80.7,19.3
E02003452,83.5,16.5
E02003453,85.2,14.8
E02003454,82.7,17.3
E02003455,83.2,16.8
E02003456,83.6,16.4
E02003457,87.2,12.8
E02003458,86.2,13.8
E02003712,82,18
E02003713,92.7,7.3
E02003715,89.6,10.4
E02003716,89,11
E02003717,86.4,13.6
E02003718,86.5,13.5
E02004675,93.3,6.7
E02004676,92.4,7.6
E02004677,91.1,8.9
E02004678,91.9,8.1
E02004679,88.7,11.3
E02004680,85.4,14.6
E02004681,77.1,22.9
E02004682,83.8,16.2
E02004683,75.9,24.1
E02004684,79.7,20.3
E02004685,71,29
E02004686,67.8,32.2
E02004687,85.4,14.6
E02004688,82.7,17.3
E02004689,93,7
E02004690,85.7,14.3
E02004691,91,9
E02004692,92.1,7.9
E02004693,85.1,14.9
E02004694,92.3,7.7
E02004695,88.8,11.2
E02004696,91.1,8.9
E02004751,91.1,8.9
E02004752,92,8
E02004753,85.2,14.8
E02004754,90.8,9.2
E02004755,82.7,17.3
E02004756,88.1,11.9
E02004757,90.3,9.7
E02004758,87.1,12.9
E02004759,90.4,9.6
E02004760,87.7,12.3
E02004761,91.3,8.7
E02004802,75.5,24.5
E02004803,68.1,31.9
E02004804,84.4,15.6
E02004805,80.3,19.7
E02004806,86.6,13.4
E02004807,79.1,20.9
E02004808,79.4,20.6
E02004809,58.8,41.2
E02004810,75.3,24.7
E02004811,71.4,28.6
E02004812,78.5,21.5
E02004813,82,18
E02005966,82.3,17.7
E02005967,80.9,19.1
E02005968,85,15
E02005969,89.8,10.2
E02005970,80.4,19.6
E02005971,87.6,12.4
E02005972,87.9,12.1
E02005973,81.7,18.3
E02005974,82.7,17.3
E02005975,89.1,10.9
E02005976,88.4,11.6
E02005977,90.1,9.9
E02005992,87.4,12.6
E02006347,88,12
E02006353,88.4,11.6
E02006357,88.5,11.5
E02006419,79.1,20.9
E02006420,80.4,19.6
E02006422,84.9,15.1
E02006423,74.6,25.4
E02006424,82.2,17.8
E02006425,76.9,23.1
E02006426,87.5,12.5
E02006427,86.2,13.8
E02006439,90.7,9.3
E02006440,87.5,12.5
E02006441,83.8,16.2
E02006442,86,14
E02006444,88.3,11.7
E02006447,88.5,11.5
E02006939,38.6,61.4
E02006940,44.7,55.3
