areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00097579,71.5,20.7,7.7
E00097588,78.3,15.8,5.9
E00097591,84,13.4,2.6
E00097592,79,15.6,5.4
E00097593,85.1,13.5,1.4
E00097594,76.2,16.8,7
E00097595,84.8,12.8,2.4
E00097596,81.7,14.3,4
E00097598,84.7,10.7,4.7
E00097599,80.1,16.3,3.6
E00097626,76.4,16.3,7.3
E00097627,85.6,10.1,4.3
E00097628,63.1,26.2,10.7
E00097629,80.7,17.5,1.8
E00097630,86.7,9.8,3.5
E00097631,78.4,17.2,4.4
E00097632,73.7,15.6,10.6
E00097633,72.3,21.3,6.3
E00097634,89,6.8,4.1
E00097635,87,10.6,2.4
E00097636,85.8,12,2.2
E00097666,81.9,12.9,5.2
E00097667,83.5,13.7,2.7
E00097668,80.8,14.4,4.8
E00097669,81.7,13.9,4.4
E00097723,85.1,12.4,2.6
E00097724,83.4,14.6,2
E00097725,81.8,14.8,3.4
E00097726,82.6,11.9,5.5
E00097727,77,18.9,4.1
E00097728,75,18.3,6.7
E00097729,80.6,16.4,3
E00097730,86.1,11.4,2.5
E00097731,85.6,8.1,6.3
E00097742,78.6,16.9,4.5
E00097744,85.5,5.3,9.2
E00097745,88.4,9.5,2.2
E00097746,82.7,12.8,4.5
E00097756,83.5,13.6,2.9
E00097757,82.7,14.1,3.2
E00097758,78.7,16.4,4.9
E00097759,83.6,13.6,2.8
E00097760,83.7,13,3.3
E00097761,76.8,18.7,4.5
E00097770,77.2,18,4.8
E00097771,82.4,15.2,2.5
E00097772,75.1,15.7,9.2
E00097773,86.1,11.4,2.5
E00097774,91.8,7.1,1.1
E00097775,80.6,11.9,7.5
E00097776,84.1,13.6,2.3
E00097778,85,12.5,2.5
E00097779,85.3,8.5,6.3
E00097780,84.7,11.5,3.8
E00097781,88.7,9.7,1.6
E00097782,83.5,11.6,4.8
E00097783,84.1,12.4,3.5
E00097784,87.4,10,2.6
E00097785,85,11.2,3.8
E00097787,85.6,11.4,3
E00097810,90.8,7.4,1.8
E00097811,86.9,8,5.1
E00097812,79.3,14.8,5.9
E00097813,84.4,12,3.7
E00097814,88.4,7.7,3.9
E00097815,86.5,9.4,4.1
E00097816,85.4,11,3.6
E00097817,82.1,13.7,4.2
E00097846,76.3,17,6.7
E00097847,89.3,9.1,1.6
E00097848,83.4,13.3,3.3
E00097849,82.5,13.8,3.6
E00097850,84.5,11,4.5
E00097851,84.5,11.5,3.9
E00097853,81.3,14,4.8
E00097854,87.6,10,2.4
E00097855,80,14.1,5.9
E00097856,80.7,13.4,5.9
E00097857,80.2,16.7,3.1
E00097858,83.3,15.1,1.6
E00097859,75.3,18.1,6.6
E00097860,86.7,9.2,4.1
E00097861,85.8,12.5,1.7
E00097862,83.5,12.3,4.2
E00097863,83.1,13.3,3.6
E00097865,79,17.2,3.8
E00097866,71.5,19.5,9
E00097867,87.2,10.7,2.1
E00097868,84.7,12.4,2.9
E00097869,85.6,12.1,2.3
E00097870,90.9,7.3,1.7
E00097871,82.2,12.9,5
E00097872,80.5,13.2,6.4
E00097873,85.1,12.6,2.3
E00097874,83.6,13.3,3.1
E00097875,79.6,15.2,5.2
E00097876,83.9,14.8,1.3
E00097877,75.4,16.4,8.2
E00097878,87.3,10.4,2.3
E00097879,91.4,6.4,2.2
E00097880,76.6,19.7,3.8
E00097881,78.9,14.3,6.8
E00097882,69.4,17.6,13.1
E00097883,77.8,15.4,6.8
E00097884,73.2,20.7,6.1
E00097885,74.8,17,8.2
E00097886,85.7,11.5,2.9
E00097887,83.6,11.8,4.6
E00097888,73.8,20.8,5.4
E00097889,85.8,10.8,3.4
E00097890,73.7,16.3,10
E00097891,83.1,11.8,5.1
E00097892,89.2,7.9,2.9
E00097893,86,10.5,3.5
E00097894,83.9,12.8,3.3
E00097895,82.1,14.7,3.3
E00097896,85.8,9.7,4.5
E00097897,85.3,13,1.7
E00097898,80.2,15.6,4.2
E00097899,81.2,15.1,3.8
E00097900,85.1,12.5,2.4
E00097901,84.9,10.5,4.6
E00097902,73.7,16.7,9.6
E00097903,81.8,12.4,5.8
E00097904,87.5,8.7,3.8
E00097906,85,9.7,5.3
E00097907,84.2,11.9,4
E00097909,79.7,14.6,5.7
E00097910,78.6,13.5,7.9
E00097911,79.6,13.8,6.7
E00097912,89.6,7.1,3.3
E00097913,88.8,9.7,1.5
E00097914,80.8,15.6,3.6
E00097915,87.6,9.7,2.7
E00097916,86.6,10.5,2.9
E00097917,85.9,12.4,1.7
E00097918,77.9,19,3.1
E00097919,73.3,20.9,5.8
E00097920,88.6,6.8,4.6
E00097921,85.6,12.4,2
E00097922,78.6,18.3,3.1
E00097923,83.3,13.2,3.5
E00097924,77.3,16.1,6.6
E00097925,83.2,13,3.9
E00097926,80.7,14.8,4.5
E00097927,90.7,7.8,1.6
E00097928,77.9,18.9,3.2
E00097930,84.6,12.6,2.8
E00097931,82.1,13.3,4.6
E00097932,82.9,13,4.1
E00097933,88.4,9.4,2.2
E00097934,84.6,9.8,5.5
E00097935,79.3,13.3,7.5
E00097936,80.5,14.5,5
E00097937,76,17.6,6.4
E00097938,77.9,14.8,7.3
E00097939,85.5,9.3,5.3
E00097940,79.7,18.9,1.3
E00097941,88.7,8.2,3.1
E00097942,90,8.6,1.4
E00097943,84.2,14.1,1.6
E00097944,92,6.2,1.7
E00097945,74.5,18.7,6.8
E00097946,78.7,13.1,8.2
E00097947,75.8,18.3,5.9
E00097965,87.7,9.9,2.4
E00097966,82.9,12.2,4.9
E00097967,84.6,11.7,3.7
E00097968,87.4,9.8,2.9
E00097969,81.9,15.3,2.8
E00097970,81.6,15.6,2.8
E00097992,85.2,11.1,3.6
E00097993,80.6,15.8,3.6
E00097994,71.9,21.9,6.2
E00097995,86,10.9,3.1
E00097996,81,14.7,4.3
E00097997,83.5,10.9,5.6
E00097998,75.8,14.8,9.3
E00097999,79.7,15.2,5.2
E00098000,85,11,4
E00098001,88.8,8.9,2.3
E00098002,74.1,17.5,8.3
E00098003,90,8.4,1.5
E00098004,83.1,13.6,3.4
E00098005,83.2,14.6,2.2
E00098006,75.6,16.2,8.1
E00098007,84.7,11.4,3.9
E00098008,84.6,13,2.4
E00098009,84.3,11.8,3.9
E00098010,85.1,11.7,3.1
E00098011,81.4,13.5,5.1
E00098012,88.8,8.1,3.1
E00098013,86.3,10.7,2.9
E00098014,75.1,15.7,9.2
E00098015,86.9,9.7,3.4
E00098017,91.2,8.5,0.2
E00098074,88.3,9.8,1.9
E00098075,92.2,7.8,0
E00098077,87.8,9.8,2.4
E00098078,84.5,11.5,4.1
E00098080,84.7,12,3.3
E00098081,85,11.1,3.9
E00098082,83.2,13.1,3.7
E00127635,84.7,12.3,3
E00127640,88.3,8.1,3.6
E00127641,84.4,11.5,4.1
E00127727,82,12.2,5.9
E00127732,84.6,12,3.4
E00127736,84.9,10.5,4.7
E00140433,94.3,4.1,1.6
E00141336,78.5,19.3,2.2
E00141337,82,13.6,4.4
E00141338,85.7,12.2,2.1
E00141339,83.5,12.5,3.9
E00141340,86.2,10.5,3.3
E00141438,84.4,13.3,2.3
E00168541,91.6,5.9,2.6
E00168542,86.5,9.4,4.2
E00168544,94.1,4.6,1.2
E00168545,79.6,11.4,9
E00168548,81.7,14.5,3.8
E00168550,84,13.1,2.9
E00168552,86.7,9,4.3
E00168553,77,15.8,7.2
E00168554,89.5,7.6,2.9
E00168555,89.2,8.5,2.3
E00179287,87.8,9.6,2.7
E00179292,70.5,21.3,8.2
E00179295,88.8,8.6,2.6
E00179297,78.3,14.4,7.2
E00179309,84.9,11,4.1
E00179310,89.5,8.5,2
E00179316,74.5,5.2,20.3
