geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00107180,87.7,5.9,0.5,5.9
E00107181,91.3,2.3,2.3,4
E00107182,83.8,7.8,3.9,4.5
E00107183,89.4,1.4,1.4,7.8
E00107184,93.8,3.5,0.8,1.9
E00107185,87.5,6.6,1.3,4.6
E00107186,87.7,5.9,3,3.4
E00107187,89.6,4,1.5,5
E00107188,88.2,5.4,1.4,5
E00107189,86.4,6.1,1.4,6.1
E00107190,91.7,3.7,2.1,2.5
E00107194,84.9,7.3,3.3,4.5
E00107195,92.9,2.1,1.3,3.8
E00107196,85.4,7.3,1.4,5.9
E00107197,90.4,2.4,1.8,5.4
E00107198,90.4,4.1,2.1,3.4
E00107268,89.6,4.4,2.5,3.5
E00107269,87.2,6.2,2.8,3.7
E00107270,89.3,4.8,0.3,5.5
E00107271,93,5,0,2.1
E00107272,86.5,5.3,3.2,5
E00107273,90.9,3.3,2.6,3.3
E00107275,90.2,3.1,2.7,3.9
E00107276,86.7,5.2,2.6,5.6
E00107277,87.5,7.9,1.4,3.2
E00107278,89.8,5.6,0.9,3.7
E00107279,90.2,4.9,0.4,4.4
E00107280,92,4.5,1.5,2
E00107281,93.7,3.2,0.8,2.4
E00107282,91.9,5.7,0.5,1.9
E00107283,91.1,4.5,1.5,3
E00107284,92.7,3.7,0.9,2.7
E00121721,92,3.4,3.1,1.5
E00121723,88.6,4.7,2.9,3.8
E00121724,87.1,4.3,4,4.6
E00121725,87.9,3.8,2.8,5.5
E00121726,87.8,5.1,3,4.1
E00121727,88.9,3,4.6,3.5
E00121730,89.6,5.9,2.1,2.4
E00121731,88.8,3.3,1.4,6.6
E00121732,88.5,2.2,4,5.3
E00121733,94.4,2.7,1.4,1.4
E00121734,89.6,2.8,3.1,4.5
E00121735,91.1,2.5,1.9,4.4
E00121736,90.4,3,2.4,4.2
E00121737,91.2,3.8,1.9,3.1
E00121738,89.8,5,0.9,4.4
E00121739,88.9,3.3,5.4,2.4
E00121740,90.8,4.1,1.4,3.7
E00121742,91.9,2.8,2.8,2.5
E00121743,91.1,2.9,3.5,2.6
E00121744,92.7,4,1.8,1.5
E00121745,86.6,5.4,3.2,4.8
E00121746,94,2.2,0.6,3.2
E00121747,90.7,2.7,2.1,4.5
E00121756,91.3,4.2,1.7,2.7
E00121757,88.5,2.8,2.8,5.9
E00121758,90.8,4.1,2.4,2.7
E00121759,88.1,5.1,1.2,5.5
E00121760,90.5,5.9,0.8,2.8
E00121761,93.9,2.9,1.9,1.3
E00121762,88.3,4.7,2.3,4.7
E00121763,87.8,5.1,3.3,3.9
E00121764,83.7,5.8,4.3,6.1
E00121765,90.1,2.5,3.8,3.5
E00121766,92.1,4.3,2.1,1.5
E00121767,91.9,4.8,1,2.3
E00121771,92.3,4.9,1.1,1.7
E00121772,89.9,3.9,2.6,3.6
E00121773,90.6,5.5,0.8,3.1
E00121774,91,3.1,2.4,3.4
E00121775,89.5,2.2,3.1,5.2
E00121776,91.4,4.8,1.5,2.2
E00121777,89.6,6.8,1.8,1.8
E00121778,92.4,2.9,0.7,4
E00121779,90.3,4.2,0.8,4.7
E00121799,81.4,6.5,3.5,8.7
E00121800,90.2,5.7,1.4,2.7
E00121801,91.9,3.1,1.2,3.8
E00121803,88.5,7.7,1.3,2.6
E00121805,92.7,5.8,1,0.5
E00121807,89.4,4.3,2.9,3.5
E00121808,91.4,3.8,1,3.8
E00121809,91.4,3.1,2.4,3.1
E00121810,92,4.2,1.6,2.2
E00121811,91.1,4.9,2,2
E00121814,85.3,9.2,3.1,2.4
E00121815,92.4,3.3,1.3,3
E00121816,93.8,3.4,1.2,1.5
E00121817,89.3,5.2,2.3,3.2
E00121819,93.9,4.6,0.3,1.2
E00121820,88.1,7.4,1.6,2.9
E00121821,90.1,3.7,2.2,4
E00121822,92,4.7,1.5,1.8
E00121823,92.3,3.3,2,2.3
E00121824,92.9,4.2,1.1,1.8
E00121825,91.3,4.5,1.9,2.3
E00121826,95.6,2,1.4,1
E00121827,96.8,1.2,0,2
E00121828,92,3.4,1.5,3.1
E00121829,95.3,2.5,0.7,1.4
E00121830,91,4.3,3.2,1.4
E00121831,88.6,3.9,2.4,5.1
E00121832,91.6,4.6,1.7,2.1
E00121833,88.9,4.4,2.2,4.4
E00121834,89.9,4,2.9,3.2
E00121835,88.5,5.9,2.1,3.5
E00121838,89.7,5.3,2.3,2.7
E00121839,90.1,5.7,2.7,1.5
E00121840,92.9,4.8,0.9,1.4
E00121841,91,5.8,1.7,1.4
E00121842,92.5,5,0.7,1.8
E00121843,91.7,4.5,2.1,1.8
E00121844,88.8,3.8,3.4,4.1
E00121845,90.7,3.7,1.5,4.1
E00121846,90.7,4.5,1.7,3.1
E00121848,92,4.6,0.9,2.5
E00121849,90.5,5.1,1.6,2.8
E00121850,84.7,6.6,2.8,5.9
E00121851,92.2,3.4,1.2,3.2
E00121852,87.6,4.1,3,5.2
E00121853,88,4.3,2.3,5.3
E00121854,92.6,4,1.7,1.7
E00121855,94,3.6,1.1,1.4
E00121856,89.9,4.3,3,2.7
E00121857,90.8,5.2,2,2
E00121858,91.9,3.6,1.8,2.7
E00121859,92,3.7,2.3,2
E00121860,85.5,5.4,3.6,5.4
E00121861,88,4.5,4.1,3.4
E00121862,90.2,7.2,0.5,2.1
E00121863,90.6,6,0.7,2.6
E00121864,90.6,4.5,1.7,3.1
E00121865,90.3,3.2,2.9,3.5
E00121866,89.9,2.3,2.7,5.1
E00121867,88.3,5.8,0.7,5.2
E00121868,90.2,6.3,0.3,3.2
E00121869,87.3,6.2,4.1,2.4
E00121870,88.5,6.6,1.1,3.7
E00121871,95.3,2.2,0.7,1.8
E00121872,93.1,3.9,1.3,1.6
E00121873,88.9,3.8,2.6,4.7
E00121874,92.5,4,1,2.4
E00121876,88.7,4.7,4.7,1.9
E00121877,90.6,5.4,1.8,2.2
E00121878,87.6,6.5,2.2,3.7
E00121880,93.9,2.6,1.7,1.7
E00121881,94.4,2.4,1.8,1.5
E00121882,93.4,4.2,0.6,1.8
E00121883,94.1,2.5,1.4,2
E00121884,95.9,2.2,0.3,1.6
E00121885,90.5,4.7,2.4,2.4
E00121888,91.7,5.2,0.9,2.2
E00121907,90.8,4.6,1.8,2.8
E00121909,91.7,5.7,1.3,1.3
E00121910,86.7,4.4,2.7,6.2
E00121911,94.1,2.6,1.3,2
E00121913,93.2,2.6,0.5,3.7
E00121914,92.2,5.3,0.7,1.8
E00121915,87.9,5.9,1.3,4.9
E00121916,89.9,3.8,2.5,3.8
E00121917,92.3,4.2,1,2.6
E00121918,91.5,4.5,2,2
E00121919,87.2,7.9,3.6,1.3
E00121920,92.2,4.1,2.1,1.6
E00121921,89,4.3,3,3.7
E00121922,91.6,5.4,0.7,2.4
E00121923,89.4,8.3,1.3,1
E00121924,91.4,3.7,1.6,3.3
E00121925,90.2,4.2,3.1,2.4
E00121926,91.4,5.7,1,1.9
E00121927,93.4,2.2,1.8,2.6
E00121928,92.5,5.9,0.8,0.8
E00121930,95.5,2.7,0.5,1.4
E00121931,89.6,5.7,1.9,2.8
E00121932,91.9,3,2,3
E00121933,85.7,3.6,5.1,5.7
E00121934,87.9,5,2.4,4.7
E00121935,91.7,4.5,0.7,3.1
E00121936,89.9,4.5,2.2,3.4
E00121937,93.7,2.9,1,2.4
E00121939,87.8,7.8,2.2,2.2
E00121940,88.8,3.4,3.4,4.3
E00121941,91.8,2.9,2.4,2.9
E00121942,89.5,2.2,2,6.3
E00121943,89.2,5.6,3,2.2
E00121944,91,3.6,2.4,3
E00121945,92.3,3.7,1.7,2.3
E00121946,90.4,3.7,1.3,4.7
E00121947,92.5,1.9,2.4,3.2
E00121948,89.6,2.6,3.8,4
E00121949,92.3,2.4,1.9,3.4
E00121950,94.1,2.1,2.1,1.7
E00121951,90.9,5.6,1.9,1.6
E00121952,84.4,6.1,3.8,5.7
E00121953,91.1,4.3,0.7,3.9
E00121954,89.3,6.9,1.9,1.9
E00121955,95.7,2.2,0.7,1.4
E00121956,95.7,2.1,1.3,0.9
E00121957,91.4,1.5,4.1,3
E00121958,92.5,3.1,1.9,2.4
E00121959,91.3,3.1,2.4,3.1
E00121960,91.2,5.4,0.7,2.7
E00121961,90.1,4.5,3,2.4
E00121962,90.4,5.7,1.3,2.5
E00121963,90.2,3.2,2.9,3.8
E00121964,94.6,2.3,0.8,2.3
E00121965,90.8,4.3,1.1,3.9
E00121966,88.2,4.7,2.7,4.4
E00121975,90.7,5.1,2.3,1.9
E00121978,88,6.3,2.3,3.3
E00121983,87.9,3.4,5.3,3.4
E00121984,87.5,4.9,3,4.6
E00121985,94.8,2.7,0.8,1.6
E00121986,95.5,2.3,0.9,1.4
E00121987,92.3,1.4,2.7,3.6
E00121988,91,2.6,3,3.4
E00121990,87.8,5.6,3.1,3.5
E00121991,91.4,4.5,0.8,3.3
E00121992,93.5,1.4,1.8,3.2
E00121993,91.2,5.9,1.3,1.6
E00121994,91.9,4.8,1.7,1.7
E00121995,95.5,1.1,1.9,1.5
E00121996,91.5,3.7,2.3,2.5
E00121997,89,5.5,2.2,3.3
E00121998,86.7,4,3.7,5.7
E00121999,89.9,5.5,3.3,1.3
E00122001,88,6.9,3.3,1.8
E00122002,90.3,5.2,2.3,2.3
E00122004,90.7,4.7,2,2.7
E00122005,92.7,2.6,2,2.6
E00122006,94.4,0.9,1.7,3
E00122007,91,0.9,3.3,4.8
E00122008,94.1,2.5,1.1,2.2
E00122009,88.1,4,2.2,5.8
E00122010,92.3,3.7,1.2,2.8
E00122011,89.6,3.9,3,3.6
E00122012,84.9,8,3,4
E00122015,91.7,5.5,1.9,0.9
E00122016,90.2,3.6,1.4,4.7
E00122018,90.5,5.5,0.3,3.7
E00122022,89.2,6.7,1.8,2.3
E00122023,89.3,5.3,1.8,3.6
E00122024,93,3.5,0.9,2.5
E00122025,92.1,3,1.2,3.7
E00122027,90.7,5.7,2.6,0.9
E00122029,91.7,5.6,1.3,1.3
E00122037,95.7,2.6,0.3,1.4
E00122039,91.2,7,0.4,1.5
E00122040,93.1,4.2,0.4,2.3
E00122041,86.2,6.9,2.8,4
E00122042,88.2,6.9,2.6,2.4
E00122043,89.6,4.9,4,1.5
E00122044,92.2,4.3,1,2.6
E00122045,88.7,6,3.4,1.9
E00122046,88.2,6,1.8,4
E00122047,86.6,8,2.5,3
E00122048,92.3,2.6,2.1,3
E00122049,90.8,2.1,2.8,4.3
E00122050,91.6,6.7,0.4,1.4
E00122051,91.4,4.1,1,3.4
E00122052,89.7,4.5,1.1,4.7
E00122053,91.1,4.6,0.7,3.5
E00122054,89.9,5.6,1.2,3.3
E00122055,89.9,4,4,2
E00122063,92.5,4.3,1,2.3
E00122813,91.3,4.1,2.3,2.3
E00122814,91,4.1,2.6,2.3
E00122815,86.6,7.9,1.7,3.8
E00122816,90.6,2.7,2.7,4
E00122817,85.9,6.4,4.9,2.8
E00122818,95.8,1.1,1.5,1.5
E00122819,90.3,5.5,3.3,0.9
E00122820,91.2,4.8,1.2,2.7
E00122821,93.1,2.1,1.7,3.1
E00122822,90.7,3.2,1.1,5
E00122823,87.2,4.2,1.1,7.5
E00122824,89.9,4.9,1.4,3.7
E00122825,91.5,2.3,3.3,2.8
E00122826,89.7,4,3.1,3.1
E00122827,86,5.6,4.4,3.9
E00122828,91,3.6,1.1,4.3
E00122829,90.5,3.6,2.4,3.6
