areacd,country_of_birth_3a-001,country_of_birth_3a-002
E00072641,92,8
E00072642,94.8,5.2
E00072643,88.2,11.8
E00072644,95.5,4.5
E00072645,95.3,4.7
E00072646,95,5
E00072647,95.7,4.3
E00072648,97,3
E00072649,94,6
E00072650,94.8,5.2
E00072651,97.4,2.6
E00072652,96.2,3.8
E00072653,94.1,5.9
E00072654,94.5,5.5
E00072655,96.8,3.2
E00072656,96.2,3.8
E00072657,94.4,5.6
E00072658,95.7,4.3
E00072659,96.6,3.4
E00072660,97.4,2.6
E00072661,92.5,7.5
E00072662,96,4
E00072663,95.1,4.9
E00072664,94.1,5.9
E00072665,96.3,3.7
E00072685,92.9,7.1
E00072686,91.5,8.5
E00072689,95.2,4.8
E00072690,93,7
E00072691,95.5,4.5
E00072692,92.7,7.3
E00072693,94.1,5.9
E00072694,96,4
E00072695,98.2,1.8
E00072696,97.8,2.2
E00072697,96.5,3.5
E00072698,96,4
E00072699,95.5,4.5
E00072700,94.9,5.1
E00072701,94.7,5.3
E00072702,93.9,6.1
E00072703,94.8,5.2
E00072714,97,3
E00072830,93.1,6.9
E00072831,94.5,5.5
E00072832,95.3,4.7
E00072833,94.6,5.4
E00072834,95.6,4.4
E00072835,97.3,2.7
E00072836,97.2,2.8
E00072837,95.1,4.9
E00072838,96.1,3.9
E00072839,96.2,3.8
E00072840,94.3,5.7
E00072841,99.2,0.8
E00072842,98.4,1.6
E00072844,96.9,3.1
E00072845,94.4,5.6
E00072846,97.2,2.8
E00072847,93.6,6.4
E00072848,97.5,2.5
E00072849,96.9,3.1
E00072850,98.3,1.7
E00072851,96.5,3.5
E00072852,96.5,3.5
E00072853,92.5,7.5
E00072854,91.2,8.8
E00072855,91.9,8.1
E00072856,96,4
E00072857,99.5,0.5
E00072858,96.5,3.5
E00072859,95.1,4.9
E00072860,97.4,2.6
E00072861,96.9,3.1
E00072862,97.7,2.3
E00072864,95.2,4.8
E00072865,97.5,2.5
E00072866,93.7,6.3
E00072867,97.4,2.6
E00072868,95.2,4.8
E00072869,93,7
E00072870,97,3
E00072925,96.4,3.6
E00072926,93.3,6.7
E00072927,93.2,6.8
E00072930,95.4,4.6
E00072931,96,4
E00072932,98.1,1.9
E00072933,96.9,3.1
E00072934,98.2,1.8
E00072935,95.1,4.9
E00072936,95.1,4.9
E00072937,96.9,3.1
E00072938,96.2,3.8
E00072940,97.4,2.6
E00072941,95.6,4.4
E00072963,95.9,4.1
E00072964,96.4,3.6
E00072965,92.7,7.3
E00072966,98,2
E00073020,94,6
E00073021,97.9,2.1
E00073022,93.9,6.1
E00073023,96.1,3.9
E00073024,97.4,2.6
E00073025,97.4,2.6
E00073026,94.9,5.1
E00073027,97.6,2.4
E00073028,93.2,6.8
E00073029,98.4,1.6
E00073071,95,5
E00073073,95.6,4.4
E00073075,94,6
E00073076,97.9,2.1
E00073077,96.2,3.8
E00073079,97.4,2.6
E00073080,96.3,3.7
E00073081,97.8,2.2
E00073085,97.2,2.8
E00073086,96,4
E00074447,93.5,6.5
E00074489,96.9,3.1
E00074490,97.1,2.9
E00074491,97.6,2.4
E00074492,92.5,7.5
E00074493,97.4,2.6
E00074494,91.5,8.5
E00074495,93.5,6.5
E00074496,94.7,5.3
E00074497,94.3,5.7
E00074498,92.5,7.5
E00074499,92.4,7.6
E00074500,96.6,3.4
E00074501,89.4,10.6
E00074502,93.3,6.7
E00074576,95,5
E00074577,96.2,3.8
E00074578,97.4,2.6
E00074579,95.5,4.5
E00074580,94.1,5.9
E00074581,94.3,5.7
E00074582,93.1,6.9
E00074583,94.7,5.3
E00074584,97.1,2.9
E00074585,94.3,5.7
E00074586,93.4,6.6
E00075019,91.2,8.8
E00075020,97.1,2.9
E00075021,93.9,6.1
E00075022,97.3,2.7
E00075023,94.5,5.5
E00075024,98.1,1.9
E00075025,97.1,2.9
E00075026,96,4
E00075049,93.5,6.5
E00075050,94.7,5.3
E00075051,93,7
E00075052,94.1,5.9
E00075053,91.9,8.1
E00075054,95.3,4.7
E00075055,94.5,5.5
E00075056,95.2,4.8
E00075057,92.9,7.1
E00075058,91.3,8.7
E00075059,90.6,9.4
E00075060,93.6,6.4
E00075061,94.5,5.5
E00075062,96.4,3.6
E00075063,93.8,6.2
E00075067,96,4
E00075072,95.6,4.4
E00075083,90.9,9.1
E00075086,94.8,5.2
E00147779,98,2
E00147780,95.3,4.7
E00147781,90.6,9.4
E00147782,96.2,3.8
E00147783,94.8,5.2
E00147784,94.9,5.1
E00147785,96.5,3.5
E00147786,94,6
E00147796,97.8,2.2
E00147797,91.3,8.7
E00147798,95.1,4.9
E00147799,98.1,1.9
E00147802,97.9,2.1
E00147803,97.5,2.5
E00147804,96.1,3.9
E00147814,94,6
E00147815,96.7,3.3
E00147816,95.9,4.1
E00147817,93,7
E00147818,97.5,2.5
E00147819,96,4
E00147948,97.3,2.7
E00147949,94.7,5.3
E00147950,95.2,4.8
E00147951,91,9
E00147952,94.2,5.8
E00147953,94.7,5.3
E00147954,96.8,3.2
E00147963,95.2,4.8
E00147973,94.4,5.6
E00147974,91.5,8.5
E00147975,95.2,4.8
E00147976,89.9,10.1
E00147977,94.7,5.3
E00147978,89.5,10.5
E00147979,88.8,11.2
E00147980,91.2,8.8
E00147995,92.4,7.6
E00147996,92.8,7.2
E00148002,96.8,3.2
E00148003,91.5,8.5
E00148004,93.1,6.9
E00148005,93.6,6.4
E00148006,96.9,3.1
E00148007,95.2,4.8
E00148008,93,7
E00148009,90.4,9.6
E00148010,93.8,6.3
E00148012,92.6,7.4
E00148013,92.7,7.3
E00148014,93.5,6.5
E00148015,75,25
E00148016,88,12
E00148017,68.2,31.8
E00148018,60.9,39.1
E00148019,79.5,20.5
E00148020,88,12
E00148021,91.4,8.6
E00148022,92.8,7.2
E00148023,93.6,6.4
E00148024,87.5,12.5
E00148026,93.3,6.7
E00148027,73.4,26.6
E00148028,82.7,17.3
E00148029,88.2,11.8
E00148030,89.8,10.2
E00148031,93.2,6.8
E00148032,92,8
E00148033,90.1,9.9
E00148034,90.9,9.1
E00148035,91.5,8.5
E00148036,95.4,4.6
E00148037,96.3,3.7
E00148038,95.2,4.8
E00148039,97.2,2.8
E00148040,94.8,5.2
E00148041,91.6,8.4
E00148042,95.7,4.3
E00148043,86.3,13.7
E00148044,92.4,7.6
E00148045,95.6,4.4
E00148046,98.3,1.7
E00148047,98.3,1.7
E00148051,91.8,8.2
E00148052,99.2,0.8
E00148095,83.3,16.7
E00148096,90.9,9.1
E00148097,91.7,8.3
E00148098,94.5,5.5
E00148099,93.4,6.6
E00148100,88.3,11.7
E00148101,82.4,17.6
E00148103,89.4,10.6
E00148105,91.2,8.8
E00148106,96,4
E00148107,94.6,5.4
E00148108,90.8,9.2
E00148109,92.3,7.7
E00148110,94.5,5.5
E00148111,90.6,9.4
E00148112,86.8,13.2
E00148113,88.1,11.9
E00148114,93.7,6.3
E00148115,93.9,6.1
E00148116,92.5,7.5
E00148118,89.9,10.1
E00148119,90.2,9.8
E00148120,94.3,5.7
E00148121,87.3,12.7
E00148122,95.3,4.7
E00148123,90.3,9.7
E00148124,85.8,14.2
E00148125,93.5,6.5
E00148126,93.1,6.9
E00148127,73.3,26.7
E00148128,95.7,4.3
E00148129,96.4,3.6
E00148130,92.1,7.9
E00148131,91.5,8.5
E00148136,93.2,6.8
E00148348,95.9,4.1
E00148349,95.3,4.7
E00148350,93.2,6.8
E00148351,93.7,6.3
E00148352,94.8,5.2
E00148354,94.9,5.1
E00148355,93.4,6.6
E00148356,91.7,8.3
E00148357,92.4,7.6
E00148358,94.5,5.5
E00148359,95.4,4.6
E00148360,97.3,2.7
E00148361,93.4,6.6
E00148362,93.4,6.6
E00148363,94.6,5.4
E00148364,94,6
E00148365,93.9,6.1
E00148366,91.5,8.5
E00148367,92,8
E00148368,94.6,5.4
E00148469,94.9,5.1
E00148470,95,5
E00148472,95,5
E00148473,96,4
E00148475,93.7,6.3
E00165857,95.2,4.8
E00165858,82.8,17.2
E00165859,91.8,8.2
E00165860,92.6,7.4
E00165861,88.6,11.4
E00165862,84.2,15.8
E00186525,91.2,8.8
E00186582,95.1,4.9
E00186600,89.5,10.5
E00186602,95.1,4.9
E00186618,92,8
E00186620,88.6,11.4
E00186629,90.1,9.9
E00186635,89.6,10.4
E00186637,94.5,5.5
E00186641,89.6,10.4
E00186654,93.5,6.5
E00186658,93.2,6.8
E00189449,93.3,6.7
E00189450,95.6,4.4
E00189468,93.3,6.7
E00189474,90.8,9.2
E00189492,95.7,4.3
E00189502,95.2,4.8
E00189516,93.6,6.4
E00189535,96.2,3.8
E00189545,86.4,13.6
E00189581,96.5,3.5
E00189589,90.3,9.7
E00189590,96.9,3.1
E00189591,95.5,4.5
E00189601,93.8,6.2
E00189603,93.3,6.7
E00189614,96.2,3.8
